Date,AQI
20-05-2017,92
21-05-2017,102
22-05-2017,135
23-05-2017,121
24-05-2017,158
25-05-2017,136
26-05-2017,115
27-05-2017,70
28-05-2017,92
29-05-2017,79
30-05-2017,108
31-05-2017,116
01-06-2017,100
02-06-2017,130
03-06-2017,162
04-06-2017,155
05-06-2017,124
06-06-2017,127
07-06-2017,148
08-06-2017,139
09-06-2017,109
10-06-2017,101
11-06-2017,95
12-06-2017,75
13-06-2017,109
14-06-2017,156
15-06-2017,108
16-06-2017,106
17-06-2017,87
19-06-2017,111
20-06-2017,68
21-06-2017,59
22-06-2017,61
23-06-2017,170
24-06-2017,200
20-07-2017,48
21-07-2017,57
24-07-2017,33
25-07-2017,18
26-07-2017,27
02-08-2017,56
03-08-2017,64
04-08-2017,77
05-08-2017,74
06-08-2017,70
07-08-2017,56
08-08-2017,45
09-08-2017,46
10-08-2017,77
11-08-2017,46
12-08-2017,32
13-08-2017,48
14-08-2017,84
17-08-2017,78
18-08-2017,85
30-01-2018,109
31-01-2018,136
01-02-2018,131
02-02-2018,143
03-02-2018,191
04-02-2018,206
05-02-2018,252
06-02-2018,210
07-02-2018,163
08-02-2018,159
09-02-2018,130
10-02-2018,287
11-02-2018,164
14-02-2018,61
16-02-2018,94
20-02-2018,177
21-02-2018,130
22-02-2018,128
23-02-2018,147
24-02-2018,133
25-02-2018,212
28-02-2018,114
01-03-2018,162
02-03-2018,153
03-03-2018,109
04-03-2018,156
06-03-2018,115
07-03-2018,133
08-03-2018,187
09-03-2018,192
10-03-2018,112
11-03-2018,130
12-03-2018,165
13-03-2018,148
14-03-2018,118
15-03-2018,141
16-03-2018,174
17-03-2018,120
18-03-2018,115
19-03-2018,144
20-03-2018,155
21-03-2018,235
22-03-2018,294
23-03-2018,236
24-03-2018,178
20-04-2018,123
24-04-2018,112
17-07-2018,64
18-07-2018,86
19-07-2018,98
20-07-2018,116
21-07-2018,73
22-07-2018,49
23-07-2018,50
24-07-2018,74
25-07-2018,76
26-07-2018,76
27-07-2018,41
28-07-2018,82
31-07-2018,110
01-08-2018,79
02-08-2018,85
03-08-2018,72
04-08-2018,115
05-08-2018,131
06-08-2018,141
07-08-2018,97
08-08-2018,100
09-08-2018,107
10-08-2018,109
11-08-2018,107
12-08-2018,108
13-08-2018,113
14-08-2018,125
15-08-2018,119
16-08-2018,86
17-08-2018,95
18-08-2018,141
19-08-2018,169
20-08-2018,114
21-08-2018,167
22-08-2018,93
23-08-2018,113
24-08-2018,120
25-08-2018,133
26-08-2018,154
27-08-2018,90
28-08-2018,116
29-08-2018,97
30-08-2018,116
31-08-2018,127
01-09-2018,130
02-09-2018,108
03-09-2018,61
04-09-2018,84
05-09-2018,106
06-09-2018,81
