Date,AQI
25-01-2023,99
26-01-2023,144
27-01-2023,178
28-01-2023,188
29-01-2023,198
30-01-2023,156
31-01-2023,132
01-02-2023,159
02-02-2023,158
03-02-2023,228
04-02-2023,206
05-02-2023,189
06-02-2023,134
07-02-2023,157
09-02-2023,159
10-02-2023,191
11-02-2023,190
12-02-2023,223
13-02-2023,170
14-02-2023,196
15-02-2023,216
16-02-2023,207
17-02-2023,176
18-02-2023,94
19-02-2023,67
20-02-2023,68
21-02-2023,154
22-02-2023,184
23-02-2023,84
24-02-2023,68
25-02-2023,65
28-02-2023,78
01-03-2023,62
02-03-2023,76
03-03-2023,145
04-03-2023,141
05-03-2023,108
06-03-2023,106
07-03-2023,105
08-03-2023,93
09-03-2023,87
10-03-2023,81
11-03-2023,117
12-03-2023,111
13-03-2023,56
14-03-2023,82
17-03-2023,147
19-03-2023,72
20-03-2023,91
21-03-2023,131
22-03-2023,199
25-03-2023,103
01-04-2023,126
02-04-2023,129
03-04-2023,80
04-04-2023,120
05-04-2023,70
06-04-2023,95
07-04-2023,105
11-04-2023,62
12-04-2023,75
18-04-2023,102
19-04-2023,75
26-04-2023,39
27-04-2023,46
29-04-2023,36
30-04-2023,34
01-05-2023,45
02-05-2023,31
03-05-2023,44
08-05-2023,59
09-05-2023,62
10-05-2023,57
11-05-2023,74
12-05-2023,57
13-05-2023,54
14-05-2023,45
15-05-2023,53
16-05-2023,57
17-05-2023,71
18-05-2023,70
19-05-2023,83
20-05-2023,53
21-05-2023,75
22-05-2023,70
23-05-2023,75
24-05-2023,62
25-05-2023,53
26-05-2023,49
27-05-2023,48
28-05-2023,55
29-05-2023,66
30-05-2023,64
31-05-2023,61
01-06-2023,56
02-06-2023,71
03-06-2023,52
04-06-2023,29
05-06-2023,57
06-06-2023,35
07-06-2023,32
08-06-2023,56
09-06-2023,43
10-06-2023,36
11-06-2023,34
12-06-2023,30
13-06-2023,31
14-06-2023,31
15-06-2023,32
16-06-2023,34
17-06-2023,35
18-06-2023,40
19-06-2023,41
20-06-2023,54
21-06-2023,46
22-06-2023,51
23-06-2023,42
24-06-2023,38
25-06-2023,31
26-06-2023,31
27-06-2023,31
28-06-2023,36
29-06-2023,32
30-06-2023,30
01-07-2023,32
02-07-2023,38
03-07-2023,29
04-07-2023,32
05-07-2023,31
06-07-2023,33
07-07-2023,29
08-07-2023,32
09-07-2023,29
10-07-2023,29
11-07-2023,32
12-07-2023,39
13-07-2023,36
14-07-2023,37
15-07-2023,28
16-07-2023,33
17-07-2023,28
18-07-2023,37
23-07-2023,31
24-07-2023,28
03-08-2023,28
04-08-2023,27
05-08-2023,26
06-08-2023,30
07-08-2023,30
08-08-2023,29
09-08-2023,33
11-08-2023,77
12-08-2023,98
25-08-2023,23
26-08-2023,40
27-08-2023,31
28-08-2023,28
29-08-2023,30
30-08-2023,35
31-08-2023,41
01-09-2023,36
02-09-2023,33
04-09-2023,35
05-09-2023,32
06-09-2023,36
07-09-2023,47
08-09-2023,29
09-09-2023,29
10-09-2023,30
11-09-2023,25
12-09-2023,24
14-09-2023,50
15-09-2023,32
16-09-2023,49
20-09-2023,27
21-09-2023,47
22-09-2023,38
23-09-2023,46
24-09-2023,51
25-09-2023,60
26-09-2023,49
27-09-2023,32
28-09-2023,32
29-09-2023,25
30-09-2023,40
01-10-2023,35
02-10-2023,38
03-10-2023,61
04-10-2023,79
05-10-2023,69
06-10-2023,53
07-10-2023,45
08-10-2023,65
09-10-2023,66
10-10-2023,72
11-10-2023,70
12-10-2023,66
13-10-2023,49
14-10-2023,57
15-10-2023,87
16-10-2023,98
17-10-2023,82
18-10-2023,48
20-10-2023,95
21-10-2023,97
22-10-2023,78
23-10-2023,54
24-10-2023,57
25-10-2023,55
26-10-2023,61
29-10-2023,45
30-10-2023,55
31-10-2023,69
01-11-2023,72
02-11-2023,54
03-11-2023,30
04-11-2023,29
05-11-2023,28
06-11-2023,26
07-11-2023,26
08-11-2023,29
09-11-2023,69
10-11-2023,78
11-11-2023,65
12-11-2023,61
13-11-2023,174
14-11-2023,135
15-11-2023,115
16-11-2023,83
17-11-2023,66
18-11-2023,44
19-11-2023,38
20-11-2023,39
21-11-2023,41
22-11-2023,26
24-11-2023,24
25-11-2023,31
26-11-2023,55
27-11-2023,60
28-11-2023,30
29-11-2023,33
30-11-2023,19
01-12-2023,31
02-12-2023,78
03-12-2023,61
04-12-2023,36
05-12-2023,50
06-12-2023,38
07-12-2023,50
08-12-2023,49
09-12-2023,52
10-12-2023,50
12-12-2023,48
13-12-2023,62
14-12-2023,57
15-12-2023,77
16-12-2023,79
17-12-2023,85
18-12-2023,71
19-12-2023,92
20-12-2023,81
21-12-2023,73
22-12-2023,118
23-12-2023,63
24-12-2023,59
25-12-2023,86
26-12-2023,71
27-12-2023,60
28-12-2023,66
29-12-2023,45
30-12-2023,55
