Date,AQI
19-02-2019,73
20-02-2019,212
21-02-2019,72
22-02-2019,118
23-02-2019,76
24-02-2019,80
25-02-2019,140
26-02-2019,103
27-02-2019,82
28-02-2019,108
01-03-2019,108
02-03-2019,118
03-03-2019,91
04-03-2019,80
05-03-2019,74
06-03-2019,81
07-03-2019,110
08-03-2019,101
09-03-2019,115
10-03-2019,109
11-03-2019,116
12-03-2019,81
13-03-2019,136
14-03-2019,128
15-03-2019,75
16-03-2019,81
17-03-2019,99
18-03-2019,112
19-03-2019,148
20-03-2019,145
21-03-2019,131
22-03-2019,65
23-03-2019,72
24-03-2019,73
25-03-2019,88
26-03-2019,119
27-03-2019,100
28-03-2019,139
29-03-2019,144
30-03-2019,154
31-03-2019,135
01-04-2019,113
02-04-2019,126
03-04-2019,102
04-04-2019,151
05-04-2019,175
06-04-2019,154
07-04-2019,222
08-04-2019,401
09-04-2019,159
10-04-2019,136
11-04-2019,116
12-04-2019,159
13-04-2019,107
14-04-2019,76
15-04-2019,88
16-04-2019,92
17-04-2019,92
18-04-2019,60
19-04-2019,72
20-04-2019,116
21-04-2019,140
22-04-2019,120
23-04-2019,127
24-04-2019,183
25-04-2019,160
26-04-2019,164
27-04-2019,127
28-04-2019,144
29-04-2019,155
30-04-2019,194
01-05-2019,215
02-05-2019,189
03-05-2019,77
04-05-2019,110
05-05-2019,173
06-05-2019,230
07-05-2019,167
08-05-2019,194
09-05-2019,238
10-05-2019,229
11-05-2019,138
12-05-2019,278
13-05-2019,201
14-05-2019,120
15-05-2019,116
16-05-2019,208
17-05-2019,245
18-05-2019,131
19-05-2019,126
20-05-2019,168
21-05-2019,155
22-05-2019,152
23-05-2019,193
24-05-2019,104
25-05-2019,64
26-05-2019,75
27-05-2019,97
28-05-2019,89
29-05-2019,99
30-05-2019,171
31-05-2019,169
01-06-2019,161
02-06-2019,157
03-06-2019,166
04-06-2019,190
05-06-2019,136
06-06-2019,138
07-06-2019,115
08-06-2019,161
09-06-2019,119
10-06-2019,126
12-06-2019,158
13-06-2019,181
14-06-2019,177
15-06-2019,131
17-06-2019,95
18-06-2019,71
19-06-2019,122
20-06-2019,148
21-06-2019,98
22-06-2019,102
23-06-2019,100
24-06-2019,77
25-06-2019,66
26-06-2019,101
27-06-2019,217
28-06-2019,171
29-06-2019,275
30-06-2019,178
01-07-2019,159
02-07-2019,136
03-07-2019,115
04-07-2019,81
05-07-2019,51
06-07-2019,98
07-07-2019,81
08-07-2019,96
09-07-2019,116
10-07-2019,93
11-07-2019,340
12-07-2019,150
13-07-2019,302
14-07-2019,197
15-07-2019,58
16-07-2019,72
17-07-2019,65
18-07-2019,76
19-07-2019,71
20-07-2019,87
21-07-2019,77
22-07-2019,82
23-07-2019,114
24-07-2019,114
25-07-2019,57
26-07-2019,66
27-07-2019,43
28-07-2019,52
29-07-2019,62
30-07-2019,69
31-07-2019,48
01-08-2019,57
02-08-2019,65
03-08-2019,46
04-08-2019,52
05-08-2019,72
06-08-2019,83
07-08-2019,46
08-08-2019,51
09-08-2019,56
10-08-2019,61
11-08-2019,55
12-08-2019,63
13-08-2019,46
14-08-2019,54
15-08-2019,60
16-08-2019,42
17-08-2019,80
18-08-2019,33
19-08-2019,46
20-08-2019,65
21-08-2019,74
22-08-2019,125
23-08-2019,109
24-08-2019,103
25-08-2019,70
26-08-2019,40
27-08-2019,49
28-08-2019,58
29-08-2019,71
30-08-2019,61
31-08-2019,92
01-09-2019,88
02-09-2019,52
03-09-2019,71
04-09-2019,94
05-09-2019,51
06-09-2019,48
07-09-2019,77
08-09-2019,81
09-09-2019,103
10-09-2019,116
11-09-2019,116
12-09-2019,115
13-09-2019,77
14-09-2019,66
15-09-2019,51
16-09-2019,57
17-09-2019,82
18-09-2019,109
19-09-2019,72
20-09-2019,65
21-09-2019,67
22-09-2019,83
23-09-2019,66
24-09-2019,79
25-09-2019,70
26-09-2019,76
27-09-2019,60
28-09-2019,55
29-09-2019,79
30-09-2019,83
01-10-2019,78
02-10-2019,88
03-10-2019,99
04-10-2019,65
05-10-2019,55
06-10-2019,72
07-10-2019,99
08-10-2019,75
09-10-2019,105
10-10-2019,143
11-10-2019,121
12-10-2019,148
13-10-2019,161
14-10-2019,144
15-10-2019,171
16-10-2019,271
17-10-2019,200
18-10-2019,144
19-10-2019,144
20-10-2019,119
21-10-2019,119
22-10-2019,115
23-10-2019,220
24-10-2019,246
25-10-2019,272
26-10-2019,240
27-10-2019,343
28-10-2019,319
29-10-2019,384
30-10-2019,423
31-10-2019,463
01-11-2019,446
02-11-2019,408
03-11-2019,467
04-11-2019,355
05-11-2019,307
06-11-2019,329
07-11-2019,116
08-11-2019,103
09-11-2019,154
10-11-2019,263
11-11-2019,320
12-11-2019,325
13-11-2019,313
14-11-2019,261
15-11-2019,288
16-11-2019,133
17-11-2019,66
18-11-2019,86
19-11-2019,112
20-11-2019,237
21-11-2019,212
22-11-2019,167
23-11-2019,113
24-11-2019,97
25-11-2019,92
26-11-2019,104
27-11-2019,40
28-11-2019,59
29-11-2019,57
30-11-2019,103
01-12-2019,124
02-12-2019,133
03-12-2019,133
04-12-2019,202
05-12-2019,232
06-12-2019,204
07-12-2019,156
08-12-2019,211
09-12-2019,217
10-12-2019,212
11-12-2019,320
12-12-2019,290
13-12-2019,95
14-12-2019,77
15-12-2019,78
16-12-2019,69
17-12-2019,77
18-12-2019,93
19-12-2019,123
20-12-2019,203
21-12-2019,188
22-12-2019,125
23-12-2019,102
24-12-2019,156
25-12-2019,119
26-12-2019,140
27-12-2019,176
28-12-2019,207
29-12-2019,187
30-12-2019,121
31-12-2019,234
01-01-2020,211
02-01-2020,159
03-01-2020,146
04-01-2020,149
05-01-2020,136
06-01-2020,111
07-01-2020,49
08-01-2020,59
09-01-2020,50
11-01-2020,127
12-01-2020,125
13-01-2020,180
14-01-2020,96
15-01-2020,89
16-01-2020,94
17-01-2020,84
18-01-2020,103
19-01-2020,93
20-01-2020,101
21-01-2020,161
22-01-2020,135
23-01-2020,100
24-01-2020,86
25-01-2020,106
26-01-2020,187
27-01-2020,130
28-01-2020,121
29-01-2020,126
30-01-2020,88
31-01-2020,67
01-02-2020,118
02-02-2020,77
03-02-2020,91
04-02-2020,186
05-02-2020,143
06-02-2020,106
07-02-2020,153
08-02-2020,108
09-02-2020,125
10-02-2020,109
11-02-2020,192
12-02-2020,133
13-02-2020,118
14-02-2020,107
15-02-2020,99
16-02-2020,95
17-02-2020,100
18-02-2020,98
19-02-2020,123
20-02-2020,152
21-02-2020,90
22-02-2020,63
23-02-2020,78
24-02-2020,73
25-02-2020,95
26-02-2020,117
27-02-2020,128
28-02-2020,130
29-02-2020,111
01-03-2020,66
02-03-2020,90
03-03-2020,103
04-03-2020,126
05-03-2020,65
06-03-2020,47
07-03-2020,33
08-03-2020,70
09-03-2020,62
10-03-2020,106
11-03-2020,100
12-03-2020,60
13-03-2020,76
14-03-2020,74
15-03-2020,41
16-03-2020,72
17-03-2020,88
18-03-2020,91
19-03-2020,101
20-03-2020,142
21-03-2020,116
22-03-2020,83
23-03-2020,68
24-03-2020,83
25-03-2020,59
26-03-2020,49
27-03-2020,46
28-03-2020,32
29-03-2020,35
30-03-2020,46
31-03-2020,44
01-04-2020,48
02-04-2020,45
03-04-2020,42
04-04-2020,46
05-04-2020,58
06-04-2020,80
07-04-2020,58
08-04-2020,50
09-04-2020,48
10-04-2020,60
11-04-2020,60
12-04-2020,54
13-04-2020,62
14-04-2020,79
15-04-2020,134
16-04-2020,111
17-04-2020,67
18-04-2020,51
19-04-2020,51
20-04-2020,99
21-04-2020,50
22-04-2020,80
23-04-2020,110
24-04-2020,122
25-04-2020,138
27-04-2020,43
28-04-2020,48
29-04-2020,96
30-04-2020,131
01-05-2020,125
02-05-2020,127
03-05-2020,91
04-05-2020,42
05-05-2020,90
06-05-2020,127
07-05-2020,86
08-05-2020,115
09-05-2020,151
10-05-2020,125
11-05-2020,47
12-05-2020,61
13-05-2020,109
14-05-2020,156
15-05-2020,81
16-05-2020,118
17-05-2020,163
18-05-2020,149
19-05-2020,134
20-05-2020,112
21-05-2020,125
22-05-2020,144
23-05-2020,193
24-05-2020,140
25-05-2020,127
26-05-2020,132
27-05-2020,115
28-05-2020,188
30-05-2020,198
31-05-2020,110
02-06-2020,94
03-06-2020,128
04-06-2020,108
05-06-2020,85
06-06-2020,86
07-06-2020,73
08-06-2020,83
09-06-2020,119
10-06-2020,132
12-06-2020,167
13-06-2020,143
14-06-2020,166
15-06-2020,187
16-06-2020,184
17-06-2020,153
18-06-2020,192
19-06-2020,134
20-06-2020,204
21-06-2020,130
22-06-2020,86
23-06-2020,72
24-06-2020,64
25-06-2020,65
26-06-2020,64
27-06-2020,99
28-06-2020,166
29-06-2020,192
30-06-2020,118
01-07-2020,125
02-07-2020,134
03-07-2020,145
04-07-2020,108
05-07-2020,62
06-07-2020,41
07-07-2020,56
08-07-2020,35
09-07-2020,55
10-07-2020,59
11-07-2020,68
12-07-2020,63
13-07-2020,48
15-07-2020,78
16-07-2020,66
17-07-2020,60
18-07-2020,68
19-07-2020,46
20-07-2020,51
21-07-2020,39
22-07-2020,31
23-07-2020,72
24-07-2020,97
25-07-2020,65
26-07-2020,62
27-07-2020,66
28-07-2020,82
29-07-2020,85
30-07-2020,46
31-07-2020,54
01-08-2020,78
02-08-2020,63
03-08-2020,54
04-08-2020,72
05-08-2020,62
06-08-2020,45
07-08-2020,39
08-08-2020,53
09-08-2020,53
10-08-2020,56
11-08-2020,74
12-08-2020,48
13-08-2020,52
14-08-2020,35
15-08-2020,44
16-08-2020,55
17-08-2020,46
18-08-2020,46
19-08-2020,45
20-08-2020,34
21-08-2020,27
22-08-2020,29
24-08-2020,39
25-08-2020,43
26-08-2020,50
27-08-2020,38
28-08-2020,38
29-08-2020,37
30-08-2020,58
31-08-2020,36
01-09-2020,47
02-09-2020,42
03-09-2020,59
04-09-2020,54
05-09-2020,53
06-09-2020,35
07-09-2020,44
