Date,AQI
02-08-2018,91
27-12-2018,206
28-12-2018,128
29-12-2018,137
30-12-2018,154
31-12-2018,138
01-01-2019,168
02-01-2019,198
03-01-2019,182
04-01-2019,180
05-01-2019,306
06-01-2019,231
07-01-2019,202
08-01-2019,186
09-01-2019,216
10-01-2019,223
11-01-2019,206
12-01-2019,196
13-01-2019,152
14-01-2019,141
15-01-2019,157
16-01-2019,203
17-01-2019,195
18-01-2019,163
19-01-2019,187
20-01-2019,174
21-01-2019,104
22-01-2019,101
24-01-2019,140
25-01-2019,112
26-01-2019,128
27-01-2019,97
28-01-2019,124
29-01-2019,133
30-01-2019,103
31-01-2019,135
01-02-2019,103
02-02-2019,106
03-02-2019,128
04-02-2019,102
05-02-2019,99
07-02-2019,102
08-02-2019,124
09-02-2019,160
10-02-2019,149
11-02-2019,156
12-02-2019,103
13-02-2019,107
14-02-2019,109
19-02-2019,155
20-02-2019,94
21-02-2019,83
22-02-2019,114
23-02-2019,126
24-02-2019,130
25-02-2019,129
26-02-2019,121
27-02-2019,129
28-02-2019,130
01-03-2019,134
02-03-2019,124
10-03-2019,137
11-03-2019,137
14-03-2019,139
15-03-2019,156
16-03-2019,109
17-03-2019,118
18-03-2019,184
19-03-2019,152
20-03-2019,204
21-03-2019,160
22-03-2019,120
23-03-2019,125
24-03-2019,144
25-03-2019,107
29-03-2019,131
30-03-2019,121
05-04-2019,71
06-04-2019,79
07-04-2019,74
08-04-2019,124
09-04-2019,108
10-04-2019,95
11-04-2019,90
12-04-2019,98
13-04-2019,75
14-04-2019,87
15-04-2019,106
16-04-2019,84
20-04-2019,75
21-04-2019,83
22-04-2019,101
23-04-2019,84
24-04-2019,93
25-04-2019,87
26-04-2019,112
27-04-2019,117
28-04-2019,125
29-04-2019,114
30-04-2019,131
01-05-2019,111
02-05-2019,124
03-05-2019,140
04-05-2019,121
05-05-2019,120
06-05-2019,119
09-05-2019,108
10-05-2019,105
11-05-2019,105
12-05-2019,93
14-05-2019,109
18-05-2019,135
19-05-2019,143
20-05-2019,193
21-05-2019,127
05-06-2019,78
