Date,AQI
27-06-2019,63
28-06-2019,65
29-06-2019,51
30-06-2019,51
01-07-2019,64
02-07-2019,47
04-07-2019,63
05-07-2019,55
06-07-2019,62
10-07-2019,43
12-07-2019,47
13-07-2019,56
14-07-2019,40
16-07-2019,73
17-07-2019,77
18-07-2019,75
19-07-2019,88
20-07-2019,76
21-07-2019,63
23-07-2019,45
24-07-2019,52
25-07-2019,54
26-07-2019,66
27-07-2019,57
28-07-2019,44
29-07-2019,54
30-07-2019,41
31-07-2019,55
01-08-2019,40
02-08-2019,37
03-08-2019,44
06-08-2019,48
07-08-2019,43
08-08-2019,72
09-08-2019,63
10-08-2019,63
11-08-2019,66
12-08-2019,74
13-08-2019,59
14-08-2019,58
15-08-2019,67
16-08-2019,50
17-08-2019,73
20-08-2019,111
21-08-2019,94
22-08-2019,53
23-08-2019,85
24-08-2019,64
25-08-2019,53
26-08-2019,60
27-08-2019,87
28-08-2019,58
29-08-2019,95
30-08-2019,73
31-08-2019,73
01-09-2019,71
02-09-2019,71
03-09-2019,70
05-09-2019,71
06-09-2019,71
08-09-2019,102
10-09-2019,99
11-09-2019,57
12-09-2019,55
13-09-2019,39
14-09-2019,59
15-09-2019,37
16-09-2019,66
17-09-2019,46
18-09-2019,49
19-09-2019,71
20-09-2019,72
21-09-2019,96
22-09-2019,104
23-09-2019,108
24-09-2019,141
25-09-2019,62
26-09-2019,95
27-09-2019,46
28-09-2019,97
29-09-2019,101
30-09-2019,94
01-10-2019,82
02-10-2019,96
03-10-2019,85
04-10-2019,93
05-10-2019,53
06-10-2019,249
07-10-2019,91
08-10-2019,99
09-10-2019,86
11-10-2019,90
12-10-2019,103
14-10-2019,107
15-10-2019,117
16-10-2019,118
17-10-2019,128
19-10-2019,56
20-10-2019,52
21-10-2019,45
22-10-2019,63
23-10-2019,67
24-10-2019,60
25-10-2019,53
26-10-2019,58
27-10-2019,88
28-10-2019,174
29-10-2019,148
30-10-2019,91
31-10-2019,87
01-11-2019,85
02-11-2019,47
03-11-2019,83
04-11-2019,76
05-11-2019,87
06-11-2019,109
07-11-2019,118
08-11-2019,65
09-11-2019,87
10-11-2019,118
11-11-2019,116
12-11-2019,122
13-11-2019,149
14-11-2019,133
15-11-2019,156
16-11-2019,152
17-11-2019,133
18-11-2019,125
19-11-2019,184
20-11-2019,191
21-11-2019,177
22-11-2019,210
23-11-2019,191
24-11-2019,164
26-11-2019,175
27-11-2019,192
28-11-2019,160
29-11-2019,165
30-11-2019,144
01-12-2019,150
02-12-2019,138
03-12-2019,134
04-12-2019,133
05-12-2019,117
06-12-2019,151
07-12-2019,135
08-12-2019,189
10-12-2019,153
11-12-2019,178
12-12-2019,177
13-12-2019,178
14-12-2019,128
15-12-2019,139
16-12-2019,161
17-12-2019,152
18-12-2019,170
19-12-2019,179
20-12-2019,173
21-12-2019,195
24-12-2019,211
25-12-2019,224
27-12-2019,158
28-12-2019,155
29-12-2019,143
30-12-2019,169
31-12-2019,201
01-01-2020,201
02-01-2020,225
03-01-2020,186
