Date,AQI
27-10-2022,55
28-10-2022,55
29-10-2022,55
30-10-2022,55
31-10-2022,64
01-11-2022,56
02-11-2022,56
03-11-2022,55
06-11-2022,56
07-11-2022,65
09-11-2022,64
10-11-2022,56
11-11-2022,56
16-11-2022,85
17-11-2022,85
18-11-2022,92
19-11-2022,82
22-11-2022,58
24-11-2022,58
25-11-2022,58
26-11-2022,57
27-11-2022,58
28-11-2022,68
29-11-2022,90
30-11-2022,72
01-12-2022,70
02-12-2022,56
03-12-2022,56
04-12-2022,56
05-12-2022,73
06-12-2022,105
07-12-2022,114
08-12-2022,100
13-12-2022,57
14-12-2022,58
16-12-2022,58
17-12-2022,69
18-12-2022,88
20-12-2022,65
21-12-2022,75
22-12-2022,80
23-12-2022,97
24-12-2022,104
25-12-2022,58
26-12-2022,58
28-12-2022,57
29-12-2022,58
03-01-2023,67
04-01-2023,66
05-01-2023,71
07-01-2023,70
10-01-2023,67
12-01-2023,70
13-01-2023,86
19-01-2023,76
20-01-2023,76
22-01-2023,78
23-01-2023,68
24-01-2023,53
25-01-2023,61
26-01-2023,96
27-01-2023,87
28-01-2023,67
29-01-2023,86
30-01-2023,68
01-02-2023,69
02-02-2023,54
03-02-2023,72
04-02-2023,74
05-02-2023,86
06-02-2023,80
07-02-2023,86
08-02-2023,84
09-02-2023,88
10-02-2023,69
11-02-2023,84
12-02-2023,108
13-02-2023,99
14-02-2023,101
16-02-2023,102
17-02-2023,102
18-02-2023,91
19-02-2023,49
20-02-2023,46
21-02-2023,65
22-02-2023,102
23-02-2023,92
01-03-2023,74
03-03-2023,106
05-03-2023,79
06-03-2023,74
07-03-2023,103
08-03-2023,78
09-03-2023,80
10-03-2023,73
12-03-2023,76
13-03-2023,66
14-03-2023,83
15-03-2023,84
16-03-2023,62
17-03-2023,50
18-03-2023,45
19-03-2023,26
21-03-2023,31
22-03-2023,33
23-03-2023,32
24-03-2023,33
25-03-2023,26
26-03-2023,36
27-03-2023,32
28-03-2023,39
29-03-2023,46
30-03-2023,54
01-04-2023,44
02-04-2023,36
03-04-2023,33
04-04-2023,31
05-04-2023,34
06-04-2023,37
07-04-2023,31
08-04-2023,42
09-04-2023,52
10-04-2023,42
11-04-2023,54
12-04-2023,81
13-04-2023,95
18-04-2023,75
19-04-2023,60
20-04-2023,57
21-04-2023,59
22-04-2023,68
23-04-2023,66
25-04-2023,34
26-04-2023,46
27-04-2023,75
28-04-2023,54
29-04-2023,41
30-04-2023,32
02-05-2023,19
03-05-2023,21
05-05-2023,31
10-05-2023,56
11-05-2023,71
12-05-2023,71
13-05-2023,74
14-05-2023,55
15-05-2023,233
16-05-2023,71
21-05-2023,47
22-05-2023,320
24-05-2023,44
25-05-2023,46
27-05-2023,43
28-05-2023,49
30-05-2023,60
01-06-2023,56
04-06-2023,65
06-06-2023,34
07-06-2023,40
08-06-2023,34
09-06-2023,30
11-06-2023,19
12-06-2023,28
15-06-2023,57
16-06-2023,62
21-06-2023,22
24-06-2023,39
25-06-2023,42
26-06-2023,45
27-06-2023,37
28-06-2023,25
29-06-2023,29
01-07-2023,34
02-07-2023,30
03-07-2023,32
04-07-2023,19
05-07-2023,19
06-07-2023,19
07-07-2023,21
11-07-2023,27
12-07-2023,31
13-07-2023,31
16-07-2023,31
17-07-2023,40
18-07-2023,68
21-07-2023,60
22-07-2023,56
23-07-2023,55
24-07-2023,22
28-07-2023,32
01-08-2023,49
02-08-2023,46
03-08-2023,42
04-08-2023,49
07-08-2023,41
09-08-2023,31
12-08-2023,29
15-08-2023,51
16-08-2023,54
17-08-2023,54
19-08-2023,39
20-08-2023,32
21-08-2023,39
22-08-2023,47
24-08-2023,45
26-08-2023,45
30-08-2023,27
31-08-2023,19
02-09-2023,25
05-09-2023,33
06-09-2023,66
07-09-2023,13
04-10-2023,38
06-10-2023,55
07-10-2023,62
08-10-2023,43
09-10-2023,35
10-10-2023,35
13-10-2023,75
15-10-2023,47
17-10-2023,48
18-10-2023,71
19-10-2023,90
01-11-2023,48
03-11-2023,19
04-11-2023,17
08-11-2023,24
10-11-2023,60
11-11-2023,77
22-11-2023,21
28-11-2023,20
29-11-2023,17
30-11-2023,26
01-12-2023,20
02-12-2023,49
08-12-2023,53
09-12-2023,52
10-12-2023,44
11-12-2023,44
12-12-2023,50
13-12-2023,71
14-12-2023,73
15-12-2023,81
16-12-2023,47
17-12-2023,61
18-12-2023,127
20-12-2023,79
21-12-2023,113
26-12-2023,60
27-12-2023,70
28-12-2023,56
