Date,AQI
11-02-2020,80
12-02-2020,99
13-02-2020,115
14-02-2020,130
15-02-2020,126
16-02-2020,144
17-02-2020,138
18-02-2020,159
19-02-2020,128
20-02-2020,136
21-02-2020,140
22-02-2020,147
23-02-2020,132
24-02-2020,124
25-02-2020,145
26-02-2020,106
27-02-2020,100
28-02-2020,101
29-02-2020,87
01-03-2020,90
02-03-2020,76
03-03-2020,71
04-03-2020,87
05-03-2020,88
06-03-2020,68
14-03-2020,77
15-03-2020,74
16-03-2020,76
17-03-2020,86
18-03-2020,85
19-03-2020,83
20-03-2020,75
21-03-2020,60
22-03-2020,69
23-03-2020,66
24-03-2020,75
25-03-2020,66
26-03-2020,57
27-03-2020,68
28-03-2020,78
29-03-2020,70
30-03-2020,71
09-04-2020,48
10-04-2020,55
11-04-2020,46
14-04-2020,68
15-04-2020,70
16-04-2020,66
17-04-2020,64
19-04-2020,61
20-04-2020,66
21-04-2020,59
22-04-2020,56
23-04-2020,42
24-04-2020,50
25-04-2020,66
26-04-2020,59
27-04-2020,36
28-04-2020,53
29-04-2020,52
30-04-2020,60
01-05-2020,42
02-05-2020,43
03-05-2020,39
04-05-2020,45
07-05-2020,39
08-05-2020,33
09-05-2020,37
10-05-2020,50
11-05-2020,53
12-05-2020,49
13-05-2020,65
14-05-2020,66
15-05-2020,55
16-05-2020,34
17-05-2020,38
18-05-2020,51
19-05-2020,62
20-05-2020,61
21-05-2020,50
22-05-2020,36
23-05-2020,49
24-05-2020,48
25-05-2020,47
26-05-2020,48
27-05-2020,56
28-05-2020,48
29-05-2020,46
30-05-2020,41
03-06-2020,21
04-06-2020,24
05-06-2020,31
06-06-2020,23
07-06-2020,22
08-06-2020,31
09-06-2020,38
10-06-2020,40
11-06-2020,30
12-06-2020,33
13-06-2020,37
14-06-2020,28
15-06-2020,35
16-06-2020,32
17-06-2020,37
18-06-2020,37
19-06-2020,34
20-06-2020,32
21-06-2020,24
22-06-2020,19
23-06-2020,30
24-06-2020,31
25-06-2020,28
28-06-2020,21
29-06-2020,29
30-06-2020,23
01-07-2020,25
02-07-2020,24
03-07-2020,23
04-07-2020,30
05-07-2020,31
07-07-2020,29
08-07-2020,41
09-07-2020,33
10-07-2020,29
11-07-2020,26
12-07-2020,17
13-07-2020,22
14-07-2020,21
15-07-2020,34
16-07-2020,23
17-07-2020,41
18-07-2020,34
19-07-2020,30
20-07-2020,33
21-07-2020,26
22-07-2020,31
23-07-2020,31
24-07-2020,21
25-07-2020,17
26-07-2020,22
27-07-2020,30
28-07-2020,27
29-07-2020,19
30-07-2020,22
31-07-2020,21
01-08-2020,16
02-08-2020,15
03-08-2020,23
04-08-2020,38
05-08-2020,41
08-08-2020,26
09-08-2020,23
10-08-2020,23
11-08-2020,24
12-08-2020,30
13-08-2020,37
14-08-2020,31
15-08-2020,30
16-08-2020,31
17-08-2020,30
18-08-2020,31
19-08-2020,30
20-08-2020,31
21-08-2020,31
