Date,AQI
01-05-2015,175
02-05-2015,81
03-05-2015,70
04-05-2015,75
05-05-2015,96
06-05-2015,149
07-05-2015,125
08-05-2015,203
09-05-2015,113
10-05-2015,86
11-05-2015,95
12-05-2015,91
13-05-2015,112
14-05-2015,103
15-05-2015,112
16-05-2015,70
17-05-2015,44
18-05-2015,264
19-05-2015,252
20-05-2015,106
21-05-2015,164
22-05-2015,90
23-05-2015,165
24-05-2015,124
25-05-2015,143
26-05-2015,209
27-05-2015,204
28-05-2015,166
29-05-2015,195
30-05-2015,250
31-05-2015,164
01-06-2015,138
03-06-2015,104
04-06-2015,129
05-06-2015,128
06-06-2015,126
07-06-2015,158
08-06-2015,180
09-06-2015,186
10-06-2015,114
11-06-2015,63
13-06-2015,67
14-06-2015,59
15-06-2015,165
16-06-2015,135
17-06-2015,114
18-06-2015,90
19-06-2015,161
20-06-2015,73
21-06-2015,67
22-06-2015,41
23-06-2015,57
24-06-2015,77
25-06-2015,54
26-06-2015,69
27-06-2015,78
28-06-2015,141
01-07-2015,73
02-07-2015,103
03-07-2015,72
04-07-2015,80
05-07-2015,118
06-07-2015,70
07-07-2015,67
08-07-2015,70
09-07-2015,65
10-07-2015,49
11-07-2015,47
12-07-2015,54
13-07-2015,68
14-07-2015,78
15-07-2015,63
16-07-2015,88
17-07-2015,61
18-07-2015,59
19-07-2015,71
20-07-2015,55
21-07-2015,48
22-07-2015,47
23-07-2015,48
24-07-2015,60
25-07-2015,60
26-07-2015,53
27-07-2015,73
28-07-2015,64
29-07-2015,64
30-07-2015,70
31-07-2015,68
01-08-2015,60
02-08-2015,56
03-08-2015,60
04-08-2015,57
05-08-2015,72
06-08-2015,48
07-08-2015,66
08-08-2015,78
09-08-2015,79
10-08-2015,85
11-08-2015,60
12-08-2015,62
13-08-2015,100
14-08-2015,61
15-08-2015,66
16-08-2015,65
17-08-2015,70
18-08-2015,88
19-08-2015,72
20-08-2015,73
21-08-2015,54
22-08-2015,57
23-08-2015,70
25-08-2015,77
26-08-2015,76
27-08-2015,93
29-08-2015,64
30-08-2015,93
31-08-2015,72
01-09-2015,73
02-09-2015,80
03-09-2015,97
04-09-2015,132
05-09-2015,123
06-09-2015,99
07-09-2015,76
09-09-2015,111
10-09-2015,105
11-09-2015,161
12-09-2015,184
13-09-2015,147
14-09-2015,95
15-09-2015,95
16-09-2015,93
17-09-2015,58
18-09-2015,84
19-09-2015,91
20-09-2015,108
21-09-2015,79
22-09-2015,93
23-09-2015,85
25-09-2015,85
26-09-2015,134
27-09-2015,131
28-09-2015,183
29-09-2015,178
30-09-2015,242
01-10-2015,262
02-10-2015,232
03-10-2015,188
04-10-2015,278
05-10-2015,327
06-10-2015,305
07-10-2015,353
08-10-2015,268
09-10-2015,261
10-10-2015,196
11-10-2015,180
12-10-2015,179
13-10-2015,205
14-10-2015,276
15-10-2015,121
16-10-2015,88
17-10-2015,112
18-10-2015,242
19-10-2015,328
20-10-2015,284
21-10-2015,335
23-10-2015,103
24-10-2015,327
25-10-2015,310
26-10-2015,373
27-10-2015,292
28-10-2015,293
29-10-2015,107
30-10-2015,144
31-10-2015,163
01-11-2015,249
02-11-2015,232
03-11-2015,246
04-11-2015,308
05-11-2015,312
07-11-2015,265
08-11-2015,265
09-11-2015,282
10-11-2015,333
11-11-2015,340
13-11-2015,299
14-11-2015,370
15-11-2015,376
16-11-2015,336
17-11-2015,280
18-11-2015,222
19-11-2015,285
21-11-2015,341
22-11-2015,328
23-11-2015,356
24-11-2015,374
25-11-2015,394
26-11-2015,311
27-11-2015,341
28-11-2015,348
29-11-2015,356
30-11-2015,334
01-12-2015,365
02-12-2015,73
03-12-2015,263
05-12-2015,412
07-12-2015,429
08-12-2015,431
09-12-2015,429
10-12-2015,382
11-12-2015,342
12-12-2015,387
13-12-2015,315
14-12-2015,358
15-12-2015,290
16-12-2015,340
17-12-2015,374
18-12-2015,356
19-12-2015,360
20-12-2015,399
21-12-2015,338
22-12-2015,404
23-12-2015,395
24-12-2015,382
25-12-2015,274
26-12-2015,301
27-12-2015,318
28-12-2015,324
29-12-2015,306
30-12-2015,289
31-12-2015,419
01-01-2016,414
02-01-2016,370
03-01-2016,406
04-01-2016,393
05-01-2016,455
06-01-2016,449
07-01-2016,397
08-01-2016,398
09-01-2016,320
10-01-2016,60
11-01-2016,358
12-01-2016,362
13-01-2016,380
14-01-2016,389
17-01-2016,321
18-01-2016,373
19-01-2016,397
21-01-2016,306
22-01-2016,351
23-01-2016,384
24-01-2016,382
25-01-2016,359
26-01-2016,334
27-01-2016,329
28-01-2016,364
29-01-2016,405
02-02-2016,196
03-02-2016,205
04-02-2016,225
05-02-2016,312
06-02-2016,378
10-02-2016,333
11-02-2016,315
12-02-2016,291
13-02-2016,252
14-02-2016,276
15-02-2016,277
16-02-2016,231
20-02-2016,305
21-02-2016,237
22-02-2016,183
23-02-2016,165
24-02-2016,222
25-02-2016,202
26-02-2016,269
27-02-2016,290
29-02-2016,310
01-03-2016,313
02-03-2016,307
03-03-2016,320
04-03-2016,325
05-03-2016,304
06-03-2016,123
07-03-2016,199
08-03-2016,110
09-03-2016,183
10-03-2016,182
11-03-2016,192
12-03-2016,152
13-03-2016,115
14-03-2016,76
15-03-2016,160
16-03-2016,127
17-03-2016,180
18-03-2016,159
19-03-2016,225
20-03-2016,185
21-03-2016,161
23-03-2016,123
24-03-2016,214
26-03-2016,202
31-03-2016,222
01-04-2016,222
02-04-2016,278
03-04-2016,282
04-04-2016,363
07-04-2016,229
08-04-2016,286
09-04-2016,132
11-04-2016,382
12-04-2016,132
13-04-2016,94
15-04-2016,51
16-04-2016,73
17-04-2016,67
19-04-2016,253
20-04-2016,161
21-04-2016,214
22-04-2016,133
23-04-2016,178
24-04-2016,138
27-04-2016,262
28-04-2016,322
29-04-2016,146
30-04-2016,301
01-05-2016,214
02-05-2016,215
03-05-2016,258
04-05-2016,214
05-05-2016,271
06-05-2016,251
07-05-2016,152
08-05-2016,257
11-05-2016,274
12-05-2016,170
13-05-2016,178
14-05-2016,294
15-05-2016,378
16-05-2016,289
26-05-2016,81
28-05-2016,456
30-05-2016,88
31-05-2016,286
01-06-2016,158
02-06-2016,180
03-06-2016,155
04-06-2016,195
07-06-2016,134
08-06-2016,83
09-06-2016,74
10-06-2016,83
11-06-2016,158
12-06-2016,105
13-06-2016,119
14-06-2016,134
15-06-2016,113
17-06-2016,140
18-06-2016,174
19-06-2016,126
20-06-2016,170
23-06-2016,73
24-06-2016,71
25-06-2016,61
26-06-2016,87
27-06-2016,147
28-06-2016,114
29-06-2016,164
30-06-2016,121
01-07-2016,77
02-07-2016,57
03-07-2016,66
05-07-2016,37
06-07-2016,51
07-07-2016,57
08-07-2016,53
09-07-2016,60
10-07-2016,51
11-07-2016,64
12-07-2016,64
13-07-2016,69
14-07-2016,60
15-07-2016,52
16-07-2016,56
17-07-2016,36
18-07-2016,51
19-07-2016,179
20-07-2016,128
25-07-2016,109
26-07-2016,85
27-07-2016,86
28-07-2016,62
29-07-2016,80
30-07-2016,103
31-07-2016,53
01-08-2016,50
02-08-2016,69
03-08-2016,54
05-08-2016,98
06-08-2016,71
07-08-2016,51
08-08-2016,53
09-08-2016,58
10-08-2016,89
11-08-2016,73
12-08-2016,82
13-08-2016,110
14-08-2016,65
16-08-2016,94
17-08-2016,88
18-08-2016,58
19-08-2016,82
20-08-2016,66
21-08-2016,64
22-08-2016,90
23-08-2016,99
24-08-2016,72
25-08-2016,112
26-08-2016,127
27-08-2016,115
28-08-2016,138
29-08-2016,221
30-08-2016,144
31-08-2016,56
01-09-2016,84
02-09-2016,87
03-09-2016,101
04-09-2016,123
05-09-2016,124
06-09-2016,124
07-09-2016,127
08-09-2016,178
09-09-2016,223
10-09-2016,135
11-09-2016,115
12-09-2016,154
13-09-2016,86
14-09-2016,60
15-09-2016,86
16-09-2016,104
17-09-2016,113
18-09-2016,86
19-09-2016,115
21-09-2016,129
22-09-2016,74
23-09-2016,112
25-09-2016,63
26-09-2016,65
27-09-2016,73
28-09-2016,160
29-09-2016,130
30-09-2016,83
01-10-2016,118
02-10-2016,100
03-10-2016,115
04-10-2016,129
05-10-2016,162
06-10-2016,67
10-10-2016,67
11-10-2016,181
12-10-2016,207
13-10-2016,185
14-10-2016,187
15-10-2016,252
16-10-2016,324
17-10-2016,267
18-10-2016,239
19-10-2016,310
20-10-2016,330
21-10-2016,313
22-10-2016,206
23-10-2016,205
24-10-2016,374
26-10-2016,371
27-10-2016,451
28-10-2016,451
29-10-2016,487
30-10-2016,480
31-10-2016,401
01-11-2016,380
02-11-2016,323
03-11-2016,238
04-11-2016,263
05-11-2016,232
06-11-2016,427
07-11-2016,423
08-11-2016,428
09-11-2016,383
10-11-2016,450
11-11-2016,481
12-11-2016,434
14-11-2016,359
15-11-2016,328
16-11-2016,310
18-11-2016,369
19-11-2016,414
22-11-2016,406
23-11-2016,443
24-11-2016,459
27-11-2016,399
28-11-2016,235
29-11-2016,323
30-11-2016,403
01-12-2016,457
02-12-2016,431
03-12-2016,379
04-12-2016,450
05-12-2016,492
06-12-2016,477
07-12-2016,487
08-12-2016,486
09-12-2016,422
10-12-2016,305
11-12-2016,385
12-12-2016,390
13-12-2016,367
14-12-2016,382
15-12-2016,319
16-12-2016,345
17-12-2016,344
18-12-2016,397
19-12-2016,369
20-12-2016,346
21-12-2016,292
22-12-2016,316
23-12-2016,414
24-12-2016,461
25-12-2016,433
26-12-2016,400
27-12-2016,373
28-12-2016,397
29-12-2016,392
30-12-2016,407
31-12-2016,364
01-01-2017,347
02-01-2017,328
03-01-2017,458
04-01-2017,447
05-01-2017,487
06-01-2017,497
07-01-2017,485
08-01-2017,488
09-01-2017,484
10-01-2017,457
11-01-2017,388
12-01-2017,332
13-01-2017,341
14-01-2017,397
15-01-2017,410
16-01-2017,449
17-01-2017,419
18-01-2017,358
19-01-2017,355
20-01-2017,350
21-01-2017,307
22-01-2017,345
23-01-2017,328
24-01-2017,333
25-01-2017,415
26-01-2017,358
27-01-2017,203
28-01-2017,149
29-01-2017,223
30-01-2017,337
31-01-2017,410
01-02-2017,394
02-02-2017,332
03-02-2017,355
04-02-2017,371
05-02-2017,376
06-02-2017,359
07-02-2017,277
08-02-2017,171
09-02-2017,310
10-02-2017,259
11-02-2017,265
12-02-2017,393
13-02-2017,289
14-02-2017,331
15-02-2017,348
16-02-2017,449
27-02-2017,320
28-02-2017,253
01-03-2017,260
02-03-2017,203
03-03-2017,126
04-03-2017,150
05-03-2017,240
06-03-2017,215
07-03-2017,342
08-03-2017,238
09-03-2017,319
10-03-2017,204
11-03-2017,133
12-03-2017,183
13-03-2017,202
14-03-2017,202
15-03-2017,213
16-03-2017,165
17-03-2017,207
18-03-2017,180
19-03-2017,258
20-03-2017,223
21-03-2017,236
22-03-2017,290
23-03-2017,291
24-03-2017,336
25-03-2017,195
26-03-2017,112
27-03-2017,134
28-03-2017,265
29-03-2017,231
30-03-2017,179
31-03-2017,215
02-04-2017,204
03-04-2017,161
04-04-2017,183
05-04-2017,202
06-04-2017,346
07-04-2017,397
08-04-2017,323
11-04-2017,132
12-04-2017,122
14-04-2017,168
15-04-2017,210
16-04-2017,123
17-04-2017,159
18-04-2017,155
19-04-2017,183
20-04-2017,204
21-04-2017,114
22-04-2017,155
23-04-2017,222
24-04-2017,112
25-04-2017,87
26-04-2017,119
27-04-2017,149
28-04-2017,177
29-04-2017,187
30-04-2017,164
01-05-2017,125
02-05-2017,137
03-05-2017,165
04-05-2017,111
05-05-2017,159
06-05-2017,282
07-05-2017,219
08-05-2017,299
09-05-2017,305
