Date,AQI
13-03-2023,56
14-03-2023,57
15-03-2023,49
16-03-2023,43
17-03-2023,62
18-03-2023,52
19-03-2023,55
20-03-2023,48
21-03-2023,51
22-03-2023,56
23-03-2023,51
24-03-2023,52
25-03-2023,45
26-03-2023,49
28-03-2023,53
29-03-2023,48
30-03-2023,50
31-03-2023,46
02-04-2023,44
03-04-2023,44
04-04-2023,45
05-04-2023,47
06-04-2023,47
07-04-2023,48
09-04-2023,39
11-04-2023,45
12-04-2023,49
13-04-2023,39
14-04-2023,61
15-04-2023,50
16-04-2023,38
17-04-2023,38
18-04-2023,36
19-04-2023,63
20-04-2023,71
21-04-2023,59
22-04-2023,51
23-04-2023,49
24-04-2023,30
25-04-2023,22
26-04-2023,36
27-04-2023,31
28-04-2023,82
29-04-2023,72
30-04-2023,73
01-05-2023,75
02-05-2023,88
03-05-2023,95
04-05-2023,101
05-05-2023,124
06-05-2023,122
07-05-2023,84
08-05-2023,94
09-05-2023,152
10-05-2023,178
11-05-2023,129
12-05-2023,130
13-05-2023,111
15-05-2023,80
16-05-2023,69
17-05-2023,62
18-05-2023,111
19-05-2023,135
20-05-2023,120
21-05-2023,80
22-05-2023,74
23-05-2023,71
24-05-2023,93
25-05-2023,106
27-05-2023,88
28-05-2023,76
29-05-2023,84
30-05-2023,93
31-05-2023,86
01-06-2023,72
02-06-2023,105
03-06-2023,101
04-06-2023,116
05-06-2023,131
06-06-2023,136
07-06-2023,166
08-06-2023,116
09-06-2023,92
10-06-2023,74
11-06-2023,87
12-06-2023,81
13-06-2023,93
14-06-2023,67
15-06-2023,70
16-06-2023,63
17-06-2023,61
18-06-2023,51
19-06-2023,39
20-06-2023,44
21-06-2023,67
22-06-2023,68
23-06-2023,70
24-06-2023,126
25-06-2023,60
27-06-2023,75
28-06-2023,196
29-06-2023,90
30-06-2023,69
01-07-2023,82
02-07-2023,84
03-07-2023,101
04-07-2023,57
05-07-2023,196
06-07-2023,173
07-07-2023,67
08-07-2023,34
09-07-2023,106
10-07-2023,64
11-07-2023,64
12-07-2023,167
13-07-2023,71
14-07-2023,66
15-07-2023,59
20-07-2023,73
21-07-2023,66
22-07-2023,67
24-07-2023,203
25-07-2023,66
27-07-2023,54
28-07-2023,89
29-07-2023,55
30-07-2023,53
31-07-2023,49
01-08-2023,66
02-08-2023,69
03-08-2023,97
04-08-2023,57
05-08-2023,43
06-08-2023,99
07-08-2023,51
08-08-2023,78
09-08-2023,82
10-08-2023,113
11-08-2023,113
12-08-2023,49
13-08-2023,56
14-08-2023,54
15-08-2023,57
16-08-2023,48
17-08-2023,45
18-08-2023,68
19-08-2023,54
20-08-2023,140
21-08-2023,69
22-08-2023,51
23-08-2023,45
24-08-2023,50
25-08-2023,43
26-08-2023,63
30-08-2023,46
01-09-2023,49
02-09-2023,52
03-09-2023,52
04-09-2023,59
05-09-2023,66
06-09-2023,55
07-09-2023,51
08-09-2023,46
09-09-2023,46
10-09-2023,49
11-09-2023,50
12-09-2023,48
13-09-2023,47
14-09-2023,40
15-09-2023,37
16-09-2023,44
17-09-2023,45
18-09-2023,59
20-09-2023,56
21-09-2023,50
22-09-2023,39
23-09-2023,42
24-09-2023,59
25-09-2023,51
26-09-2023,59
27-09-2023,54
28-09-2023,66
29-09-2023,58
30-09-2023,62
01-10-2023,65
02-10-2023,62
03-10-2023,57
04-10-2023,62
05-10-2023,69
06-10-2023,66
07-10-2023,62
08-10-2023,59
09-10-2023,62
10-10-2023,65
11-10-2023,68
12-10-2023,72
13-10-2023,64
14-10-2023,69
15-10-2023,60
16-10-2023,58
17-10-2023,48
18-10-2023,67
19-10-2023,53
20-10-2023,61
21-10-2023,60
22-10-2023,61
23-10-2023,78
24-10-2023,69
25-10-2023,66
26-10-2023,84
27-10-2023,62
28-10-2023,57
29-10-2023,61
31-10-2023,177
01-11-2023,155
02-11-2023,187
03-11-2023,155
04-11-2023,175
05-11-2023,152
06-11-2023,90
07-11-2023,157
08-11-2023,99
09-11-2023,101
10-11-2023,123
11-11-2023,73
12-11-2023,75
13-11-2023,90
14-11-2023,97
15-11-2023,134
16-11-2023,98
17-11-2023,123
18-11-2023,85
19-11-2023,91
20-11-2023,90
21-11-2023,119
22-11-2023,135
23-11-2023,158
24-11-2023,121
25-11-2023,134
26-11-2023,105
28-11-2023,44
29-11-2023,80
30-11-2023,85
01-12-2023,59
02-12-2023,73
03-12-2023,96
04-12-2023,66
05-12-2023,52
06-12-2023,67
07-12-2023,64
08-12-2023,101
09-12-2023,72
10-12-2023,79
12-12-2023,68
13-12-2023,66
14-12-2023,74
15-12-2023,62
16-12-2023,53
17-12-2023,61
18-12-2023,70
19-12-2023,60
20-12-2023,69
21-12-2023,84
22-12-2023,99
23-12-2023,114
24-12-2023,342
25-12-2023,322
26-12-2023,307
27-12-2023,291
28-12-2023,277
29-12-2023,318
30-12-2023,332
31-12-2023,312
