Date,AQI
28-01-2019,104
29-01-2019,126
30-01-2019,131
31-01-2019,247
01-02-2019,210
02-02-2019,183
03-02-2019,117
04-02-2019,139
05-02-2019,176
06-02-2019,287
07-02-2019,194
08-02-2019,76
09-02-2019,92
10-02-2019,103
12-02-2019,252
13-02-2019,217
14-02-2019,288
15-02-2019,83
16-02-2019,145
17-02-2019,85
18-02-2019,107
19-02-2019,89
20-02-2019,190
21-02-2019,73
22-02-2019,125
23-02-2019,76
24-02-2019,81
25-02-2019,122
26-02-2019,139
27-02-2019,57
28-02-2019,109
01-03-2019,111
02-03-2019,152
03-03-2019,99
04-03-2019,98
05-03-2019,75
06-03-2019,85
07-03-2019,98
08-03-2019,117
09-03-2019,121
10-03-2019,90
11-03-2019,147
12-03-2019,106
13-03-2019,165
14-03-2019,166
15-03-2019,80
16-03-2019,87
17-03-2019,99
18-03-2019,109
19-03-2019,122
20-03-2019,179
21-03-2019,131
22-03-2019,103
23-03-2019,111
24-03-2019,104
25-03-2019,113
26-03-2019,119
27-03-2019,114
28-03-2019,115
29-03-2019,136
30-03-2019,144
31-03-2019,153
01-04-2019,128
02-04-2019,150
03-04-2019,117
04-04-2019,168
05-04-2019,192
06-04-2019,208
08-04-2019,362
09-04-2019,152
10-04-2019,145
11-04-2019,182
12-04-2019,212
13-04-2019,178
14-04-2019,186
15-04-2019,261
16-04-2019,244
17-04-2019,158
18-04-2019,73
19-04-2019,95
20-04-2019,107
21-04-2019,148
22-04-2019,117
23-04-2019,168
24-04-2019,307
25-04-2019,318
26-04-2019,222
27-04-2019,242
28-04-2019,302
29-04-2019,303
30-04-2019,301
01-05-2019,272
02-05-2019,284
04-05-2019,163
05-05-2019,184
06-05-2019,271
07-05-2019,228
08-05-2019,266
09-05-2019,286
10-05-2019,317
11-05-2019,225
12-05-2019,339
13-05-2019,211
14-05-2019,195
15-05-2019,144
16-05-2019,249
17-05-2019,309
18-05-2019,134
19-05-2019,190
20-05-2019,270
21-05-2019,274
22-05-2019,223
23-05-2019,280
24-05-2019,140
25-05-2019,112
26-05-2019,130
27-05-2019,136
28-05-2019,153
29-05-2019,126
30-05-2019,204
31-05-2019,189
01-06-2019,241
02-06-2019,185
03-06-2019,178
04-06-2019,176
05-06-2019,170
06-06-2019,246
07-06-2019,146
08-06-2019,179
09-06-2019,189
10-06-2019,194
11-06-2019,225
12-06-2019,331
13-06-2019,259
14-06-2019,197
15-06-2019,271
16-06-2019,225
17-06-2019,132
18-06-2019,132
19-06-2019,260
20-06-2019,204
21-06-2019,224
22-06-2019,187
23-06-2019,108
24-06-2019,72
25-06-2019,53
26-06-2019,166
27-06-2019,184
28-06-2019,256
29-06-2019,249
30-06-2019,253
01-07-2019,229
02-07-2019,203
03-07-2019,167
04-07-2019,111
05-07-2019,58
06-07-2019,74
07-07-2019,60
08-07-2019,75
12-07-2019,136
13-07-2019,248
14-07-2019,148
15-07-2019,44
17-07-2019,53
18-07-2019,105
19-07-2019,106
20-07-2019,107
21-07-2019,96
22-07-2019,89
23-07-2019,92
24-07-2019,119
25-07-2019,88
26-07-2019,55
27-07-2019,36
28-07-2019,32
29-07-2019,35
31-07-2019,50
01-08-2019,58
02-08-2019,77
03-08-2019,45
04-08-2019,52
05-08-2019,69
06-08-2019,69
07-08-2019,89
08-08-2019,71
09-08-2019,98
10-08-2019,66
11-08-2019,65
12-08-2019,79
14-08-2019,59
15-08-2019,63
16-08-2019,41
17-08-2019,38
18-08-2019,37
19-08-2019,52
20-08-2019,82
22-08-2019,127
23-08-2019,135
24-08-2019,108
25-08-2019,68
26-08-2019,40
28-08-2019,118
29-08-2019,134
30-08-2019,82
31-08-2019,107
01-09-2019,86
02-09-2019,71
03-09-2019,113
04-09-2019,131
05-09-2019,103
06-09-2019,68
07-09-2019,80
08-09-2019,70
09-09-2019,116
10-09-2019,130
11-09-2019,209
12-09-2019,243
13-09-2019,96
14-09-2019,107
15-09-2019,65
16-09-2019,101
17-09-2019,126
18-09-2019,136
19-09-2019,93
20-09-2019,86
21-09-2019,119
22-09-2019,90
23-09-2019,47
24-09-2019,80
25-09-2019,101
26-09-2019,94
27-09-2019,71
28-09-2019,59
29-09-2019,26
30-09-2019,39
01-10-2019,68
02-10-2019,78
03-10-2019,190
05-10-2019,114
06-10-2019,129
07-10-2019,179
08-10-2019,113
09-10-2019,189
10-10-2019,233
11-10-2019,225
12-10-2019,294
13-10-2019,280
14-10-2019,315
15-10-2019,343
16-10-2019,298
17-10-2019,261
18-10-2019,240
19-10-2019,268
20-10-2019,308
21-10-2019,269
22-10-2019,253
23-10-2019,276
24-10-2019,308
25-10-2019,218
26-10-2019,247
27-10-2019,286
28-10-2019,323
29-10-2019,295
30-10-2019,388
31-10-2019,386
01-11-2019,407
02-11-2019,361
03-11-2019,456
04-11-2019,377
05-11-2019,294
06-11-2019,393
07-11-2019,237
08-11-2019,133
09-11-2019,156
10-11-2019,303
11-11-2019,308
12-11-2019,368
13-11-2019,316
14-11-2019,310
15-11-2019,326
16-11-2019,212
18-11-2019,131
19-11-2019,222
20-11-2019,270
21-11-2019,265
22-11-2019,274
23-11-2019,196
24-11-2019,136
25-11-2019,139
26-11-2019,174
27-11-2019,93
28-11-2019,86
29-11-2019,83
30-11-2019,140
01-12-2019,158
02-12-2019,212
03-12-2019,233
04-12-2019,283
05-12-2019,360
07-12-2019,207
08-12-2019,274
09-12-2019,267
10-12-2019,324
11-12-2019,364
12-12-2019,377
13-12-2019,177
14-12-2019,44
15-12-2019,99
16-12-2019,105
17-12-2019,177
18-12-2019,226
19-12-2019,251
20-12-2019,334
21-12-2019,318
22-12-2019,289
23-12-2019,239
24-12-2019,267
25-12-2019,284
26-12-2019,279
27-12-2019,327
28-12-2019,326
29-12-2019,289
31-12-2019,302
01-01-2020,322
02-01-2020,294
03-01-2020,225
04-01-2020,248
05-01-2020,262
06-01-2020,183
07-01-2020,85
08-01-2020,82
09-01-2020,77
10-01-2020,134
11-01-2020,166
12-01-2020,221
13-01-2020,278
14-01-2020,216
15-01-2020,105
16-01-2020,163
17-01-2020,171
18-01-2020,87
19-01-2020,132
20-01-2020,197
21-01-2020,257
22-01-2020,201
23-01-2020,104
24-01-2020,108
25-01-2020,174
26-01-2020,297
27-01-2020,203
29-01-2020,63
30-01-2020,96
31-01-2020,97
01-02-2020,152
02-02-2020,146
03-02-2020,165
04-02-2020,276
05-02-2020,228
06-02-2020,133
07-02-2020,199
08-02-2020,197
09-02-2020,195
10-02-2020,214
11-02-2020,260
12-02-2020,230
14-02-2020,122
15-02-2020,112
16-02-2020,154
17-02-2020,174
18-02-2020,144
19-02-2020,218
20-02-2020,246
21-02-2020,96
22-02-2020,67
23-02-2020,107
24-02-2020,96
25-02-2020,140
26-02-2020,195
27-02-2020,222
28-02-2020,165
29-02-2020,129
01-03-2020,53
02-03-2020,120
03-03-2020,133
04-03-2020,158
05-03-2020,74
06-03-2020,55
07-03-2020,34
08-03-2020,64
09-03-2020,74
10-03-2020,97
11-03-2020,104
12-03-2020,70
13-03-2020,83
14-03-2020,52
15-03-2020,60
16-03-2020,90
17-03-2020,103
18-03-2020,119
19-03-2020,132
20-03-2020,171
21-03-2020,230
22-03-2020,116
23-03-2020,92
24-03-2020,97
25-03-2020,100
26-03-2020,101
29-03-2020,39
30-03-2020,43
31-03-2020,49
01-04-2020,77
02-04-2020,59
04-04-2020,44
05-04-2020,61
06-04-2020,79
07-04-2020,83
08-04-2020,73
09-04-2020,68
10-04-2020,84
11-04-2020,97
12-04-2020,54
13-04-2020,63
14-04-2020,78
15-04-2020,128
16-04-2020,180
17-04-2020,86
18-04-2020,73
19-04-2020,40
20-04-2020,118
21-04-2020,54
22-04-2020,63
24-04-2020,133
25-04-2020,161
26-04-2020,107
27-04-2020,48
28-04-2020,55
29-04-2020,136
30-04-2020,163
01-05-2020,98
02-05-2020,98
03-05-2020,98
04-05-2020,59
05-05-2020,72
06-05-2020,86
08-05-2020,170
09-05-2020,177
10-05-2020,131
11-05-2020,58
12-05-2020,46
13-05-2020,95
14-05-2020,176
15-05-2020,69
16-05-2020,65
17-05-2020,117
18-05-2020,209
19-05-2020,146
20-05-2020,113
21-05-2020,153
22-05-2020,234
23-05-2020,212
24-05-2020,167
25-05-2020,122
27-05-2020,87
28-05-2020,132
29-05-2020,80
30-05-2020,51
