Date,AQI
14-02-2023,129
15-02-2023,240
16-02-2023,166
17-02-2023,102
18-02-2023,87
19-02-2023,102
20-02-2023,154
21-02-2023,135
22-02-2023,91
23-02-2023,101
24-02-2023,90
25-02-2023,103
26-02-2023,118
27-02-2023,108
28-02-2023,114
01-03-2023,101
02-03-2023,71
03-03-2023,96
04-03-2023,96
05-03-2023,93
06-03-2023,98
07-03-2023,98
08-03-2023,86
09-03-2023,62
10-03-2023,84
11-03-2023,103
12-03-2023,107
13-03-2023,120
14-03-2023,120
15-03-2023,69
16-03-2023,80
17-03-2023,71
18-03-2023,79
19-03-2023,69
20-03-2023,63
22-03-2023,46
23-03-2023,88
24-03-2023,106
25-03-2023,70
26-03-2023,59
27-03-2023,100
28-03-2023,98
29-03-2023,100
01-07-2023,20
02-07-2023,21
03-07-2023,37
04-07-2023,38
05-07-2023,50
06-07-2023,38
07-07-2023,30
08-07-2023,35
09-07-2023,25
10-07-2023,38
11-07-2023,45
12-07-2023,31
13-07-2023,41
14-07-2023,31
15-07-2023,40
16-07-2023,44
17-07-2023,52
18-07-2023,48
19-07-2023,42
20-07-2023,50
21-07-2023,63
22-07-2023,51
23-07-2023,50
24-07-2023,41
25-07-2023,59
26-07-2023,44
27-07-2023,41
28-07-2023,34
29-07-2023,45
30-07-2023,32
31-07-2023,33
01-08-2023,81
02-08-2023,61
03-08-2023,39
04-08-2023,39
05-08-2023,40
06-08-2023,36
07-08-2023,46
08-08-2023,96
09-08-2023,74
10-08-2023,76
11-08-2023,56
12-08-2023,81
13-08-2023,96
14-08-2023,52
15-08-2023,70
16-08-2023,87
17-08-2023,108
18-08-2023,109
19-08-2023,73
20-08-2023,56
21-08-2023,57
22-08-2023,47
23-08-2023,26
24-08-2023,30
25-08-2023,84
26-08-2023,107
27-08-2023,110
28-08-2023,124
29-08-2023,78
30-08-2023,98
31-08-2023,112
01-09-2023,117
02-09-2023,131
03-09-2023,107
04-09-2023,120
05-09-2023,56
06-09-2023,77
07-09-2023,83
08-09-2023,94
09-09-2023,107
10-09-2023,103
11-09-2023,73
12-09-2023,58
13-09-2023,80
14-09-2023,92
16-09-2023,69
17-09-2023,50
18-09-2023,53
19-09-2023,59
20-09-2023,56
21-09-2023,74
22-09-2023,71
23-09-2023,60
24-09-2023,69
25-09-2023,72
26-09-2023,80
27-09-2023,37
28-09-2023,105
29-09-2023,157
30-09-2023,108
01-10-2023,86
02-10-2023,126
03-10-2023,110
04-10-2023,118
05-10-2023,129
06-10-2023,138
07-10-2023,149
08-10-2023,161
09-10-2023,151
10-10-2023,133
11-10-2023,131
12-10-2023,118
13-10-2023,131
17-10-2023,49
18-10-2023,65
19-10-2023,97
20-10-2023,117
21-10-2023,123
22-10-2023,132
23-10-2023,101
24-10-2023,116
25-10-2023,140
26-10-2023,97
27-10-2023,108
28-10-2023,133
29-10-2023,163
30-10-2023,202
31-10-2023,121
01-11-2023,99
02-11-2023,92
03-11-2023,115
04-11-2023,103
05-11-2023,109
06-11-2023,120
07-11-2023,152
08-11-2023,97
09-11-2023,104
10-11-2023,112
11-11-2023,104
12-11-2023,103
13-11-2023,162
14-11-2023,99
15-11-2023,131
16-11-2023,99
17-11-2023,104
18-11-2023,82
19-11-2023,94
20-11-2023,90
21-11-2023,90
22-11-2023,199
23-11-2023,130
24-11-2023,120
25-11-2023,95
26-11-2023,97
27-11-2023,79
28-11-2023,88
29-11-2023,98
30-11-2023,94
01-12-2023,107
02-12-2023,78
03-12-2023,61
04-12-2023,72
05-12-2023,58
06-12-2023,68
07-12-2023,78
08-12-2023,95
09-12-2023,175
10-12-2023,204
11-12-2023,190
12-12-2023,137
13-12-2023,115
14-12-2023,139
15-12-2023,114
16-12-2023,116
17-12-2023,109
18-12-2023,102
19-12-2023,119
20-12-2023,113
21-12-2023,100
22-12-2023,121
23-12-2023,108
24-12-2023,98
25-12-2023,90
26-12-2023,137
27-12-2023,109
28-12-2023,141
29-12-2023,211
30-12-2023,165
31-12-2023,120
