Date,AQI
23-11-2021,386
24-11-2021,227
26-11-2021,239
27-11-2021,422
28-11-2021,338
29-11-2021,331
01-12-2021,394
02-12-2021,392
03-12-2021,402
04-12-2021,429
05-12-2021,245
06-12-2021,392
07-12-2021,345
08-12-2021,285
09-12-2021,383
10-12-2021,266
11-12-2021,311
12-12-2021,320
13-12-2021,343
14-12-2021,339
15-12-2021,355
16-12-2021,375
17-12-2021,311
18-12-2021,319
19-12-2021,283
20-12-2021,325
22-12-2021,337
23-12-2021,331
24-12-2021,325
25-12-2021,235
26-12-2021,158
27-12-2021,260
28-12-2021,316
29-12-2021,174
30-12-2021,71
31-12-2021,235
01-01-2022,263
02-01-2022,232
03-01-2022,290
04-01-2022,333
05-01-2022,292
06-01-2022,277
07-01-2022,342
08-01-2022,336
09-01-2022,305
10-01-2022,323
11-01-2022,329
12-01-2022,318
13-01-2022,218
14-01-2022,233
15-01-2022,294
16-01-2022,271
17-01-2022,316
18-01-2022,327
19-01-2022,324
20-01-2022,345
21-01-2022,320
22-01-2022,343
23-01-2022,326
24-01-2022,221
25-01-2022,359
28-01-2022,226
29-01-2022,329
30-01-2022,348
31-01-2022,387
03-02-2022,253
06-02-2022,143
07-02-2022,266
08-02-2022,283
09-02-2022,305
10-02-2022,302
11-02-2022,265
12-02-2022,202
13-02-2022,291
14-02-2022,282
15-02-2022,264
16-02-2022,266
17-02-2022,291
18-02-2022,238
19-02-2022,242
20-02-2022,187
21-02-2022,237
22-02-2022,229
23-02-2022,374
24-02-2022,308
25-02-2022,215
26-02-2022,236
27-02-2022,315
28-02-2022,231
01-03-2022,249
02-03-2022,243
03-03-2022,282
04-03-2022,274
05-03-2022,237
06-03-2022,285
07-03-2022,323
08-03-2022,289
09-03-2022,270
10-03-2022,280
11-03-2022,294
12-03-2022,261
13-03-2022,303
15-03-2022,318
16-03-2022,360
17-03-2022,364
18-03-2022,370
19-03-2022,305
20-03-2022,325
21-03-2022,323
22-03-2022,363
23-03-2022,429
24-03-2022,346
25-03-2022,271
26-03-2022,229
27-03-2022,232
29-03-2022,298
30-03-2022,270
10-04-2022,144
11-04-2022,120
12-04-2022,130
14-04-2022,251
16-04-2022,225
17-04-2022,225
18-04-2022,176
19-04-2022,139
22-04-2022,208
23-04-2022,174
24-04-2022,280
25-04-2022,200
26-04-2022,258
27-04-2022,156
28-04-2022,129
29-04-2022,142
30-04-2022,101
01-05-2022,46
04-05-2022,65
05-05-2022,121
06-05-2022,171
07-05-2022,125
08-05-2022,152
09-05-2022,146
10-05-2022,81
11-05-2022,90
12-05-2022,106
14-05-2022,99
15-05-2022,118
16-05-2022,103
18-05-2022,113
19-05-2022,186
22-05-2022,111
23-05-2022,159
24-05-2022,115
25-05-2022,131
26-05-2022,118
27-05-2022,134
28-05-2022,211
29-05-2022,111
30-05-2022,163
31-05-2022,186
01-06-2022,175
02-06-2022,170
03-06-2022,177
04-06-2022,167
05-06-2022,134
07-06-2022,132
08-06-2022,152
09-06-2022,127
10-06-2022,124
11-06-2022,141
12-06-2022,171
13-06-2022,109
14-06-2022,152
15-06-2022,114
16-06-2022,132
17-06-2022,120
18-06-2022,139
20-06-2022,102
22-06-2022,121
23-06-2022,123
24-06-2022,108
25-06-2022,82
26-06-2022,78
27-06-2022,90
28-06-2022,120
30-06-2022,84
01-07-2022,164
02-07-2022,111
03-07-2022,56
04-07-2022,74
05-07-2022,98
06-07-2022,93
07-07-2022,91
08-07-2022,95
09-07-2022,78
10-07-2022,84
11-07-2022,96
12-07-2022,71
13-07-2022,109
14-07-2022,71
15-07-2022,101
16-07-2022,68
19-07-2022,81
20-07-2022,111
21-07-2022,76
22-07-2022,66
23-07-2022,67
24-07-2022,62
25-07-2022,67
26-07-2022,91
27-07-2022,80
28-07-2022,63
29-07-2022,104
30-07-2022,65
31-07-2022,73
01-08-2022,51
03-08-2022,148
05-08-2022,101
07-08-2022,98
08-08-2022,89
09-08-2022,84
10-08-2022,80
11-08-2022,79
12-08-2022,59
13-08-2022,82
14-08-2022,67
15-08-2022,51
18-08-2022,103
21-08-2022,83
22-08-2022,98
23-08-2022,194
24-08-2022,96
25-08-2022,91
26-08-2022,131
27-08-2022,116
28-08-2022,101
29-08-2022,124
30-08-2022,104
31-08-2022,130
01-09-2022,126
02-09-2022,122
04-09-2022,103
05-09-2022,100
06-09-2022,192
07-09-2022,129
08-09-2022,104
09-09-2022,80
10-09-2022,134
11-09-2022,89
13-09-2022,95
14-09-2022,67
15-09-2022,53
16-09-2022,104
18-09-2022,101
19-09-2022,105
20-09-2022,99
21-09-2022,129
22-09-2022,120
23-09-2022,125
24-09-2022,136
26-09-2022,118
27-09-2022,107
28-09-2022,242
29-09-2022,151
30-09-2022,118
02-10-2022,172
03-10-2022,117
04-10-2022,52
05-10-2022,48
06-10-2022,73
07-10-2022,108
10-10-2022,180
11-10-2022,176
12-10-2022,67
13-10-2022,243
14-10-2022,297
16-10-2022,256
17-10-2022,197
18-10-2022,221
19-10-2022,258
21-10-2022,288
22-10-2022,268
23-10-2022,210
24-10-2022,135
25-10-2022,68
26-10-2022,268
27-10-2022,278
28-10-2022,266
29-10-2022,275
30-10-2022,224
01-11-2022,254
02-11-2022,265
03-11-2022,331
04-11-2022,358
05-11-2022,355
06-11-2022,324
07-11-2022,360
08-11-2022,372
09-11-2022,387
10-11-2022,323
11-11-2022,339
12-11-2022,385
13-11-2022,337
14-11-2022,369
15-11-2022,404
16-11-2022,382
17-11-2022,395
18-11-2022,425
19-11-2022,358
20-11-2022,355
21-11-2022,352
22-11-2022,362
23-11-2022,372
24-11-2022,374
25-11-2022,382
26-11-2022,352
29-11-2022,289
30-11-2022,324
01-12-2022,325
02-12-2022,358
03-12-2022,359
04-12-2022,391
05-12-2022,376
06-12-2022,345
07-12-2022,379
08-12-2022,386
09-12-2022,372
11-12-2022,387
12-12-2022,396
13-12-2022,437
14-12-2022,420
15-12-2022,398
16-12-2022,372
17-12-2022,395
18-12-2022,442
19-12-2022,398
20-12-2022,408
21-12-2022,430
22-12-2022,412
24-12-2022,408
25-12-2022,424
27-12-2022,406
28-12-2022,386
29-12-2022,422
30-12-2022,442
31-12-2022,419
01-01-2023,455
02-01-2023,403
03-01-2023,317
04-01-2023,334
05-01-2023,339
07-01-2023,378
08-01-2023,393
09-01-2023,391
10-01-2023,376
11-01-2023,398
12-01-2023,395
13-01-2023,435
14-01-2023,426
16-01-2023,329
17-01-2023,373
18-01-2023,418
19-01-2023,416
20-01-2023,425
21-01-2023,418
22-01-2023,431
23-01-2023,465
24-01-2023,401
25-01-2023,359
26-01-2023,382
27-01-2023,268
28-01-2023,229
29-01-2023,282
30-01-2023,342
31-01-2023,334
01-02-2023,206
04-02-2023,300
05-02-2023,316
06-02-2023,308
07-02-2023,260
08-02-2023,277
09-02-2023,306
11-02-2023,310
12-02-2023,329
13-02-2023,240
14-02-2023,336
15-02-2023,286
16-02-2023,298
17-02-2023,312
18-02-2023,330
19-02-2023,315
20-02-2023,315
21-02-2023,320
22-02-2023,331
23-02-2023,222
24-02-2023,240
25-02-2023,320
26-02-2023,265
27-02-2023,249
28-02-2023,255
01-03-2023,293
02-03-2023,263
03-03-2023,290
04-03-2023,259
05-03-2023,239
06-03-2023,191
07-03-2023,188
08-03-2023,224
09-03-2023,238
10-03-2023,194
11-03-2023,176
12-03-2023,170
13-03-2023,274
14-03-2023,297
15-03-2023,310
16-03-2023,216
17-03-2023,217
18-03-2023,178
19-03-2023,162
20-03-2023,86
21-03-2023,76
22-03-2023,240
23-03-2023,140
24-03-2023,185
25-03-2023,170
26-03-2023,260
27-03-2023,165
28-03-2023,215
29-03-2023,195
30-03-2023,190
31-03-2023,148
01-04-2023,101
02-04-2023,76
03-04-2023,133
04-04-2023,221
05-04-2023,244
06-04-2023,211
07-04-2023,237
08-04-2023,294
09-04-2023,246
10-04-2023,229
11-04-2023,213
12-04-2023,233
13-04-2023,295
15-04-2023,249
16-04-2023,269
17-04-2023,289
18-04-2023,270
19-04-2023,165
20-04-2023,118
21-04-2023,116
22-04-2023,104
23-04-2023,93
24-04-2023,77
25-04-2023,94
26-04-2023,119
27-04-2023,153
29-04-2023,157
30-04-2023,131
01-05-2023,78
02-05-2023,86
03-05-2023,89
04-05-2023,86
06-05-2023,97
07-05-2023,136
08-05-2023,189
09-05-2023,171
10-05-2023,105
11-05-2023,159
14-05-2023,148
16-05-2023,80
17-05-2023,72
18-05-2023,85
19-05-2023,81
20-05-2023,88
21-05-2023,106
22-05-2023,85
23-05-2023,95
24-05-2023,82
25-05-2023,91
27-05-2023,87
28-05-2023,153
29-05-2023,136
30-05-2023,169
31-05-2023,208
01-06-2023,217
02-06-2023,214
04-06-2023,248
05-06-2023,184
06-06-2023,186
07-06-2023,180
09-06-2023,193
10-06-2023,102
11-06-2023,300
12-06-2023,216
13-06-2023,235
15-06-2023,295
16-06-2023,165
17-06-2023,131
18-06-2023,119
19-06-2023,79
20-06-2023,110
21-06-2023,123
22-06-2023,75
24-06-2023,127
25-06-2023,126
26-06-2023,110
27-06-2023,122
29-06-2023,163
30-06-2023,51
01-07-2023,71
02-07-2023,76
04-07-2023,139
06-07-2023,83
07-07-2023,56
08-07-2023,68
09-07-2023,80
10-07-2023,94
11-07-2023,80
12-07-2023,103
13-07-2023,89
14-07-2023,76
15-07-2023,90
16-07-2023,66
17-07-2023,59
18-07-2023,80
19-07-2023,95
20-07-2023,73
21-07-2023,92
22-07-2023,70
23-07-2023,58
24-07-2023,65
25-07-2023,62
26-07-2023,85
27-07-2023,88
28-07-2023,104
29-07-2023,82
30-07-2023,76
31-07-2023,80
01-08-2023,109
02-08-2023,118
03-08-2023,120
04-08-2023,47
05-08-2023,100
06-08-2023,118
07-08-2023,82
09-08-2023,87
10-08-2023,104
11-08-2023,114
12-08-2023,83
13-08-2023,93
14-08-2023,94
15-08-2023,108
16-08-2023,113
17-08-2023,124
18-08-2023,96
19-08-2023,84
20-08-2023,103
22-08-2023,101
23-08-2023,78
24-08-2023,88
25-08-2023,98
26-08-2023,63
27-08-2023,115
28-08-2023,184
29-08-2023,173
30-08-2023,142
31-08-2023,131
01-09-2023,132
02-09-2023,143
03-09-2023,153
04-09-2023,108
05-09-2023,99
06-09-2023,81
07-09-2023,59
08-09-2023,76
09-09-2023,61
10-09-2023,66
11-09-2023,108
12-09-2023,94
13-09-2023,125
14-09-2023,92
15-09-2023,81
16-09-2023,85
17-09-2023,125
18-09-2023,173
