Date,AQI
23-09-2019,67
24-09-2019,41
25-09-2019,45
26-09-2019,24
27-09-2019,33
28-09-2019,29
29-09-2019,32
30-09-2019,42
01-10-2019,94
02-10-2019,46
03-10-2019,53
04-10-2019,108
05-10-2019,169
06-10-2019,131
07-10-2019,142
08-10-2019,163
09-10-2019,153
10-10-2019,151
11-10-2019,191
12-10-2019,116
13-10-2019,178
14-10-2019,218
15-10-2019,176
16-10-2019,125
17-10-2019,136
18-10-2019,210
19-10-2019,108
20-10-2019,109
21-10-2019,156
22-10-2019,215
23-10-2019,170
24-10-2019,141
25-10-2019,120
26-10-2019,66
27-10-2019,84
28-10-2019,215
29-10-2019,137
30-10-2019,222
31-10-2019,299
01-11-2019,350
02-11-2019,298
03-11-2019,249
04-11-2019,241
05-11-2019,269
06-11-2019,294
07-11-2019,186
08-11-2019,225
09-11-2019,334
10-11-2019,253
11-11-2019,235
12-11-2019,245
13-11-2019,255
14-11-2019,205
15-11-2019,227
16-11-2019,273
17-11-2019,304
18-11-2019,245
19-11-2019,251
20-11-2019,205
21-11-2019,218
22-11-2019,218
23-11-2019,238
24-11-2019,298
25-11-2019,254
26-11-2019,174
27-11-2019,224
28-11-2019,253
29-11-2019,259
30-11-2019,292
01-12-2019,238
02-12-2019,228
03-12-2019,258
04-12-2019,196
05-12-2019,224
06-12-2019,283
07-12-2019,298
08-12-2019,285
09-12-2019,289
10-12-2019,308
11-12-2019,327
12-12-2019,309
13-12-2019,137
14-12-2019,195
15-12-2019,180
16-12-2019,179
17-12-2019,153
18-12-2019,222
19-12-2019,209
20-12-2019,236
21-12-2019,264
22-12-2019,283
23-12-2019,230
24-12-2019,235
25-12-2019,276
26-12-2019,279
27-12-2019,156
28-12-2019,246
29-12-2019,290
30-12-2019,309
31-12-2019,332
01-01-2020,222
03-01-2020,135
04-01-2020,93
05-01-2020,147
06-01-2020,265
07-01-2020,121
08-01-2020,160
09-01-2020,206
10-01-2020,135
11-01-2020,195
12-01-2020,256
13-01-2020,275
14-01-2020,249
15-01-2020,254
16-01-2020,293
17-01-2020,271
18-01-2020,183
19-01-2020,144
20-01-2020,127
21-01-2020,164
22-01-2020,163
23-01-2020,221
25-01-2020,257
26-01-2020,223
27-01-2020,212
28-01-2020,82
29-01-2020,166
30-01-2020,142
01-02-2020,169
02-02-2020,171
03-02-2020,145
04-02-2020,115
05-02-2020,191
06-02-2020,150
07-02-2020,108
08-02-2020,153
09-02-2020,200
10-02-2020,190
11-02-2020,167
12-02-2020,214
13-02-2020,240
14-02-2020,166
15-02-2020,198
16-02-2020,188
17-02-2020,181
18-02-2020,223
19-02-2020,187
20-02-2020,118
21-02-2020,155
22-02-2020,136
23-02-2020,227
24-02-2020,197
25-02-2020,167
26-02-2020,142
27-02-2020,98
28-02-2020,99
29-02-2020,106
01-03-2020,115
02-03-2020,72
03-03-2020,123
04-03-2020,96
05-03-2020,87
06-03-2020,106
07-03-2020,119
08-03-2020,128
09-03-2020,125
10-03-2020,114
11-03-2020,63
12-03-2020,82
13-03-2020,124
14-03-2020,69
15-03-2020,75
16-03-2020,115
17-03-2020,122
18-03-2020,151
19-03-2020,151
20-03-2020,86
21-03-2020,134
22-03-2020,87
23-03-2020,93
24-03-2020,92
25-03-2020,88
26-03-2020,74
27-03-2020,71
28-03-2020,64
