Date,AQI
27-11-2022,152
28-11-2022,154
29-11-2022,256
30-11-2022,236
01-12-2022,172
02-12-2022,191
04-12-2022,253
05-12-2022,289
06-12-2022,236
08-12-2022,228
09-12-2022,257
10-12-2022,255
11-12-2022,284
12-12-2022,173
13-12-2022,175
14-12-2022,159
15-12-2022,106
16-12-2022,97
17-12-2022,176
18-12-2022,164
19-12-2022,197
20-12-2022,224
21-12-2022,191
22-12-2022,246
23-12-2022,160
24-12-2022,199
25-12-2022,121
27-12-2022,79
28-12-2022,119
29-12-2022,199
30-12-2022,95
31-12-2022,217
01-01-2023,220
02-01-2023,298
03-01-2023,307
04-01-2023,311
05-01-2023,328
06-01-2023,270
07-01-2023,91
08-01-2023,110
10-01-2023,167
12-01-2023,270
13-01-2023,220
14-01-2023,190
15-01-2023,192
16-01-2023,200
17-01-2023,253
18-01-2023,273
19-01-2023,306
20-01-2023,292
22-01-2023,299
23-01-2023,269
24-01-2023,215
25-01-2023,188
26-01-2023,206
27-01-2023,232
28-01-2023,281
29-01-2023,246
30-01-2023,211
31-01-2023,220
01-02-2023,120
02-02-2023,106
03-02-2023,107
04-02-2023,99
05-02-2023,103
06-02-2023,102
07-02-2023,102
08-02-2023,120
09-02-2023,148
10-02-2023,112
11-02-2023,122
12-02-2023,125
13-02-2023,110
14-02-2023,102
15-02-2023,127
16-02-2023,126
17-02-2023,131
18-02-2023,185
19-02-2023,160
20-02-2023,186
21-02-2023,199
22-02-2023,146
23-02-2023,154
24-02-2023,175
25-02-2023,132
26-02-2023,193
27-02-2023,175
28-02-2023,171
01-03-2023,235
02-03-2023,191
03-03-2023,140
04-03-2023,121
05-03-2023,113
06-03-2023,123
07-03-2023,113
08-03-2023,146
09-03-2023,167
10-03-2023,131
11-03-2023,139
12-03-2023,181
13-03-2023,205
14-03-2023,232
15-03-2023,209
16-03-2023,235
17-03-2023,209
18-03-2023,218
19-03-2023,69
20-03-2023,60
21-03-2023,69
22-03-2023,67
23-03-2023,83
24-03-2023,99
25-03-2023,131
26-03-2023,114
27-03-2023,105
28-03-2023,99
29-03-2023,134
30-03-2023,89
31-03-2023,68
01-04-2023,45
02-04-2023,60
03-04-2023,98
04-04-2023,107
05-04-2023,87
06-04-2023,106
07-04-2023,96
08-04-2023,112
09-04-2023,92
10-04-2023,123
11-04-2023,103
12-04-2023,125
13-04-2023,140
14-04-2023,129
16-04-2023,160
17-04-2023,146
18-04-2023,164
19-04-2023,125
20-04-2023,135
21-04-2023,105
22-04-2023,82
24-04-2023,65
25-04-2023,59
26-04-2023,49
27-04-2023,71
28-04-2023,92
29-04-2023,74
30-04-2023,80
01-05-2023,62
02-05-2023,94
03-05-2023,71
04-05-2023,39
05-05-2023,53
06-05-2023,81
