Date,AQI
18-04-2018,123
19-04-2018,130
22-04-2018,147
25-04-2018,118
26-04-2018,148
27-04-2018,169
28-04-2018,127
29-04-2018,109
30-04-2018,145
01-05-2018,121
02-05-2018,128
03-05-2018,84
04-05-2018,75
05-05-2018,116
07-05-2018,84
08-05-2018,60
09-05-2018,82
10-05-2018,133
11-05-2018,152
12-05-2018,156
13-05-2018,88
14-05-2018,78
15-05-2018,104
16-05-2018,140
17-05-2018,165
18-05-2018,172
19-05-2018,141
20-05-2018,145
21-05-2018,112
22-05-2018,122
23-05-2018,141
24-05-2018,119
25-05-2018,110
26-05-2018,121
27-05-2018,115
28-05-2018,156
29-05-2018,129
30-05-2018,122
31-05-2018,122
01-06-2018,124
02-06-2018,57
07-06-2018,94
08-06-2018,100
09-06-2018,69
10-06-2018,84
11-06-2018,89
12-06-2018,111
13-06-2018,132
14-06-2018,491
15-06-2018,389
16-06-2018,318
17-06-2018,102
18-06-2018,79
19-06-2018,85
20-06-2018,100
21-06-2018,104
23-06-2018,129
24-06-2018,76
25-06-2018,100
26-06-2018,102
27-06-2018,54
28-06-2018,41
29-06-2018,32
30-06-2018,55
01-07-2018,58
02-07-2018,52
03-07-2018,43
05-07-2018,55
06-07-2018,65
07-07-2018,65
09-07-2018,73
10-07-2018,57
11-07-2018,57
12-07-2018,58
14-07-2018,37
15-07-2018,41
16-07-2018,48
17-07-2018,46
18-07-2018,50
19-07-2018,34
20-07-2018,68
21-07-2018,45
22-07-2018,42
23-07-2018,30
24-07-2018,28
25-07-2018,48
26-07-2018,45
27-07-2018,43
28-07-2018,38
29-07-2018,46
30-07-2018,66
31-07-2018,56
01-08-2018,59
02-08-2018,85
03-08-2018,75
04-08-2018,84
05-08-2018,85
06-08-2018,52
07-08-2018,42
08-08-2018,34
09-08-2018,25
10-08-2018,38
11-08-2018,53
12-08-2018,47
13-08-2018,56
14-08-2018,56
15-08-2018,39
16-08-2018,47
17-08-2018,43
18-08-2018,36
19-08-2018,55
20-08-2018,48
21-08-2018,53
22-08-2018,44
23-08-2018,57
24-08-2018,55
25-08-2018,51
26-08-2018,56
27-08-2018,62
28-08-2018,86
29-08-2018,63
30-08-2018,51
31-08-2018,65
01-09-2018,82
02-09-2018,79
03-09-2018,43
04-09-2018,47
05-09-2018,50
06-09-2018,69
07-09-2018,49
08-09-2018,23
09-09-2018,41
10-09-2018,36
11-09-2018,49
12-09-2018,46
13-09-2018,46
14-09-2018,58
15-09-2018,60
16-09-2018,65
17-09-2018,48
18-09-2018,61
19-09-2018,76
20-09-2018,78
21-09-2018,58
22-09-2018,40
23-09-2018,30
24-09-2018,30
25-09-2018,39
26-09-2018,50
27-09-2018,60
28-09-2018,71
29-09-2018,67
30-09-2018,64
01-10-2018,76
02-10-2018,82
03-10-2018,101
04-10-2018,98
05-10-2018,73
06-10-2018,59
07-10-2018,79
08-10-2018,74
09-10-2018,77
10-10-2018,172
11-10-2018,174
12-10-2018,81
13-10-2018,101
14-10-2018,120
15-10-2018,117
16-10-2018,121
17-10-2018,103
19-10-2018,132
20-10-2018,99
21-10-2018,106
22-10-2018,134
23-10-2018,116
24-10-2018,109
25-10-2018,100
26-10-2018,116
27-10-2018,129
28-10-2018,139
29-10-2018,138
30-10-2018,190
31-10-2018,131
01-11-2018,153
02-11-2018,149
03-11-2018,92
04-11-2018,69
05-11-2018,112
06-11-2018,146
07-11-2018,186
08-11-2018,208
09-11-2018,178
10-11-2018,211
11-11-2018,100
12-11-2018,116
13-11-2018,110
14-11-2018,89
15-11-2018,60
16-11-2018,55
17-11-2018,102
18-11-2018,86
19-11-2018,71
20-11-2018,85
21-11-2018,108
22-11-2018,108
23-11-2018,90
24-11-2018,89
25-11-2018,83
26-11-2018,84
27-11-2018,99
28-11-2018,98
29-11-2018,99
30-11-2018,91
01-12-2018,92
02-12-2018,93
03-12-2018,94
04-12-2018,86
05-12-2018,90
06-12-2018,92
07-12-2018,102
08-12-2018,97
09-12-2018,98
10-12-2018,112
11-12-2018,71
12-12-2018,76
13-12-2018,39
14-12-2018,53
15-12-2018,50
16-12-2018,61
17-12-2018,86
18-12-2018,107
19-12-2018,122
20-12-2018,109
21-12-2018,119
22-12-2018,157
23-12-2018,164
24-12-2018,154
25-12-2018,181
26-12-2018,205
27-12-2018,118
28-12-2018,132
29-12-2018,132
30-12-2018,114
31-12-2018,125
01-01-2019,126
02-01-2019,207
03-01-2019,130
04-01-2019,111
05-01-2019,129
06-01-2019,65
07-01-2019,50
08-01-2019,90
09-01-2019,103
10-01-2019,107
11-01-2019,124
12-01-2019,128
13-01-2019,73
14-01-2019,51
15-01-2019,88
16-01-2019,140
17-01-2019,109
18-01-2019,105
19-01-2019,109
20-01-2019,108
21-01-2019,107
22-01-2019,37
23-01-2019,22
24-01-2019,48
25-01-2019,66
26-01-2019,85
27-01-2019,60
28-01-2019,46
29-01-2019,63
30-01-2019,85
31-01-2019,99
01-02-2019,92
02-02-2019,68
03-02-2019,66
04-02-2019,71
05-02-2019,102
06-02-2019,82
07-02-2019,77
08-02-2019,26
09-02-2019,46
10-02-2019,85
11-02-2019,73
12-02-2019,87
13-02-2019,85
14-02-2019,106
15-02-2019,35
16-02-2019,49
17-02-2019,69
18-02-2019,76
19-02-2019,23
20-02-2019,54
21-02-2019,50
22-02-2019,57
23-02-2019,49
24-02-2019,75
25-02-2019,62
26-02-2019,48
27-02-2019,27
28-02-2019,46
01-03-2019,60
02-03-2019,55
03-03-2019,29
04-03-2019,35
05-03-2019,41
06-03-2019,70
07-03-2019,66
08-03-2019,73
09-03-2019,67
10-03-2019,78
11-03-2019,62
12-03-2019,35
13-03-2019,92
14-03-2019,59
15-03-2019,70
16-03-2019,59
17-03-2019,69
18-03-2019,67
19-03-2019,69
20-03-2019,74
21-03-2019,50
22-03-2019,46
23-03-2019,69
24-03-2019,61
25-03-2019,69
26-03-2019,67
27-03-2019,88
28-03-2019,82
29-03-2019,90
30-03-2019,101
31-03-2019,86
01-04-2019,83
02-04-2019,86
03-04-2019,98
04-04-2019,86
05-04-2019,130
06-04-2019,109
07-04-2019,87
08-04-2019,107
09-04-2019,101
10-04-2019,91
11-04-2019,72
12-04-2019,87
13-04-2019,77
14-04-2019,58
15-04-2019,67
16-04-2019,98
17-04-2019,59
19-04-2019,40
20-04-2019,57
21-04-2019,56
22-04-2019,62
25-04-2019,47
26-04-2019,79
28-04-2019,122
29-04-2019,114
30-04-2019,124
01-05-2019,65
02-05-2019,79
03-05-2019,44
04-05-2019,74
05-05-2019,94
06-05-2019,81
07-05-2019,75
08-05-2019,71
09-05-2019,127
10-05-2019,132
11-05-2019,71
12-05-2019,97
13-05-2019,96
14-05-2019,53
15-05-2019,67
16-05-2019,82
17-05-2019,91
19-05-2019,74
20-05-2019,113
21-05-2019,84
24-05-2019,78
26-05-2019,97
28-05-2019,105
30-05-2019,129
02-06-2019,144
04-06-2019,101
05-06-2019,102
06-06-2019,88
08-06-2019,81
09-06-2019,80
10-06-2019,97
12-06-2019,104
13-06-2019,79
14-06-2019,105
15-06-2019,98
16-06-2019,89
17-06-2019,94
19-06-2019,107
20-06-2019,117
21-06-2019,68
22-06-2019,89
23-06-2019,58
24-06-2019,53
26-06-2019,69
27-06-2019,214
28-06-2019,114
29-06-2019,152
30-06-2019,96
01-07-2019,116
02-07-2019,88
03-07-2019,102
04-07-2019,67
05-07-2019,66
06-07-2019,46
07-07-2019,56
08-07-2019,57
10-07-2019,160
11-07-2019,96
12-07-2019,57
14-07-2019,54
15-07-2019,45
16-07-2019,55
17-07-2019,56
18-07-2019,67
19-07-2019,56
20-07-2019,60
21-07-2019,66
22-07-2019,79
23-07-2019,95
24-07-2019,97
25-07-2019,71
