Date,AQI
03-06-2022,213
04-06-2022,136
05-06-2022,150
06-06-2022,148
08-06-2022,290
09-06-2022,166
10-06-2022,193
11-06-2022,201
12-06-2022,174
13-06-2022,141
14-06-2022,160
15-06-2022,122
16-06-2022,91
17-06-2022,48
18-06-2022,38
19-06-2022,50
20-06-2022,85
21-06-2022,162
23-06-2022,106
24-06-2022,139
25-06-2022,122
26-06-2022,99
27-06-2022,62
28-06-2022,91
01-07-2022,43
02-07-2022,60
03-07-2022,43
07-07-2022,62
12-07-2022,19
14-07-2022,19
17-07-2022,20
18-07-2022,25
19-07-2022,25
21-07-2022,21
22-07-2022,74
23-07-2022,24
25-07-2022,87
26-07-2022,91
27-07-2022,94
28-07-2022,77
30-07-2022,75
31-07-2022,94
01-08-2022,114
02-08-2022,84
03-08-2022,130
05-08-2022,79
06-08-2022,112
07-08-2022,104
08-08-2022,88
09-08-2022,98
10-08-2022,85
11-08-2022,89
12-08-2022,110
13-08-2022,98
14-08-2022,114
15-08-2022,89
16-08-2022,90
17-08-2022,56
18-08-2022,70
19-08-2022,94
20-08-2022,113
22-08-2022,137
23-08-2022,86
25-08-2022,98
26-08-2022,136
27-08-2022,118
28-08-2022,306
30-08-2022,91
31-08-2022,120
01-09-2022,96
02-09-2022,88
03-09-2022,98
04-09-2022,85
05-09-2022,73
06-09-2022,99
07-09-2022,144
08-09-2022,157
09-09-2022,135
10-09-2022,143
11-09-2022,79
12-09-2022,79
13-09-2022,74
14-09-2022,60
15-09-2022,55
16-09-2022,54
17-09-2022,54
18-09-2022,74
19-09-2022,112
20-09-2022,115
21-09-2022,84
23-09-2022,57
24-09-2022,67
25-09-2022,62
26-09-2022,90
27-09-2022,152
28-09-2022,157
29-09-2022,172
30-09-2022,226
01-10-2022,259
02-10-2022,239
03-10-2022,159
04-10-2022,176
05-10-2022,211
07-10-2022,51
08-10-2022,46
09-10-2022,46
10-10-2022,43
11-10-2022,46
12-10-2022,98
13-10-2022,113
14-10-2022,130
15-10-2022,140
16-10-2022,201
17-10-2022,212
18-10-2022,178
19-10-2022,163
20-10-2022,137
21-10-2022,161
22-10-2022,218
23-10-2022,254
24-10-2022,266
25-10-2022,239
26-10-2022,206
27-10-2022,316
28-10-2022,239
29-10-2022,269
30-10-2022,278
31-10-2022,279
01-11-2022,346
02-11-2022,146
03-11-2022,167
04-11-2022,181
05-11-2022,164
06-11-2022,217
07-11-2022,181
08-11-2022,171
09-11-2022,169
10-11-2022,239
11-11-2022,180
12-11-2022,93
13-11-2022,71
14-11-2022,117
15-11-2022,77
16-11-2022,152
17-11-2022,121
18-11-2022,143
19-11-2022,176
20-11-2022,205
21-11-2022,172
22-11-2022,135
23-11-2022,118
24-11-2022,111
25-11-2022,224
26-11-2022,215
27-11-2022,213
28-11-2022,224
29-11-2022,260
30-11-2022,281
01-12-2022,85
02-12-2022,80
03-12-2022,74
04-12-2022,254
05-12-2022,224
06-12-2022,210
07-12-2022,156
08-12-2022,132
09-12-2022,190
10-12-2022,251
11-12-2022,249
12-12-2022,110
13-12-2022,101
16-12-2022,130
17-12-2022,195
19-12-2022,294
20-12-2022,279
21-12-2022,191
22-12-2022,198
23-12-2022,207
24-12-2022,265
25-12-2022,185
26-12-2022,224
27-12-2022,217
28-12-2022,188
30-12-2022,275
31-12-2022,262
01-01-2023,156
02-01-2023,146
03-01-2023,152
04-01-2023,210
05-01-2023,170
06-01-2023,256
07-01-2023,258
08-01-2023,283
09-01-2023,229
10-01-2023,278
12-01-2023,174
13-01-2023,205
14-01-2023,236
15-01-2023,128
16-01-2023,168
17-01-2023,204
18-01-2023,178
19-01-2023,269
20-01-2023,227
22-01-2023,243
23-01-2023,206
24-01-2023,115
25-01-2023,69
26-01-2023,199
27-01-2023,136
28-01-2023,122
29-01-2023,186
30-01-2023,107
31-01-2023,85
02-02-2023,85
03-02-2023,95
04-02-2023,126
05-02-2023,106
06-02-2023,123
07-02-2023,130
08-02-2023,77
09-02-2023,110
10-02-2023,89
11-02-2023,127
12-02-2023,90
13-02-2023,55
14-02-2023,67
15-02-2023,90
17-02-2023,229
18-02-2023,226
19-02-2023,203
20-02-2023,139
21-02-2023,90
22-02-2023,154
23-02-2023,97
24-02-2023,89
25-02-2023,101
26-02-2023,144
27-02-2023,149
28-02-2023,124
02-03-2023,114
03-03-2023,92
04-03-2023,70
05-03-2023,74
08-03-2023,163
09-03-2023,64
10-03-2023,119
11-03-2023,138
12-03-2023,149
13-03-2023,148
14-03-2023,159
15-03-2023,125
16-03-2023,116
17-03-2023,97
18-03-2023,97
21-03-2023,65
22-03-2023,89
23-03-2023,85
24-03-2023,140
25-03-2023,74
26-03-2023,97
27-03-2023,77
28-03-2023,88
29-03-2023,109
30-03-2023,83
31-03-2023,67
01-04-2023,64
02-04-2023,67
03-04-2023,84
04-04-2023,70
05-04-2023,91
06-04-2023,67
07-04-2023,71
08-04-2023,80
09-04-2023,94
10-04-2023,105
11-04-2023,111
12-04-2023,108
15-04-2023,125
16-04-2023,114
17-04-2023,83
18-04-2023,138
19-04-2023,102
20-04-2023,82
21-04-2023,65
22-04-2023,60
23-04-2023,61
24-04-2023,72
25-04-2023,64
26-04-2023,96
27-04-2023,97
29-04-2023,115
30-04-2023,79
01-05-2023,71
03-05-2023,72
04-05-2023,84
06-05-2023,142
07-05-2023,81
08-05-2023,88
09-05-2023,64
10-05-2023,102
12-05-2023,107
14-05-2023,109
16-05-2023,100
17-05-2023,84
18-05-2023,49
19-05-2023,107
20-05-2023,92
21-05-2023,95
22-05-2023,110
23-05-2023,80
24-05-2023,44
25-05-2023,48
26-05-2023,45
27-05-2023,126
28-05-2023,88
29-05-2023,109
30-05-2023,89
31-05-2023,110
01-06-2023,105
02-06-2023,84
03-06-2023,75
04-06-2023,92
05-06-2023,140
07-06-2023,102
08-06-2023,99
14-06-2023,60
15-06-2023,52
16-06-2023,60
17-06-2023,95
18-06-2023,82
19-06-2023,110
20-06-2023,98
21-06-2023,89
22-06-2023,137
23-06-2023,138
24-06-2023,190
25-06-2023,162
26-06-2023,127
27-06-2023,83
29-06-2023,92
30-06-2023,96
01-07-2023,92
02-07-2023,83
03-07-2023,103
04-07-2023,142
05-07-2023,115
06-07-2023,97
07-07-2023,94
08-07-2023,108
09-07-2023,137
10-07-2023,74
11-07-2023,138
12-07-2023,146
13-07-2023,43
14-07-2023,39
16-07-2023,77
17-07-2023,96
18-07-2023,82
20-07-2023,84
21-07-2023,92
22-07-2023,93
23-07-2023,66
24-07-2023,84
25-07-2023,103
26-07-2023,192
27-07-2023,93
28-07-2023,102
29-07-2023,53
30-07-2023,67
31-07-2023,85
01-08-2023,90
02-08-2023,70
03-08-2023,80
04-08-2023,79
05-08-2023,103
06-08-2023,154
07-08-2023,80
08-08-2023,84
09-08-2023,82
10-08-2023,117
11-08-2023,108
13-08-2023,170
14-08-2023,98
15-08-2023,119
16-08-2023,117
17-08-2023,100
18-08-2023,94
19-08-2023,146
20-08-2023,114
21-08-2023,88
22-08-2023,94
23-08-2023,74
24-08-2023,78
25-08-2023,79
26-08-2023,212
27-08-2023,246
28-08-2023,259
29-08-2023,102
30-08-2023,105
31-08-2023,143
01-09-2023,138
02-09-2023,124
03-09-2023,123
04-09-2023,114
05-09-2023,94
06-09-2023,110
07-09-2023,86
08-09-2023,80
10-09-2023,46
11-09-2023,55
12-09-2023,68
13-09-2023,84
14-09-2023,141
15-09-2023,130
16-09-2023,82
17-09-2023,71
18-09-2023,76
19-09-2023,60
20-09-2023,91
22-09-2023,108
23-09-2023,107
24-09-2023,144
26-09-2023,160
27-09-2023,205
28-09-2023,181
29-09-2023,228
30-09-2023,235
01-10-2023,60
02-10-2023,50
03-10-2023,66
04-10-2023,57
05-10-2023,69
06-10-2023,145
07-10-2023,176
09-10-2023,97
10-10-2023,106
11-10-2023,123
12-10-2023,144
13-10-2023,192
14-10-2023,168
15-10-2023,164
16-10-2023,137
17-10-2023,42
18-10-2023,85
19-10-2023,91
20-10-2023,168
21-10-2023,193
22-10-2023,261
23-10-2023,93
24-10-2023,100
25-10-2023,61
26-10-2023,152
29-10-2023,187
30-10-2023,220
31-10-2023,238
01-11-2023,265
02-11-2023,244
03-11-2023,336
04-11-2023,253
05-11-2023,272
06-11-2023,143
07-11-2023,99
08-11-2023,111
09-11-2023,172
10-11-2023,83
11-11-2023,58
12-11-2023,58
13-11-2023,138
14-11-2023,109
15-11-2023,125
16-11-2023,106
17-11-2023,62
18-11-2023,73
19-11-2023,79
20-11-2023,114
21-11-2023,127
22-11-2023,169
23-11-2023,178
24-11-2023,192
25-11-2023,230
27-11-2023,103
28-11-2023,80
29-11-2023,94
30-11-2023,117
01-12-2023,146
03-12-2023,102
04-12-2023,57
05-12-2023,49
06-12-2023,79
07-12-2023,108
08-12-2023,104
09-12-2023,83
10-12-2023,81
11-12-2023,100
12-12-2023,90
13-12-2023,110
14-12-2023,142
18-12-2023,108
20-12-2023,110
21-12-2023,132
22-12-2023,209
23-12-2023,203
24-12-2023,176
25-12-2023,132
26-12-2023,148
27-12-2023,120
28-12-2023,151
29-12-2023,81
30-12-2023,46
31-12-2023,47
