Date,AQI
23-11-2021,358
24-11-2021,241
25-11-2021,177
26-11-2021,223
28-11-2021,243
30-11-2021,240
01-12-2021,222
02-12-2021,200
03-12-2021,204
04-12-2021,229
05-12-2021,195
06-12-2021,142
07-12-2021,258
08-12-2021,285
09-12-2021,294
10-12-2021,236
11-12-2021,300
12-12-2021,344
13-12-2021,355
14-12-2021,354
15-12-2021,358
16-12-2021,349
17-12-2021,314
18-12-2021,298
19-12-2021,328
20-12-2021,380
21-12-2021,384
22-12-2021,361
23-12-2021,373
24-12-2021,342
25-12-2021,306
26-12-2021,341
28-12-2021,260
29-12-2021,178
30-12-2021,121
31-12-2021,294
01-01-2022,273
02-01-2022,311
03-01-2022,296
06-01-2022,343
07-01-2022,356
08-01-2022,349
09-01-2022,329
10-01-2022,323
11-01-2022,381
13-01-2022,270
14-01-2022,283
15-01-2022,359
16-01-2022,322
17-01-2022,169
18-01-2022,292
19-01-2022,325
20-01-2022,349
21-01-2022,353
22-01-2022,336
23-01-2022,333
24-01-2022,256
25-01-2022,316
27-01-2022,274
28-01-2022,337
29-01-2022,377
30-01-2022,346
31-01-2022,403
02-02-2022,376
03-02-2022,295
04-02-2022,211
06-02-2022,160
07-02-2022,310
08-02-2022,331
09-02-2022,342
10-02-2022,352
11-02-2022,321
12-02-2022,276
13-02-2022,318
14-02-2022,282
15-02-2022,284
16-02-2022,280
17-02-2022,306
18-02-2022,285
19-02-2022,205
20-02-2022,242
21-02-2022,269
22-02-2022,221
23-02-2022,272
26-02-2022,103
28-02-2022,262
01-03-2022,231
02-03-2022,254
03-03-2022,243
04-03-2022,270
05-03-2022,243
06-03-2022,252
07-03-2022,272
08-03-2022,268
09-03-2022,250
10-03-2022,258
11-03-2022,265
12-03-2022,251
13-03-2022,249
14-03-2022,272
15-03-2022,260
16-03-2022,269
17-03-2022,297
18-03-2022,348
19-03-2022,279
20-03-2022,274
21-03-2022,273
22-03-2022,194
23-03-2022,255
24-03-2022,213
25-03-2022,274
26-03-2022,184
27-03-2022,212
28-03-2022,193
29-03-2022,155
30-03-2022,111
31-03-2022,89
01-04-2022,122
02-04-2022,75
03-04-2022,46
04-04-2022,88
05-04-2022,82
06-04-2022,107
07-04-2022,62
08-04-2022,65
09-04-2022,84
10-04-2022,84
11-04-2022,76
12-04-2022,64
15-04-2022,193
16-04-2022,208
17-04-2022,191
18-04-2022,123
19-04-2022,83
21-04-2022,88
22-04-2022,101
23-04-2022,93
24-04-2022,306
