Date,AQI
05-02-2020,122
06-02-2020,81
07-02-2020,102
08-02-2020,122
09-02-2020,110
10-02-2020,105
11-02-2020,109
12-02-2020,131
13-02-2020,122
14-02-2020,124
15-02-2020,131
16-02-2020,109
17-02-2020,113
18-02-2020,137
19-02-2020,235
20-02-2020,143
21-02-2020,155
22-02-2020,99
23-02-2020,85
24-02-2020,101
25-02-2020,97
26-02-2020,134
27-02-2020,104
28-02-2020,102
29-02-2020,107
01-03-2020,135
02-03-2020,103
03-03-2020,86
04-03-2020,87
05-03-2020,110
07-03-2020,157
08-03-2020,184
09-03-2020,141
10-03-2020,100
11-03-2020,117
12-03-2020,93
13-03-2020,92
14-03-2020,109
15-03-2020,105
16-03-2020,118
17-03-2020,137
18-03-2020,137
19-03-2020,120
20-03-2020,96
21-03-2020,93
22-03-2020,57
23-03-2020,62
24-03-2020,62
25-03-2020,40
26-03-2020,42
27-03-2020,58
28-03-2020,64
29-03-2020,38
30-03-2020,46
31-03-2020,40
01-04-2020,53
02-04-2020,54
04-04-2020,44
05-04-2020,43
06-04-2020,44
07-04-2020,44
08-04-2020,50
09-04-2020,45
10-04-2020,44
11-04-2020,45
12-04-2020,46
16-04-2020,50
17-04-2020,50
18-04-2020,47
19-04-2020,49
20-04-2020,50
21-04-2020,52
22-04-2020,49
23-04-2020,54
24-04-2020,54
25-04-2020,53
26-04-2020,59
27-04-2020,54
28-04-2020,53
29-04-2020,49
30-04-2020,56
01-05-2020,54
02-05-2020,53
03-05-2020,55
04-05-2020,56
05-05-2020,63
08-05-2020,62
09-05-2020,65
10-05-2020,64
11-05-2020,62
12-05-2020,69
13-05-2020,62
14-05-2020,67
15-05-2020,73
16-05-2020,63
17-05-2020,68
18-05-2020,67
19-05-2020,67
20-05-2020,73
21-05-2020,62
22-05-2020,64
23-05-2020,75
24-05-2020,68
25-05-2020,72
26-05-2020,68
27-05-2020,72
28-05-2020,71
29-05-2020,72
30-05-2020,81
31-05-2020,62
01-06-2020,64
02-06-2020,65
03-06-2020,68
04-06-2020,68
05-06-2020,74
06-06-2020,76
07-06-2020,69
08-06-2020,76
09-06-2020,87
10-06-2020,81
11-06-2020,90
12-06-2020,80
13-06-2020,82
14-06-2020,67
16-06-2020,75
17-06-2020,82
18-06-2020,81
19-06-2020,83
20-06-2020,79
21-06-2020,68
22-06-2020,71
23-06-2020,81
24-06-2020,98
25-06-2020,79
26-06-2020,78
27-06-2020,76
28-06-2020,69
29-06-2020,79
30-06-2020,78
01-07-2020,83
02-07-2020,85
03-07-2020,82
04-07-2020,81
05-07-2020,73
06-07-2020,76
07-07-2020,75
08-07-2020,86
09-07-2020,90
10-07-2020,80
11-07-2020,89
12-07-2020,71
13-07-2020,76
14-07-2020,79
15-07-2020,77
16-07-2020,76
17-07-2020,75
18-07-2020,80
19-07-2020,71
20-07-2020,76
21-07-2020,78
22-07-2020,76
23-07-2020,79
24-07-2020,73
25-07-2020,77
26-07-2020,77
27-07-2020,85
28-07-2020,84
29-07-2020,78
30-07-2020,79
31-07-2020,74
01-08-2020,77
02-08-2020,73
03-08-2020,78
04-08-2020,80
05-08-2020,79
06-08-2020,77
07-08-2020,77
08-08-2020,75
09-08-2020,74
10-08-2020,77
11-08-2020,86
12-08-2020,86
13-08-2020,85
14-08-2020,89
15-08-2020,94
17-08-2020,88
18-08-2020,94
19-08-2020,91
20-08-2020,90
21-08-2020,88
22-08-2020,90
23-08-2020,76
24-08-2020,83
25-08-2020,90
26-08-2020,84
27-08-2020,87
28-08-2020,87
29-08-2020,93
30-08-2020,86
31-08-2020,79
01-09-2020,80
02-09-2020,86
03-09-2020,82
04-09-2020,86
05-09-2020,85
06-09-2020,80
07-09-2020,54
08-09-2020,21
09-09-2020,29
10-09-2020,54
11-09-2020,49
12-09-2020,106
13-09-2020,51
14-09-2020,61
15-09-2020,66
16-09-2020,61
17-09-2020,60
18-09-2020,66
20-09-2020,56
22-09-2020,82
23-09-2020,48
24-09-2020,32
23-10-2020,110
24-10-2020,112
26-10-2020,106
27-10-2020,107
28-10-2020,109
29-10-2020,110
30-10-2020,124
31-10-2020,123
01-11-2020,121
02-11-2020,113
04-11-2020,202
06-11-2020,107
07-11-2020,111
08-11-2020,109
09-11-2020,113
10-11-2020,113
11-11-2020,154
12-11-2020,195
13-11-2020,179
14-11-2020,86
15-11-2020,81
16-11-2020,91
17-11-2020,94
18-11-2020,92
19-11-2020,91
20-11-2020,94
21-11-2020,89
22-11-2020,90
04-12-2020,48
05-12-2020,32
06-12-2020,39
08-12-2020,44
09-12-2020,43
10-12-2020,62
11-12-2020,42
12-12-2020,49
13-12-2020,54
14-12-2020,77
15-12-2020,81
16-12-2020,91
17-12-2020,89
18-12-2020,74
20-12-2020,114
21-12-2020,100
22-12-2020,135
23-12-2020,91
25-12-2020,100
26-12-2020,98
27-12-2020,106
28-12-2020,115
29-12-2020,174
31-12-2020,77
02-01-2021,82
04-01-2021,48
05-01-2021,48
06-01-2021,44
07-01-2021,58
08-01-2021,58
09-01-2021,47
09-02-2021,132
10-02-2021,153
11-02-2021,155
12-02-2021,144
13-02-2021,170
14-02-2021,140
18-02-2021,149
19-02-2021,121
20-02-2021,89
21-02-2021,69
22-02-2021,65
25-02-2021,90
26-02-2021,85
02-03-2021,99
13-03-2021,112
17-03-2021,81
