Date,AQI
04-09-2020,57
05-09-2020,49
06-09-2020,61
07-09-2020,38
08-09-2020,45
09-09-2020,46
10-09-2020,47
11-09-2020,50
12-09-2020,40
13-09-2020,61
14-09-2020,42
15-09-2020,38
17-09-2020,35
18-09-2020,35
19-09-2020,51
20-09-2020,34
21-09-2020,20
24-09-2020,38
25-09-2020,34
26-09-2020,63
27-09-2020,27
28-09-2020,47
29-09-2020,42
30-09-2020,54
01-10-2020,71
02-10-2020,33
03-10-2020,46
04-10-2020,45
05-10-2020,29
06-10-2020,22
07-10-2020,40
08-10-2020,60
09-10-2020,57
10-10-2020,78
11-10-2020,53
12-10-2020,64
13-10-2020,56
14-10-2020,63
15-10-2020,55
16-10-2020,47
17-10-2020,72
18-10-2020,63
19-10-2020,36
20-10-2020,83
21-10-2020,78
22-10-2020,60
23-10-2020,31
25-10-2020,37
27-10-2020,71
28-10-2020,61
29-10-2020,61
30-10-2020,65
31-10-2020,38
01-11-2020,38
02-11-2020,33
03-11-2020,53
04-11-2020,100
05-11-2020,107
06-11-2020,102
07-11-2020,87
08-11-2020,56
09-11-2020,47
10-11-2020,63
12-11-2020,68
13-11-2020,65
14-11-2020,70
15-11-2020,51
16-11-2020,35
17-11-2020,80
18-11-2020,107
19-11-2020,108
21-11-2020,87
22-11-2020,156
24-11-2020,94
25-11-2020,68
26-11-2020,78
28-11-2020,121
29-11-2020,62
30-11-2020,51
01-12-2020,74
02-12-2020,76
04-12-2020,71
05-12-2020,91
06-12-2020,75
07-12-2020,91
08-12-2020,106
09-12-2020,90
10-12-2020,94
11-12-2020,92
12-12-2020,111
13-12-2020,87
14-12-2020,82
15-12-2020,82
16-12-2020,92
17-12-2020,99
18-12-2020,115
19-12-2020,127
20-12-2020,85
21-12-2020,58
22-12-2020,76
23-12-2020,68
24-12-2020,69
25-12-2020,67
26-12-2020,48
27-12-2020,59
28-12-2020,66
29-12-2020,63
30-12-2020,64
31-12-2020,65
01-01-2021,59
02-01-2021,35
03-01-2021,47
04-01-2021,54
05-01-2021,61
06-01-2021,76
07-01-2021,74
08-01-2021,89
09-01-2021,100
10-01-2021,116
11-01-2021,192
12-01-2021,226
13-01-2021,177
14-01-2021,137
15-01-2021,143
16-01-2021,169
17-01-2021,143
18-01-2021,95
19-01-2021,115
20-01-2021,191
21-01-2021,225
22-01-2021,169
23-01-2021,134
24-01-2021,128
25-01-2021,114
26-01-2021,124
28-01-2021,95
29-01-2021,97
30-01-2021,146
31-01-2021,138
01-02-2021,125
02-02-2021,127
04-02-2021,93
05-02-2021,88
06-02-2021,123
07-02-2021,99
08-02-2021,94
09-02-2021,138
10-02-2021,91
11-02-2021,99
12-02-2021,171
13-02-2021,114
14-02-2021,121
15-02-2021,111
16-02-2021,154
17-02-2021,150
18-02-2021,124
19-02-2021,119
20-02-2021,184
21-02-2021,198
22-02-2021,118
23-02-2021,150
24-02-2021,127
25-02-2021,213
26-02-2021,244
27-02-2021,188
28-02-2021,121
01-03-2021,123
02-03-2021,129
03-03-2021,131
04-03-2021,132
05-03-2021,154
06-03-2021,101
07-03-2021,96
08-03-2021,99
10-03-2021,125
11-03-2021,93
12-03-2021,104
13-03-2021,117
19-03-2021,194
21-03-2021,206
22-03-2021,156
23-03-2021,186
24-03-2021,181
25-03-2021,171
26-03-2021,144
27-03-2021,251
29-03-2021,277
03-04-2021,110
04-04-2021,89
05-04-2021,100
06-04-2021,111
07-04-2021,114
11-04-2021,119
12-04-2021,98
13-04-2021,102
14-04-2021,94
15-04-2021,106
16-04-2021,102
17-04-2021,71
18-04-2021,73
19-04-2021,73
20-04-2021,128
22-04-2021,121
23-04-2021,101
24-04-2021,113
25-04-2021,91
26-04-2021,111
27-04-2021,127
28-04-2021,141
29-04-2021,121
30-04-2021,165
01-05-2021,116
02-05-2021,81
03-05-2021,89
05-05-2021,67
06-05-2021,70
07-05-2021,56
08-05-2021,69
09-05-2021,48
10-05-2021,59
11-05-2021,72
12-05-2021,58
13-05-2021,54
14-05-2021,46
15-05-2021,62
16-05-2021,55
17-05-2021,50
18-05-2021,62
19-05-2021,49
20-05-2021,30
21-05-2021,40
22-05-2021,44
23-05-2021,41
24-05-2021,37
25-05-2021,28
26-05-2021,29
27-05-2021,38
28-05-2021,49
29-05-2021,46
30-05-2021,53
31-05-2021,59
01-06-2021,45
02-06-2021,44
03-06-2021,49
11-06-2021,37
12-06-2021,33
13-06-2021,29
14-06-2021,31
15-06-2021,32
16-06-2021,38
17-06-2021,30
18-06-2021,30
19-06-2021,32
20-06-2021,30
21-06-2021,30
22-06-2021,35
23-06-2021,30
24-06-2021,36
25-06-2021,63
26-06-2021,52
27-06-2021,43
28-06-2021,32
29-06-2021,31
30-06-2021,37
01-07-2021,30
02-07-2021,58
03-07-2021,54
04-07-2021,43
05-07-2021,32
06-07-2021,48
07-07-2021,32
08-07-2021,37
09-07-2021,44
10-07-2021,32
13-07-2021,42
14-07-2021,32
15-07-2021,32
16-07-2021,41
17-07-2021,32
18-07-2021,32
20-07-2021,48
21-07-2021,38
22-07-2021,33
23-07-2021,33
24-07-2021,43
25-07-2021,32
26-07-2021,33
27-07-2021,33
28-07-2021,33
29-07-2021,33
30-07-2021,33
31-07-2021,34
01-08-2021,33
02-08-2021,33
03-08-2021,37
04-08-2021,35
05-08-2021,46
06-08-2021,47
07-08-2021,34
08-08-2021,35
09-08-2021,33
10-08-2021,37
11-08-2021,63
13-08-2021,59
14-08-2021,54
15-08-2021,58
16-08-2021,34
17-08-2021,40
18-08-2021,35
19-08-2021,38
20-08-2021,37
21-08-2021,37
23-08-2021,41
24-08-2021,56
25-08-2021,53
26-08-2021,63
27-08-2021,45
28-08-2021,68
29-08-2021,54
30-08-2021,44
31-08-2021,40
01-09-2021,64
02-09-2021,35
03-09-2021,35
04-09-2021,59
05-09-2021,49
06-09-2021,39
07-09-2021,45
08-09-2021,45
09-09-2021,47
10-09-2021,37
11-09-2021,40
14-09-2021,36
15-09-2021,56
16-09-2021,36
18-09-2021,43
19-09-2021,35
20-09-2021,36
21-09-2021,47
22-09-2021,45
23-09-2021,44
24-09-2021,48
25-09-2021,44
26-09-2021,37
27-09-2021,35
28-09-2021,37
29-09-2021,41
30-09-2021,38
01-10-2021,40
05-10-2021,36
06-10-2021,57
07-10-2021,73
08-10-2021,63
09-10-2021,59
10-10-2021,56
11-10-2021,48
12-10-2021,55
13-10-2021,47
19-10-2021,57
20-10-2021,37
21-10-2021,36
22-10-2021,59
24-10-2021,76
25-10-2021,68
26-10-2021,58
27-10-2021,64
28-10-2021,65
29-10-2021,64
30-10-2021,66
01-11-2021,55
02-11-2021,54
03-11-2021,50
04-11-2021,49
05-11-2021,59
06-11-2021,53
07-11-2021,55
08-11-2021,49
09-11-2021,55
10-11-2021,51
11-11-2021,71
12-11-2021,62
13-11-2021,74
14-11-2021,75
15-11-2021,74
16-11-2021,67
17-11-2021,66
18-11-2021,69
19-11-2021,63
20-11-2021,63
21-11-2021,70
22-11-2021,72
23-11-2021,90
24-11-2021,87
25-11-2021,94
26-11-2021,138
27-11-2021,116
29-11-2021,92
30-11-2021,89
01-12-2021,131
02-12-2021,124
03-12-2021,85
04-12-2021,78
05-12-2021,80
06-12-2021,69
07-12-2021,76
08-12-2021,63
09-12-2021,86
10-12-2021,80
11-12-2021,107
12-12-2021,97
13-12-2021,66
14-12-2021,62
15-12-2021,73
16-12-2021,79
17-12-2021,71
18-12-2021,62
19-12-2021,74
20-12-2021,68
21-12-2021,71
22-12-2021,78
23-12-2021,64
24-12-2021,63
25-12-2021,61
26-12-2021,45
27-12-2021,51
28-12-2021,47
31-12-2021,74
01-01-2022,74
02-01-2022,58
03-01-2022,55
04-01-2022,56
05-01-2022,87
06-01-2022,55
07-01-2022,54
08-01-2022,55
09-01-2022,54
10-01-2022,56
11-01-2022,72
13-01-2022,64
14-01-2022,76
15-01-2022,96
16-01-2022,64
17-01-2022,71
18-01-2022,74
19-01-2022,65
20-01-2022,72
22-01-2022,132
23-01-2022,93
24-01-2022,113
25-01-2022,108
26-01-2022,128
28-01-2022,118
31-01-2022,127
01-02-2022,160
02-02-2022,75
03-02-2022,108
04-02-2022,111
05-02-2022,49
07-02-2022,65
08-02-2022,97
09-02-2022,111
12-02-2022,129
14-02-2022,65
15-02-2022,73
16-02-2022,69
17-02-2022,85
18-02-2022,94
20-02-2022,90
21-02-2022,52
22-02-2022,107
24-02-2022,117
25-02-2022,146
27-02-2022,98
28-02-2022,98
01-03-2022,98
02-03-2022,112
10-03-2022,110
11-03-2022,115
12-03-2022,128
13-03-2022,123
14-03-2022,114
15-03-2022,124
16-03-2022,174
17-03-2022,181
18-03-2022,157
19-03-2022,156
20-03-2022,145
21-03-2022,120
22-03-2022,149
23-03-2022,153
24-03-2022,156
25-03-2022,90
05-04-2022,116
06-04-2022,117
07-04-2022,117
08-04-2022,118
09-04-2022,119
10-04-2022,114
11-04-2022,48
12-04-2022,76
14-04-2022,95
15-04-2022,71
16-04-2022,100
17-04-2022,79
22-04-2022,66
23-04-2022,79
24-04-2022,123
25-04-2022,129
26-04-2022,167
27-04-2022,99
28-04-2022,79
29-04-2022,115
30-04-2022,60
01-05-2022,75
02-05-2022,55
03-05-2022,67
04-05-2022,47
05-05-2022,51
06-05-2022,76
07-05-2022,77
08-05-2022,65
09-05-2022,63
10-05-2022,59
11-05-2022,47
12-05-2022,49
13-05-2022,49
14-05-2022,48
15-05-2022,59
16-05-2022,48
17-05-2022,50
18-05-2022,47
19-05-2022,61
20-05-2022,79
21-05-2022,67
22-05-2022,71
23-05-2022,81
24-05-2022,99
25-05-2022,85
26-05-2022,49
27-05-2022,109
28-05-2022,104
29-05-2022,94
30-05-2022,90
31-05-2022,83
01-06-2022,50
02-06-2022,51
03-06-2022,53
04-06-2022,79
05-06-2022,79
06-06-2022,73
07-06-2022,85
09-06-2022,77
10-06-2022,86
11-06-2022,75
12-06-2022,123
13-06-2022,67
14-06-2022,112
15-06-2022,65
17-06-2022,50
18-06-2022,50
19-06-2022,49
20-06-2022,51
21-06-2022,50
22-06-2022,54
23-06-2022,53
25-06-2022,56
26-06-2022,52
27-06-2022,70
28-06-2022,71
29-06-2022,57
30-06-2022,56
01-07-2022,67
02-07-2022,58
03-07-2022,51
04-07-2022,55
05-07-2022,51
06-07-2022,53
07-07-2022,60
08-07-2022,51
09-07-2022,55
10-07-2022,54
11-07-2022,57
12-07-2022,51
13-07-2022,52
14-07-2022,51
15-07-2022,50
20-07-2022,52
21-07-2022,48
22-07-2022,50
23-07-2022,53
24-07-2022,53
25-07-2022,52
26-07-2022,52
27-07-2022,53
28-07-2022,52
29-07-2022,53
30-07-2022,52
31-07-2022,53
01-08-2022,53
02-08-2022,53
03-08-2022,51
04-08-2022,72
05-08-2022,52
06-08-2022,52
07-08-2022,52
08-08-2022,57
09-08-2022,54
10-08-2022,53
11-08-2022,56
12-08-2022,55
14-08-2022,53
15-08-2022,55
16-08-2022,54
18-08-2022,55
19-08-2022,54
23-08-2022,51
27-08-2022,55
28-08-2022,52
29-08-2022,61
30-08-2022,52
31-08-2022,68
01-09-2022,57
02-09-2022,51
03-09-2022,54
04-09-2022,55
05-09-2022,57
06-09-2022,59
07-09-2022,136
08-09-2022,138
09-09-2022,53
10-09-2022,52
11-09-2022,40
12-09-2022,24
17-09-2022,58
27-09-2022,48
29-09-2022,58
30-09-2022,68
01-10-2022,71
02-10-2022,39
03-10-2022,14
04-10-2022,51
06-10-2022,35
07-10-2022,53
08-10-2022,56
09-10-2022,52
10-10-2022,55
18-10-2022,57
19-10-2022,90
20-10-2022,49
22-10-2022,118
23-10-2022,117
24-10-2022,116
27-10-2022,116
28-10-2022,116
29-10-2022,116
30-10-2022,117
31-10-2022,116
01-11-2022,116
03-11-2022,117
04-11-2022,116
05-11-2022,117
06-11-2022,117
07-11-2022,118
08-11-2022,116
09-11-2022,116
10-11-2022,116
11-11-2022,118
12-11-2022,116
13-11-2022,116
14-11-2022,100
15-11-2022,67
16-11-2022,56
17-11-2022,68
18-11-2022,56
19-11-2022,47
24-11-2022,69
25-11-2022,65
26-11-2022,74
27-11-2022,47
28-11-2022,43
29-11-2022,61
30-11-2022,54
01-12-2022,53
02-12-2022,53
03-12-2022,52
04-12-2022,44
05-12-2022,52
06-12-2022,43
07-12-2022,62
08-12-2022,63
09-12-2022,57
10-12-2022,54
11-12-2022,57
12-12-2022,64
13-12-2022,82
14-12-2022,100
15-12-2022,98
16-12-2022,98
17-12-2022,55
18-12-2022,55
19-12-2022,55
20-12-2022,55
21-12-2022,55
22-12-2022,55
23-12-2022,55
25-12-2022,64
26-12-2022,99
27-12-2022,84
28-12-2022,111
29-12-2022,101
30-12-2022,80
31-12-2022,92
01-01-2023,80
02-01-2023,66
03-01-2023,74
04-01-2023,69
05-01-2023,63
06-01-2023,65
07-01-2023,66
08-01-2023,67
09-01-2023,68
10-01-2023,72
11-01-2023,73
12-01-2023,82
14-01-2023,103
15-01-2023,99
16-01-2023,106
17-01-2023,113
18-01-2023,116
19-01-2023,126
20-01-2023,98
21-01-2023,84
22-01-2023,92
23-01-2023,105
24-01-2023,114
25-01-2023,93
26-01-2023,122
27-01-2023,145
28-01-2023,157
29-01-2023,154
30-01-2023,92
31-01-2023,68
01-02-2023,103
02-02-2023,105
03-02-2023,114
07-02-2023,158
08-02-2023,128
09-02-2023,138
10-02-2023,119
11-02-2023,138
12-02-2023,147
13-02-2023,104
14-02-2023,134
15-02-2023,109
16-02-2023,95
17-02-2023,95
18-02-2023,123
19-02-2023,134
20-02-2023,130
21-02-2023,198
22-02-2023,181
23-02-2023,96
24-02-2023,89
25-02-2023,82
26-02-2023,93
27-02-2023,78
28-02-2023,164
01-03-2023,116
02-03-2023,108
03-03-2023,128
04-03-2023,149
05-03-2023,198
06-03-2023,143
07-03-2023,145
08-03-2023,149
09-03-2023,163
10-03-2023,218
11-03-2023,193
12-03-2023,155
