Date,AQI
13-01-2021,54
16-01-2021,74
17-01-2021,63
19-01-2021,49
20-01-2021,49
21-01-2021,47
22-01-2021,47
23-01-2021,52
25-01-2021,50
26-01-2021,49
27-01-2021,58
28-01-2021,61
29-01-2021,54
30-01-2021,54
31-01-2021,54
01-02-2021,48
02-02-2021,58
03-02-2021,71
04-02-2021,64
06-02-2021,73
09-02-2021,67
10-02-2021,74
11-02-2021,79
12-02-2021,55
14-02-2021,58
16-02-2021,70
18-02-2021,72
20-02-2021,53
21-02-2021,45
22-02-2021,47
28-02-2021,79
01-03-2021,61
02-03-2021,78
05-03-2021,58
06-03-2021,64
07-03-2021,75
08-03-2021,60
09-03-2021,53
10-03-2021,49
11-03-2021,53
12-03-2021,56
13-03-2021,59
14-03-2021,62
16-03-2021,81
17-03-2021,95
18-03-2021,86
19-03-2021,69
20-03-2021,73
21-03-2021,61
22-03-2021,63
23-03-2021,57
24-03-2021,62
25-03-2021,61
27-03-2021,68
28-03-2021,80
29-03-2021,64
30-03-2021,68
31-03-2021,67
01-04-2021,57
02-04-2021,57
03-04-2021,62
04-04-2021,60
05-04-2021,64
07-04-2021,60
08-04-2021,60
09-04-2021,61
10-04-2021,62
13-04-2021,56
14-04-2021,58
16-04-2021,65
17-04-2021,80
18-04-2021,79
19-04-2021,72
20-04-2021,69
21-04-2021,73
22-04-2021,65
23-04-2021,64
25-04-2021,59
26-04-2021,60
27-04-2021,63
28-04-2021,65
29-04-2021,70
01-05-2021,61
02-05-2021,56
03-05-2021,55
03-07-2021,196
06-07-2021,83
07-07-2021,89
08-07-2021,83
09-07-2021,93
10-07-2021,83
11-07-2021,84
12-07-2021,87
13-07-2021,96
14-07-2021,89
15-07-2021,90
17-07-2021,86
20-07-2021,93
21-07-2021,94
22-07-2021,90
24-07-2021,96
25-07-2021,93
26-07-2021,94
27-07-2021,95
28-07-2021,97
29-07-2021,96
30-07-2021,93
01-08-2021,44
02-08-2021,76
03-08-2021,51
04-08-2021,47
07-08-2021,45
08-08-2021,36
09-08-2021,34
10-08-2021,29
11-08-2021,34
12-08-2021,46
14-08-2021,61
15-08-2021,46
17-08-2021,47
18-08-2021,48
19-08-2021,47
20-08-2021,48
21-08-2021,69
22-08-2021,45
23-08-2021,49
24-08-2021,51
25-08-2021,42
26-08-2021,50
27-08-2021,42
28-08-2021,42
29-08-2021,42
30-08-2021,42
01-09-2021,67
02-09-2021,55
04-09-2021,45
05-09-2021,42
07-09-2021,43
08-09-2021,43
09-09-2021,43
10-09-2021,46
11-09-2021,42
12-09-2021,43
14-09-2021,43
15-09-2021,62
17-09-2021,77
18-09-2021,88
19-09-2021,67
23-09-2021,43
25-09-2021,43
26-09-2021,51
28-09-2021,43
29-09-2021,43
30-09-2021,51
01-10-2021,77
02-10-2021,46
03-10-2021,43
04-10-2021,48
05-10-2021,58
06-10-2021,43
07-10-2021,43
08-10-2021,44
09-10-2021,43
10-10-2021,44
11-10-2021,43
12-10-2021,43
14-10-2021,78
15-10-2021,85
16-10-2021,64
18-10-2021,72
19-10-2021,76
21-10-2021,64
22-10-2021,107
24-10-2021,47
26-10-2021,85
27-10-2021,104
28-10-2021,139
29-10-2021,100
30-10-2021,40
31-10-2021,43
01-11-2021,44
02-11-2021,40
03-11-2021,40
04-11-2021,41
05-11-2021,41
07-11-2021,56
09-11-2021,106
10-11-2021,104
13-11-2021,39
15-11-2021,39
16-11-2021,50
17-11-2021,40
18-11-2021,42
25-11-2021,69
30-11-2021,40
01-12-2021,55
02-12-2021,82
04-12-2021,98
07-12-2021,140
08-12-2021,73
09-12-2021,59
10-12-2021,42
11-12-2021,61
12-12-2021,42
13-12-2021,41
17-12-2021,134
18-12-2021,151
23-12-2021,160
28-12-2021,98
31-12-2021,52
03-01-2022,64
04-01-2022,98
06-01-2022,64
11-01-2022,52
12-01-2022,47
14-01-2022,62
15-01-2022,64
16-01-2022,59
19-01-2022,62
20-01-2022,83
22-01-2022,93
27-01-2022,51
28-01-2022,101
29-01-2022,118
06-02-2022,90
07-02-2022,87
08-02-2022,90
10-02-2022,96
12-02-2022,81
18-02-2022,84
27-02-2022,73
04-03-2022,110
09-03-2022,145
10-03-2022,123
11-03-2022,121
12-03-2022,116
15-03-2022,141
16-03-2022,134
17-03-2022,155
18-03-2022,155
19-03-2022,124
20-03-2022,85
22-03-2022,76
23-03-2022,110
25-03-2022,91
26-03-2022,81
28-03-2022,82
30-03-2022,93
31-03-2022,90
01-04-2022,98
05-04-2022,87
06-04-2022,79
07-04-2022,102
08-04-2022,67
09-04-2022,56
10-04-2022,55
12-04-2022,57
20-04-2022,95
23-04-2022,60
24-04-2022,61
26-04-2022,90
11-05-2022,83
21-05-2022,55
26-05-2022,95
27-05-2022,61
31-05-2022,66
20-10-2022,83
21-10-2022,76
23-10-2022,135
25-10-2022,102
26-10-2022,120
27-10-2022,103
28-10-2022,86
29-10-2022,68
31-10-2022,75
01-11-2022,104
02-11-2022,63
03-11-2022,54
04-11-2022,63
05-11-2022,80
06-11-2022,80
07-11-2022,124
08-11-2022,127
09-11-2022,121
10-11-2022,121
11-11-2022,101
12-11-2022,75
13-11-2022,67
14-11-2022,66
15-11-2022,73
16-11-2022,109
17-11-2022,150
18-11-2022,108
19-11-2022,152
20-11-2022,159
21-11-2022,176
22-11-2022,143
23-11-2022,68
24-11-2022,68
25-11-2022,77
26-11-2022,73
27-11-2022,79
28-11-2022,93
29-11-2022,135
30-11-2022,136
01-12-2022,129
02-12-2022,81
03-12-2022,69
04-12-2022,75
06-12-2022,193
07-12-2022,178
08-12-2022,170
09-12-2022,168
12-12-2022,166
18-12-2022,162
20-12-2022,159
24-12-2022,157
03-01-2023,157
13-01-2023,167
14-01-2023,167
21-01-2023,167
22-01-2023,167
23-01-2023,166
24-01-2023,166
27-01-2023,165
28-01-2023,164
31-01-2023,166
02-02-2023,166
03-02-2023,164
04-02-2023,167
07-02-2023,172
09-02-2023,168
10-02-2023,175
16-02-2023,169
17-02-2023,166
19-02-2023,167
20-02-2023,165
22-02-2023,166
28-02-2023,164
01-03-2023,167
02-03-2023,168
03-03-2023,169
06-03-2023,127
08-03-2023,112
09-03-2023,129
10-03-2023,122
11-03-2023,133
15-03-2023,138
16-03-2023,93
19-03-2023,56
20-03-2023,67
21-03-2023,84
22-03-2023,79
