Date,AQI
25-04-2023,92
26-04-2023,62
27-04-2023,70
28-04-2023,72
29-04-2023,61
30-04-2023,62
01-05-2023,56
02-05-2023,55
03-05-2023,54
04-05-2023,69
05-05-2023,99
06-05-2023,68
07-05-2023,74
08-05-2023,120
09-05-2023,125
10-05-2023,59
11-05-2023,92
12-05-2023,50
13-05-2023,79
14-05-2023,61
15-05-2023,54
16-05-2023,58
17-05-2023,66
18-05-2023,58
19-05-2023,130
20-05-2023,78
21-05-2023,77
22-05-2023,74
23-05-2023,225
24-05-2023,60
25-05-2023,52
26-05-2023,49
27-05-2023,38
28-05-2023,24
29-05-2023,54
30-05-2023,89
31-05-2023,106
01-06-2023,79
02-06-2023,64
03-06-2023,52
04-06-2023,36
05-06-2023,42
06-06-2023,52
07-06-2023,52
10-06-2023,44
11-06-2023,39
12-06-2023,50
13-06-2023,34
14-06-2023,33
15-06-2023,44
16-06-2023,56
17-06-2023,59
18-06-2023,60
19-06-2023,74
20-06-2023,72
21-06-2023,71
22-06-2023,68
23-06-2023,123
24-06-2023,36
25-06-2023,38
26-06-2023,48
27-06-2023,48
28-06-2023,30
29-06-2023,32
30-06-2023,36
01-07-2023,27
02-07-2023,27
03-07-2023,26
04-07-2023,338
07-07-2023,30
08-07-2023,36
09-07-2023,20
11-07-2023,54
12-07-2023,64
13-07-2023,61
14-07-2023,36
15-07-2023,32
16-07-2023,46
17-07-2023,42
18-07-2023,34
19-07-2023,34
20-07-2023,36
21-07-2023,31
22-07-2023,34
23-07-2023,32
24-07-2023,25
25-07-2023,25
26-07-2023,25
27-07-2023,25
28-07-2023,28
29-07-2023,32
30-07-2023,32
31-07-2023,33
01-08-2023,28
02-08-2023,30
03-08-2023,38
04-08-2023,35
05-08-2023,38
06-08-2023,36
07-08-2023,36
08-08-2023,72
09-08-2023,48
10-08-2023,57
11-08-2023,51
12-08-2023,60
13-08-2023,49
14-08-2023,42
15-08-2023,49
16-08-2023,44
17-08-2023,32
18-08-2023,42
19-08-2023,38
20-08-2023,38
21-08-2023,40
22-08-2023,44
23-08-2023,50
24-08-2023,45
25-08-2023,30
26-08-2023,30
27-08-2023,36
29-08-2023,44
30-08-2023,58
31-08-2023,65
01-09-2023,71
02-09-2023,63
03-09-2023,54
04-09-2023,54
05-09-2023,64
06-09-2023,60
07-09-2023,54
08-09-2023,40
09-09-2023,30
10-09-2023,28
11-09-2023,28
12-09-2023,33
13-09-2023,40
14-09-2023,39
15-09-2023,36
16-09-2023,27
17-09-2023,36
18-09-2023,32
19-09-2023,24
20-09-2023,34
21-09-2023,36
22-09-2023,35
23-09-2023,30
24-09-2023,31
25-09-2023,41
26-09-2023,36
27-09-2023,44
28-09-2023,44
29-09-2023,52
30-09-2023,59
02-10-2023,68
03-10-2023,78
04-10-2023,88
05-10-2023,75
06-10-2023,109
07-10-2023,112
08-10-2023,107
09-10-2023,118
11-10-2023,114
12-10-2023,116
13-10-2023,124
14-10-2023,98
15-10-2023,130
16-10-2023,146
17-10-2023,150
18-10-2023,100
19-10-2023,102
21-10-2023,172
22-10-2023,189
23-10-2023,188
24-10-2023,134
25-10-2023,107
26-10-2023,131
28-10-2023,158
29-10-2023,128
30-10-2023,133
31-10-2023,142
01-11-2023,130
02-11-2023,156
03-11-2023,200
04-11-2023,168
05-11-2023,120
06-11-2023,157
07-11-2023,112
08-11-2023,70
09-11-2023,67
10-11-2023,77
11-11-2023,142
12-11-2023,160
13-11-2023,212
14-11-2023,168
15-11-2023,178
16-11-2023,161
17-11-2023,188
18-11-2023,192
19-11-2023,167
20-11-2023,124
21-11-2023,151
22-11-2023,161
23-11-2023,168
24-11-2023,92
25-11-2023,91
26-11-2023,100
27-11-2023,114
28-11-2023,87
29-11-2023,84
30-11-2023,70
01-12-2023,82
02-12-2023,80
03-12-2023,114
04-12-2023,96
05-12-2023,105
06-12-2023,124
07-12-2023,122
08-12-2023,116
09-12-2023,119
10-12-2023,182
11-12-2023,176
12-12-2023,116
14-12-2023,158
15-12-2023,147
16-12-2023,138
17-12-2023,107
18-12-2023,110
19-12-2023,214
20-12-2023,164
21-12-2023,170
22-12-2023,241
23-12-2023,246
24-12-2023,214
25-12-2023,204
26-12-2023,204
27-12-2023,196
28-12-2023,206
29-12-2023,198
30-12-2023,200
31-12-2023,201
