Date,AQI
05-07-2016,32
06-07-2016,31
07-07-2016,32
08-07-2016,32
09-07-2016,25
10-07-2016,29
11-07-2016,29
12-07-2016,37
13-07-2016,29
14-07-2016,32
15-07-2016,35
16-07-2016,30
17-07-2016,27
26-07-2016,32
27-07-2016,27
28-07-2016,26
31-07-2016,40
02-08-2016,35
03-08-2016,38
05-08-2016,26
06-08-2016,32
07-08-2016,31
08-08-2016,35
09-08-2016,35
10-08-2016,30
11-08-2016,27
12-08-2016,37
13-08-2016,35
14-08-2016,37
15-08-2016,42
16-08-2016,29
17-08-2016,29
20-08-2016,53
21-08-2016,75
22-08-2016,27
23-08-2016,36
24-08-2016,63
25-08-2016,57
26-08-2016,38
27-08-2016,27
28-08-2016,22
29-08-2016,28
30-08-2016,33
31-08-2016,40
01-09-2016,39
02-09-2016,30
03-09-2016,40
04-09-2016,41
05-09-2016,33
06-09-2016,31
07-09-2016,38
09-09-2016,32
10-09-2016,32
11-09-2016,33
12-09-2016,24
13-09-2016,26
14-09-2016,24
15-09-2016,24
16-09-2016,27
17-09-2016,59
18-09-2016,27
19-09-2016,42
20-09-2016,32
21-09-2016,37
22-09-2016,35
23-09-2016,30
24-09-2016,24
25-09-2016,24
26-09-2016,30
27-09-2016,36
28-09-2016,51
29-09-2016,32
30-09-2016,31
01-10-2016,31
02-10-2016,27
03-10-2016,26
05-10-2016,41
06-10-2016,56
07-10-2016,31
08-10-2016,35
11-10-2016,32
13-10-2016,93
14-10-2016,68
15-10-2016,92
16-10-2016,85
17-10-2016,79
18-10-2016,90
19-10-2016,79
20-10-2016,66
22-10-2016,84
23-10-2016,64
27-10-2016,47
28-10-2016,51
29-10-2016,46
30-10-2016,82
31-10-2016,69
01-11-2016,78
02-11-2016,69
03-11-2016,65
04-11-2016,46
05-11-2016,40
06-11-2016,48
07-11-2016,97
08-11-2016,143
09-11-2016,168
10-11-2016,202
11-11-2016,188
12-11-2016,160
13-11-2016,141
14-11-2016,138
15-11-2016,157
16-11-2016,113
17-11-2016,114
18-11-2016,113
19-11-2016,149
20-11-2016,228
21-11-2016,171
22-11-2016,177
23-11-2016,221
24-11-2016,232
25-11-2016,216
26-11-2016,269
27-11-2016,256
28-11-2016,229
29-11-2016,203
30-11-2016,171
01-12-2016,135
02-12-2016,104
03-12-2016,163
04-12-2016,163
05-12-2016,180
06-12-2016,161
07-12-2016,151
08-12-2016,152
09-12-2016,144
10-12-2016,201
11-12-2016,205
12-12-2016,182
13-12-2016,193
14-12-2016,193
15-12-2016,181
16-12-2016,153
17-12-2016,179
18-12-2016,233
19-12-2016,217
20-12-2016,176
21-12-2016,111
22-12-2016,125
23-12-2016,365
24-12-2016,385
25-12-2016,411
26-12-2016,360
27-12-2016,243
28-12-2016,267
29-12-2016,297
30-12-2016,236
31-12-2016,177
01-01-2017,203
02-01-2017,173
03-01-2017,235
04-01-2017,169
05-01-2017,192
06-01-2017,175
07-01-2017,177
08-01-2017,168
09-01-2017,215
10-01-2017,188
