Date,AQI
03-03-2020,80
04-03-2020,83
05-03-2020,89
06-03-2020,98
07-03-2020,89
08-03-2020,62
09-03-2020,76
10-03-2020,73
11-03-2020,74
12-03-2020,69
13-03-2020,73
14-03-2020,76
15-03-2020,76
18-03-2020,66
19-03-2020,80
20-03-2020,94
26-03-2020,52
27-03-2020,87
03-04-2020,98
04-04-2020,98
06-04-2020,48
07-04-2020,44
08-04-2020,70
17-04-2020,58
18-04-2020,46
19-04-2020,32
20-04-2020,45
21-04-2020,47
24-04-2020,51
25-04-2020,47
26-04-2020,73
27-04-2020,45
30-04-2020,103
01-05-2020,63
02-05-2020,63
03-05-2020,56
04-05-2020,63
05-05-2020,70
06-05-2020,56
09-05-2020,48
10-05-2020,56
17-05-2020,52
18-05-2020,48
19-05-2020,57
20-05-2020,71
21-05-2020,35
22-05-2020,42
23-05-2020,49
24-05-2020,50
25-05-2020,51
26-05-2020,38
27-05-2020,64
28-05-2020,55
29-05-2020,49
30-05-2020,49
31-05-2020,34
01-06-2020,34
04-06-2020,39
05-06-2020,48
06-06-2020,41
07-06-2020,46
08-06-2020,37
09-06-2020,49
10-06-2020,53
11-06-2020,48
12-06-2020,82
13-06-2020,69
14-06-2020,59
15-06-2020,74
16-06-2020,69
17-06-2020,65
18-06-2020,76
19-06-2020,53
20-06-2020,98
21-06-2020,74
22-06-2020,98
23-06-2020,87
24-06-2020,91
25-06-2020,88
26-06-2020,48
27-06-2020,75
15-08-2020,88
16-08-2020,93
17-08-2020,107
18-08-2020,84
19-08-2020,87
20-08-2020,85
21-08-2020,71
22-08-2020,92
23-08-2020,105
24-08-2020,100
25-08-2020,104
26-08-2020,75
27-08-2020,112
09-09-2020,89
12-09-2020,90
13-09-2020,79
14-09-2020,93
15-09-2020,91
16-09-2020,66
19-09-2020,46
21-09-2020,42
22-09-2020,35
24-09-2020,41
29-09-2020,84
30-09-2020,74
05-10-2020,55
09-10-2020,46
10-10-2020,79
11-10-2020,66
12-10-2020,47
13-10-2020,47
14-10-2020,51
15-10-2020,52
16-10-2020,93
17-10-2020,83
18-10-2020,99
19-10-2020,105
20-10-2020,99
21-10-2020,114
22-10-2020,108
23-10-2020,91
25-10-2020,85
27-10-2020,116
30-10-2020,152
31-10-2020,204
01-11-2020,218
02-11-2020,200
03-11-2020,199
04-11-2020,167
05-11-2020,113
06-11-2020,76
07-11-2020,80
08-11-2020,87
11-11-2020,200
14-11-2020,78
15-11-2020,114
17-11-2020,82
18-11-2020,72
19-11-2020,91
20-11-2020,49
21-11-2020,50
22-11-2020,145
23-11-2020,120
24-11-2020,213
26-11-2020,103
27-11-2020,235
28-11-2020,190
29-11-2020,117
30-11-2020,77
03-12-2020,272
05-12-2020,66
11-12-2020,95
12-12-2020,113
16-12-2020,172
17-12-2020,99
18-12-2020,116
19-12-2020,86
20-12-2020,163
22-12-2020,118
23-12-2020,120
24-12-2020,147
25-12-2020,151
26-12-2020,159
29-12-2020,232
30-12-2020,146
31-12-2020,84
01-01-2021,94
02-01-2021,107
03-01-2021,123
05-01-2021,58
06-01-2021,48
08-01-2021,48
09-01-2021,42
15-01-2021,43
16-01-2021,42
17-01-2021,45
18-01-2021,73
19-01-2021,96
20-01-2021,185
21-01-2021,185
22-01-2021,138
23-01-2021,73
24-01-2021,80
25-01-2021,83
26-01-2021,91
27-01-2021,100
28-01-2021,152
29-01-2021,176
30-01-2021,237
31-01-2021,191
01-02-2021,107
02-02-2021,89
03-02-2021,103
04-02-2021,105
06-02-2021,101
07-02-2021,158
08-02-2021,129
09-02-2021,106
10-02-2021,130
11-02-2021,129
12-02-2021,101
13-02-2021,152
14-02-2021,169
15-02-2021,173
16-02-2021,200
17-02-2021,195
18-02-2021,116
19-02-2021,116
20-02-2021,99
21-02-2021,84
22-02-2021,66
23-02-2021,90
24-02-2021,105
25-02-2021,108
26-02-2021,127
27-02-2021,102
28-02-2021,99
01-03-2021,65
02-03-2021,62
03-03-2021,138
04-03-2021,99
05-03-2021,104
06-03-2021,117
07-03-2021,139
08-03-2021,127
09-03-2021,88
10-03-2021,59
11-03-2021,60
12-03-2021,69
13-03-2021,82
14-03-2021,89
15-03-2021,81
16-03-2021,136
17-03-2021,117
18-03-2021,148
19-03-2021,126
20-03-2021,112
21-03-2021,124
22-03-2021,125
27-03-2021,93
28-03-2021,72
29-03-2021,67
30-03-2021,54
31-03-2021,59
01-04-2021,68
02-04-2021,102
03-04-2021,107
04-04-2021,126
05-04-2021,155
06-04-2021,157
08-04-2021,116
09-04-2021,205
10-04-2021,113
11-04-2021,88
12-04-2021,78
13-04-2021,86
14-04-2021,75
15-04-2021,77
16-04-2021,76
17-04-2021,78
18-04-2021,63
19-04-2021,95
20-04-2021,75
21-04-2021,141
22-04-2021,86
23-04-2021,82
24-04-2021,89
25-04-2021,89
26-04-2021,114
27-04-2021,108
28-04-2021,98
29-04-2021,87
30-04-2021,91
01-05-2021,84
02-05-2021,93
03-05-2021,79
04-05-2021,59
05-05-2021,62
06-05-2021,48
07-05-2021,56
08-05-2021,58
09-05-2021,53
10-05-2021,39
11-05-2021,30
12-05-2021,31
13-05-2021,42
14-05-2021,31
18-05-2021,53
19-05-2021,57
20-05-2021,32
22-05-2021,48
23-05-2021,31
24-05-2021,80
25-05-2021,105
27-05-2021,49
28-05-2021,69
29-05-2021,48
30-05-2021,56
31-05-2021,65
01-06-2021,47
02-06-2021,52
03-06-2021,61
04-06-2021,50
05-06-2021,50
06-06-2021,50
07-06-2021,59
08-06-2021,64
09-06-2021,78
10-06-2021,69
11-06-2021,99
12-06-2021,99
13-06-2021,99
14-06-2021,100
15-06-2021,99
16-06-2021,99
17-06-2021,99
18-06-2021,99
19-06-2021,100
20-06-2021,100
21-06-2021,100
22-06-2021,99
23-06-2021,99
24-06-2021,100
25-06-2021,124
26-06-2021,110
27-06-2021,99
28-06-2021,93
29-06-2021,62
30-06-2021,78
01-07-2021,82
02-07-2021,76
03-07-2021,74
04-07-2021,74
05-07-2021,75
06-07-2021,75
07-07-2021,70
08-07-2021,60
09-07-2021,61
10-07-2021,50
11-07-2021,50
12-07-2021,74
13-07-2021,73
14-07-2021,82
15-07-2021,67
16-07-2021,72
17-07-2021,70
18-07-2021,58
19-07-2021,61
20-07-2021,69
21-07-2021,58
22-07-2021,59
23-07-2021,62
24-07-2021,58
26-07-2021,84
27-07-2021,99
28-07-2021,100
29-07-2021,99
30-07-2021,100
31-07-2021,99
01-08-2021,99
02-08-2021,100
03-08-2021,100
04-08-2021,100
05-08-2021,99
06-08-2021,99
07-08-2021,99
08-08-2021,100
09-08-2021,92
10-08-2021,90
11-08-2021,90
12-08-2021,89
13-08-2021,91
14-08-2021,89
15-08-2021,90
16-08-2021,89
17-08-2021,90
19-08-2021,99
20-08-2021,99
21-08-2021,99
22-08-2021,99
23-08-2021,99
24-08-2021,100
25-08-2021,100
26-08-2021,99
27-08-2021,100
28-08-2021,100
31-08-2021,99
01-09-2021,100
02-09-2021,99
03-09-2021,100
04-09-2021,100
06-09-2021,99
07-09-2021,106
08-09-2021,109
09-09-2021,100
10-09-2021,100
11-09-2021,99
12-09-2021,100
13-09-2021,100
14-09-2021,100
15-09-2021,99
16-09-2021,93
17-09-2021,91
18-09-2021,91
19-09-2021,90
20-09-2021,90
21-09-2021,88
22-09-2021,89
23-09-2021,90
24-09-2021,90
25-09-2021,89
26-09-2021,89
27-09-2021,91
28-09-2021,90
29-09-2021,90
30-09-2021,90
01-10-2021,89
02-10-2021,90
03-10-2021,91
04-10-2021,90
05-10-2021,89
06-10-2021,90
07-10-2021,90
08-10-2021,90
09-10-2021,90
10-10-2021,91
12-10-2021,91
13-10-2021,89
14-10-2021,89
15-10-2021,90
16-10-2021,90
17-10-2021,90
18-10-2021,91
19-10-2021,91
20-10-2021,89
22-10-2021,101
23-10-2021,118
24-10-2021,120
25-10-2021,119
26-10-2021,96
27-10-2021,76
28-10-2021,76
29-10-2021,99
30-10-2021,75
31-10-2021,66
01-11-2021,60
02-11-2021,60
03-11-2021,55
04-11-2021,50
05-11-2021,65
06-11-2021,66
07-11-2021,93
08-11-2021,94
09-11-2021,68
10-11-2021,119
11-11-2021,88
12-11-2021,87
13-11-2021,50
14-11-2021,50
15-11-2021,72
16-11-2021,78
17-11-2021,101
18-11-2021,108
19-11-2021,62
20-11-2021,60
21-11-2021,72
22-11-2021,111
23-11-2021,97
24-11-2021,74
25-11-2021,127
26-11-2021,73
27-11-2021,112
28-11-2021,70
30-11-2021,65
01-12-2021,72
02-12-2021,98
03-12-2021,107
04-12-2021,91
08-12-2021,109
09-12-2021,145
10-12-2021,86
11-12-2021,83
12-12-2021,88
13-12-2021,83
14-12-2021,78
15-12-2021,96
16-12-2021,130
17-12-2021,134
18-12-2021,88
19-12-2021,144
20-12-2021,136
21-12-2021,133
22-12-2021,172
23-12-2021,163
24-12-2021,143
25-12-2021,154
26-12-2021,136
27-12-2021,126
28-12-2021,115
29-12-2021,119
30-12-2021,120
31-12-2021,91
01-01-2022,83
03-01-2022,77
04-01-2022,75
05-01-2022,109
06-01-2022,106
07-01-2022,84
08-01-2022,109
09-01-2022,92
10-01-2022,90
11-01-2022,80
12-01-2022,96
13-01-2022,78
14-01-2022,90
15-01-2022,89
16-01-2022,78
17-01-2022,84
18-01-2022,84
19-01-2022,87
20-01-2022,113
21-01-2022,105
22-01-2022,98
25-01-2022,57
26-01-2022,56
27-01-2022,64
28-01-2022,79
29-01-2022,74
04-02-2022,109
05-02-2022,98
06-02-2022,93
07-02-2022,85
08-02-2022,107
09-02-2022,110
10-02-2022,105
11-02-2022,114
12-02-2022,85
13-02-2022,77
14-02-2022,82
15-02-2022,101
16-02-2022,103
17-02-2022,88
18-02-2022,90
19-02-2022,93
20-02-2022,95
21-02-2022,89
22-02-2022,98
23-02-2022,69
24-02-2022,68
25-02-2022,102
26-02-2022,84
27-02-2022,85
28-02-2022,66
01-03-2022,89
02-03-2022,99
03-03-2022,108
04-03-2022,128
05-03-2022,102
06-03-2022,98
07-03-2022,88
08-03-2022,67
09-03-2022,80
10-03-2022,92
11-03-2022,114
15-03-2022,122
16-03-2022,106
17-03-2022,73
18-03-2022,62
19-03-2022,64
20-03-2022,81
21-03-2022,81
22-03-2022,86
23-03-2022,80
24-03-2022,88
25-03-2022,59
26-03-2022,85
27-03-2022,93
28-03-2022,81
29-03-2022,72
30-03-2022,62
31-03-2022,66
01-04-2022,81
02-04-2022,81
03-04-2022,84
04-04-2022,91
05-04-2022,77
06-04-2022,63
07-04-2022,63
08-04-2022,86
12-04-2022,84
13-04-2022,68
14-04-2022,61
15-04-2022,78
16-04-2022,80
19-04-2022,83
