Date,AQI
20-12-2020,112
21-12-2020,90
22-12-2020,98
23-12-2020,88
24-12-2020,91
25-12-2020,95
26-12-2020,96
27-12-2020,107
28-12-2020,107
29-12-2020,94
30-12-2020,103
31-12-2020,73
01-01-2021,79
02-01-2021,89
03-01-2021,80
04-01-2021,61
05-01-2021,65
06-01-2021,46
07-01-2021,23
08-01-2021,44
09-01-2021,37
10-01-2021,59
11-01-2021,54
12-01-2021,65
13-01-2021,90
14-01-2021,72
15-01-2021,106
16-01-2021,116
17-01-2021,96
18-01-2021,87
19-01-2021,78
20-01-2021,88
21-01-2021,78
22-01-2021,100
27-01-2021,73
28-01-2021,98
29-01-2021,97
30-01-2021,75
31-01-2021,89
01-02-2021,82
02-02-2021,90
03-02-2021,84
04-02-2021,75
05-02-2021,101
06-02-2021,94
07-02-2021,78
08-02-2021,79
09-02-2021,84
10-02-2021,91
11-02-2021,99
12-02-2021,96
13-02-2021,97
14-02-2021,80
15-02-2021,74
16-02-2021,94
17-02-2021,80
18-02-2021,97
19-02-2021,88
20-02-2021,38
21-02-2021,52
22-02-2021,48
23-02-2021,74
24-02-2021,78
25-02-2021,91
26-02-2021,98
27-02-2021,106
28-02-2021,104
01-03-2021,82
02-03-2021,83
03-03-2021,105
04-03-2021,109
06-03-2021,92
07-03-2021,83
08-03-2021,109
09-03-2021,108
10-03-2021,101
11-03-2021,74
12-03-2021,74
17-03-2021,99
18-03-2021,99
19-03-2021,162
20-03-2021,115
21-03-2021,89
09-04-2021,57
10-04-2021,70
11-04-2021,79
12-04-2021,72
13-04-2021,74
14-04-2021,62
15-04-2021,49
16-04-2021,58
17-04-2021,56
18-04-2021,56
19-04-2021,57
20-04-2021,61
21-04-2021,49
22-04-2021,53
23-04-2021,63
24-04-2021,53
25-04-2021,58
26-04-2021,63
27-04-2021,60
28-04-2021,57
29-04-2021,58
30-04-2021,69
01-05-2021,75
02-05-2021,72
03-05-2021,66
04-05-2021,63
05-05-2021,63
06-05-2021,68
07-05-2021,64
08-05-2021,63
09-05-2021,58
10-05-2021,60
13-05-2021,55
14-05-2021,75
15-05-2021,64
16-05-2021,63
17-05-2021,58
18-05-2021,60
19-05-2021,54
20-05-2021,60
21-05-2021,78
22-05-2021,77
23-05-2021,74
24-05-2021,68
26-05-2021,85
27-05-2021,83
28-05-2021,83
29-05-2021,73
01-06-2021,89
02-06-2021,89
03-06-2021,85
04-06-2021,80
05-06-2021,94
06-06-2021,104
07-06-2021,103
08-06-2021,102
09-06-2021,104
10-06-2021,103
11-06-2021,106
12-06-2021,107
14-06-2021,106
16-06-2021,101
17-06-2021,99
18-06-2021,98
19-06-2021,60
20-06-2021,61
21-06-2021,62
22-06-2021,65
23-06-2021,70
24-06-2021,64
25-06-2021,56
26-06-2021,65
27-06-2021,65
28-06-2021,64
29-06-2021,57
30-06-2021,67
01-07-2021,64
02-07-2021,68
03-07-2021,72
04-07-2021,66
05-07-2021,70
06-07-2021,72
07-07-2021,74
08-07-2021,74
09-07-2021,71
10-07-2021,74
11-07-2021,73
12-07-2021,74
13-07-2021,76
14-07-2021,76
15-07-2021,77
16-07-2021,77
17-07-2021,76
18-07-2021,78
19-07-2021,77
20-07-2021,77
21-07-2021,26
22-07-2021,27
23-07-2021,48
24-07-2021,28
25-07-2021,28
26-07-2021,28
27-07-2021,28
28-07-2021,29
29-07-2021,28
30-07-2021,28
31-07-2021,30
01-08-2021,28
02-08-2021,28
04-08-2021,31
05-08-2021,29
06-08-2021,32
07-08-2021,33
08-08-2021,33
09-08-2021,34
10-08-2021,36
11-08-2021,37
12-08-2021,39
13-08-2021,40
14-08-2021,35
15-08-2021,36
16-08-2021,39
17-08-2021,45
18-08-2021,48
19-08-2021,40
20-08-2021,43
21-08-2021,44
22-08-2021,42
23-08-2021,47
24-08-2021,46
25-08-2021,47
26-08-2021,46
27-08-2021,50
28-08-2021,51
29-08-2021,53
31-08-2021,53
01-09-2021,53
02-09-2021,56
03-09-2021,57
04-09-2021,59
05-09-2021,58
06-09-2021,56
07-09-2021,56
08-09-2021,55
09-09-2021,53
10-09-2021,54
11-09-2021,55
12-09-2021,57
13-09-2021,59
14-09-2021,59
15-09-2021,60
16-09-2021,62
17-09-2021,41
18-09-2021,36
19-09-2021,36
20-09-2021,36
21-09-2021,35
22-09-2021,32
23-09-2021,33
24-09-2021,36
25-09-2021,36
26-09-2021,34
27-09-2021,38
28-09-2021,38
29-09-2021,41
30-09-2021,38
01-10-2021,41
03-10-2021,42
05-10-2021,55
06-10-2021,58
07-10-2021,59
08-10-2021,67
09-10-2021,67
10-10-2021,65
11-10-2021,73
12-10-2021,81
13-10-2021,90
14-10-2021,93
15-10-2021,116
16-10-2021,74
17-10-2021,42
18-10-2021,55
19-10-2021,39
20-10-2021,42
21-10-2021,49
22-10-2021,46
24-10-2021,42
25-10-2021,49
26-10-2021,57
27-10-2021,60
28-10-2021,65
29-10-2021,67
01-11-2021,45
02-11-2021,45
03-11-2021,46
04-11-2021,45
05-11-2021,46
06-11-2021,57
07-11-2021,68
08-11-2021,81
09-11-2021,111
11-11-2021,121
12-11-2021,76
13-11-2021,42
14-11-2021,44
15-11-2021,44
16-11-2021,46
17-11-2021,57
18-11-2021,53
19-11-2021,53
20-11-2021,52
21-11-2021,61
22-11-2021,62
23-11-2021,64
24-11-2021,72
25-11-2021,78
26-11-2021,78
27-11-2021,52
01-12-2021,52
02-12-2021,55
03-12-2021,62
04-12-2021,57
07-12-2021,81
08-12-2021,78
09-12-2021,73
10-12-2021,71
11-12-2021,78
12-12-2021,82
13-12-2021,84
14-12-2021,56
15-12-2021,46
16-12-2021,52
17-12-2021,62
18-12-2021,57
