Date,AQI
26-10-2022,60
27-10-2022,98
28-10-2022,116
04-01-2023,218
05-01-2023,142
06-01-2023,77
07-01-2023,63
08-01-2023,66
09-01-2023,106
10-01-2023,92
12-01-2023,132
13-01-2023,95
14-01-2023,143
15-01-2023,98
16-01-2023,96
17-01-2023,106
18-01-2023,124
19-01-2023,142
20-01-2023,135
22-01-2023,186
23-01-2023,214
24-01-2023,189
25-01-2023,207
26-01-2023,152
27-01-2023,105
28-01-2023,86
29-01-2023,74
30-01-2023,106
31-01-2023,114
01-02-2023,71
02-02-2023,66
03-02-2023,84
04-02-2023,56
05-02-2023,88
06-02-2023,93
07-02-2023,94
08-02-2023,102
09-02-2023,65
10-02-2023,90
11-02-2023,138
12-02-2023,76
13-02-2023,81
14-02-2023,86
15-02-2023,80
16-02-2023,68
17-02-2023,86
18-02-2023,110
19-02-2023,150
20-02-2023,149
21-02-2023,126
22-02-2023,147
23-02-2023,112
24-02-2023,114
25-02-2023,76
26-02-2023,106
27-02-2023,106
28-02-2023,124
01-03-2023,120
02-03-2023,106
03-03-2023,82
04-03-2023,64
05-03-2023,61
06-03-2023,66
07-03-2023,73
08-03-2023,58
09-03-2023,61
10-03-2023,45
11-03-2023,69
12-03-2023,118
13-03-2023,121
14-03-2023,114
16-03-2023,159
17-03-2023,100
18-03-2023,62
19-03-2023,62
20-03-2023,77
21-03-2023,56
22-03-2023,70
23-03-2023,73
24-03-2023,88
25-03-2023,74
26-03-2023,106
27-03-2023,67
28-03-2023,64
29-03-2023,96
30-03-2023,116
31-03-2023,76
01-04-2023,64
02-04-2023,68
03-04-2023,76
04-04-2023,116
05-04-2023,89
06-04-2023,79
07-04-2023,116
08-04-2023,100
09-04-2023,62
10-04-2023,64
11-04-2023,98
12-04-2023,106
13-04-2023,154
14-04-2023,216
15-04-2023,106
16-04-2023,88
17-04-2023,162
18-04-2023,217
19-04-2023,138
20-04-2023,150
21-04-2023,94
22-04-2023,108
23-04-2023,54
24-04-2023,72
25-04-2023,46
26-04-2023,46
27-04-2023,93
28-04-2023,75
29-04-2023,66
30-04-2023,58
01-05-2023,52
02-05-2023,50
03-05-2023,35
04-05-2023,35
05-05-2023,54
06-05-2023,62
07-05-2023,48
08-05-2023,55
09-05-2023,70
10-05-2023,120
11-05-2023,84
12-05-2023,104
13-05-2023,82
14-05-2023,92
15-05-2023,150
16-05-2023,112
17-05-2023,129
18-05-2023,178
19-05-2023,136
20-05-2023,104
21-05-2023,166
22-05-2023,157
23-05-2023,98
24-05-2023,136
25-05-2023,104
26-05-2023,77
27-05-2023,68
28-05-2023,56
29-05-2023,70
30-05-2023,96
31-05-2023,69
01-06-2023,86
02-06-2023,84
03-06-2023,62
04-06-2023,61
05-06-2023,65
06-06-2023,59
07-06-2023,58
08-06-2023,68
09-06-2023,67
10-06-2023,74
11-06-2023,88
12-06-2023,95
13-06-2023,64
14-06-2023,54
15-06-2023,64
16-06-2023,74
17-06-2023,84
18-06-2023,66
19-06-2023,107
20-06-2023,138
21-06-2023,74
22-06-2023,56
23-06-2023,44
24-06-2023,41
25-06-2023,43
26-06-2023,39
27-06-2023,32
28-06-2023,35
29-06-2023,36
30-06-2023,40
01-07-2023,42
02-07-2023,40
03-07-2023,46
04-07-2023,71
05-07-2023,44
06-07-2023,44
07-07-2023,34
08-07-2023,43
09-07-2023,36
10-07-2023,38
11-07-2023,47
12-07-2023,38
13-07-2023,34
14-07-2023,42
15-07-2023,104
16-07-2023,26
17-07-2023,23
18-07-2023,24
19-07-2023,28
20-07-2023,33
21-07-2023,33
22-07-2023,34
23-07-2023,22
24-07-2023,30
25-07-2023,40
26-07-2023,24
27-07-2023,22
28-07-2023,23
29-07-2023,32
30-07-2023,29
31-07-2023,30
01-08-2023,32
02-08-2023,26
03-08-2023,17
04-08-2023,14
05-08-2023,28
06-08-2023,26
07-08-2023,36
08-08-2023,36
09-08-2023,50
10-08-2023,62
11-08-2023,52
12-08-2023,38
13-08-2023,35
14-08-2023,30
15-08-2023,54
16-08-2023,43
17-08-2023,39
18-08-2023,24
19-08-2023,24
20-08-2023,31
21-08-2023,35
22-08-2023,46
23-08-2023,30
24-08-2023,28
25-08-2023,25
26-08-2023,47
27-08-2023,72
28-08-2023,94
29-08-2023,80
30-08-2023,56
31-08-2023,38
01-09-2023,54
02-09-2023,46
03-09-2023,48
04-09-2023,32
05-09-2023,26
06-09-2023,22
07-09-2023,24
08-09-2023,28
09-09-2023,21
10-09-2023,23
11-09-2023,30
12-09-2023,34
13-09-2023,20
14-09-2023,23
15-09-2023,21
16-09-2023,59
17-09-2023,37
18-09-2023,20
19-09-2023,22
20-09-2023,21
21-09-2023,20
22-09-2023,25
23-09-2023,22
24-09-2023,38
25-09-2023,24
26-09-2023,47
27-09-2023,30
28-09-2023,40
29-09-2023,30
30-09-2023,26
01-10-2023,25
02-10-2023,23
03-10-2023,25
04-10-2023,20
05-10-2023,36
06-10-2023,21
08-10-2023,55
09-10-2023,59
10-10-2023,54
11-10-2023,59
12-10-2023,56
13-10-2023,56
14-10-2023,50
15-10-2023,54
16-10-2023,68
17-10-2023,44
18-10-2023,44
19-10-2023,44
20-10-2023,46
21-10-2023,60
22-10-2023,42
23-10-2023,38
24-10-2023,36
25-10-2023,42
26-10-2023,49
27-10-2023,52
28-10-2023,70
29-10-2023,41
30-10-2023,70
31-10-2023,64
01-11-2023,65
02-11-2023,83
03-11-2023,60
04-11-2023,52
05-11-2023,65
07-11-2023,62
08-11-2023,69
09-11-2023,126
10-11-2023,72
11-11-2023,89
12-11-2023,86
13-11-2023,89
14-11-2023,81
15-11-2023,68
16-11-2023,59
17-11-2023,60
18-11-2023,58
19-11-2023,54
20-11-2023,88
21-11-2023,60
22-11-2023,58
23-11-2023,66
24-11-2023,80
25-11-2023,74
26-11-2023,60
27-11-2023,68
28-11-2023,70
29-11-2023,52
30-11-2023,48
01-12-2023,52
02-12-2023,62
03-12-2023,58
04-12-2023,48
05-12-2023,67
06-12-2023,39
07-12-2023,38
08-12-2023,40
09-12-2023,42
10-12-2023,48
11-12-2023,58
12-12-2023,64
13-12-2023,64
14-12-2023,61
15-12-2023,56
16-12-2023,62
17-12-2023,57
18-12-2023,54
19-12-2023,54
20-12-2023,68
21-12-2023,67
22-12-2023,66
23-12-2023,82
24-12-2023,94
25-12-2023,95
26-12-2023,76
27-12-2023,72
28-12-2023,67
29-12-2023,93
30-12-2023,96
31-12-2023,86
