Date,AQI
24-10-2017,99
25-10-2017,116
26-10-2017,125
27-10-2017,136
28-10-2017,124
29-10-2017,116
30-10-2017,140
31-10-2017,162
01-11-2017,258
02-11-2017,139
03-11-2017,135
04-11-2017,218
05-11-2017,263
06-11-2017,134
07-11-2017,203
08-11-2017,207
09-11-2017,235
10-11-2017,284
11-11-2017,279
12-11-2017,301
13-11-2017,281
14-11-2017,241
15-11-2017,286
19-11-2017,233
20-11-2017,296
21-11-2017,197
23-11-2017,166
24-11-2017,217
25-11-2017,247
26-11-2017,235
27-11-2017,159
28-11-2017,89
29-11-2017,82
30-11-2017,165
01-12-2017,210
02-12-2017,204
03-12-2017,227
04-12-2017,235
05-12-2017,212
06-12-2017,152
10-12-2017,101
11-12-2017,114
12-12-2017,85
13-12-2017,100
14-12-2017,139
15-12-2017,109
18-12-2017,89
19-12-2017,93
20-12-2017,171
21-12-2017,131
22-12-2017,141
23-12-2017,119
24-12-2017,113
25-12-2017,116
26-12-2017,121
27-12-2017,125
28-12-2017,136
30-12-2017,160
31-12-2017,231
01-01-2018,249
02-01-2018,214
03-01-2018,151
04-01-2018,168
05-01-2018,135
06-01-2018,142
07-01-2018,153
08-01-2018,136
09-01-2018,165
10-01-2018,158
11-01-2018,149
12-01-2018,117
13-01-2018,142
14-01-2018,153
15-01-2018,143
16-01-2018,123
17-01-2018,128
18-01-2018,121
19-01-2018,123
20-01-2018,141
21-01-2018,189
22-01-2018,156
23-01-2018,124
24-01-2018,125
25-01-2018,119
26-01-2018,110
27-01-2018,130
28-01-2018,163
29-01-2018,149
31-01-2018,151
05-02-2018,160
14-02-2018,127
01-03-2018,146
02-03-2018,128
03-03-2018,93
04-03-2018,106
05-03-2018,127
06-03-2018,143
07-03-2018,126
08-03-2018,119
09-03-2018,114
10-03-2018,91
11-03-2018,115
12-03-2018,130
13-03-2018,133
14-03-2018,130
15-03-2018,106
16-03-2018,148
17-03-2018,156
18-03-2018,172
19-03-2018,163
21-03-2018,125
22-03-2018,118
23-03-2018,147
24-03-2018,181
25-03-2018,147
26-03-2018,153
27-03-2018,237
28-03-2018,145
29-03-2018,208
30-03-2018,129
31-03-2018,189
01-04-2018,176
02-04-2018,186
03-04-2018,137
04-04-2018,118
05-04-2018,174
06-04-2018,136
07-04-2018,253
08-04-2018,177
10-04-2018,138
11-04-2018,124
18-04-2018,114
19-04-2018,133
20-04-2018,131
21-04-2018,302
22-04-2018,191
23-04-2018,122
24-04-2018,143
25-04-2018,83
26-04-2018,96
27-04-2018,120
30-04-2018,143
01-05-2018,138
02-05-2018,145
03-05-2018,276
04-05-2018,114
05-05-2018,179
06-05-2018,153
07-05-2018,121
08-05-2018,226
09-05-2018,175
10-05-2018,156
11-05-2018,153
12-05-2018,131
13-05-2018,147
14-05-2018,169
15-05-2018,183
16-05-2018,214
17-05-2018,228
19-05-2018,239
20-05-2018,196
21-05-2018,279
22-05-2018,222
23-05-2018,210
24-05-2018,168
25-05-2018,148
26-05-2018,111
27-05-2018,191
28-05-2018,152
29-05-2018,148
30-05-2018,133
31-05-2018,192
01-06-2018,180
02-06-2018,141
