Date,AQI
05-02-2020,82
06-02-2020,99
07-02-2020,75
08-02-2020,74
09-02-2020,59
10-02-2020,79
11-02-2020,67
12-02-2020,80
13-02-2020,76
14-02-2020,84
15-02-2020,90
16-02-2020,93
17-02-2020,107
18-02-2020,104
19-02-2020,90
20-02-2020,123
21-02-2020,102
22-02-2020,97
23-02-2020,87
24-02-2020,91
25-02-2020,83
26-02-2020,80
27-02-2020,66
28-02-2020,75
29-02-2020,77
01-03-2020,61
02-03-2020,67
03-03-2020,80
04-03-2020,64
05-03-2020,64
06-03-2020,51
07-03-2020,66
08-03-2020,52
09-03-2020,64
10-03-2020,58
11-03-2020,64
12-03-2020,49
13-03-2020,52
14-03-2020,60
15-03-2020,59
16-03-2020,62
17-03-2020,66
18-03-2020,70
19-03-2020,64
20-03-2020,60
21-03-2020,54
22-03-2020,42
23-03-2020,48
25-03-2020,48
26-03-2020,47
27-03-2020,49
28-03-2020,55
29-03-2020,53
30-03-2020,52
31-03-2020,53
01-04-2020,52
02-04-2020,49
03-04-2020,54
04-04-2020,41
05-04-2020,46
06-04-2020,41
07-04-2020,34
08-04-2020,48
09-04-2020,50
10-04-2020,46
11-04-2020,53
12-04-2020,47
13-04-2020,47
14-04-2020,58
15-04-2020,52
16-04-2020,42
17-04-2020,50
18-04-2020,47
19-04-2020,46
20-04-2020,55
21-04-2020,42
22-04-2020,45
23-04-2020,34
24-04-2020,43
25-04-2020,52
26-04-2020,46
27-04-2020,34
28-04-2020,49
29-04-2020,33
30-04-2020,50
01-05-2020,40
02-05-2020,34
03-05-2020,33
04-05-2020,41
05-05-2020,48
06-05-2020,43
07-05-2020,38
08-05-2020,32
09-05-2020,33
10-05-2020,38
11-05-2020,47
12-05-2020,61
13-05-2020,42
14-05-2020,36
15-05-2020,47
16-05-2020,28
17-05-2020,33
18-05-2020,28
19-05-2020,52
20-05-2020,47
21-05-2020,31
22-05-2020,32
23-05-2020,44
24-05-2020,40
25-05-2020,39
26-05-2020,42
27-05-2020,46
28-05-2020,44
29-05-2020,44
30-05-2020,37
31-05-2020,20
01-06-2020,26
02-06-2020,24
04-06-2020,37
05-06-2020,36
06-06-2020,36
07-06-2020,19
08-06-2020,34
09-06-2020,36
10-06-2020,33
12-06-2020,33
13-06-2020,29
14-06-2020,20
15-06-2020,40
16-06-2020,31
17-06-2020,39
18-06-2020,39
19-06-2020,47
20-06-2020,36
21-06-2020,22
22-06-2020,27
23-06-2020,37
24-06-2020,38
25-06-2020,34
26-06-2020,23
27-06-2020,24
28-06-2020,18
29-06-2020,34
30-06-2020,21
04-07-2020,35
05-07-2020,28
06-07-2020,36
07-07-2020,34
08-07-2020,21
09-07-2020,34
11-07-2020,19
14-07-2020,11
16-07-2020,18
17-07-2020,19
18-07-2020,25
19-07-2020,24
20-07-2020,25
21-07-2020,21
26-07-2020,34
27-07-2020,31
28-07-2020,12
29-07-2020,10
30-07-2020,9
02-08-2020,19
03-08-2020,24
04-08-2020,47
06-08-2020,16
07-08-2020,10
09-08-2020,14
10-08-2020,23
11-08-2020,16
12-08-2020,14
14-08-2020,19
15-08-2020,8
17-08-2020,33
18-08-2020,15
19-08-2020,57
20-08-2020,27
21-08-2020,44
22-08-2020,25
25-08-2020,26
26-08-2020,22
28-08-2020,21
29-08-2020,31
30-08-2020,7
03-09-2020,11
04-09-2020,18
05-09-2020,23
06-09-2020,9
07-09-2020,20
08-09-2020,18
09-09-2020,19
12-09-2020,26
13-09-2020,12
14-09-2020,40
16-09-2020,23
17-09-2020,16
18-09-2020,10
19-09-2020,52
20-09-2020,11
21-09-2020,17
22-09-2020,31
23-09-2020,26
24-09-2020,20
25-09-2020,24
26-09-2020,29
27-09-2020,20
28-09-2020,35
29-09-2020,27
30-09-2020,28
01-10-2020,29
02-10-2020,25
03-10-2020,18
04-10-2020,19
05-10-2020,25
06-10-2020,30
07-10-2020,40
08-10-2020,38
09-10-2020,28
10-10-2020,30
11-10-2020,35
12-10-2020,48
13-10-2020,40
14-10-2020,34
15-10-2020,30
19-10-2020,59
20-10-2020,42
21-10-2020,38
23-10-2020,48
24-10-2020,55
25-10-2020,50
26-10-2020,42
27-10-2020,34
28-10-2020,51
29-10-2020,61
30-10-2020,78
31-10-2020,86
01-11-2020,76
02-11-2020,79
03-11-2020,76
04-11-2020,100
05-11-2020,76
06-11-2020,45
07-11-2020,64
08-11-2020,52
09-11-2020,61
10-11-2020,78
11-11-2020,100
12-11-2020,92
13-11-2020,86
14-11-2020,50
15-11-2020,56
16-11-2020,68
17-11-2020,46
18-11-2020,43
19-11-2020,63
20-11-2020,60
21-11-2020,49
22-11-2020,50
23-11-2020,73
24-11-2020,71
25-11-2020,81
26-11-2020,70
27-11-2020,74
28-11-2020,49
29-11-2020,58
30-11-2020,53
01-12-2020,58
02-12-2020,68
03-12-2020,116
04-12-2020,100
05-12-2020,89
06-12-2020,45
07-12-2020,59
08-12-2020,60
09-12-2020,57
10-12-2020,53
11-12-2020,65
12-12-2020,62
13-12-2020,55
14-12-2020,64
15-12-2020,85
16-12-2020,81
17-12-2020,82
18-12-2020,77
19-12-2020,79
20-12-2020,72
21-12-2020,92
22-12-2020,100
23-12-2020,106
24-12-2020,87
25-12-2020,72
26-12-2020,70
27-12-2020,76
28-12-2020,90
29-12-2020,96
30-12-2020,90
31-12-2020,68
01-01-2021,68
02-01-2021,83
03-01-2021,89
04-01-2021,83
05-01-2021,75
06-01-2021,70
07-01-2021,54
08-01-2021,62
09-01-2021,73
10-01-2021,39
11-01-2021,82
12-01-2021,88
13-01-2021,86
14-01-2021,86
15-01-2021,61
16-01-2021,102
20-01-2021,84
21-01-2021,80
22-01-2021,89
23-01-2021,93
24-01-2021,326
25-01-2021,417
26-01-2021,76
27-01-2021,67
28-01-2021,70
29-01-2021,78
30-01-2021,77
31-01-2021,79
01-02-2021,70
02-02-2021,82
03-02-2021,75
04-02-2021,77
05-02-2021,81
06-02-2021,78
07-02-2021,81
08-02-2021,77
09-02-2021,85
10-02-2021,89
11-02-2021,83
12-02-2021,89
13-02-2021,90
14-02-2021,81
15-02-2021,94
16-02-2021,83
17-02-2021,87
18-02-2021,87
19-02-2021,86
20-02-2021,85
21-02-2021,87
22-02-2021,80
23-02-2021,87
24-02-2021,80
25-02-2021,85
26-02-2021,83
27-02-2021,78
28-02-2021,85
01-03-2021,81
02-03-2021,78
03-03-2021,83
04-03-2021,75
05-03-2021,81
06-03-2021,79
07-03-2021,80
08-03-2021,80
09-03-2021,80
10-03-2021,85
11-03-2021,84
12-03-2021,68
13-03-2021,71
14-03-2021,73
15-03-2021,71
16-03-2021,67
17-03-2021,78
18-03-2021,74
19-03-2021,72
20-03-2021,74
21-03-2021,76
22-03-2021,73
23-03-2021,72
24-03-2021,74
25-03-2021,76
26-03-2021,83
27-03-2021,86
28-03-2021,80
29-03-2021,75
30-03-2021,76
31-03-2021,78
01-04-2021,78
02-04-2021,77
03-04-2021,80
04-04-2021,74
05-04-2021,86
06-04-2021,78
07-04-2021,85
08-04-2021,80
09-04-2021,83
10-04-2021,82
11-04-2021,81
12-04-2021,86
13-04-2021,68
14-04-2021,70
15-04-2021,52
16-04-2021,60
17-04-2021,56
18-04-2021,63
21-04-2021,57
22-04-2021,72
23-04-2021,77
24-04-2021,53
25-04-2021,51
26-04-2021,86
27-04-2021,85
28-04-2021,56
29-04-2021,76
30-04-2021,59
01-05-2021,55
02-05-2021,64
03-05-2021,75
05-05-2021,55
06-05-2021,59
08-05-2021,50
09-05-2021,44
11-05-2021,39
12-05-2021,32
15-05-2021,24
16-05-2021,35
17-05-2021,36
18-05-2021,32
19-05-2021,37
20-05-2021,29
21-05-2021,42
22-05-2021,32
23-05-2021,38
24-05-2021,45
25-05-2021,43
26-05-2021,33
27-05-2021,38
28-05-2021,41
29-05-2021,32
30-05-2021,29
31-05-2021,51
01-06-2021,34
02-06-2021,35
03-06-2021,49
04-06-2021,45
05-06-2021,36
06-06-2021,29
07-06-2021,58
09-06-2021,42
10-06-2021,51
12-06-2021,43
13-06-2021,38
14-06-2021,50
15-06-2021,73
17-06-2021,57
19-06-2021,47
20-06-2021,41
22-06-2021,56
23-06-2021,68
24-06-2021,50
25-06-2021,64
26-06-2021,38
