Date,AQI
13-03-2023,102
14-03-2023,104
22-03-2023,82
26-03-2023,110
27-03-2023,80
28-03-2023,172
06-04-2023,120
16-04-2023,104
20-04-2023,130
21-04-2023,106
24-04-2023,70
26-04-2023,42
29-04-2023,29
13-05-2023,97
14-05-2023,105
19-05-2023,109
21-05-2023,104
22-05-2023,79
23-05-2023,90
28-05-2023,103
29-05-2023,120
30-05-2023,102
31-05-2023,88
01-06-2023,89
02-06-2023,103
03-06-2023,106
04-06-2023,90
05-06-2023,70
07-06-2023,97
09-06-2023,121
10-06-2023,128
13-06-2023,83
14-06-2023,74
15-06-2023,61
16-06-2023,108
17-06-2023,96
24-06-2023,55
30-06-2023,60
01-07-2023,124
05-07-2023,49
06-07-2023,56
09-07-2023,38
10-07-2023,101
11-07-2023,63
12-07-2023,41
13-07-2023,50
14-07-2023,63
15-07-2023,58
16-07-2023,34
17-07-2023,31
18-07-2023,36
24-07-2023,28
25-07-2023,35
26-07-2023,18
27-07-2023,20
28-07-2023,28
29-07-2023,34
30-07-2023,49
31-07-2023,101
01-08-2023,44
02-08-2023,24
04-08-2023,29
05-08-2023,23
06-08-2023,38
09-08-2023,152
10-08-2023,159
16-08-2023,75
17-08-2023,74
20-08-2023,22
21-08-2023,54
22-08-2023,109
23-08-2023,108
24-08-2023,50
25-08-2023,65
26-08-2023,69
27-08-2023,159
28-08-2023,142
29-08-2023,146
30-08-2023,106
01-09-2023,121
02-09-2023,95
03-09-2023,45
04-09-2023,24
05-09-2023,24
06-09-2023,20
07-09-2023,27
09-09-2023,21
10-09-2023,63
11-09-2023,115
12-09-2023,77
13-09-2023,29
14-09-2023,21
15-09-2023,22
16-09-2023,27
17-09-2023,28
18-09-2023,96
19-09-2023,125
20-09-2023,26
21-09-2023,28
22-09-2023,27
23-09-2023,33
24-09-2023,27
25-09-2023,42
27-09-2023,45
28-09-2023,107
29-09-2023,93
01-10-2023,64
02-10-2023,24
03-10-2023,24
04-10-2023,22
05-10-2023,101
06-10-2023,133
07-10-2023,80
08-10-2023,108
09-10-2023,138
10-10-2023,132
11-10-2023,200
12-10-2023,178
13-10-2023,186
14-10-2023,124
15-10-2023,177
16-10-2023,185
18-10-2023,97
19-10-2023,73
20-10-2023,80
21-10-2023,103
22-10-2023,105
23-10-2023,135
24-10-2023,130
25-10-2023,126
26-10-2023,93
28-10-2023,103
29-10-2023,151
30-10-2023,126
31-10-2023,133
01-11-2023,186
02-11-2023,132
03-11-2023,83
04-11-2023,43
05-11-2023,97
06-11-2023,102
07-11-2023,107
08-11-2023,173
09-11-2023,132
10-11-2023,141
11-11-2023,111
12-11-2023,117
13-11-2023,107
14-11-2023,149
15-11-2023,110
21-11-2023,59
23-11-2023,110
24-11-2023,113
30-11-2023,58
01-12-2023,90
02-12-2023,96
03-12-2023,178
04-12-2023,114
09-12-2023,36
10-12-2023,66
11-12-2023,64
12-12-2023,67
13-12-2023,85
14-12-2023,47
15-12-2023,58
16-12-2023,55
17-12-2023,145
18-12-2023,96
19-12-2023,150
20-12-2023,81
21-12-2023,110
22-12-2023,131
23-12-2023,119
24-12-2023,140
25-12-2023,68
26-12-2023,345
27-12-2023,100
28-12-2023,154
29-12-2023,131
30-12-2023,108
31-12-2023,197
