Date,AQI
09-01-2019,186
10-01-2019,206
11-01-2019,315
12-01-2019,302
13-01-2019,247
14-01-2019,130
15-01-2019,115
16-01-2019,239
17-01-2019,339
18-01-2019,313
19-01-2019,246
20-01-2019,283
21-01-2019,318
23-01-2019,57
24-01-2019,126
25-01-2019,89
26-01-2019,155
27-01-2019,116
28-01-2019,93
29-01-2019,126
30-01-2019,164
31-01-2019,290
01-02-2019,228
02-02-2019,261
03-02-2019,153
04-02-2019,196
05-02-2019,228
06-02-2019,264
07-02-2019,200
08-02-2019,56
09-02-2019,94
10-02-2019,119
11-02-2019,150
12-02-2019,152
13-02-2019,229
14-02-2019,315
15-02-2019,70
16-02-2019,173
17-02-2019,86
18-02-2019,125
19-02-2019,73
20-02-2019,111
21-02-2019,64
22-02-2019,103
23-02-2019,85
24-02-2019,97
25-02-2019,100
26-02-2019,99
27-02-2019,86
28-02-2019,75
01-03-2019,90
02-03-2019,108
03-03-2019,109
04-03-2019,69
05-03-2019,67
06-03-2019,89
07-03-2019,88
08-03-2019,90
09-03-2019,116
10-03-2019,105
11-03-2019,124
12-03-2019,88
13-03-2019,134
14-03-2019,124
15-03-2019,82
16-03-2019,90
17-03-2019,103
18-03-2019,102
19-03-2019,108
20-03-2019,121
21-03-2019,102
22-03-2019,85
23-03-2019,96
24-03-2019,96
25-03-2019,103
26-03-2019,107
27-03-2019,117
28-03-2019,117
29-03-2019,114
30-03-2019,129
31-03-2019,127
01-04-2019,112
02-04-2019,131
03-04-2019,118
04-04-2019,137
05-04-2019,145
06-04-2019,148
07-04-2019,165
08-04-2019,229
09-04-2019,120
10-04-2019,119
11-04-2019,134
12-04-2019,182
13-04-2019,120
14-04-2019,113
15-04-2019,112
16-04-2019,134
17-04-2019,99
18-04-2019,61
19-04-2019,73
20-04-2019,89
21-04-2019,116
22-04-2019,101
23-04-2019,140
24-04-2019,179
25-04-2019,184
26-04-2019,122
27-04-2019,166
28-04-2019,195
29-04-2019,194
30-04-2019,149
01-05-2019,139
02-05-2019,126
03-05-2019,76
04-05-2019,116
05-05-2019,131
06-05-2019,150
07-05-2019,129
08-05-2019,154
09-05-2019,172
10-05-2019,274
11-05-2019,107
12-05-2019,221
13-05-2019,109
14-05-2019,106
15-05-2019,117
16-05-2019,167
17-05-2019,222
18-05-2019,110
19-05-2019,136
20-05-2019,162
21-05-2019,140
22-05-2019,147
23-05-2019,182
24-05-2019,117
25-05-2019,91
26-05-2019,105
27-05-2019,112
28-05-2019,107
29-05-2019,117
30-05-2019,143
31-05-2019,148
01-06-2019,168
02-06-2019,157
03-06-2019,171
04-06-2019,138
05-06-2019,141
06-06-2019,164
07-06-2019,105
08-06-2019,124
09-06-2019,120
10-06-2019,131
11-06-2019,158
12-06-2019,120
