Date,AQI
23-05-2023,76
29-05-2023,85
31-05-2023,85
01-06-2023,93
05-06-2023,74
06-06-2023,88
07-06-2023,84
08-06-2023,91
09-06-2023,71
10-06-2023,55
11-06-2023,60
12-06-2023,52
13-06-2023,66
14-06-2023,65
15-06-2023,63
16-06-2023,80
17-06-2023,77
18-06-2023,81
19-06-2023,83
20-06-2023,96
21-06-2023,85
22-06-2023,75
23-06-2023,65
24-06-2023,48
25-06-2023,30
26-06-2023,34
29-06-2023,32
30-06-2023,40
01-07-2023,51
02-07-2023,58
03-07-2023,30
04-07-2023,45
05-07-2023,39
06-07-2023,31
07-07-2023,33
08-07-2023,37
09-07-2023,51
10-07-2023,66
11-07-2023,68
12-07-2023,63
13-07-2023,81
14-07-2023,46
15-07-2023,40
16-07-2023,46
17-07-2023,36
18-07-2023,45
19-07-2023,47
20-07-2023,38
21-07-2023,40
22-07-2023,32
23-07-2023,35
24-07-2023,36
25-07-2023,45
26-07-2023,21
27-07-2023,33
28-07-2023,47
29-07-2023,45
30-07-2023,55
31-07-2023,73
01-08-2023,62
02-08-2023,49
03-08-2023,65
04-08-2023,50
05-08-2023,75
06-08-2023,76
07-08-2023,71
08-08-2023,75
09-08-2023,73
10-08-2023,74
11-08-2023,50
12-08-2023,48
13-08-2023,66
14-08-2023,39
15-08-2023,67
17-08-2023,51
18-08-2023,61
19-08-2023,62
20-08-2023,48
22-08-2023,47
23-08-2023,43
24-08-2023,56
25-08-2023,35
26-08-2023,43
27-08-2023,41
29-08-2023,46
30-08-2023,70
31-08-2023,64
01-09-2023,70
02-09-2023,70
03-09-2023,55
04-09-2023,42
05-09-2023,46
06-09-2023,54
07-09-2023,44
08-09-2023,23
10-09-2023,28
11-09-2023,32
12-09-2023,38
13-09-2023,39
14-09-2023,46
15-09-2023,36
16-09-2023,36
17-09-2023,52
18-09-2023,61
19-09-2023,39
20-09-2023,39
22-09-2023,27
23-09-2023,25
24-09-2023,27
25-09-2023,37
26-09-2023,40
01-10-2023,60
02-10-2023,63
03-10-2023,77
04-10-2023,79
05-10-2023,75
06-10-2023,84
10-10-2023,84
11-10-2023,76
12-10-2023,93
13-10-2023,83
14-10-2023,84
15-10-2023,89
16-10-2023,88
17-10-2023,97
18-10-2023,81
21-10-2023,111
22-10-2023,88
23-10-2023,103
24-10-2023,99
25-10-2023,87
26-10-2023,91
27-10-2023,94
28-10-2023,98
29-10-2023,81
30-10-2023,106
31-10-2023,104
02-11-2023,107
03-11-2023,114
04-11-2023,123
05-11-2023,178
06-11-2023,104
07-11-2023,96
08-11-2023,95
09-11-2023,67
10-11-2023,108
11-11-2023,116
12-11-2023,204
13-11-2023,231
14-11-2023,182
15-11-2023,216
16-11-2023,197
17-11-2023,198
18-11-2023,159
19-11-2023,136
21-11-2023,132
22-11-2023,113
23-11-2023,102
25-11-2023,74
26-11-2023,97
27-11-2023,103
28-11-2023,73
29-11-2023,52
30-11-2023,57
01-12-2023,59
02-12-2023,81
03-12-2023,95
04-12-2023,58
05-12-2023,68
06-12-2023,67
07-12-2023,37
08-12-2023,50
09-12-2023,60
10-12-2023,61
11-12-2023,86
12-12-2023,86
14-12-2023,101
15-12-2023,111
16-12-2023,103
18-12-2023,141
19-12-2023,97
20-12-2023,116
21-12-2023,129
22-12-2023,132
23-12-2023,127
25-12-2023,102
26-12-2023,178
27-12-2023,221
28-12-2023,171
29-12-2023,170
30-12-2023,139
31-12-2023,118
