Date,AQI
06-03-2019,205
07-03-2019,243
08-03-2019,212
09-03-2019,196
10-03-2019,204
11-03-2019,227
13-03-2019,162
14-03-2019,261
15-03-2019,153
16-03-2019,177
17-03-2019,213
18-03-2019,218
19-03-2019,234
20-03-2019,331
21-03-2019,253
22-03-2019,136
23-03-2019,156
24-03-2019,147
25-03-2019,149
26-03-2019,190
27-03-2019,211
28-03-2019,302
29-03-2019,254
30-03-2019,267
31-03-2019,230
02-04-2019,251
05-04-2019,338
06-04-2019,354
07-04-2019,385
08-04-2019,357
09-04-2019,286
13-04-2019,248
14-04-2019,178
15-04-2019,194
16-04-2019,236
17-04-2019,136
18-04-2019,182
19-04-2019,181
20-04-2019,247
21-04-2019,336
22-04-2019,308
23-04-2019,360
24-04-2019,360
25-04-2019,360
26-04-2019,267
27-04-2019,361
28-04-2019,395
29-04-2019,330
30-04-2019,264
01-05-2019,401
02-05-2019,356
03-05-2019,226
04-05-2019,219
05-05-2019,338
06-05-2019,419
07-05-2019,415
08-05-2019,462
09-05-2019,440
10-05-2019,390
11-05-2019,334
12-05-2019,387
13-05-2019,371
14-05-2019,198
15-05-2019,253
16-05-2019,244
17-05-2019,380
18-05-2019,160
20-05-2019,267
21-05-2019,256
22-05-2019,226
23-05-2019,353
24-05-2019,144
25-05-2019,141
26-05-2019,180
27-05-2019,211
28-05-2019,203
29-05-2019,245
30-05-2019,292
31-05-2019,354
01-06-2019,338
02-06-2019,251
03-06-2019,334
04-06-2019,234
05-06-2019,231
06-06-2019,274
07-06-2019,243
08-06-2019,200
09-06-2019,323
10-06-2019,298
11-06-2019,365
13-06-2019,212
14-06-2019,213
15-06-2019,308
16-06-2019,282
17-06-2019,187
19-06-2019,227
20-06-2019,118
29-06-2019,350
03-07-2019,151
04-07-2019,106
05-07-2019,129
06-07-2019,111
07-07-2019,86
08-07-2019,247
09-07-2019,150
10-07-2019,164
11-07-2019,408
12-07-2019,233
13-07-2019,353
14-07-2019,250
15-07-2019,137
16-07-2019,92
18-07-2019,196
19-07-2019,247
20-07-2019,146
21-07-2019,111
22-07-2019,123
23-07-2019,113
24-07-2019,216
25-07-2019,82
26-07-2019,73
27-07-2019,75
28-07-2019,55
29-07-2019,67
30-07-2019,70
31-07-2019,74
01-08-2019,105
02-08-2019,107
03-08-2019,63
04-08-2019,68
05-08-2019,126
07-08-2019,64
08-08-2019,81
09-08-2019,82
10-08-2019,57
11-08-2019,113
12-08-2019,67
13-08-2019,73
14-08-2019,85
16-08-2019,51
17-08-2019,55
19-08-2019,70
20-08-2019,84
21-08-2019,116
22-08-2019,133
23-08-2019,158
24-08-2019,194
25-08-2019,110
27-08-2019,110
28-08-2019,116
29-08-2019,126
30-08-2019,106
31-08-2019,199
01-09-2019,95
02-09-2019,80
03-09-2019,102
04-09-2019,163
05-09-2019,95
06-09-2019,90
07-09-2019,107
08-09-2019,78
09-09-2019,106
10-09-2019,135
11-09-2019,180
12-09-2019,161
13-09-2019,92
14-09-2019,88
15-09-2019,58
16-09-2019,163
17-09-2019,172
18-09-2019,121
19-09-2019,75
20-09-2019,121
21-09-2019,143
22-09-2019,74
23-09-2019,64
24-09-2019,100
25-09-2019,96
26-09-2019,81
27-09-2019,54
28-09-2019,64
29-09-2019,56
30-09-2019,81
01-10-2019,119
03-10-2019,163
06-10-2019,144
08-10-2019,128
09-10-2019,195
10-10-2019,200
12-10-2019,266
13-10-2019,305
14-10-2019,285
15-10-2019,302
