Date,AQI
02-05-2015,120
03-05-2015,118
04-05-2015,96
05-05-2015,70
06-05-2015,85
07-05-2015,114
08-05-2015,98
09-05-2015,133
10-05-2015,80
11-05-2015,133
12-05-2015,122
13-05-2015,85
15-05-2015,106
16-05-2015,94
17-05-2015,208
18-05-2015,127
19-05-2015,121
20-05-2015,87
21-05-2015,94
22-05-2015,84
23-05-2015,89
24-05-2015,74
25-05-2015,95
26-05-2015,92
27-05-2015,129
28-05-2015,111
29-05-2015,102
30-05-2015,92
31-05-2015,107
01-06-2015,109
02-06-2015,109
03-06-2015,184
04-06-2015,127
05-06-2015,151
06-06-2015,166
07-06-2015,262
08-06-2015,255
09-06-2015,218
10-06-2015,131
11-06-2015,95
13-06-2015,130
14-06-2015,158
15-06-2015,182
16-06-2015,323
17-06-2015,108
18-06-2015,83
19-06-2015,76
20-06-2015,171
21-06-2015,89
22-06-2015,146
23-06-2015,101
24-06-2015,67
25-06-2015,67
26-06-2015,100
27-06-2015,85
28-06-2015,95
01-07-2015,83
02-07-2015,112
03-07-2015,59
04-07-2015,40
05-07-2015,62
06-07-2015,100
07-07-2015,101
08-07-2015,76
09-07-2015,96
10-07-2015,96
11-07-2015,83
14-07-2015,140
15-07-2015,152
16-07-2015,130
17-07-2015,130
18-07-2015,127
19-07-2015,85
20-07-2015,172
21-07-2015,122
22-07-2015,110
23-07-2015,161
24-07-2015,129
25-07-2015,135
26-07-2015,93
27-07-2015,91
28-07-2015,117
29-07-2015,116
30-07-2015,121
31-07-2015,110
01-08-2015,128
02-08-2015,91
03-08-2015,175
04-08-2015,101
05-08-2015,94
06-08-2015,135
07-08-2015,98
08-08-2015,117
09-08-2015,142
10-08-2015,128
11-08-2015,110
12-08-2015,57
13-08-2015,94
14-08-2015,68
16-08-2015,62
17-08-2015,62
18-08-2015,63
19-08-2015,79
20-08-2015,78
21-08-2015,75
22-08-2015,77
23-08-2015,83
24-08-2015,71
25-08-2015,115
26-08-2015,96
27-08-2015,87
30-08-2015,80
31-08-2015,108
01-09-2015,83
02-09-2015,107
03-09-2015,114
04-09-2015,124
06-09-2015,137
07-09-2015,115
08-09-2015,128
09-09-2015,211
10-09-2015,70
11-09-2015,176
12-09-2015,130
13-09-2015,151
14-09-2015,128
15-09-2015,133
16-09-2015,122
17-09-2015,117
18-09-2015,106
19-09-2015,141
20-09-2015,156
23-09-2015,72
28-09-2015,90
