Date,AQI
20-04-2017,111
21-04-2017,52
22-04-2017,98
23-04-2017,96
24-04-2017,110
26-04-2017,97
27-04-2017,81
28-04-2017,88
29-04-2017,86
30-04-2017,88
01-05-2017,87
02-05-2017,79
03-05-2017,81
06-05-2017,99
07-05-2017,97
08-05-2017,92
09-05-2017,112
10-05-2017,124
11-05-2017,114
12-05-2017,102
13-05-2017,95
14-05-2017,93
15-05-2017,106
16-05-2017,106
17-05-2017,124
18-05-2017,109
19-05-2017,87
20-05-2017,99
21-05-2017,91
22-05-2017,86
23-05-2017,97
24-05-2017,79
25-05-2017,92
26-05-2017,76
27-05-2017,75
28-05-2017,86
29-05-2017,78
30-05-2017,153
31-05-2017,162
01-06-2017,140
02-06-2017,114
03-06-2017,118
04-06-2017,102
05-06-2017,112
06-06-2017,98
07-06-2017,141
08-06-2017,71
09-06-2017,88
10-06-2017,84
11-06-2017,84
12-06-2017,77
13-06-2017,85
14-06-2017,97
15-06-2017,194
16-06-2017,145
17-06-2017,192
19-06-2017,268
20-06-2017,39
21-06-2017,256
22-06-2017,123
23-06-2017,99
24-06-2017,159
25-06-2017,182
26-06-2017,210
05-07-2017,76
06-07-2017,75
19-07-2017,97
25-07-2017,88
26-07-2017,94
24-08-2017,134
25-08-2017,137
26-08-2017,96
27-08-2017,67
28-08-2017,72
29-08-2017,72
30-08-2017,72
31-08-2017,88
01-09-2017,56
02-09-2017,49
03-09-2017,72
04-09-2017,82
05-09-2017,55
06-09-2017,81
07-09-2017,115
08-09-2017,70
09-09-2017,84
10-09-2017,113
11-09-2017,67
14-09-2017,139
15-09-2017,120
16-09-2017,107
17-09-2017,107
18-09-2017,121
19-09-2017,138
20-09-2017,180
21-09-2017,448
22-09-2017,41
23-09-2017,93
24-09-2017,89
25-09-2017,128
26-09-2017,157
27-09-2017,154
28-09-2017,100
29-09-2017,147
30-09-2017,43
01-10-2017,163
02-10-2017,114
03-10-2017,69
04-10-2017,42
05-10-2017,177
06-10-2017,38
07-10-2017,211
08-10-2017,214
09-10-2017,251
10-10-2017,284
11-10-2017,246
12-10-2017,263
13-10-2017,269
15-10-2017,277
16-10-2017,241
17-10-2017,260
18-10-2017,317
19-10-2017,307
20-10-2017,399
21-10-2017,353
22-10-2017,360
23-10-2017,389
24-10-2017,346
25-10-2017,368
26-10-2017,299
27-10-2017,341
28-10-2017,314
29-10-2017,339
30-10-2017,399
31-10-2017,340
01-11-2017,303
02-11-2017,334
03-11-2017,320
04-11-2017,321
05-11-2017,345
06-11-2017,351
07-11-2017,313
08-11-2017,249
09-11-2017,345
10-11-2017,335
11-11-2017,344
12-11-2017,332
13-11-2017,382
14-11-2017,347
17-11-2017,213
18-11-2017,157
19-11-2017,165
20-11-2017,148
21-11-2017,201
22-11-2017,311
23-11-2017,250
24-11-2017,247
25-11-2017,251
26-11-2017,344
27-11-2017,263
28-11-2017,295
29-11-2017,332
30-11-2017,339
01-12-2017,223
02-12-2017,216
03-12-2017,303
04-12-2017,282
05-12-2017,221
06-12-2017,142
07-12-2017,145
08-12-2017,156
09-12-2017,219
12-12-2017,180
13-12-2017,167
14-12-2017,118
15-12-2017,96
16-12-2017,113
17-12-2017,111
18-12-2017,114
19-12-2017,140
20-12-2017,177
21-12-2017,313
22-12-2017,147
23-12-2017,120
24-12-2017,236
25-12-2017,250
26-12-2017,216
27-12-2017,240
28-12-2017,267
29-12-2017,131
30-12-2017,257
31-12-2017,237
01-01-2018,276
02-01-2018,239
03-01-2018,194
04-01-2018,153
05-01-2018,269
06-01-2018,200
07-01-2018,168
08-01-2018,137
09-01-2018,163
10-01-2018,170
11-01-2018,184
12-01-2018,159
13-01-2018,190
14-01-2018,229
15-01-2018,147
16-01-2018,172
17-01-2018,256
18-01-2018,249
19-01-2018,119
20-01-2018,105
21-01-2018,129
22-01-2018,205
23-01-2018,251
24-01-2018,56
25-01-2018,63
26-01-2018,85
27-01-2018,113
28-01-2018,89
29-01-2018,65
30-01-2018,91
31-01-2018,107
01-02-2018,88
02-02-2018,81
03-02-2018,104
05-02-2018,106
06-02-2018,153
07-02-2018,105
08-02-2018,114
09-02-2018,108
10-02-2018,134
11-02-2018,106
12-02-2018,104
13-02-2018,46
14-02-2018,40
15-02-2018,60
16-02-2018,74
17-02-2018,88
18-02-2018,94
19-02-2018,94
20-02-2018,113
21-02-2018,135
22-02-2018,108
23-02-2018,101
24-02-2018,88
25-02-2018,57
26-02-2018,63
27-02-2018,77
28-02-2018,92
01-03-2018,89
02-03-2018,71
03-03-2018,54
04-03-2018,44
05-03-2018,56
06-03-2018,59
07-03-2018,67
08-03-2018,84
09-03-2018,70
10-03-2018,66
11-03-2018,81
12-03-2018,63
13-03-2018,90
14-03-2018,128
15-03-2018,125
16-03-2018,61
17-03-2018,53
18-03-2018,56
19-03-2018,59
20-03-2018,110
06-04-2018,150
07-04-2018,133
08-04-2018,116
09-04-2018,102
10-04-2018,102
11-04-2018,101
12-04-2018,98
13-04-2018,57
14-04-2018,76
15-04-2018,101
16-04-2018,132
17-04-2018,92
18-04-2018,81
19-04-2018,116
20-04-2018,180
21-04-2018,101
22-04-2018,83
23-04-2018,104
24-04-2018,108
25-04-2018,147
26-04-2018,174
27-04-2018,172
28-04-2018,160
29-04-2018,151
30-04-2018,171
01-05-2018,154
02-05-2018,173
03-05-2018,115
04-05-2018,140
05-05-2018,126
06-05-2018,136
07-05-2018,90
09-05-2018,86
10-05-2018,166
11-05-2018,211
12-05-2018,281
13-05-2018,107
14-05-2018,132
16-05-2018,230
17-05-2018,275
18-05-2018,267
19-05-2018,220
20-05-2018,258
21-05-2018,203
22-05-2018,202
23-05-2018,211
24-05-2018,144
25-05-2018,147
26-05-2018,165
27-05-2018,237
28-05-2018,256
29-05-2018,228
30-05-2018,228
31-05-2018,178
01-06-2018,221
02-06-2018,161
03-06-2018,117
04-06-2018,178
06-06-2018,106
07-06-2018,109
08-06-2018,163
09-06-2018,104
10-06-2018,108
11-06-2018,115
12-06-2018,139
13-06-2018,177
14-06-2018,488
15-06-2018,340
16-06-2018,353
17-06-2018,138
18-06-2018,134
19-06-2018,138
20-06-2018,142
21-06-2018,125
22-06-2018,95
23-06-2018,121
24-06-2018,95
25-06-2018,115
26-06-2018,116
27-06-2018,98
28-06-2018,57
30-06-2018,83
01-07-2018,94
02-07-2018,85
03-07-2018,68
04-07-2018,65
05-07-2018,64
06-07-2018,70
07-07-2018,73
08-07-2018,88
09-07-2018,108
10-07-2018,96
11-07-2018,82
12-07-2018,72
13-07-2018,48
14-07-2018,42
15-07-2018,42
16-07-2018,61
17-07-2018,68
18-07-2018,76
19-07-2018,97
20-07-2018,81
21-07-2018,114
24-07-2018,99
25-07-2018,83
26-07-2018,70
27-07-2018,55
31-07-2018,65
01-08-2018,58
02-08-2018,96
03-08-2018,88
04-08-2018,90
05-08-2018,106
06-08-2018,50
07-08-2018,44
08-08-2018,40
09-08-2018,42
10-08-2018,55
11-08-2018,51
12-08-2018,55
13-08-2018,51
14-08-2018,88
16-08-2018,62
17-08-2018,70
18-08-2018,57
19-08-2018,66
20-08-2018,39
21-08-2018,49
22-08-2018,68
23-08-2018,36
24-08-2018,52
25-08-2018,38
26-08-2018,39
27-08-2018,42
28-08-2018,56
29-08-2018,45
30-08-2018,42
31-08-2018,58
01-09-2018,57
02-09-2018,51
03-09-2018,48
04-09-2018,42
05-09-2018,48
06-09-2018,51
07-09-2018,46
08-09-2018,40
09-09-2018,44
10-09-2018,39
11-09-2018,42
12-09-2018,46
13-09-2018,49
14-09-2018,64
15-09-2018,50
16-09-2018,50
17-09-2018,51
18-09-2018,66
19-09-2018,84
20-09-2018,109
21-09-2018,128
22-09-2018,59
26-09-2018,47
27-09-2018,78
28-09-2018,131
29-09-2018,45
01-10-2018,54
02-10-2018,42
03-10-2018,51
04-10-2018,66
05-10-2018,55
06-10-2018,83
07-10-2018,109
08-10-2018,124
09-10-2018,134
10-10-2018,166
11-10-2018,121
12-10-2018,108
13-10-2018,70
14-10-2018,96
15-10-2018,92
16-10-2018,143
17-10-2018,126
18-10-2018,196
19-10-2018,114
20-10-2018,145
21-10-2018,100
22-10-2018,166
23-10-2018,147
24-10-2018,138
25-10-2018,126
26-10-2018,148
28-10-2018,158
29-10-2018,195
30-10-2018,183
31-10-2018,112
01-11-2018,135
02-11-2018,114
03-11-2018,52
04-11-2018,102
05-11-2018,91
06-11-2018,126
07-11-2018,137
09-11-2018,165
12-11-2018,120
13-11-2018,126
16-11-2018,47
18-11-2018,119
19-11-2018,112
20-11-2018,117
21-11-2018,92
22-11-2018,111
23-11-2018,121
24-11-2018,76
25-11-2018,106
26-11-2018,158
27-11-2018,139
28-11-2018,143
29-11-2018,121
30-11-2018,101
01-12-2018,93
02-12-2018,132
03-12-2018,104
06-12-2018,114
07-12-2018,133
08-12-2018,103
09-12-2018,109
10-12-2018,134
11-12-2018,85
12-12-2018,97
13-12-2018,63
14-12-2018,43
15-12-2018,54
16-12-2018,71
17-12-2018,73
18-12-2018,107
19-12-2018,121
20-12-2018,133
21-12-2018,124
22-12-2018,138
23-12-2018,248
24-12-2018,162
25-12-2018,122
27-12-2018,195
28-12-2018,149
29-12-2018,135
30-12-2018,153
31-12-2018,176
01-01-2019,150
02-01-2019,219
03-01-2019,141
05-01-2019,169
06-01-2019,82
07-01-2019,67
08-01-2019,91
09-01-2019,109
10-01-2019,115
11-01-2019,191
12-01-2019,192
13-01-2019,82
14-01-2019,74
15-01-2019,88
16-01-2019,126
17-01-2019,214
18-01-2019,112
19-01-2019,116
20-01-2019,172
21-01-2019,97
22-01-2019,61
23-01-2019,33
24-01-2019,52
25-01-2019,49
26-01-2019,49
27-01-2019,93
28-01-2019,60
30-01-2019,124
31-01-2019,117
01-02-2019,116
02-02-2019,79
03-02-2019,79
04-02-2019,78
05-02-2019,155
06-02-2019,134
08-02-2019,40
09-02-2019,55
11-02-2019,395
12-02-2019,79
13-02-2019,89
14-02-2019,90
16-02-2019,48
17-02-2019,62
18-02-2019,94
19-02-2019,58
20-02-2019,99
21-02-2019,73
22-02-2019,44
23-02-2019,64
24-02-2019,82
