Date,AQI
16-12-2021,62
17-12-2021,78
18-12-2021,91
19-12-2021,89
20-12-2021,68
21-12-2021,68
22-12-2021,69
23-12-2021,65
24-12-2021,77
25-12-2021,73
26-12-2021,77
27-12-2021,82
28-12-2021,60
29-12-2021,52
30-12-2021,46
31-12-2021,36
01-01-2022,37
02-01-2022,33
03-01-2022,33
04-01-2022,57
05-01-2022,70
06-01-2022,67
07-01-2022,64
08-01-2022,69
09-01-2022,49
10-01-2022,46
11-01-2022,43
12-01-2022,32
13-01-2022,32
20-01-2022,54
21-01-2022,60
22-01-2022,53
23-01-2022,30
24-01-2022,43
25-01-2022,127
26-01-2022,84
27-01-2022,109
28-01-2022,68
29-01-2022,80
30-01-2022,75
31-01-2022,62
01-02-2022,79
02-02-2022,79
03-02-2022,77
04-02-2022,55
05-02-2022,88
06-02-2022,45
07-02-2022,56
08-02-2022,67
09-02-2022,85
10-02-2022,80
11-02-2022,73
12-02-2022,55
13-02-2022,64
14-02-2022,68
15-02-2022,79
16-02-2022,86
17-02-2022,89
18-02-2022,79
19-02-2022,74
20-02-2022,67
21-02-2022,60
22-02-2022,62
23-02-2022,65
24-02-2022,64
25-02-2022,58
26-02-2022,63
27-02-2022,60
28-02-2022,64
01-03-2022,63
02-03-2022,54
03-03-2022,53
04-03-2022,61
06-03-2022,60
08-03-2022,47
09-03-2022,53
10-03-2022,63
11-03-2022,67
12-03-2022,72
13-03-2022,89
14-03-2022,96
15-03-2022,101
16-03-2022,97
17-03-2022,90
18-03-2022,87
19-03-2022,79
20-03-2022,57
21-03-2022,62
22-03-2022,62
23-03-2022,70
24-03-2022,59
25-03-2022,53
26-03-2022,63
27-03-2022,57
28-03-2022,67
29-03-2022,63
30-03-2022,72
31-03-2022,66
01-04-2022,71
02-04-2022,66
03-04-2022,61
04-04-2022,53
05-04-2022,83
06-04-2022,93
07-04-2022,76
08-04-2022,79
09-04-2022,67
10-04-2022,50
11-04-2022,63
12-04-2022,59
13-04-2022,56
15-04-2022,50
16-04-2022,49
17-04-2022,51
18-04-2022,46
19-04-2022,52
20-04-2022,65
21-04-2022,62
22-04-2022,65
23-04-2022,60
24-04-2022,48
25-04-2022,55
26-04-2022,60
27-04-2022,66
28-04-2022,64
29-04-2022,58
30-04-2022,46
01-05-2022,49
02-05-2022,51
03-05-2022,50
04-05-2022,51
05-05-2022,48
06-05-2022,48
07-05-2022,48
08-05-2022,82
09-05-2022,84
10-05-2022,59
11-05-2022,46
12-05-2022,31
13-05-2022,33
14-05-2022,61
15-05-2022,84
16-05-2022,74
17-05-2022,35
18-05-2022,28
19-05-2022,22
20-05-2022,83
21-05-2022,68
22-05-2022,26
23-05-2022,16
24-05-2022,23
25-05-2022,31
26-05-2022,42
27-05-2022,49
28-05-2022,52
29-05-2022,33
30-05-2022,35
31-05-2022,30
01-06-2022,23
02-06-2022,32
03-06-2022,38
04-06-2022,36
05-06-2022,50
06-06-2022,40
07-06-2022,39
08-06-2022,38
09-06-2022,42
10-06-2022,34
11-06-2022,19
12-06-2022,18
13-06-2022,27
14-06-2022,25
15-06-2022,32
16-06-2022,43
17-06-2022,40
18-06-2022,27
19-06-2022,23
20-06-2022,33
21-06-2022,23
22-06-2022,32
27-06-2022,25
28-06-2022,21
29-06-2022,31
30-06-2022,24
02-07-2022,26
03-07-2022,21
04-07-2022,27
07-07-2022,26
08-07-2022,25
09-07-2022,23
11-07-2022,36
12-07-2022,50
13-07-2022,46
14-07-2022,50
16-07-2022,32
17-07-2022,29
18-07-2022,36
19-07-2022,31
20-07-2022,26
21-07-2022,20
22-07-2022,31
23-07-2022,23
24-07-2022,19
25-07-2022,23
26-07-2022,23
27-07-2022,24
28-07-2022,19
29-07-2022,35
30-07-2022,33
31-07-2022,20
01-08-2022,22
02-08-2022,16
03-08-2022,18
04-08-2022,16
08-08-2022,28
09-08-2022,27
10-08-2022,28
11-08-2022,27
12-08-2022,23
13-08-2022,22
14-08-2022,23
15-08-2022,23
16-08-2022,25
17-08-2022,24
18-08-2022,25
19-08-2022,34
20-08-2022,29
21-08-2022,21
22-08-2022,22
23-08-2022,23
25-08-2022,21
26-08-2022,22
27-08-2022,23
28-08-2022,29
29-08-2022,20
30-08-2022,29
31-08-2022,29
01-09-2022,23
02-09-2022,20
03-09-2022,19
04-09-2022,17
05-09-2022,32
06-09-2022,16
07-09-2022,20
08-09-2022,18
09-09-2022,20
11-09-2022,22
12-09-2022,24
13-09-2022,19
14-09-2022,18
15-09-2022,39
17-09-2022,20
18-09-2022,19
19-09-2022,18
20-09-2022,28
21-09-2022,28
22-09-2022,29
23-09-2022,28
24-09-2022,24
25-09-2022,26
26-09-2022,23
27-09-2022,32
29-09-2022,20
30-09-2022,22
01-10-2022,28
02-10-2022,33
03-10-2022,28
04-10-2022,34
05-10-2022,40
06-10-2022,34
07-10-2022,33
08-10-2022,21
09-10-2022,21
10-10-2022,27
11-10-2022,26
12-10-2022,23
13-10-2022,22
14-10-2022,24
15-10-2022,22
17-10-2022,37
18-10-2022,25
19-10-2022,31
20-10-2022,24
21-10-2022,30
22-10-2022,48
23-10-2022,53
24-10-2022,63
25-10-2022,66
26-10-2022,80
27-10-2022,78
28-10-2022,73
29-10-2022,47
30-10-2022,49
31-10-2022,85
01-11-2022,87
02-11-2022,47
03-11-2022,30
04-11-2022,40
05-11-2022,33
06-11-2022,34
07-11-2022,59
08-11-2022,70
09-11-2022,61
10-11-2022,60
11-11-2022,36
12-11-2022,38
13-11-2022,21
15-11-2022,25
16-11-2022,34
17-11-2022,42
18-11-2022,61
19-11-2022,44
20-11-2022,51
