Date,AQI
27-06-2023,29
28-06-2023,35
29-06-2023,35
30-06-2023,28
01-07-2023,39
04-07-2023,31
05-07-2023,44
06-07-2023,32
07-07-2023,22
08-07-2023,38
09-07-2023,50
10-07-2023,52
11-07-2023,59
12-07-2023,62
13-07-2023,46
14-07-2023,19
15-07-2023,26
16-07-2023,27
17-07-2023,74
18-07-2023,28
21-07-2023,32
22-07-2023,36
23-07-2023,42
24-07-2023,35
25-07-2023,29
26-07-2023,29
27-07-2023,28
28-07-2023,30
29-07-2023,29
30-07-2023,37
31-07-2023,36
01-08-2023,32
02-08-2023,34
04-08-2023,37
05-08-2023,42
06-08-2023,48
07-08-2023,62
08-08-2023,44
09-08-2023,31
10-08-2023,31
11-08-2023,39
12-08-2023,36
13-08-2023,29
14-08-2023,28
15-08-2023,46
16-08-2023,39
17-08-2023,42
18-08-2023,60
19-08-2023,35
20-08-2023,37
21-08-2023,33
22-08-2023,36
23-08-2023,35
24-08-2023,36
25-08-2023,36
26-08-2023,37
27-08-2023,20
29-08-2023,30
30-08-2023,39
31-08-2023,93
01-09-2023,73
05-09-2023,69
06-09-2023,69
07-09-2023,69
08-09-2023,69
09-09-2023,69
10-09-2023,69
11-09-2023,69
12-09-2023,69
13-09-2023,69
14-09-2023,68
15-09-2023,69
16-09-2023,69
17-09-2023,69
18-09-2023,69
19-09-2023,69
20-09-2023,69
21-09-2023,68
22-09-2023,34
23-09-2023,34
24-09-2023,38
25-09-2023,40
26-09-2023,36
27-09-2023,35
28-09-2023,31
29-09-2023,37
30-09-2023,48
01-10-2023,41
02-10-2023,59
03-10-2023,66
04-10-2023,95
05-10-2023,107
06-10-2023,114
07-10-2023,93
08-10-2023,129
09-10-2023,91
10-10-2023,194
11-10-2023,97
12-10-2023,101
13-10-2023,106
14-10-2023,93
15-10-2023,122
16-10-2023,105
17-10-2023,97
18-10-2023,95
19-10-2023,171
21-10-2023,161
22-10-2023,103
23-10-2023,111
24-10-2023,103
25-10-2023,108
26-10-2023,114
27-10-2023,172
28-10-2023,146
29-10-2023,100
30-10-2023,104
31-10-2023,124
02-11-2023,122
03-11-2023,96
04-11-2023,151
05-11-2023,161
06-11-2023,147
07-11-2023,156
08-11-2023,102
09-11-2023,68
10-11-2023,78
11-11-2023,59
12-11-2023,134
13-11-2023,145
14-11-2023,109
15-11-2023,100
16-11-2023,106
17-11-2023,161
18-11-2023,223
19-11-2023,242
20-11-2023,203
21-11-2023,136
22-11-2023,145
23-11-2023,131
24-11-2023,103
25-11-2023,95
26-11-2023,72
27-11-2023,83
29-11-2023,79
30-11-2023,92
01-12-2023,97
03-12-2023,99
04-12-2023,106
05-12-2023,100
06-12-2023,111
07-12-2023,122
08-12-2023,104
09-12-2023,108
10-12-2023,106
11-12-2023,97
12-12-2023,88
14-12-2023,104
15-12-2023,112
16-12-2023,105
18-12-2023,224
19-12-2023,227
20-12-2023,154
21-12-2023,162
22-12-2023,180
23-12-2023,222
24-12-2023,162
25-12-2023,156
26-12-2023,147
27-12-2023,142
29-12-2023,156
30-12-2023,186
31-12-2023,112
