Date,AQI
11-02-2019,91
13-02-2019,95
14-02-2019,95
15-02-2019,93
16-02-2019,93
17-02-2019,92
18-02-2019,93
19-02-2019,92
20-02-2019,103
21-02-2019,94
22-02-2019,92
24-02-2019,92
25-02-2019,95
26-02-2019,96
27-02-2019,96
28-02-2019,92
01-03-2019,91
02-03-2019,96
03-03-2019,102
04-03-2019,103
05-03-2019,102
06-03-2019,100
07-03-2019,99
08-03-2019,99
09-03-2019,100
10-03-2019,101
11-03-2019,101
12-03-2019,98
13-03-2019,101
14-03-2019,102
15-03-2019,94
16-03-2019,53
17-03-2019,48
18-03-2019,57
19-03-2019,57
20-03-2019,58
21-03-2019,46
22-03-2019,55
23-03-2019,49
24-03-2019,58
25-03-2019,81
26-03-2019,86
27-03-2019,47
28-03-2019,51
29-03-2019,64
30-03-2019,64
31-03-2019,84
01-04-2019,67
02-04-2019,48
03-04-2019,60
06-04-2019,48
07-04-2019,110
08-04-2019,54
09-04-2019,57
10-04-2019,63
11-04-2019,84
12-04-2019,51
13-04-2019,51
14-04-2019,75
15-04-2019,78
16-04-2019,56
17-04-2019,46
18-04-2019,44
19-04-2019,48
20-04-2019,44
21-04-2019,46
22-04-2019,43
23-04-2019,61
24-04-2019,88
28-04-2019,164
29-04-2019,162
30-04-2019,150
01-05-2019,116
02-05-2019,145
03-05-2019,133
04-05-2019,112
05-05-2019,104
06-05-2019,99
07-05-2019,111
08-05-2019,130
09-05-2019,104
10-05-2019,87
11-05-2019,74
12-05-2019,95
13-05-2019,155
14-05-2019,80
15-05-2019,68
16-05-2019,81
17-05-2019,92
18-05-2019,86
19-05-2019,58
20-05-2019,64
21-05-2019,66
22-05-2019,98
23-05-2019,91
24-05-2019,76
25-05-2019,76
26-05-2019,64
27-05-2019,65
28-05-2019,75
29-05-2019,70
30-05-2019,65
31-05-2019,61
01-06-2019,81
02-06-2019,86
03-06-2019,74
04-06-2019,88
05-06-2019,107
06-06-2019,100
07-06-2019,76
08-06-2019,84
09-06-2019,80
10-06-2019,67
11-06-2019,70
12-06-2019,84
13-06-2019,54
14-06-2019,56
15-06-2019,54
16-06-2019,55
17-06-2019,62
18-06-2019,65
19-06-2019,69
20-06-2019,56
21-06-2019,58
22-06-2019,63
23-06-2019,43
24-06-2019,62
25-06-2019,75
26-06-2019,61
27-06-2019,45
28-06-2019,52
29-06-2019,62
30-06-2019,66
01-07-2019,54
02-07-2019,49
03-07-2019,43
04-07-2019,44
05-07-2019,41
06-07-2019,40
07-07-2019,38
08-07-2019,38
09-07-2019,52
10-07-2019,47
11-07-2019,66
12-07-2019,85
13-07-2019,79
14-07-2019,74
15-07-2019,104
16-07-2019,92
17-07-2019,87
18-07-2019,81
19-07-2019,73
20-07-2019,77
21-07-2019,60
22-07-2019,48
23-07-2019,52
24-07-2019,46
25-07-2019,36
26-07-2019,29
27-07-2019,29
28-07-2019,43
29-07-2019,30
30-07-2019,33
31-07-2019,33
01-08-2019,30
02-08-2019,28
03-08-2019,29
04-08-2019,30
05-08-2019,25
07-08-2019,38
08-08-2019,40
09-08-2019,41
10-08-2019,58
11-08-2019,58
13-08-2019,43
14-08-2019,45
15-08-2019,45
16-08-2019,44
23-08-2019,29
24-08-2019,36
25-08-2019,40
26-08-2019,40
27-08-2019,41
28-08-2019,40
29-08-2019,40
30-08-2019,48
31-08-2019,45
01-09-2019,48
02-09-2019,65
03-09-2019,49
04-09-2019,48
05-09-2019,39
06-09-2019,38
07-09-2019,37
08-09-2019,38
09-09-2019,40
10-09-2019,40
11-09-2019,40
13-09-2019,32
14-09-2019,27
15-09-2019,48
16-09-2019,54
17-09-2019,38
18-09-2019,61
19-09-2019,72
29-09-2019,26
01-10-2019,19
07-10-2019,45
08-10-2019,70
13-10-2019,43
14-10-2019,42
19-10-2019,59
20-10-2019,45
21-10-2019,77
22-10-2019,64
23-10-2019,53
24-10-2019,95
25-10-2019,56
26-10-2019,40
27-10-2019,92
28-10-2019,99
29-10-2019,101
30-10-2019,56
31-10-2019,97
01-11-2019,61
02-11-2019,48
03-11-2019,40
04-11-2019,70
05-11-2019,62
06-11-2019,51
07-11-2019,56
08-11-2019,69
09-11-2019,65
10-11-2019,42
11-11-2019,35
12-11-2019,45
13-11-2019,60
14-11-2019,67
15-11-2019,58
16-11-2019,71
17-11-2019,68
18-11-2019,37
19-11-2019,40
20-11-2019,62
21-11-2019,70
22-11-2019,67
23-11-2019,72
24-11-2019,45
25-11-2019,34
26-11-2019,80
27-11-2019,59
28-11-2019,53
29-11-2019,63
30-11-2019,50
01-12-2019,42
02-12-2019,52
03-12-2019,40
04-12-2019,38
07-12-2019,72
08-12-2019,67
09-12-2019,67
