Date,AQI
22-03-2017,215
23-03-2017,204
24-03-2017,146
25-03-2017,368
26-03-2017,189
29-03-2017,177
30-03-2017,127
31-03-2017,169
01-04-2017,185
03-04-2017,235
04-04-2017,140
05-04-2017,78
07-04-2017,237
08-04-2017,188
09-04-2017,118
10-04-2017,140
11-04-2017,326
15-04-2017,147
16-04-2017,230
17-04-2017,237
18-04-2017,236
22-04-2017,256
23-04-2017,44
24-04-2017,40
25-04-2017,172
26-04-2017,162
27-04-2017,335
28-04-2017,355
29-04-2017,450
30-04-2017,173
01-05-2017,97
02-05-2017,187
03-05-2017,142
04-05-2017,274
05-05-2017,356
06-05-2017,186
07-05-2017,227
08-05-2017,203
09-05-2017,187
10-05-2017,160
11-05-2017,233
12-05-2017,233
13-05-2017,211
14-05-2017,152
15-05-2017,209
16-05-2017,299
17-05-2017,185
18-05-2017,153
19-05-2017,116
20-05-2017,184
21-05-2017,300
22-05-2017,155
23-05-2017,176
24-05-2017,155
25-05-2017,211
27-05-2017,402
28-05-2017,126
29-05-2017,127
30-05-2017,112
31-05-2017,86
02-06-2017,160
03-06-2017,267
04-06-2017,256
05-06-2017,344
06-06-2017,463
07-06-2017,217
08-06-2017,68
09-06-2017,198
10-06-2017,152
12-06-2017,450
13-06-2017,214
14-06-2017,154
15-06-2017,325
16-06-2017,310
17-06-2017,450
19-06-2017,156
20-06-2017,450
21-06-2017,450
22-06-2017,116
23-06-2017,85
24-06-2017,230
25-06-2017,124
26-06-2017,100
28-06-2017,70
29-06-2017,41
30-06-2017,42
01-07-2017,196
02-07-2017,358
03-07-2017,450
04-07-2017,450
05-07-2017,186
06-07-2017,272
11-07-2017,120
14-07-2017,93
15-07-2017,79
16-07-2017,127
17-07-2017,315
18-07-2017,450
19-07-2017,450
20-07-2017,300
21-07-2017,87
22-07-2017,77
23-07-2017,450
25-07-2017,63
26-07-2017,127
27-07-2017,379
28-07-2017,160
04-08-2017,450
05-08-2017,364
06-08-2017,389
07-08-2017,157
08-08-2017,72
09-08-2017,109
11-08-2017,197
12-08-2017,151
13-08-2017,140
14-08-2017,45
15-08-2017,102
16-08-2017,125
17-08-2017,145
18-08-2017,46
19-08-2017,55
20-08-2017,45
21-08-2017,61
22-08-2017,53
23-08-2017,55
24-08-2017,78
31-08-2017,61
01-09-2017,54
02-09-2017,450
04-09-2017,75
05-09-2017,94
09-09-2017,310
12-09-2017,187
13-09-2017,195
14-09-2017,211
15-09-2017,141
16-09-2017,178
17-09-2017,185
18-09-2017,150
19-09-2017,145
22-09-2017,117
23-09-2017,47
24-09-2017,52
25-09-2017,190
26-09-2017,291
28-09-2017,229
29-09-2017,183
30-09-2017,199
07-10-2017,262
11-10-2017,298
12-10-2017,257
13-10-2017,362
15-10-2017,227
16-10-2017,187
19-10-2017,224
20-10-2017,324
21-10-2017,315
22-10-2017,384
23-10-2017,335
24-10-2017,254
25-10-2017,276
26-10-2017,216
27-10-2017,198
28-10-2017,227
29-10-2017,252
30-10-2017,268
31-10-2017,292
01-11-2017,184
02-11-2017,187
03-11-2017,271
04-11-2017,286
05-11-2017,297
06-11-2017,349
07-11-2017,328
10-11-2017,299
11-11-2017,395
12-11-2017,351
13-11-2017,362
15-11-2017,189
16-11-2017,109
17-11-2017,273
18-11-2017,271
19-11-2017,245
20-11-2017,284
21-11-2017,346
22-11-2017,376
23-11-2017,330
24-11-2017,302
26-11-2017,239
27-11-2017,326
28-11-2017,298
29-11-2017,217
01-12-2017,308
02-12-2017,207
03-12-2017,191
04-12-2017,303
05-12-2017,209
06-12-2017,205
07-12-2017,235
08-12-2017,343
11-12-2017,211
15-12-2017,114
16-12-2017,145
17-12-2017,199
19-12-2017,222
20-12-2017,240
21-12-2017,338
22-12-2017,288
23-12-2017,274
24-12-2017,169
25-12-2017,142
26-12-2017,271
27-12-2017,259
28-12-2017,96
29-12-2017,172
30-12-2017,136
31-12-2017,107
03-01-2018,153
04-01-2018,71
05-01-2018,84
06-01-2018,119
07-01-2018,226
08-01-2018,261
09-01-2018,217
10-01-2018,235
11-01-2018,276
12-01-2018,276
13-01-2018,121
20-01-2018,242
21-01-2018,168
22-01-2018,111
23-01-2018,104
26-01-2018,116
29-01-2018,68
30-01-2018,104
31-01-2018,190
09-02-2018,153
10-02-2018,108
11-02-2018,66
12-02-2018,88
13-02-2018,144
14-02-2018,78
15-02-2018,163
16-02-2018,218
17-02-2018,216
18-02-2018,199
19-02-2018,154
20-02-2018,158
21-02-2018,115
22-02-2018,143
23-02-2018,86
24-02-2018,80
25-02-2018,84
26-02-2018,130
27-02-2018,107
28-02-2018,177
01-03-2018,132
02-03-2018,77
03-03-2018,61
04-03-2018,68
05-03-2018,108
06-03-2018,114
07-03-2018,134
08-03-2018,122
09-03-2018,67
10-03-2018,102
11-03-2018,87
12-03-2018,116
13-03-2018,159
14-03-2018,83
15-03-2018,111
16-03-2018,94
17-03-2018,126
18-03-2018,94
19-03-2018,86
20-03-2018,67
21-03-2018,104
22-03-2018,80
23-03-2018,142
24-03-2018,97
25-03-2018,209
26-03-2018,195
27-03-2018,152
28-03-2018,141
29-03-2018,227
30-03-2018,212
31-03-2018,166
01-04-2018,84
02-04-2018,76
03-04-2018,81
04-04-2018,83
05-04-2018,131
06-04-2018,128
07-04-2018,117
08-04-2018,68
09-04-2018,59
10-04-2018,110
11-04-2018,86
12-04-2018,80
13-04-2018,66
14-04-2018,70
15-04-2018,76
17-04-2018,93
18-04-2018,85
19-04-2018,126
20-04-2018,91
21-04-2018,86
22-04-2018,126
23-04-2018,286
24-04-2018,204
25-04-2018,160
26-04-2018,120
27-04-2018,161
28-04-2018,209
29-04-2018,151
30-04-2018,129
01-05-2018,111
02-05-2018,142
03-05-2018,78
04-05-2018,81
05-05-2018,138
06-05-2018,118
07-05-2018,124
08-05-2018,87
09-05-2018,54
10-05-2018,89
11-05-2018,187
12-05-2018,189
13-05-2018,105
14-05-2018,60
15-05-2018,64
16-05-2018,191
17-05-2018,229
18-05-2018,299
19-05-2018,273
20-05-2018,238
21-05-2018,186
22-05-2018,154
23-05-2018,210
24-05-2018,144
25-05-2018,135
26-05-2018,192
27-05-2018,119
28-05-2018,144
29-05-2018,176
30-05-2018,125
31-05-2018,97
01-06-2018,119
02-06-2018,87
03-06-2018,63
04-06-2018,94
05-06-2018,93
06-06-2018,92
07-06-2018,106
08-06-2018,124
09-06-2018,74
10-06-2018,222
11-06-2018,101
12-06-2018,258
13-06-2018,309
14-06-2018,500
15-06-2018,440
16-06-2018,375
17-06-2018,154
18-06-2018,158
19-06-2018,202
20-06-2018,188
21-06-2018,154
22-06-2018,194
23-06-2018,138
24-06-2018,157
26-06-2018,91
27-06-2018,44
28-06-2018,93
29-06-2018,52
30-06-2018,131
01-07-2018,206
02-07-2018,49
03-07-2018,52
04-07-2018,51
05-07-2018,56
06-07-2018,69
07-07-2018,66
08-07-2018,127
09-07-2018,84
10-07-2018,67
11-07-2018,39
12-07-2018,65
13-07-2018,73
14-07-2018,50
15-07-2018,120
16-07-2018,66
17-07-2018,53
20-07-2018,347
21-07-2018,45
22-07-2018,35
23-07-2018,69
24-07-2018,53
25-07-2018,53
26-07-2018,40
27-07-2018,38
28-07-2018,43
29-07-2018,94
31-07-2018,63
01-08-2018,80
02-08-2018,62
03-08-2018,76
04-08-2018,62
05-08-2018,65
06-08-2018,56
07-08-2018,35
08-08-2018,32
09-08-2018,75
10-08-2018,50
11-08-2018,90
12-08-2018,104
13-08-2018,39
14-08-2018,51
15-08-2018,54
16-08-2018,43
17-08-2018,72
18-08-2018,45
19-08-2018,61
20-08-2018,98
21-08-2018,53
22-08-2018,43
23-08-2018,40
24-08-2018,59
25-08-2018,66
26-08-2018,63
27-08-2018,58
28-08-2018,51
29-08-2018,65
30-08-2018,54
31-08-2018,106
01-09-2018,39
02-09-2018,36
03-09-2018,37
04-09-2018,46
05-09-2018,62
06-09-2018,112
07-09-2018,43
08-09-2018,29
09-09-2018,29
10-09-2018,27
11-09-2018,35
12-09-2018,50
13-09-2018,62
14-09-2018,66
15-09-2018,129
16-09-2018,52
17-09-2018,63
18-09-2018,69
19-09-2018,66
20-09-2018,59
21-09-2018,36
22-09-2018,37
23-09-2018,23
26-09-2018,100
27-09-2018,69
28-09-2018,75
29-09-2018,53
30-09-2018,64
01-10-2018,56
02-10-2018,68
03-10-2018,61
04-10-2018,57
05-10-2018,91
06-10-2018,74
07-10-2018,75
08-10-2018,75
09-10-2018,72
10-10-2018,97
11-10-2018,133
12-10-2018,110
13-10-2018,144
15-10-2018,183
16-10-2018,199
17-10-2018,100
18-10-2018,118
19-10-2018,190
20-10-2018,105
21-10-2018,142
22-10-2018,149
23-10-2018,87
24-10-2018,70
25-10-2018,65
26-10-2018,94
27-10-2018,132
28-10-2018,104
29-10-2018,135
30-10-2018,130
31-10-2018,124
01-11-2018,139
02-11-2018,118
03-11-2018,107
04-11-2018,95
05-11-2018,123
06-11-2018,171
07-11-2018,283
08-11-2018,250
09-11-2018,172
10-11-2018,191
11-11-2018,154
13-11-2018,184
14-11-2018,150
15-11-2018,57
16-11-2018,116
17-11-2018,245
18-11-2018,67
19-11-2018,49
20-11-2018,90
21-11-2018,239
22-11-2018,232
23-11-2018,127
24-11-2018,269
25-11-2018,112
26-11-2018,73
27-11-2018,100
28-11-2018,153
29-11-2018,233
30-11-2018,240
01-12-2018,220
02-12-2018,150
03-12-2018,131
04-12-2018,149
05-12-2018,157
06-12-2018,152
07-12-2018,161
08-12-2018,138
09-12-2018,120
10-12-2018,114
11-12-2018,115
12-12-2018,88
13-12-2018,40
14-12-2018,102
15-12-2018,108
16-12-2018,138
17-12-2018,138
18-12-2018,173
20-12-2018,189
21-12-2018,240
22-12-2018,198
23-12-2018,116
24-12-2018,134
25-12-2018,238
26-12-2018,221
27-12-2018,132
28-12-2018,246
29-12-2018,146
30-12-2018,111
31-12-2018,134
01-01-2019,219
02-01-2019,212
03-01-2019,168
04-01-2019,239
06-01-2019,87
07-01-2019,68
08-01-2019,132
09-01-2019,236
10-01-2019,232
11-01-2019,189
12-01-2019,118
13-01-2019,96
14-01-2019,87
15-01-2019,209
16-01-2019,166
17-01-2019,120
18-01-2019,233
19-01-2019,187
20-01-2019,114
21-01-2019,114
22-01-2019,67
23-01-2019,144
24-01-2019,114
25-01-2019,168
26-01-2019,238
28-01-2019,274
29-01-2019,102
30-01-2019,405
31-01-2019,72
01-02-2019,103
02-02-2019,157
03-02-2019,244
04-02-2019,149
05-02-2019,170
07-02-2019,79
08-02-2019,50
09-02-2019,108
10-02-2019,234
11-02-2019,202
12-02-2019,210
13-02-2019,131
14-02-2019,103
15-02-2019,37
16-02-2019,124
17-02-2019,186
18-02-2019,114
19-02-2019,27
20-02-2019,74
21-02-2019,42
22-02-2019,114
23-02-2019,162
24-02-2019,146
25-02-2019,87
26-02-2019,56
27-02-2019,48
28-02-2019,58
01-03-2019,121
02-03-2019,91
03-03-2019,38
04-03-2019,64
05-03-2019,154
06-03-2019,151
07-03-2019,165
08-03-2019,105
09-03-2019,92
10-03-2019,168
11-03-2019,95
12-03-2019,63
13-03-2019,163
14-03-2019,79
15-03-2019,79
16-03-2019,116
17-03-2019,185
19-03-2019,130
20-03-2019,96
21-03-2019,71
