Date,AQI
02-01-2018,160
03-01-2018,195
04-01-2018,194
05-01-2018,249
06-01-2018,220
07-01-2018,194
08-01-2018,324
09-01-2018,273
10-01-2018,156
11-01-2018,188
12-01-2018,187
13-01-2018,222
14-01-2018,200
15-01-2018,139
16-01-2018,198
17-01-2018,147
18-01-2018,158
19-01-2018,155
20-01-2018,130
21-01-2018,124
22-01-2018,131
23-01-2018,159
24-01-2018,151
25-01-2018,174
26-01-2018,234
27-01-2018,167
28-01-2018,191
29-01-2018,178
30-01-2018,216
31-01-2018,186
01-02-2018,202
02-02-2018,194
03-02-2018,236
04-02-2018,130
05-02-2018,181
06-02-2018,151
07-02-2018,153
08-02-2018,194
09-02-2018,173
10-02-2018,161
11-02-2018,158
12-02-2018,111
13-02-2018,158
14-02-2018,101
15-02-2018,141
16-02-2018,143
17-02-2018,173
18-02-2018,183
19-02-2018,170
20-02-2018,185
21-02-2018,193
22-02-2018,228
23-02-2018,174
24-02-2018,248
25-02-2018,199
26-02-2018,117
27-02-2018,136
28-02-2018,191
01-03-2018,214
02-03-2018,202
03-03-2018,136
04-03-2018,123
05-03-2018,172
06-03-2018,117
07-03-2018,122
08-03-2018,112
09-03-2018,131
11-03-2018,178
12-03-2018,202
13-03-2018,221
14-03-2018,211
15-03-2018,356
16-03-2018,190
17-03-2018,198
18-03-2018,143
19-03-2018,179
20-03-2018,148
21-03-2018,190
22-03-2018,198
23-03-2018,169
24-03-2018,128
25-03-2018,136
29-03-2018,194
30-03-2018,285
31-03-2018,217
01-04-2018,200
02-04-2018,173
03-04-2018,199
04-04-2018,239
05-04-2018,221
06-04-2018,245
07-04-2018,361
08-04-2018,195
09-04-2018,166
10-04-2018,166
11-04-2018,145
12-04-2018,171
13-04-2018,170
14-04-2018,199
15-04-2018,164
16-04-2018,203
17-04-2018,194
18-04-2018,188
19-04-2018,218
20-04-2018,274
21-04-2018,230
22-04-2018,293
23-04-2018,215
24-04-2018,182
25-04-2018,192
26-04-2018,178
27-04-2018,150
28-04-2018,197
29-04-2018,266
30-04-2018,212
01-05-2018,233
02-05-2018,201
03-05-2018,216
04-05-2018,252
05-05-2018,294
06-05-2018,192
07-05-2018,191
08-05-2018,244
09-05-2018,181
10-05-2018,179
11-05-2018,205
12-05-2018,182
13-05-2018,157
14-05-2018,141
15-05-2018,236
16-05-2018,230
17-05-2018,206
18-05-2018,272
19-05-2018,273
20-05-2018,234
21-05-2018,202
22-05-2018,195
23-05-2018,189
24-05-2018,261
25-05-2018,260
26-05-2018,172
27-05-2018,178
28-05-2018,181
29-05-2018,243
30-05-2018,210
31-05-2018,211
01-06-2018,234
02-06-2018,180
03-06-2018,225
04-06-2018,234
05-06-2018,269
06-06-2018,137
07-06-2018,144
08-06-2018,210
09-06-2018,143
10-06-2018,67
11-06-2018,117
12-06-2018,167
13-06-2018,254
14-06-2018,294
15-06-2018,266
16-06-2018,164
17-06-2018,119
18-06-2018,121
19-06-2018,101
20-06-2018,87
21-06-2018,125
22-06-2018,94
23-06-2018,84
24-06-2018,66
25-06-2018,64
26-06-2018,57
27-06-2018,68
29-06-2018,58
30-06-2018,107
01-07-2018,112
02-07-2018,115
03-07-2018,156
04-07-2018,65
05-07-2018,35
06-07-2018,90
07-07-2018,75
08-07-2018,76
09-07-2018,100
10-07-2018,59
11-07-2018,63
12-07-2018,49
13-07-2018,52
14-07-2018,52
15-07-2018,64
16-07-2018,51
17-07-2018,41
18-07-2018,36
19-07-2018,44
20-07-2018,41
21-07-2018,33
22-07-2018,40
23-07-2018,49
24-07-2018,46
25-07-2018,54
26-07-2018,71
27-07-2018,72
28-07-2018,85
29-07-2018,116
30-07-2018,116
31-07-2018,126
01-08-2018,167
02-08-2018,228
03-08-2018,184
04-08-2018,121
06-08-2018,129
07-08-2018,133
08-08-2018,85
09-08-2018,47
10-08-2018,55
11-08-2018,51
12-08-2018,56
13-08-2018,51
14-08-2018,64
15-08-2018,103
16-08-2018,53
17-08-2018,49
18-08-2018,33
19-08-2018,43
20-08-2018,42
21-08-2018,89
22-08-2018,53
23-08-2018,40
24-08-2018,36
25-08-2018,47
26-08-2018,39
27-08-2018,49
28-08-2018,84
29-08-2018,51
30-08-2018,44
31-08-2018,71
01-09-2018,39
02-09-2018,40
03-09-2018,52
04-09-2018,67
05-09-2018,93
06-09-2018,98
07-09-2018,62
08-09-2018,44
09-09-2018,54
10-09-2018,68
11-09-2018,106
12-09-2018,105
13-09-2018,98
14-09-2018,70
15-09-2018,90
16-09-2018,119
17-09-2018,113
18-09-2018,114
19-09-2018,133
20-09-2018,142
21-09-2018,113
22-09-2018,35
23-09-2018,93
24-09-2018,87
25-09-2018,114
26-09-2018,137
27-09-2018,144
28-09-2018,175
29-09-2018,156
30-09-2018,167
01-10-2018,153
02-10-2018,158
03-10-2018,145
04-10-2018,142
05-10-2018,105
06-10-2018,127
07-10-2018,147
08-10-2018,158
09-10-2018,188
10-10-2018,166
11-10-2018,138
12-10-2018,150
13-10-2018,127
14-10-2018,166
15-10-2018,191
16-10-2018,251
17-10-2018,190
18-10-2018,147
19-10-2018,156
20-10-2018,141
21-10-2018,152
22-10-2018,180
23-10-2018,225
24-10-2018,208
25-10-2018,215
26-10-2018,227
27-10-2018,222
28-10-2018,150
29-10-2018,138
30-10-2018,140
31-10-2018,136
01-11-2018,122
02-11-2018,218
03-11-2018,210
04-11-2018,222
05-11-2018,226
06-11-2018,201
07-11-2018,282
08-11-2018,328
09-11-2018,262
10-11-2018,251
11-11-2018,264
12-11-2018,296
13-11-2018,268
14-11-2018,281
15-11-2018,260
16-11-2018,246
17-11-2018,261
18-11-2018,231
