Date,AQI
05-02-2019,232
06-02-2019,245
07-02-2019,132
08-02-2019,120
09-02-2019,80
10-02-2019,90
11-02-2019,157
12-02-2019,206
13-02-2019,265
14-02-2019,262
15-02-2019,167
16-02-2019,159
17-02-2019,97
18-02-2019,118
19-02-2019,114
20-02-2019,168
21-02-2019,121
22-02-2019,102
23-02-2019,57
24-02-2019,76
25-02-2019,138
26-02-2019,83
27-02-2019,62
28-02-2019,92
01-03-2019,84
02-03-2019,150
03-03-2019,87
04-03-2019,74
05-03-2019,65
06-03-2019,74
07-03-2019,96
08-03-2019,121
10-03-2019,81
11-03-2019,135
12-03-2019,103
13-03-2019,108
14-03-2019,242
15-03-2019,69
16-03-2019,77
17-03-2019,104
18-03-2019,95
19-03-2019,107
20-03-2019,123
21-03-2019,120
22-03-2019,85
23-03-2019,79
24-03-2019,88
25-03-2019,94
26-03-2019,88
27-03-2019,109
28-03-2019,115
29-03-2019,137
30-03-2019,163
02-04-2019,105
03-04-2019,124
04-04-2019,152
05-04-2019,161
06-04-2019,176
07-04-2019,208
08-04-2019,146
09-04-2019,163
10-04-2019,194
11-04-2019,197
12-04-2019,210
13-04-2019,146
14-04-2019,130
15-04-2019,165
20-04-2019,126
21-04-2019,102
22-04-2019,122
23-04-2019,148
24-04-2019,181
25-04-2019,183
26-04-2019,141
27-04-2019,152
28-04-2019,168
29-04-2019,161
30-04-2019,212
01-05-2019,146
02-05-2019,173
03-05-2019,111
04-05-2019,94
05-05-2019,119
06-05-2019,299
07-05-2019,188
08-05-2019,202
09-05-2019,236
10-05-2019,190
11-05-2019,157
12-05-2019,268
13-05-2019,141
14-05-2019,110
15-05-2019,131
16-05-2019,166
17-05-2019,116
18-05-2019,186
19-05-2019,179
20-05-2019,178
21-05-2019,167
22-05-2019,100
25-05-2019,156
26-05-2019,156
27-05-2019,165
28-05-2019,155
29-05-2019,170
30-05-2019,127
31-05-2019,144
01-06-2019,122
20-06-2019,95
21-06-2019,113
22-06-2019,174
23-06-2019,101
24-06-2019,100
25-06-2019,100
26-06-2019,101
27-06-2019,153
28-06-2019,164
29-06-2019,195
30-06-2019,158
01-07-2019,132
02-07-2019,169
03-07-2019,117
04-07-2019,76
05-07-2019,55
07-07-2019,57
08-07-2019,85
09-07-2019,70
10-07-2019,98
11-07-2019,206
12-07-2019,154
13-07-2019,121
15-07-2019,138
16-07-2019,105
17-07-2019,67
18-07-2019,62
19-07-2019,45
20-07-2019,57
21-07-2019,52
22-07-2019,54
23-07-2019,51
28-07-2019,97
29-07-2019,100
30-07-2019,87
01-08-2019,98
02-08-2019,96
03-08-2019,95
04-08-2019,99
05-08-2019,97
06-08-2019,96
08-08-2019,99
09-08-2019,99
10-08-2019,100
