Date,AQI
12-12-2018,143
13-12-2018,101
14-12-2018,74
20-12-2018,233
21-12-2018,268
22-12-2018,291
23-12-2018,290
24-12-2018,306
25-12-2018,313
26-12-2018,224
27-12-2018,176
28-12-2018,216
29-12-2018,247
30-12-2018,263
31-12-2018,276
01-01-2019,268
02-01-2019,332
03-01-2019,384
04-01-2019,344
06-01-2019,299
07-01-2019,289
08-01-2019,276
10-01-2019,223
11-01-2019,318
12-01-2019,337
13-01-2019,335
14-01-2019,190
15-01-2019,99
16-01-2019,271
17-01-2019,357
18-01-2019,340
21-01-2019,179
22-01-2019,96
23-01-2019,162
24-01-2019,318
25-01-2019,149
26-01-2019,214
27-01-2019,158
28-01-2019,149
29-01-2019,144
30-01-2019,222
31-01-2019,250
01-02-2019,205
02-02-2019,266
03-02-2019,241
04-02-2019,256
05-02-2019,269
06-02-2019,282
07-02-2019,124
08-02-2019,134
09-02-2019,103
10-02-2019,208
11-02-2019,245
12-02-2019,283
13-02-2019,310
14-02-2019,274
15-02-2019,191
16-02-2019,193
17-02-2019,132
18-02-2019,198
19-02-2019,150
20-02-2019,219
21-02-2019,99
22-02-2019,116
23-02-2019,78
24-02-2019,96
25-02-2019,194
26-02-2019,92
27-02-2019,90
28-02-2019,141
01-03-2019,140
02-03-2019,143
03-03-2019,81
04-03-2019,95
05-03-2019,98
06-03-2019,123
07-03-2019,156
08-03-2019,178
09-03-2019,138
10-03-2019,103
11-03-2019,160
12-03-2019,132
13-03-2019,152
14-03-2019,275
15-03-2019,101
16-03-2019,107
17-03-2019,162
18-03-2019,141
19-03-2019,146
20-03-2019,154
21-03-2019,174
22-03-2019,99
23-03-2019,100
24-03-2019,107
25-03-2019,116
26-03-2019,179
27-03-2019,178
28-03-2019,180
29-03-2019,229
30-03-2019,211
31-03-2019,172
01-04-2019,112
02-04-2019,150
03-04-2019,140
04-04-2019,219
05-04-2019,235
06-04-2019,202
07-04-2019,262
08-04-2019,225
09-04-2019,159
10-04-2019,225
11-04-2019,142
12-04-2019,212
13-04-2019,147
14-04-2019,132
15-04-2019,157
16-04-2019,191
17-04-2019,59
18-04-2019,61
19-04-2019,115
20-04-2019,103
21-04-2019,179
22-04-2019,170
23-04-2019,166
24-04-2019,200
25-04-2019,242
26-04-2019,177
27-04-2019,332
28-04-2019,256
29-04-2019,290
01-05-2019,296
02-05-2019,266
03-05-2019,176
04-05-2019,182
05-05-2019,273
06-05-2019,259
07-05-2019,247
08-05-2019,286
09-05-2019,308
11-05-2019,294
12-05-2019,390
13-05-2019,298
14-05-2019,150
15-05-2019,247
16-05-2019,177
17-05-2019,266
18-05-2019,110
19-05-2019,157
20-05-2019,220
21-05-2019,136
22-05-2019,131
23-05-2019,182
24-05-2019,111
25-05-2019,140
26-05-2019,136
27-05-2019,146
28-05-2019,154
29-05-2019,175
30-05-2019,226
31-05-2019,217
01-06-2019,197
02-06-2019,167
03-06-2019,193
04-06-2019,166
05-06-2019,195
06-06-2019,175
07-06-2019,148
08-06-2019,278
09-06-2019,300
12-06-2019,286
14-06-2019,237
15-06-2019,315
16-06-2019,180
17-06-2019,81
18-06-2019,84
19-06-2019,137
20-06-2019,99
21-06-2019,169
22-06-2019,162
23-06-2019,115
24-06-2019,131
25-06-2019,102
26-06-2019,160
27-06-2019,238
28-06-2019,171
29-06-2019,190
30-06-2019,231
01-07-2019,143
02-07-2019,189
03-07-2019,128
04-07-2019,75
05-07-2019,77
06-07-2019,77
07-07-2019,96
08-07-2019,97
09-07-2019,208
10-07-2019,161
11-07-2019,260
12-07-2019,209
13-07-2019,161
14-07-2019,162
15-07-2019,209
16-07-2019,96
17-07-2019,87
18-07-2019,58
19-07-2019,74
20-07-2019,100
21-07-2019,107
23-07-2019,109
24-07-2019,122
25-07-2019,49
26-07-2019,82
27-07-2019,40
28-07-2019,48
29-07-2019,41
31-07-2019,107
01-08-2019,194
03-08-2019,151
04-08-2019,124
07-08-2019,89
08-08-2019,147
09-08-2019,168
11-08-2019,85
12-08-2019,76
13-08-2019,97
14-08-2019,76
15-08-2019,148
16-08-2019,103
17-08-2019,47
18-08-2019,27
19-08-2019,167
20-08-2019,212
21-08-2019,108
22-08-2019,113
23-08-2019,127
24-08-2019,133
25-08-2019,79
26-08-2019,61
27-08-2019,80
28-08-2019,94
29-08-2019,176
30-08-2019,152
01-09-2019,105
03-09-2019,161
04-09-2019,258
05-09-2019,100
06-09-2019,60
07-09-2019,56
08-09-2019,50
10-09-2019,156
11-09-2019,163
12-09-2019,149
13-09-2019,80
14-09-2019,60
15-09-2019,61
16-09-2019,74
17-09-2019,125
18-09-2019,86
19-09-2019,57
20-09-2019,68
21-09-2019,67
22-09-2019,51
23-09-2019,40
24-09-2019,69
25-09-2019,51
26-09-2019,45
27-09-2019,51
28-09-2019,52
01-10-2019,59
02-10-2019,59
03-10-2019,125
04-10-2019,81
05-10-2019,80
06-10-2019,121
07-10-2019,115
08-10-2019,98
09-10-2019,127
10-10-2019,184
11-10-2019,181
12-10-2019,198
13-10-2019,225
14-10-2019,207
15-10-2019,236
16-10-2019,248
17-10-2019,252
18-10-2019,217
19-10-2019,121
20-10-2019,170
21-10-2019,188
22-10-2019,135
23-10-2019,246
24-10-2019,253
25-10-2019,263
26-10-2019,209
27-10-2019,275
28-10-2019,326
29-10-2019,349
30-10-2019,288
31-10-2019,339
01-11-2019,427
02-11-2019,316
03-11-2019,486
04-11-2019,323
05-11-2019,289
06-11-2019,278
07-11-2019,328
08-11-2019,203
09-11-2019,290
10-11-2019,228
11-11-2019,330
12-11-2019,410
13-11-2019,463
15-11-2019,405
16-11-2019,325
17-11-2019,121
18-11-2019,83
19-11-2019,150
20-11-2019,205
21-11-2019,254
22-11-2019,292
23-11-2019,262
24-11-2019,201
25-11-2019,156
27-11-2019,102
28-11-2019,92
29-11-2019,76
30-11-2019,105
01-12-2019,166
02-12-2019,191
03-12-2019,137
04-12-2019,191
05-12-2019,293
06-12-2019,333
07-12-2019,326
08-12-2019,335
09-12-2019,262
10-12-2019,272
11-12-2019,275
12-12-2019,314
13-12-2019,191
14-12-2019,102
15-12-2019,108
16-12-2019,86
17-12-2019,70
18-12-2019,109
19-12-2019,222
20-12-2019,280
21-12-2019,235
22-12-2019,170
24-12-2019,273
25-12-2019,189
26-12-2019,210
27-12-2019,306
28-12-2019,278
29-12-2019,296
31-12-2019,271
01-01-2020,309
02-01-2020,297
04-01-2020,222
07-01-2020,103
08-01-2020,120
09-01-2020,96
10-01-2020,95
11-01-2020,105
12-01-2020,206
13-01-2020,228
14-01-2020,80
15-01-2020,96
16-01-2020,118
17-01-2020,108
18-01-2020,109
19-01-2020,131
20-01-2020,91
21-01-2020,166
22-01-2020,192
23-01-2020,109
24-01-2020,82
25-01-2020,114
26-01-2020,229
27-01-2020,182
28-01-2020,124
29-01-2020,94
30-01-2020,104
31-01-2020,93
01-02-2020,153
02-02-2020,99
03-02-2020,130
04-02-2020,208
05-02-2020,233
06-02-2020,110
07-02-2020,216
08-02-2020,141
09-02-2020,181
10-02-2020,224
12-02-2020,233
13-02-2020,122
14-02-2020,111
15-02-2020,105
16-02-2020,108
17-02-2020,213
18-02-2020,115
20-02-2020,153
21-02-2020,126
22-02-2020,103
23-02-2020,229
24-02-2020,165
25-02-2020,221
26-02-2020,256
27-02-2020,175
28-02-2020,123
29-02-2020,106
01-03-2020,57
02-03-2020,169
03-03-2020,213
04-03-2020,159
05-03-2020,60
06-03-2020,45
07-03-2020,46
08-03-2020,115
09-03-2020,87
10-03-2020,108
11-03-2020,86
12-03-2020,118
13-03-2020,128
14-03-2020,167
15-03-2020,125
16-03-2020,116
17-03-2020,136
18-03-2020,138
19-03-2020,152
20-03-2020,128
21-03-2020,105
22-03-2020,153
23-03-2020,71
24-03-2020,105
25-03-2020,52
26-03-2020,46
27-03-2020,40
28-03-2020,43
29-03-2020,46
30-03-2020,49
31-03-2020,58
01-04-2020,53
02-04-2020,56
03-04-2020,58
04-04-2020,58
05-04-2020,69
06-04-2020,81
07-04-2020,82
10-04-2020,79
11-04-2020,98
13-04-2020,93
14-04-2020,116
15-04-2020,156
16-04-2020,142
17-04-2020,97
18-04-2020,100
19-04-2020,95
20-04-2020,107
21-04-2020,73
22-04-2020,113
23-04-2020,93
24-04-2020,108
25-04-2020,88
26-04-2020,93
27-04-2020,60
28-04-2020,45
29-04-2020,88
30-04-2020,114
01-05-2020,116
02-05-2020,100
03-05-2020,84
04-05-2020,50
05-05-2020,73
06-05-2020,76
07-05-2020,77
08-05-2020,70
09-05-2020,90
10-05-2020,142
11-05-2020,63
12-05-2020,91
13-05-2020,103
14-05-2020,91
15-05-2020,114
16-05-2020,130
17-05-2020,125
18-05-2020,123
19-05-2020,156
20-05-2020,134
21-05-2020,104
22-05-2020,111
23-05-2020,131
24-05-2020,123
25-05-2020,106
26-05-2020,117
27-05-2020,135
28-05-2020,164
