Date,AQI
04-01-2021,41
05-01-2021,49
06-01-2021,38
07-01-2021,21
08-01-2021,17
09-01-2021,31
10-01-2021,39
11-01-2021,55
12-01-2021,63
13-01-2021,74
14-01-2021,99
15-01-2021,69
16-01-2021,65
17-01-2021,48
18-01-2021,58
19-01-2021,75
20-01-2021,83
21-01-2021,93
22-01-2021,81
23-01-2021,87
24-01-2021,102
25-01-2021,97
26-01-2021,113
27-01-2021,90
28-01-2021,84
29-01-2021,94
30-01-2021,108
31-01-2021,126
01-02-2021,111
02-02-2021,86
03-02-2021,82
04-02-2021,89
05-02-2021,119
06-02-2021,93
07-02-2021,85
08-02-2021,86
09-02-2021,104
10-02-2021,101
11-02-2021,110
12-02-2021,101
13-02-2021,94
14-02-2021,110
15-02-2021,97
16-02-2021,85
17-02-2021,76
18-02-2021,75
19-02-2021,76
20-02-2021,64
23-02-2021,44
24-02-2021,57
25-02-2021,56
26-02-2021,87
02-03-2021,91
03-03-2021,92
04-03-2021,90
05-03-2021,109
06-03-2021,94
07-03-2021,124
08-03-2021,143
09-03-2021,94
10-03-2021,73
11-03-2021,66
12-03-2021,56
13-03-2021,53
14-03-2021,56
15-03-2021,52
16-03-2021,67
17-03-2021,152
18-03-2021,106
19-03-2021,94
20-03-2021,108
21-03-2021,98
22-03-2021,111
23-03-2021,38
24-03-2021,33
25-03-2021,71
02-04-2021,69
03-04-2021,132
04-04-2021,121
05-04-2021,112
06-04-2021,94
07-04-2021,91
08-04-2021,74
09-04-2021,85
10-04-2021,92
11-04-2021,86
12-04-2021,62
13-04-2021,52
14-04-2021,49
15-04-2021,41
16-04-2021,40
17-04-2021,54
18-04-2021,67
19-04-2021,42
20-04-2021,62
21-04-2021,56
22-04-2021,65
23-04-2021,44
24-04-2021,67
25-04-2021,74
26-04-2021,56
27-04-2021,57
30-04-2021,44
01-05-2021,51
02-05-2021,50
03-05-2021,52
04-05-2021,47
05-05-2021,49
06-05-2021,37
07-05-2021,36
08-05-2021,33
09-05-2021,38
10-05-2021,38
11-05-2021,39
12-05-2021,52
13-05-2021,33
14-05-2021,34
15-05-2021,34
16-05-2021,37
17-05-2021,33
18-05-2021,33
19-05-2021,34
20-05-2021,34
21-05-2021,34
22-05-2021,34
23-05-2021,38
24-05-2021,74
25-05-2021,49
26-05-2021,37
27-05-2021,54
28-05-2021,55
07-07-2021,72
08-07-2021,78
09-07-2021,81
10-07-2021,73
11-07-2021,68
12-07-2021,71
13-07-2021,69
14-07-2021,70
15-07-2021,66
16-07-2021,77
17-07-2021,68
18-07-2021,71
19-07-2021,85
20-07-2021,61
21-07-2021,62
22-07-2021,60
23-07-2021,69
24-07-2021,70
16-08-2021,99
27-08-2021,84
07-09-2021,62
10-09-2021,37
13-09-2021,37
01-10-2021,48
02-10-2021,57
03-10-2021,60
04-10-2021,56
05-10-2021,59
06-10-2021,62
07-10-2021,66
08-10-2021,53
09-10-2021,55
10-10-2021,52
11-10-2021,56
12-10-2021,53
13-10-2021,54
14-10-2021,57
15-10-2021,59
16-10-2021,69
17-10-2021,60
18-10-2021,69
19-10-2021,102
20-10-2021,98
21-10-2021,70
22-10-2021,60
23-10-2021,68
24-10-2021,77
25-10-2021,67
26-10-2021,68
27-10-2021,129
28-10-2021,106
29-10-2021,91
30-10-2021,110
31-10-2021,53
01-11-2021,51
02-11-2021,55
03-11-2021,56
05-11-2021,60
06-11-2021,49
07-11-2021,47
08-11-2021,69
09-11-2021,73
10-11-2021,133
11-11-2021,162
12-11-2021,178
13-11-2021,140
14-11-2021,88
15-11-2021,56
16-11-2021,60
17-11-2021,74
18-11-2021,68
19-11-2021,96
20-11-2021,62
21-11-2021,58
22-11-2021,58
23-11-2021,64
24-11-2021,65
25-11-2021,64
26-11-2021,75
01-12-2021,73
02-12-2021,54
03-12-2021,75
04-12-2021,78
07-12-2021,88
08-12-2021,63
09-12-2021,90
10-12-2021,71
11-12-2021,63
12-12-2021,38
13-12-2021,40
14-12-2021,40
15-12-2021,63
16-12-2021,70
17-12-2021,106
18-12-2021,60
19-12-2021,58
20-12-2021,55
21-12-2021,48
22-12-2021,49
23-12-2021,55
25-12-2021,68
26-12-2021,49
27-12-2021,47
28-12-2021,50
29-12-2021,47
30-12-2021,44
31-12-2021,42
01-01-2022,31
02-01-2022,29
03-01-2022,33
04-01-2022,38
05-01-2022,53
06-01-2022,50
07-01-2022,50
08-01-2022,48
09-01-2022,33
10-01-2022,33
11-01-2022,41
12-01-2022,44
13-01-2022,59
14-01-2022,34
15-01-2022,30
16-01-2022,30
17-01-2022,42
18-01-2022,46
19-01-2022,51
20-01-2022,59
21-01-2022,58
22-01-2022,42
23-01-2022,50
24-01-2022,70
25-01-2022,97
26-01-2022,65
27-01-2022,61
28-01-2022,56
29-01-2022,55
30-01-2022,50
31-01-2022,60
01-02-2022,50
02-02-2022,52
03-02-2022,40
04-02-2022,40
05-02-2022,39
06-02-2022,36
07-02-2022,40
08-02-2022,57
09-02-2022,46
10-02-2022,40
11-02-2022,43
12-02-2022,60
13-02-2022,46
14-02-2022,51
15-02-2022,53
16-02-2022,53
17-02-2022,51
18-02-2022,49
19-02-2022,72
20-02-2022,87
21-02-2022,91
22-02-2022,48
23-02-2022,56
24-02-2022,51
25-02-2022,50
26-02-2022,47
28-02-2022,46
01-03-2022,50
02-03-2022,55
03-03-2022,49
04-03-2022,52
05-03-2022,47
06-03-2022,50
07-03-2022,51
08-03-2022,51
09-03-2022,57
15-03-2022,65
16-03-2022,64
17-03-2022,59
18-03-2022,57
19-03-2022,54
20-03-2022,51
21-03-2022,54
22-03-2022,62
23-03-2022,54
24-03-2022,57
25-03-2022,57
26-03-2022,58
27-03-2022,47
28-03-2022,48
29-03-2022,46
30-03-2022,53
31-03-2022,51
01-04-2022,56
02-04-2022,53
03-04-2022,54
04-04-2022,54
05-04-2022,74
06-04-2022,60
07-04-2022,57
08-04-2022,57
09-04-2022,56
10-04-2022,57
11-04-2022,59
12-04-2022,59
13-04-2022,58
15-04-2022,40
16-04-2022,41
17-04-2022,36
18-04-2022,38
19-04-2022,64
20-04-2022,57
21-04-2022,59
22-04-2022,60
23-04-2022,57
24-04-2022,55
25-04-2022,61
26-04-2022,61
27-04-2022,64
29-04-2022,66
30-04-2022,66
01-05-2022,63
02-05-2022,67
03-05-2022,64
04-05-2022,67
05-05-2022,70
06-05-2022,71
07-05-2022,71
08-05-2022,91
09-05-2022,97
10-05-2022,95
11-05-2022,106
12-05-2022,71
13-05-2022,73
14-05-2022,73
15-05-2022,110
16-05-2022,121
17-05-2022,104
18-05-2022,73
20-05-2022,63
21-05-2022,65
22-05-2022,63
23-05-2022,58
24-05-2022,58
25-05-2022,62
26-05-2022,58
27-05-2022,56
28-05-2022,61
29-05-2022,53
30-05-2022,59
31-05-2022,56
01-06-2022,61
02-06-2022,65
03-06-2022,83
04-06-2022,75
05-06-2022,60
06-06-2022,63
07-06-2022,59
08-06-2022,57
09-06-2022,53
10-06-2022,55
11-06-2022,58
14-06-2022,79
25-06-2022,56
28-06-2022,89
29-06-2022,55
30-06-2022,56
02-07-2022,78
03-07-2022,56
06-07-2022,49
07-07-2022,57
08-07-2022,52
09-07-2022,85
10-07-2022,79
11-07-2022,104
12-07-2022,51
13-07-2022,49
14-07-2022,51
15-07-2022,52
16-07-2022,54
17-07-2022,66
19-07-2022,58
20-07-2022,83
21-07-2022,66
22-07-2022,63
23-07-2022,81
24-07-2022,49
25-07-2022,58
26-07-2022,62
27-07-2022,55
28-07-2022,54
29-07-2022,49
30-07-2022,50
31-07-2022,47
01-08-2022,50
02-08-2022,47
03-08-2022,47
04-08-2022,48
05-08-2022,45
06-08-2022,48
07-08-2022,45
08-08-2022,47
09-08-2022,46
10-08-2022,45
11-08-2022,45
12-08-2022,46
13-08-2022,46
14-08-2022,47
15-08-2022,47
16-08-2022,52
17-08-2022,50
18-08-2022,49
19-08-2022,48
20-08-2022,49
21-08-2022,49
22-08-2022,50
23-08-2022,51
24-08-2022,55
25-08-2022,58
26-08-2022,56
27-08-2022,53
28-08-2022,47
29-08-2022,49
30-08-2022,54
31-08-2022,50
02-09-2022,51
03-09-2022,51
05-09-2022,54
06-09-2022,48
09-09-2022,48
10-09-2022,50
11-09-2022,49
12-09-2022,53
13-09-2022,52
14-09-2022,53
15-09-2022,52
16-09-2022,51
17-09-2022,57
18-09-2022,55
19-09-2022,53
20-09-2022,65
21-09-2022,53
22-09-2022,59
23-09-2022,65
24-09-2022,50
25-09-2022,49
26-09-2022,52
27-09-2022,52
28-09-2022,56
29-09-2022,58
30-09-2022,57
01-10-2022,56
02-10-2022,64
03-10-2022,55
