Date,AQI
02-01-2022,70
14-02-2022,104
15-02-2022,96
19-02-2022,118
21-02-2022,101
22-02-2022,91
23-02-2022,90
24-02-2022,103
25-02-2022,93
26-02-2022,93
28-02-2022,64
01-03-2022,77
03-03-2022,155
04-03-2022,78
05-03-2022,85
07-03-2022,96
08-03-2022,86
09-03-2022,83
10-03-2022,97
11-03-2022,101
12-03-2022,104
13-03-2022,110
14-03-2022,86
15-03-2022,108
16-03-2022,118
17-03-2022,121
18-03-2022,156
19-03-2022,116
20-03-2022,108
23-03-2022,112
24-03-2022,118
25-03-2022,115
26-03-2022,151
28-03-2022,159
29-03-2022,168
30-03-2022,154
31-03-2022,159
05-04-2022,212
06-04-2022,91
08-04-2022,125
09-04-2022,154
12-04-2022,71
15-04-2022,142
16-04-2022,174
26-04-2022,206
07-05-2022,32
12-05-2022,52
25-05-2022,56
26-05-2022,65
05-06-2022,87
06-06-2022,116
07-06-2022,60
08-06-2022,56
09-06-2022,52
10-06-2022,41
15-06-2022,56
22-06-2022,73
23-06-2022,49
25-06-2022,42
05-07-2022,48
12-07-2022,33
14-07-2022,33
17-07-2022,33
18-07-2022,45
23-07-2022,22
24-07-2022,23
25-07-2022,31
27-07-2022,31
31-07-2022,36
02-08-2022,32
05-08-2022,48
06-08-2022,46
13-08-2022,44
19-08-2022,44
21-08-2022,34
23-08-2022,39
30-08-2022,47
31-08-2022,48
01-09-2022,47
02-09-2022,43
03-09-2022,33
04-09-2022,34
05-09-2022,44
06-09-2022,48
10-09-2022,22
11-09-2022,28
12-09-2022,21
17-09-2022,44
18-09-2022,45
19-09-2022,41
23-09-2022,38
24-09-2022,56
28-09-2022,39
29-09-2022,41
30-09-2022,54
01-10-2022,47
02-10-2022,46
03-10-2022,74
05-10-2022,28
08-10-2022,32
10-10-2022,35
11-10-2022,34
12-10-2022,25
13-10-2022,34
17-10-2022,49
18-10-2022,51
19-10-2022,50
22-10-2022,29
23-10-2022,30
25-10-2022,40
26-10-2022,52
28-10-2022,94
30-10-2022,52
01-11-2022,55
02-11-2022,48
03-11-2022,101
04-11-2022,75
06-11-2022,73
10-11-2022,109
11-11-2022,123
12-11-2022,156
15-11-2022,107
16-11-2022,97
17-11-2022,92
19-11-2022,128
20-11-2022,89
21-11-2022,108
22-11-2022,77
23-11-2022,117
24-11-2022,95
25-11-2022,68
26-11-2022,52
27-11-2022,68
28-11-2022,109
29-11-2022,79
30-11-2022,89
01-12-2022,58
02-12-2022,75
03-12-2022,77
04-12-2022,91
05-12-2022,58
06-12-2022,83
08-12-2022,89
09-12-2022,74
10-12-2022,50
11-12-2022,48
12-12-2022,108
13-12-2022,164
