Date,AQI
09-11-2020,69
10-11-2020,78
11-11-2020,74
12-11-2020,51
13-11-2020,25
14-11-2020,33
15-11-2020,37
16-11-2020,22
17-11-2020,28
18-11-2020,28
19-11-2020,31
20-11-2020,34
21-11-2020,46
22-11-2020,62
23-11-2020,59
24-11-2020,55
26-11-2020,43
27-11-2020,48
28-11-2020,40
29-11-2020,39
30-11-2020,40
01-12-2020,52
02-12-2020,53
03-12-2020,43
04-12-2020,40
05-12-2020,36
06-12-2020,45
07-12-2020,29
08-12-2020,29
09-12-2020,34
10-12-2020,36
11-12-2020,47
12-12-2020,48
13-12-2020,47
14-12-2020,53
15-12-2020,62
16-12-2020,62
17-12-2020,43
18-12-2020,47
19-12-2020,66
20-12-2020,78
21-12-2020,79
22-12-2020,92
23-12-2020,108
24-12-2020,96
25-12-2020,151
26-12-2020,152
27-12-2020,163
28-12-2020,126
29-12-2020,147
30-12-2020,97
31-12-2020,87
01-01-2021,117
02-01-2021,124
03-01-2021,103
04-01-2021,72
05-01-2021,84
06-01-2021,66
07-01-2021,46
08-01-2021,55
09-01-2021,49
10-01-2021,67
11-01-2021,60
12-01-2021,61
13-01-2021,62
14-01-2021,41
15-01-2021,42
16-01-2021,52
17-01-2021,65
18-01-2021,60
19-01-2021,56
20-01-2021,56
21-01-2021,70
22-01-2021,66
23-01-2021,70
24-01-2021,66
25-01-2021,74
26-01-2021,52
27-01-2021,84
28-01-2021,85
29-01-2021,75
30-01-2021,85
31-01-2021,90
01-02-2021,83
02-02-2021,70
03-02-2021,86
04-02-2021,83
05-02-2021,81
06-02-2021,78
07-02-2021,80
08-02-2021,94
09-02-2021,81
10-02-2021,76
11-02-2021,70
12-02-2021,70
13-02-2021,72
14-02-2021,69
15-02-2021,73
16-02-2021,77
18-02-2021,52
19-02-2021,56
20-02-2021,49
21-02-2021,39
22-02-2021,30
23-02-2021,28
24-02-2021,48
25-02-2021,45
26-02-2021,58
27-02-2021,70
28-02-2021,77
01-03-2021,69
02-03-2021,69
03-03-2021,74
04-03-2021,72
05-03-2021,58
06-03-2021,63
07-03-2021,67
09-03-2021,55
10-03-2021,59
11-03-2021,57
12-03-2021,44
13-03-2021,48
14-03-2021,50
15-03-2021,46
16-03-2021,51
17-03-2021,59
18-03-2021,68
19-03-2021,70
20-03-2021,72
21-03-2021,64
22-03-2021,75
23-03-2021,74
24-03-2021,74
25-03-2021,70
26-03-2021,73
27-03-2021,75
28-03-2021,73
29-03-2021,68
30-03-2021,50
31-03-2021,60
01-04-2021,67
02-04-2021,56
03-04-2021,105
04-04-2021,97
05-04-2021,94
06-04-2021,92
07-04-2021,76
08-04-2021,78
09-04-2021,75
10-04-2021,73
11-04-2021,62
12-04-2021,62
13-04-2021,42
14-04-2021,40
15-04-2021,37
16-04-2021,42
17-04-2021,42
18-04-2021,55
19-04-2021,38
20-04-2021,45
21-04-2021,49
22-04-2021,41
23-04-2021,39
24-04-2021,39
25-04-2021,45
26-04-2021,52
27-04-2021,50
28-04-2021,56
29-04-2021,49
30-04-2021,41
01-05-2021,58
02-05-2021,53
03-05-2021,32
04-05-2021,26
05-05-2021,31
06-05-2021,30
07-05-2021,29
08-05-2021,26
09-05-2021,28
10-05-2021,26
11-05-2021,24
12-05-2021,25
14-05-2021,32
15-05-2021,30
16-05-2021,34
17-05-2021,31
18-05-2021,24
19-05-2021,24
20-05-2021,24
21-05-2021,39
22-05-2021,33
23-05-2021,37
24-05-2021,59
25-05-2021,40
26-05-2021,33
27-05-2021,35
28-05-2021,41
29-05-2021,29
30-05-2021,37
31-05-2021,42
01-06-2021,35
02-06-2021,40
03-06-2021,42
04-06-2021,32
05-06-2021,35
06-06-2021,34
07-06-2021,34
08-06-2021,37
13-06-2021,34
14-06-2021,35
15-06-2021,34
16-06-2021,33
17-06-2021,35
18-06-2021,30
19-06-2021,44
20-06-2021,36
21-06-2021,24
22-06-2021,59
23-06-2021,56
24-06-2021,55
25-06-2021,59
26-06-2021,26
27-06-2021,23
28-06-2021,27
29-06-2021,35
30-06-2021,26
01-07-2021,25
02-07-2021,28
03-07-2021,26
04-07-2021,24
05-07-2021,21
06-07-2021,33
07-07-2021,33
08-07-2021,26
09-07-2021,29
10-07-2021,25
11-07-2021,26
12-07-2021,23
13-07-2021,23
14-07-2021,25
15-07-2021,27
16-07-2021,25
17-07-2021,26
18-07-2021,25
19-07-2021,24
20-07-2021,21
21-07-2021,21
22-07-2021,41
23-07-2021,21
24-07-2021,23
25-07-2021,22
26-07-2021,21
27-07-2021,21
28-07-2021,22
30-07-2021,21
31-07-2021,21
01-08-2021,21
02-08-2021,21
03-08-2021,22
04-08-2021,22
05-08-2021,23
06-08-2021,36
07-08-2021,45
08-08-2021,29
10-08-2021,29
11-08-2021,29
12-08-2021,29
13-08-2021,29
14-08-2021,29
15-08-2021,29
16-08-2021,29
17-08-2021,29
18-08-2021,29
19-08-2021,29
20-08-2021,29
21-08-2021,34
22-08-2021,29
23-08-2021,29
24-08-2021,29
25-08-2021,29
26-08-2021,29
27-08-2021,29
28-08-2021,29
29-08-2021,29
30-08-2021,118
31-08-2021,29
01-09-2021,29
02-09-2021,29
03-09-2021,29
04-09-2021,29
05-09-2021,29
06-09-2021,29
07-09-2021,27
08-09-2021,26
09-09-2021,26
10-09-2021,26
11-09-2021,26
12-09-2021,26
13-09-2021,58
14-09-2021,26
15-09-2021,26
16-09-2021,35
17-09-2021,42
18-09-2021,33
19-09-2021,31
20-09-2021,37
21-09-2021,32
22-09-2021,19
23-09-2021,18
24-09-2021,23
25-09-2021,26
26-09-2021,28
27-09-2021,14
28-09-2021,23
29-09-2021,24
30-09-2021,36
01-10-2021,39
02-10-2021,40
03-10-2021,36
04-10-2021,36
05-10-2021,45
06-10-2021,24
07-10-2021,33
08-10-2021,32
09-10-2021,30
10-10-2021,34
11-10-2021,32
12-10-2021,24
13-10-2021,23
14-10-2021,32
15-10-2021,38
16-10-2021,46
17-10-2021,26
19-10-2021,55
20-10-2021,49
21-10-2021,92
22-10-2021,57
24-10-2021,52
25-10-2021,47
26-10-2021,65
27-10-2021,103
28-10-2021,121
29-10-2021,75
30-10-2021,22
31-10-2021,44
