Date,AQI
03-07-2019,87
04-07-2019,69
05-07-2019,91
06-07-2019,80
07-07-2019,85
08-07-2019,80
09-07-2019,77
10-07-2019,106
11-07-2019,209
12-07-2019,94
13-07-2019,251
08-10-2019,108
09-10-2019,165
10-10-2019,220
11-10-2019,253
12-10-2019,269
13-10-2019,202
14-10-2019,189
15-10-2019,324
16-10-2019,314
17-10-2019,269
18-10-2019,243
19-10-2019,179
20-10-2019,249
21-10-2019,255
22-10-2019,238
23-10-2019,280
24-10-2019,293
25-10-2019,287
26-10-2019,292
27-10-2019,326
28-10-2019,352
29-10-2019,379
30-10-2019,430
31-10-2019,459
01-11-2019,410
02-11-2019,371
03-11-2019,445
04-11-2019,424
05-11-2019,324
06-11-2019,325
07-11-2019,250
08-11-2019,193
09-11-2019,223
10-11-2019,322
11-11-2019,288
12-11-2019,269
13-11-2019,297
14-11-2019,321
15-11-2019,304
16-11-2019,192
17-11-2019,157
18-11-2019,257
19-11-2019,294
20-11-2019,313
21-11-2019,348
22-11-2019,315
23-11-2019,296
24-11-2019,194
25-11-2019,186
26-11-2019,248
27-11-2019,127
28-11-2019,87
29-11-2019,64
30-11-2019,190
01-12-2019,193
02-12-2019,252
03-12-2019,289
04-12-2019,330
05-12-2019,359
06-12-2019,302
07-12-2019,263
08-12-2019,287
09-12-2019,283
10-12-2019,314
11-12-2019,356
12-12-2019,391
13-12-2019,172
14-12-2019,36
15-12-2019,160
16-12-2019,155
17-12-2019,161
18-12-2019,255
19-12-2019,264
20-12-2019,320
21-12-2019,368
22-12-2019,239
23-12-2019,260
24-12-2019,282
25-12-2019,224
26-12-2019,288
27-12-2019,311
28-12-2019,283
29-12-2019,266
30-12-2019,338
31-12-2019,256
01-01-2020,346
02-01-2020,275
03-01-2020,220
04-01-2020,282
05-01-2020,274
06-01-2020,284
07-01-2020,120
08-01-2020,107
09-01-2020,125
10-01-2020,219
11-01-2020,283
12-01-2020,357
13-01-2020,366
14-01-2020,292
15-01-2020,204
16-01-2020,232
17-01-2020,85
18-01-2020,86
19-01-2020,192
20-01-2020,218
21-01-2020,309
22-01-2020,262
23-01-2020,161
24-01-2020,119
25-01-2020,260
26-01-2020,339
27-01-2020,296
28-01-2020,244
29-01-2020,107
30-01-2020,111
31-01-2020,137
01-02-2020,184
02-02-2020,207
03-02-2020,225
04-02-2020,202
05-02-2020,220
06-02-2020,200
07-02-2020,252
08-02-2020,231
09-02-2020,271
10-02-2020,276
11-02-2020,289
12-02-2020,291
13-02-2020,155
14-02-2020,150
15-02-2020,133
16-02-2020,263
17-02-2020,251
18-02-2020,221
19-02-2020,286
20-02-2020,277
21-02-2020,129
22-02-2020,50
23-02-2020,191
24-02-2020,84
25-02-2020,216
26-02-2020,230
27-02-2020,244
28-02-2020,238
29-02-2020,202
01-03-2020,50
02-03-2020,151
03-03-2020,175
04-03-2020,208
05-03-2020,66
06-03-2020,54
07-03-2020,64
08-03-2020,95
09-03-2020,90
10-03-2020,143
11-03-2020,116
12-03-2020,118
13-03-2020,131
14-03-2020,56
15-03-2020,83
16-03-2020,94
17-03-2020,129
18-03-2020,138
19-03-2020,183
20-03-2020,208
21-03-2020,258
22-03-2020,172
23-03-2020,136
24-03-2020,171
25-03-2020,110
26-03-2020,104
27-03-2020,75
28-03-2020,58
29-03-2020,55
30-03-2020,95
31-03-2020,84
01-04-2020,84
02-04-2020,82
03-04-2020,72
04-04-2020,90
05-04-2020,125
06-04-2020,164
07-04-2020,104
08-04-2020,106
09-04-2020,116
10-04-2020,158
11-04-2020,170
12-04-2020,118
13-04-2020,149
14-04-2020,188
15-04-2020,236
16-04-2020,306
17-04-2020,160
18-04-2020,91
19-04-2020,78
20-04-2020,186
21-04-2020,102
22-04-2020,142
23-04-2020,142
24-04-2020,164
25-04-2020,220
26-04-2020,180
27-04-2020,91
28-04-2020,100
29-04-2020,154
30-04-2020,169
01-05-2020,145
02-05-2020,118
03-05-2020,146
04-05-2020,68
05-05-2020,129
06-05-2020,114
07-05-2020,85
08-05-2020,120
09-05-2020,162
10-05-2020,132
11-05-2020,80
12-05-2020,85
13-05-2020,166
14-05-2020,240
15-05-2020,128
16-05-2020,129
17-05-2020,152
18-05-2020,185
19-05-2020,153
20-05-2020,149
21-05-2020,179
22-05-2020,259
23-05-2020,220
24-05-2020,246
25-05-2020,175
26-05-2020,165
27-05-2020,142
28-05-2020,165
29-05-2020,57
30-05-2020,47
31-05-2020,39
01-06-2020,30
03-06-2020,98
04-06-2020,125
05-06-2020,73
06-06-2020,68
07-06-2020,101
08-06-2020,96
09-06-2020,117
10-06-2020,142
11-06-2020,166
12-06-2020,144
13-06-2020,157
14-06-2020,200
15-06-2020,132
16-06-2020,131
17-06-2020,129
18-06-2020,156
19-06-2020,97
20-06-2020,144
21-06-2020,118
22-06-2020,129
23-06-2020,66
24-06-2020,68
25-06-2020,78
26-06-2020,129
27-06-2020,135
28-06-2020,268
29-06-2020,167
30-06-2020,101
01-07-2020,123
02-07-2020,121
03-07-2020,110
04-07-2020,96
05-07-2020,50
06-07-2020,58
07-07-2020,47
08-07-2020,76
09-07-2020,69
10-07-2020,99
11-07-2020,49
12-07-2020,50
13-07-2020,68
14-07-2020,154
15-07-2020,120
16-07-2020,56
17-07-2020,61
18-07-2020,50
19-07-2020,35
20-07-2020,39
21-07-2020,40
22-07-2020,36
23-07-2020,58
24-07-2020,59
25-07-2020,51
26-07-2020,64
27-07-2020,96
28-07-2020,106
29-07-2020,70
30-07-2020,39
31-07-2020,49
01-08-2020,52
02-08-2020,87
03-08-2020,93
04-08-2020,60
05-08-2020,67
06-08-2020,42
07-08-2020,35
08-08-2020,52
09-08-2020,49
10-08-2020,42
11-08-2020,49
12-08-2020,64
13-08-2020,32
14-08-2020,17
15-08-2020,43
16-08-2020,48
17-08-2020,46
18-08-2020,44
19-08-2020,56
20-08-2020,25
21-08-2020,18
22-08-2020,23
23-08-2020,26
24-08-2020,24
25-08-2020,39
26-08-2020,52
27-08-2020,57
28-08-2020,58
31-08-2020,33
01-09-2020,54
02-09-2020,80
03-09-2020,81
04-09-2020,90
05-09-2020,105
06-09-2020,47
07-09-2020,57
08-09-2020,82
09-09-2020,96
10-09-2020,114
11-09-2020,143
12-09-2020,160
13-09-2020,173
14-09-2020,185
15-09-2020,206
16-09-2020,176
17-09-2020,145
18-09-2020,102
19-09-2020,132
20-09-2020,176
21-09-2020,145
22-09-2020,117
23-09-2020,55
24-09-2020,68
25-09-2020,120
26-09-2020,216
27-09-2020,117
28-09-2020,147
29-09-2020,164
30-09-2020,138
01-10-2020,135
02-10-2020,195
03-10-2020,217
04-10-2020,215
05-10-2020,204
06-10-2020,216
07-10-2020,263
08-10-2020,286
09-10-2020,251
10-10-2020,262
11-10-2020,292
12-10-2020,257
13-10-2020,254
14-10-2020,243
15-10-2020,359
16-10-2020,278
17-10-2020,267
18-10-2020,257
19-10-2020,253
20-10-2020,258
21-10-2020,339
22-10-2020,232
23-10-2020,261
24-10-2020,290
25-10-2020,363
26-10-2020,331
27-10-2020,293
28-10-2020,302
29-10-2020,275
30-10-2020,300
31-10-2020,367
01-11-2020,364
02-11-2020,344
03-11-2020,309
04-11-2020,374
05-11-2020,453
06-11-2020,342
07-11-2020,348
08-11-2020,386
09-11-2020,374
10-11-2020,336
11-11-2020,252
12-11-2020,256
13-11-2020,315
14-11-2020,397
15-11-2020,373
16-11-2020,83
17-11-2020,144
18-11-2020,182
19-11-2020,208
20-11-2020,292
21-11-2020,190
22-11-2020,217
23-11-2020,248
24-11-2020,341
25-11-2020,340
26-11-2020,216
27-11-2020,141
28-11-2020,220
29-11-2020,316
30-11-2020,341
01-12-2020,342
02-12-2020,356
03-12-2020,345
04-12-2020,403
05-12-2020,353
06-12-2020,334
07-12-2020,353
08-12-2020,364
09-12-2020,352
10-12-2020,237
11-12-2020,302
12-12-2020,354
13-12-2020,265
14-12-2020,156
15-12-2020,174
16-12-2020,268
17-12-2020,222
18-12-2020,294
19-12-2020,269
20-12-2020,329
