Date,AQI
14-03-2023,58
16-03-2023,80
17-03-2023,52
18-03-2023,42
19-03-2023,66
21-03-2023,54
22-03-2023,44
23-03-2023,42
24-03-2023,49
25-03-2023,52
26-03-2023,52
27-03-2023,54
28-03-2023,45
30-03-2023,61
31-03-2023,32
01-04-2023,29
02-04-2023,31
04-04-2023,47
05-04-2023,49
06-04-2023,40
07-04-2023,49
08-04-2023,71
09-04-2023,48
10-04-2023,53
11-04-2023,49
12-04-2023,61
13-04-2023,58
14-04-2023,81
15-04-2023,69
17-04-2023,64
18-04-2023,53
19-04-2023,57
20-04-2023,66
21-04-2023,37
22-04-2023,48
24-04-2023,52
25-04-2023,38
26-04-2023,35
27-04-2023,39
28-04-2023,58
29-04-2023,39
30-04-2023,31
01-05-2023,43
02-05-2023,29
05-05-2023,38
06-05-2023,35
07-05-2023,40
08-05-2023,50
09-05-2023,47
10-05-2023,66
12-05-2023,60
13-05-2023,64
14-05-2023,81
15-05-2023,78
16-05-2023,82
17-05-2023,95
18-05-2023,70
19-05-2023,71
20-05-2023,74
21-05-2023,85
22-05-2023,81
23-05-2023,71
24-05-2023,71
25-05-2023,45
27-05-2023,46
29-05-2023,65
30-05-2023,96
31-05-2023,79
01-06-2023,48
03-06-2023,66
04-06-2023,58
06-06-2023,39
08-06-2023,63
09-06-2023,64
11-06-2023,79
12-06-2023,54
14-06-2023,65
15-06-2023,68
16-06-2023,56
17-06-2023,60
18-06-2023,73
19-06-2023,76
20-06-2023,71
25-08-2023,38
26-08-2023,59
27-08-2023,100
28-08-2023,90
29-08-2023,102
30-08-2023,77
31-08-2023,51
02-09-2023,63
03-09-2023,33
05-09-2023,33
06-09-2023,27
07-09-2023,28
08-09-2023,28
09-09-2023,27
10-09-2023,40
11-09-2023,45
15-09-2023,36
20-09-2023,27
23-09-2023,18
24-09-2023,35
25-09-2023,45
28-09-2023,40
29-09-2023,33
30-09-2023,50
01-10-2023,29
02-10-2023,21
03-10-2023,19
06-10-2023,42
07-10-2023,50
10-10-2023,77
11-10-2023,71
12-10-2023,79
13-10-2023,86
17-10-2023,86
18-10-2023,64
19-10-2023,58
20-10-2023,76
21-10-2023,79
25-10-2023,88
26-10-2023,81
28-10-2023,73
29-10-2023,80
30-10-2023,84
31-10-2023,84
01-11-2023,79
02-11-2023,77
03-11-2023,61
04-11-2023,59
05-11-2023,84
06-11-2023,70
07-11-2023,95
08-11-2023,175
09-11-2023,178
10-11-2023,88
11-11-2023,68
12-11-2023,79
13-11-2023,80
14-11-2023,73
15-11-2023,67
16-11-2023,77
17-11-2023,47
18-11-2023,58
19-11-2023,57
20-11-2023,51
23-11-2023,65
24-11-2023,64
25-11-2023,65
26-11-2023,81
27-11-2023,68
28-11-2023,70
29-11-2023,56
30-11-2023,57
01-12-2023,75
02-12-2023,72
03-12-2023,57
04-12-2023,50
05-12-2023,35
06-12-2023,26
09-12-2023,35
10-12-2023,50
11-12-2023,53
17-12-2023,62
18-12-2023,60
19-12-2023,59
20-12-2023,72
25-12-2023,74
26-12-2023,74
27-12-2023,71
28-12-2023,84
29-12-2023,90
31-12-2023,134
