Date,AQI
21-09-2017,100
22-09-2017,41
23-09-2017,67
24-09-2017,52
25-09-2017,82
26-09-2017,212
27-09-2017,238
29-09-2017,296
30-09-2017,279
01-10-2017,248
02-10-2017,210
03-10-2017,218
04-10-2017,296
05-10-2017,325
06-10-2017,262
07-10-2017,323
10-10-2017,302
11-10-2017,293
13-10-2017,328
15-10-2017,340
16-10-2017,348
17-10-2017,322
18-10-2017,355
19-10-2017,284
20-10-2017,221
21-10-2017,297
22-10-2017,346
23-10-2017,320
24-10-2017,357
25-10-2017,347
26-10-2017,354
27-10-2017,353
28-10-2017,403
29-10-2017,392
30-10-2017,354
31-10-2017,346
01-11-2017,300
02-11-2017,370
03-11-2017,381
04-11-2017,384
05-11-2017,352
06-11-2017,383
07-11-2017,500
08-11-2017,439
09-11-2017,414
10-11-2017,382
11-11-2017,399
12-11-2017,440
13-11-2017,479
14-11-2017,420
15-11-2017,392
16-11-2017,421
17-11-2017,324
18-11-2017,333
19-11-2017,294
20-11-2017,320
21-11-2017,357
22-11-2017,417
23-11-2017,393
24-11-2017,416
25-11-2017,439
27-11-2017,343
28-11-2017,428
01-12-2017,433
02-12-2017,389
03-12-2017,402
04-12-2017,414
05-12-2017,444
06-12-2017,284
07-12-2017,224
08-12-2017,265
09-12-2017,165
10-12-2017,184
11-12-2017,331
12-12-2017,130
13-12-2017,230
14-12-2017,72
15-12-2017,331
16-12-2017,71
17-12-2017,333
18-12-2017,175
19-12-2017,349
20-12-2017,364
21-12-2017,283
22-12-2017,283
23-12-2017,288
24-12-2017,193
25-12-2017,287
26-12-2017,182
27-12-2017,395
28-12-2017,207
29-12-2017,214
30-12-2017,235
31-12-2017,88
01-01-2018,395
02-01-2018,164
03-01-2018,359
04-01-2018,76
05-01-2018,340
06-01-2018,163
07-01-2018,402
08-01-2018,204
09-01-2018,105
10-01-2018,387
11-01-2018,101
12-01-2018,369
13-01-2018,204
14-01-2018,303
15-01-2018,277
17-01-2018,208
18-01-2018,399
19-01-2018,142
20-01-2018,93
21-01-2018,397
22-01-2018,162
23-01-2018,112
25-01-2018,321
26-01-2018,292
27-01-2018,351
28-01-2018,168
29-01-2018,199
30-01-2018,284
31-01-2018,206
01-02-2018,281
02-02-2018,75
03-02-2018,270
04-02-2018,301
05-02-2018,284
06-02-2018,300
07-02-2018,244
08-02-2018,249
09-02-2018,286
10-02-2018,247
11-02-2018,287
12-02-2018,228
13-02-2018,199
14-02-2018,154
15-02-2018,105
16-02-2018,193
17-02-2018,263
18-02-2018,285
19-02-2018,288
20-02-2018,320
21-02-2018,385
22-02-2018,354
23-02-2018,397
24-02-2018,410
25-02-2018,318
26-02-2018,91
27-02-2018,150
28-02-2018,292
01-03-2018,235
02-03-2018,271
03-03-2018,126
04-03-2018,189
05-03-2018,186
06-03-2018,125
07-03-2018,124
08-03-2018,240
09-03-2018,269
10-03-2018,174
11-03-2018,138
12-03-2018,222
13-03-2018,237
14-03-2018,331
15-03-2018,287
16-03-2018,160
17-03-2018,207
18-03-2018,116
19-03-2018,130
20-03-2018,225
21-03-2018,294
23-03-2018,164
24-03-2018,218
25-03-2018,160
26-03-2018,174
27-03-2018,190
29-03-2018,253
30-03-2018,274
31-03-2018,158
01-04-2018,197
02-04-2018,205
03-04-2018,253
07-04-2018,174
08-04-2018,172
09-04-2018,208
10-04-2018,222
11-04-2018,166
12-04-2018,158
13-04-2018,137
14-04-2018,166
15-04-2018,173
16-04-2018,321
17-04-2018,292
18-04-2018,192
19-04-2018,215
20-04-2018,313
21-04-2018,186
22-04-2018,273
23-04-2018,208
24-04-2018,267
25-04-2018,311
26-04-2018,335
27-04-2018,276
28-04-2018,215
29-04-2018,243
30-04-2018,168
01-05-2018,141
02-05-2018,152
03-05-2018,148
04-05-2018,94
05-05-2018,164
06-05-2018,262
07-05-2018,152
08-05-2018,204
09-05-2018,116
10-05-2018,178
12-05-2018,277
13-05-2018,204
14-05-2018,142
15-05-2018,121
16-05-2018,175
17-05-2018,203
18-05-2018,196
19-05-2018,239
20-05-2018,340
21-05-2018,214
22-05-2018,235
23-05-2018,237
24-05-2018,189
25-05-2018,193
26-05-2018,236
27-05-2018,273
28-05-2018,233
29-05-2018,239
30-05-2018,186
31-05-2018,145
01-06-2018,146
03-06-2018,111
04-06-2018,174
05-06-2018,140
06-06-2018,213
07-06-2018,210
08-06-2018,149
09-06-2018,103
10-06-2018,127
11-06-2018,151
12-06-2018,244
13-06-2018,431
14-06-2018,412
15-06-2018,385
16-06-2018,402
17-06-2018,266
19-06-2018,151
26-06-2018,232
27-06-2018,164
29-06-2018,90
30-06-2018,102
01-07-2018,118
02-07-2018,95
03-07-2018,89
04-07-2018,93
05-07-2018,96
06-07-2018,136
07-07-2018,138
08-07-2018,159
09-07-2018,146
10-07-2018,156
13-07-2018,55
14-07-2018,80
15-07-2018,81
16-07-2018,75
17-07-2018,82
18-07-2018,80
19-07-2018,93
20-07-2018,100
21-07-2018,96
22-07-2018,60
23-07-2018,75
24-07-2018,96
25-07-2018,56
26-07-2018,97
27-07-2018,67
28-07-2018,45
29-07-2018,60
30-07-2018,65
31-07-2018,118
01-08-2018,110
02-08-2018,116
03-08-2018,77
04-08-2018,120
05-08-2018,156
06-08-2018,130
07-08-2018,164
08-08-2018,70
10-08-2018,130
11-08-2018,120
12-08-2018,58
13-08-2018,122
14-08-2018,113
15-08-2018,119
16-08-2018,115
17-08-2018,92
18-08-2018,82
19-08-2018,90
20-08-2018,148
21-08-2018,125
22-08-2018,89
23-08-2018,53
24-08-2018,57
26-08-2018,35
27-08-2018,50
28-08-2018,51
29-08-2018,78
30-08-2018,53
31-08-2018,98
01-09-2018,132
02-09-2018,95
03-09-2018,77
04-09-2018,63
06-09-2018,125
07-09-2018,94
08-09-2018,80
09-09-2018,74
10-09-2018,80
11-09-2018,96
12-09-2018,84
13-09-2018,87
14-09-2018,127
15-09-2018,130
16-09-2018,118
17-09-2018,136
18-09-2018,132
19-09-2018,152
20-09-2018,206
21-09-2018,108
22-09-2018,68
23-09-2018,46
24-09-2018,302
27-09-2018,218
28-09-2018,174
30-09-2018,132
01-10-2018,114
02-10-2018,164
03-10-2018,212
04-10-2018,239
05-10-2018,221
06-10-2018,216
07-10-2018,332
08-10-2018,464
09-10-2018,255
10-10-2018,217
11-10-2018,228
12-10-2018,118
13-10-2018,205
14-10-2018,273
15-10-2018,301
16-10-2018,286
17-10-2018,330
21-10-2018,233
22-10-2018,187
23-10-2018,282
24-10-2018,308
25-10-2018,181
26-10-2018,290
27-10-2018,296
28-10-2018,331
29-10-2018,197
30-10-2018,301
31-10-2018,181
01-11-2018,341
02-11-2018,320
03-11-2018,281
04-11-2018,145
05-11-2018,342
06-11-2018,185
07-11-2018,375
08-11-2018,371
09-11-2018,363
10-11-2018,346
11-11-2018,336
12-11-2018,271
13-11-2018,273
14-11-2018,438
15-11-2018,141
16-11-2018,198
17-11-2018,296
18-11-2018,244
19-11-2018,188
20-11-2018,320
21-11-2018,159
22-11-2018,198
23-11-2018,208
24-11-2018,249
25-11-2018,174
26-11-2018,125
27-11-2018,324
28-11-2018,191
29-11-2018,197
30-11-2018,360
01-12-2018,187
02-12-2018,298
03-12-2018,285
04-12-2018,324
05-12-2018,339
06-12-2018,257
07-12-2018,213
08-12-2018,214
10-12-2018,255
11-12-2018,306
12-12-2018,357
13-12-2018,312
14-12-2018,282
15-12-2018,292
16-12-2018,388
17-12-2018,322
18-12-2018,321
19-12-2018,379
20-12-2018,430
21-12-2018,363
22-12-2018,407
23-12-2018,416
24-12-2018,138
25-12-2018,369
26-12-2018,347
27-12-2018,406
28-12-2018,352
29-12-2018,336
30-12-2018,437
31-12-2018,445
01-01-2019,185
02-01-2019,425
03-01-2019,389
04-01-2019,332
05-01-2019,343
06-01-2019,385
08-01-2019,319
09-01-2019,314
10-01-2019,308
11-01-2019,347
12-01-2019,360
13-01-2019,414
14-01-2019,234
15-01-2019,217
16-01-2019,351
17-01-2019,387
18-01-2019,154
19-01-2019,340
20-01-2019,383
21-01-2019,370
23-01-2019,232
24-01-2019,303
25-01-2019,151
26-01-2019,176
27-01-2019,202
