Date,AQI
18-07-2021,49
19-07-2021,68
20-07-2021,46
21-07-2021,49
22-07-2021,45
23-07-2021,45
24-07-2021,37
25-07-2021,58
26-07-2021,58
27-07-2021,40
28-07-2021,51
29-07-2021,40
30-07-2021,38
31-07-2021,44
01-08-2021,50
02-08-2021,45
04-08-2021,42
09-08-2021,77
10-08-2021,44
13-11-2021,267
14-11-2021,334
16-11-2021,327
17-11-2021,309
18-11-2021,314
19-11-2021,342
20-11-2021,345
21-11-2021,428
22-11-2021,426
23-11-2021,352
24-11-2021,386
25-11-2021,300
27-11-2021,383
28-11-2021,339
29-11-2021,398
30-11-2021,376
01-12-2021,318
02-12-2021,337
03-12-2021,332
04-12-2021,225
05-12-2021,186
06-12-2021,185
07-12-2021,247
08-12-2021,235
09-12-2021,196
10-12-2021,261
11-12-2021,240
12-12-2021,298
13-12-2021,291
14-12-2021,301
15-12-2021,312
17-12-2021,303
21-12-2021,337
22-12-2021,310
23-12-2021,305
24-12-2021,297
25-12-2021,256
26-12-2021,227
27-12-2021,273
28-12-2021,296
01-01-2022,165
02-01-2022,199
03-01-2022,215
04-01-2022,298
05-01-2022,282
06-01-2022,316
07-01-2022,275
08-01-2022,135
09-01-2022,136
11-01-2022,298
12-01-2022,254
13-01-2022,105
14-01-2022,203
15-01-2022,214
16-01-2022,236
18-01-2022,183
19-01-2022,241
20-01-2022,224
21-01-2022,283
22-01-2022,291
23-01-2022,312
24-01-2022,210
25-01-2022,235
26-01-2022,181
27-01-2022,251
28-01-2022,224
30-01-2022,292
31-01-2022,339
03-02-2022,318
04-02-2022,98
05-02-2022,72
06-02-2022,100
07-02-2022,221
08-02-2022,247
09-02-2022,260
10-02-2022,242
11-02-2022,150
12-02-2022,203
13-02-2022,258
14-02-2022,292
15-02-2022,260
16-02-2022,245
17-02-2022,243
18-02-2022,228
19-02-2022,210
20-02-2022,151
21-02-2022,162
22-02-2022,215
23-02-2022,210
24-02-2022,157
25-02-2022,157
26-02-2022,204
27-02-2022,231
28-02-2022,208
01-03-2022,112
03-03-2022,215
04-03-2022,179
05-03-2022,150
06-03-2022,155
07-03-2022,242
08-03-2022,217
09-03-2022,176
11-03-2022,209
12-03-2022,234
13-03-2022,237
15-03-2022,260
16-03-2022,294
17-03-2022,248
22-03-2022,195
23-03-2022,221
24-03-2022,271
25-03-2022,203
26-03-2022,160
29-03-2022,204
30-03-2022,152
31-03-2022,160
01-04-2022,199
02-04-2022,158
03-04-2022,120
04-04-2022,198
05-04-2022,211
06-04-2022,234
07-04-2022,207
08-04-2022,182
09-04-2022,169
10-04-2022,116
11-04-2022,109
12-04-2022,119
13-04-2022,181
14-04-2022,195
15-04-2022,277
16-04-2022,245
17-04-2022,275
18-04-2022,263
19-04-2022,151
21-04-2022,173
22-04-2022,158
23-04-2022,240
24-04-2022,267
25-04-2022,220
26-04-2022,269
27-04-2022,217
28-04-2022,171
29-04-2022,153
01-05-2022,150
02-05-2022,170
05-05-2022,93
06-05-2022,117
07-05-2022,108
08-05-2022,118
09-05-2022,119
10-05-2022,85
11-05-2022,80
12-05-2022,82
13-05-2022,110
14-05-2022,153
15-05-2022,86
16-05-2022,103
17-05-2022,170
18-05-2022,106
19-05-2022,147
20-05-2022,132
21-05-2022,116
24-05-2022,164
25-05-2022,169
26-05-2022,193
27-05-2022,235
28-05-2022,166
29-05-2022,111
30-05-2022,121
31-05-2022,161
01-06-2022,170
02-06-2022,102
03-06-2022,173
04-06-2022,160
05-06-2022,172
06-06-2022,109
07-06-2022,100
08-06-2022,84
10-06-2022,97
11-06-2022,119
12-06-2022,158
14-06-2022,172
15-06-2022,88
16-06-2022,125
17-06-2022,116
18-06-2022,104
22-06-2022,87
24-06-2022,107
25-06-2022,72
26-06-2022,85
27-06-2022,65
28-06-2022,75
02-07-2022,56
03-07-2022,77
05-07-2022,74
06-07-2022,77
07-07-2022,72
08-07-2022,82
09-07-2022,67
10-07-2022,89
11-07-2022,82
12-07-2022,64
13-07-2022,71
14-07-2022,64
15-07-2022,77
16-07-2022,58
17-07-2022,57
18-07-2022,66
19-07-2022,68
20-07-2022,55
21-07-2022,56
22-07-2022,54
23-07-2022,44
24-07-2022,49
25-07-2022,55
26-07-2022,53
27-07-2022,53
28-07-2022,66
29-07-2022,46
30-07-2022,59
01-08-2022,42
02-08-2022,46
03-08-2022,56
04-08-2022,61
05-08-2022,63
06-08-2022,59
07-08-2022,64
08-08-2022,62
09-08-2022,64
10-08-2022,48
11-08-2022,56
12-08-2022,60
13-08-2022,71
14-08-2022,44
15-08-2022,60
16-08-2022,62
17-08-2022,156
18-08-2022,73
19-08-2022,61
21-08-2022,52
22-08-2022,70
23-08-2022,78
24-08-2022,68
25-08-2022,62
26-08-2022,76
27-08-2022,130
29-08-2022,71
30-08-2022,82
03-09-2022,49
04-09-2022,79
05-09-2022,75
07-09-2022,61
08-09-2022,76
09-09-2022,40
10-09-2022,55
11-09-2022,50
13-09-2022,46
16-09-2022,45
17-09-2022,92
20-09-2022,46
21-09-2022,49
22-09-2022,55
23-09-2022,73
24-09-2022,74
25-09-2022,57
26-09-2022,47
27-09-2022,66
28-09-2022,64
29-09-2022,171
30-09-2022,69
