Date,AQI
13-11-2021,246
14-11-2021,215
15-11-2021,289
16-11-2021,257
17-11-2021,262
18-11-2021,252
19-11-2021,265
20-11-2021,311
21-11-2021,363
22-11-2021,388
23-11-2021,338
24-11-2021,197
26-11-2021,335
01-12-2021,387
07-12-2021,343
09-12-2021,349
12-12-2021,399
13-12-2021,225
14-12-2021,169
15-12-2021,255
16-12-2021,242
17-12-2021,191
18-12-2021,213
19-12-2021,88
20-12-2021,306
21-12-2021,226
22-12-2021,305
23-12-2021,253
24-12-2021,227
25-12-2021,306
26-12-2021,257
27-12-2021,283
28-12-2021,217
29-12-2021,264
30-12-2021,101
31-12-2021,212
01-01-2022,256
02-01-2022,258
03-01-2022,381
04-01-2022,409
05-01-2022,397
06-01-2022,445
07-01-2022,427
08-01-2022,344
09-01-2022,329
10-01-2022,375
11-01-2022,414
12-01-2022,375
13-01-2022,260
14-01-2022,304
15-01-2022,376
16-01-2022,343
17-01-2022,364
18-01-2022,423
19-01-2022,397
20-01-2022,410
21-01-2022,441
22-01-2022,381
23-01-2022,425
24-01-2022,389
25-01-2022,402
26-01-2022,343
27-01-2022,308
28-01-2022,324
29-01-2022,357
30-01-2022,376
31-01-2022,404
02-02-2022,397
03-02-2022,413
04-02-2022,251
06-02-2022,216
07-02-2022,292
08-02-2022,338
09-02-2022,385
10-02-2022,401
11-02-2022,331
12-02-2022,254
13-02-2022,245
14-02-2022,279
15-02-2022,348
16-02-2022,324
17-02-2022,342
18-02-2022,289
19-02-2022,241
20-02-2022,211
21-02-2022,236
22-02-2022,317
23-02-2022,336
24-02-2022,328
25-02-2022,343
26-02-2022,312
27-02-2022,337
28-02-2022,196
01-03-2022,228
02-03-2022,176
03-03-2022,163
04-03-2022,217
05-03-2022,155
06-03-2022,158
07-03-2022,184
08-03-2022,191
09-03-2022,174
10-03-2022,185
11-03-2022,188
12-03-2022,192
13-03-2022,200
14-03-2022,189
15-03-2022,194
16-03-2022,255
17-03-2022,291
18-03-2022,312
19-03-2022,206
20-03-2022,247
21-03-2022,344
22-03-2022,303
23-03-2022,303
24-03-2022,266
25-03-2022,243
26-03-2022,282
27-03-2022,236
