Date,AQI
29-06-2018,81
30-06-2018,163
01-07-2018,261
02-07-2018,212
03-07-2018,118
04-07-2018,134
05-07-2018,195
06-07-2018,220
07-07-2018,129
08-07-2018,286
09-07-2018,219
10-07-2018,75
11-07-2018,74
12-07-2018,79
13-07-2018,68
14-07-2018,48
15-07-2018,63
16-07-2018,95
20-07-2018,171
21-07-2018,81
22-07-2018,61
23-07-2018,60
24-07-2018,73
25-07-2018,62
26-07-2018,63
27-07-2018,59
28-07-2018,50
29-07-2018,65
30-07-2018,125
31-07-2018,140
01-08-2018,103
03-08-2018,158
04-08-2018,165
05-08-2018,230
06-08-2018,80
07-08-2018,74
08-08-2018,57
09-08-2018,58
10-08-2018,89
17-08-2018,74
18-08-2018,71
19-08-2018,72
20-08-2018,117
21-08-2018,61
22-08-2018,49
23-08-2018,67
24-08-2018,106
25-08-2018,100
26-08-2018,106
27-08-2018,100
28-08-2018,79
29-08-2018,110
30-08-2018,94
31-08-2018,100
01-09-2018,129
02-09-2018,115
03-09-2018,165
04-09-2018,62
05-09-2018,91
06-09-2018,100
07-09-2018,65
08-09-2018,76
09-09-2018,63
10-09-2018,109
11-09-2018,95
12-09-2018,79
13-09-2018,96
14-09-2018,99
15-09-2018,104
18-09-2018,122
25-09-2018,41
27-09-2018,133
28-09-2018,199
29-09-2018,230
30-09-2018,128
01-10-2018,114
02-10-2018,177
03-10-2018,221
04-10-2018,213
05-10-2018,195
06-10-2018,205
07-10-2018,271
08-10-2018,259
09-10-2018,223
10-10-2018,212
11-10-2018,210
12-10-2018,102
13-10-2018,222
14-10-2018,267
15-10-2018,345
16-10-2018,200
17-10-2018,284
18-10-2018,300
19-10-2018,189
20-10-2018,307
21-10-2018,260
22-10-2018,284
23-10-2018,294
24-10-2018,244
25-10-2018,251
26-10-2018,222
27-10-2018,363
28-10-2018,337
29-10-2018,345
30-10-2018,351
31-10-2018,313
01-11-2018,342
02-11-2018,295
03-11-2018,258
04-11-2018,98
05-11-2018,415
06-11-2018,327
07-11-2018,382
08-11-2018,362
09-11-2018,336
10-11-2018,351
11-11-2018,411
12-11-2018,405
13-11-2018,410
14-11-2018,341
15-11-2018,208
16-11-2018,204
17-11-2018,261
18-11-2018,344
19-11-2018,312
20-11-2018,358
21-11-2018,335
22-11-2018,357
23-11-2018,321
24-11-2018,180
25-11-2018,350
26-11-2018,322
27-11-2018,359
28-11-2018,379
29-11-2018,377
30-11-2018,353
01-12-2018,304
02-12-2018,388
03-12-2018,391
04-12-2018,360
05-12-2018,376
06-12-2018,392
07-12-2018,352
08-12-2018,330
09-12-2018,368
10-12-2018,358
11-12-2018,365
12-12-2018,341
13-12-2018,191
14-12-2018,252
15-12-2018,262
16-12-2018,339
17-12-2018,338
18-12-2018,331
19-12-2018,373
20-12-2018,388
21-12-2018,361
22-12-2018,402
23-12-2018,422
24-12-2018,384
25-12-2018,356
26-12-2018,377
27-12-2018,426
28-12-2018,353
29-12-2018,368
30-12-2018,414
31-12-2018,421
01-01-2019,401
02-01-2019,446
03-01-2019,434
04-01-2019,361
05-01-2019,361
06-01-2019,345
07-01-2019,342
08-01-2019,291
09-01-2019,283
10-01-2019,314
11-01-2019,378
12-01-2019,378
13-01-2019,403
14-01-2019,226
15-01-2019,218
16-01-2019,338
