Date,AQI
29-09-2015,158
30-09-2015,173
01-10-2015,166
02-10-2015,151
03-10-2015,145
04-10-2015,132
05-10-2015,140
06-10-2015,158
07-10-2015,233
08-10-2015,207
09-10-2015,214
10-10-2015,178
11-10-2015,194
12-10-2015,98
13-10-2015,126
14-10-2015,95
15-10-2015,55
17-10-2015,143
18-10-2015,195
19-10-2015,189
02-11-2015,168
03-11-2015,248
04-11-2015,278
05-11-2015,301
06-11-2015,327
07-11-2015,335
08-11-2015,311
09-11-2015,291
10-11-2015,317
11-11-2015,356
12-11-2015,449
13-11-2015,360
14-11-2015,388
15-11-2015,381
16-11-2015,396
17-11-2015,419
18-11-2015,360
19-11-2015,304
21-11-2015,390
22-11-2015,393
23-11-2015,394
24-11-2015,385
25-11-2015,378
26-11-2015,391
27-11-2015,427
28-11-2015,418
29-11-2015,224
30-11-2015,276
01-12-2015,338
02-12-2015,358
03-12-2015,318
04-12-2015,322
05-12-2015,371
07-12-2015,302
13-12-2015,389
16-12-2015,406
17-12-2015,397
18-12-2015,425
19-12-2015,399
20-12-2015,428
21-12-2015,431
22-12-2015,439
23-12-2015,439
24-12-2015,435
25-12-2015,418
26-12-2015,355
27-12-2015,406
28-12-2015,443
29-12-2015,452
30-12-2015,474
31-12-2015,465
01-01-2016,469
02-01-2016,439
03-01-2016,421
04-01-2016,412
05-01-2016,422
06-01-2016,445
07-01-2016,437
08-01-2016,459
09-01-2016,414
10-01-2016,306
11-01-2016,408
12-01-2016,443
13-01-2016,443
14-01-2016,448
15-01-2016,433
16-01-2016,309
17-01-2016,328
18-01-2016,329
19-01-2016,362
20-01-2016,376
21-01-2016,340
22-01-2016,300
23-01-2016,340
24-01-2016,440
25-01-2016,432
26-01-2016,432
01-02-2016,457
02-02-2016,435
03-02-2016,356
04-02-2016,307
05-02-2016,352
06-02-2016,397
07-02-2016,438
08-02-2016,372
09-02-2016,300
10-02-2016,342
11-02-2016,339
12-02-2016,337
13-02-2016,308
15-02-2016,368
17-02-2016,300
18-02-2016,244
19-02-2016,267
21-02-2016,262
22-02-2016,164
23-02-2016,216
24-02-2016,287
26-02-2016,240
27-02-2016,245
28-02-2016,309
01-03-2016,311
05-03-2016,310
06-03-2016,338
07-03-2016,258
08-03-2016,124
09-03-2016,140
10-03-2016,138
11-03-2016,188
12-03-2016,201
17-03-2016,169
18-03-2016,243
19-03-2016,266
23-03-2016,149
24-03-2016,202
25-03-2016,186
26-03-2016,269
27-03-2016,280
28-03-2016,204
30-03-2016,247
31-03-2016,170
01-04-2016,170
02-04-2016,60
03-04-2016,167
04-04-2016,396
06-04-2016,176
07-04-2016,102
09-04-2016,97
12-04-2016,84
13-04-2016,82
15-04-2016,186
19-04-2016,136
20-04-2016,247
21-04-2016,150
22-04-2016,119
23-04-2016,146
28-04-2016,292
29-04-2016,269
30-04-2016,237
