Date,AQI
29-07-2019,48
30-07-2019,43
31-07-2019,40
01-08-2019,51
02-08-2019,42
03-08-2019,32
04-08-2019,27
05-08-2019,31
06-08-2019,30
08-08-2019,31
09-08-2019,42
10-08-2019,31
11-08-2019,28
12-08-2019,43
13-08-2019,42
14-08-2019,38
16-09-2019,49
28-09-2019,47
29-09-2019,48
30-09-2019,84
01-10-2019,59
02-10-2019,40
03-10-2019,68
04-10-2019,58
05-10-2019,64
06-10-2019,47
07-10-2019,57
09-10-2019,58
10-10-2019,57
11-10-2019,59
12-10-2019,55
13-10-2019,56
14-10-2019,40
15-10-2019,217
16-10-2019,45
17-10-2019,40
18-10-2019,38
19-10-2019,38
20-10-2019,54
21-10-2019,46
22-10-2019,48
23-10-2019,31
24-10-2019,25
25-10-2019,23
26-10-2019,21
27-10-2019,31
29-10-2019,50
30-10-2019,36
31-10-2019,32
01-11-2019,40
02-11-2019,64
03-11-2019,67
04-11-2019,76
05-11-2019,122
06-11-2019,106
07-11-2019,79
08-11-2019,69
10-11-2019,66
11-11-2019,66
12-11-2019,101
13-11-2019,71
14-11-2019,70
15-11-2019,66
16-11-2019,56
17-11-2019,56
18-11-2019,82
19-11-2019,66
20-11-2019,71
21-11-2019,52
22-11-2019,74
23-11-2019,66
24-11-2019,62
25-11-2019,60
26-11-2019,49
27-11-2019,46
28-11-2019,50
29-11-2019,43
30-11-2019,62
03-12-2019,32
04-12-2019,49
05-12-2019,64
06-12-2019,81
07-12-2019,79
08-12-2019,47
09-12-2019,49
10-12-2019,58
11-12-2019,66
12-12-2019,78
13-12-2019,77
14-12-2019,49
15-12-2019,42
16-12-2019,46
18-12-2019,59
19-12-2019,44
20-12-2019,47
21-12-2019,50
22-12-2019,64
23-12-2019,56
24-12-2019,57
25-12-2019,41
26-12-2019,43
27-12-2019,102
31-12-2019,53
01-01-2020,55
02-01-2020,38
03-01-2020,54
04-01-2020,48
05-01-2020,57
06-01-2020,51
07-01-2020,41
08-01-2020,51
10-01-2020,63
11-01-2020,58
12-01-2020,61
13-01-2020,70
14-01-2020,87
15-01-2020,81
16-01-2020,72
17-01-2020,82
18-01-2020,155
19-01-2020,37
20-01-2020,51
21-01-2020,61
22-01-2020,62
23-01-2020,56
24-01-2020,66
25-01-2020,75
26-01-2020,131
27-01-2020,115
29-01-2020,109
30-01-2020,86
31-01-2020,86
01-02-2020,73
04-02-2020,67
05-02-2020,67
06-02-2020,81
07-02-2020,68
08-02-2020,49
09-02-2020,34
10-02-2020,55
11-02-2020,51
20-02-2020,68
21-02-2020,66
22-02-2020,52
23-02-2020,64
24-02-2020,52
29-02-2020,72
06-03-2020,41
07-03-2020,46
08-03-2020,39
10-03-2020,71
11-03-2020,68
12-03-2020,64
14-03-2020,44
16-03-2020,58
17-03-2020,54
18-03-2020,65
19-03-2020,80
20-03-2020,72
21-03-2020,69
22-03-2020,52
23-03-2020,58
09-04-2020,71
10-04-2020,59
18-04-2020,59
19-04-2020,59
20-04-2020,52
21-04-2020,52
24-04-2020,45
25-04-2020,49
26-04-2020,56
27-04-2020,41
28-04-2020,62
29-04-2020,49
30-04-2020,43
01-05-2020,62
02-05-2020,56
03-05-2020,59
04-05-2020,83
06-05-2020,70
07-05-2020,60
08-05-2020,38
09-05-2020,57
10-05-2020,61
11-05-2020,53
12-05-2020,52
13-05-2020,146
14-05-2020,59
15-05-2020,57
16-05-2020,51
17-05-2020,64
18-05-2020,44
19-05-2020,37
20-05-2020,34
21-05-2020,33
22-05-2020,34
23-05-2020,46
24-05-2020,48
25-05-2020,48
26-05-2020,36
27-05-2020,54
28-05-2020,31
29-05-2020,39
30-05-2020,35
31-05-2020,30
02-06-2020,32
03-06-2020,30
04-06-2020,26
05-06-2020,32
06-06-2020,27
09-06-2020,24
10-06-2020,24
11-06-2020,22
12-06-2020,27
13-06-2020,27
14-06-2020,27
15-06-2020,25
16-06-2020,26
17-06-2020,22
19-06-2020,23
20-06-2020,23
21-06-2020,22
22-06-2020,26
23-06-2020,23
24-06-2020,26
25-06-2020,30
26-06-2020,30
27-06-2020,26
28-06-2020,25
29-06-2020,23
30-06-2020,25
01-07-2020,20
03-07-2020,22
04-07-2020,20
05-07-2020,22
06-07-2020,21
07-07-2020,20
08-07-2020,18
09-07-2020,19
10-07-2020,20
11-07-2020,21
12-07-2020,27
13-07-2020,24
14-07-2020,22
15-07-2020,19
16-07-2020,19
17-07-2020,20
18-07-2020,18
19-07-2020,27
21-07-2020,26
22-07-2020,36
23-07-2020,38
24-07-2020,20
25-07-2020,24
26-07-2020,27
28-07-2020,24
30-07-2020,19
05-08-2020,21
06-08-2020,22
07-08-2020,18
08-08-2020,19
09-08-2020,21
10-08-2020,30
12-08-2020,25
19-08-2020,25
20-08-2020,22
21-08-2020,19
23-08-2020,17
24-08-2020,19
25-08-2020,26
26-08-2020,24
28-08-2020,29
29-08-2020,30
01-09-2020,29
02-09-2020,29
03-09-2020,40
06-09-2020,33
07-09-2020,21
08-09-2020,27
09-09-2020,23
10-09-2020,25
11-09-2020,20
13-09-2020,20
14-09-2020,24
15-09-2020,25
16-09-2020,20
17-09-2020,21
18-09-2020,32
19-09-2020,20
20-09-2020,23
22-09-2020,27
23-09-2020,28
24-09-2020,20
25-09-2020,21
26-09-2020,24
27-09-2020,21
30-09-2020,29
01-10-2020,31
02-10-2020,34
03-10-2020,31
05-10-2020,29
06-10-2020,40
07-10-2020,33
08-10-2020,48
09-10-2020,40
10-10-2020,38
11-10-2020,44
13-10-2020,56
14-10-2020,42
15-10-2020,35
16-10-2020,40
17-10-2020,46
18-10-2020,37
19-10-2020,31
20-10-2020,30
21-10-2020,35
22-10-2020,33
23-10-2020,51
24-10-2020,33
25-10-2020,38
26-10-2020,53
27-10-2020,75
28-10-2020,69
30-10-2020,153
31-10-2020,88
02-11-2020,71
03-11-2020,64
04-11-2020,64
05-11-2020,51
06-11-2020,29
07-11-2020,29
11-11-2020,90
12-11-2020,61
13-11-2020,52
14-11-2020,34
15-11-2020,39
16-11-2020,33
17-11-2020,31
18-11-2020,28
19-11-2020,31
20-11-2020,32
21-11-2020,63
22-11-2020,84
23-11-2020,63
24-11-2020,64
25-11-2020,81
26-11-2020,74
27-11-2020,39
28-11-2020,48
29-11-2020,34
30-11-2020,42
01-12-2020,39
08-12-2020,22
09-12-2020,30
10-12-2020,45
11-12-2020,61
12-12-2020,43
15-12-2020,55
16-12-2020,45
17-12-2020,35
18-12-2020,64
19-12-2020,74
21-12-2020,81
22-12-2020,72
23-12-2020,62
24-12-2020,57
29-12-2020,82
30-12-2020,78
01-01-2021,61
02-01-2021,84
03-01-2021,54
04-01-2021,37
05-01-2021,54
06-01-2021,45
07-01-2021,38
08-01-2021,62
09-01-2021,39
11-01-2021,53
14-01-2021,59
15-01-2021,53
17-01-2021,68
18-01-2021,70
19-01-2021,72
21-01-2021,84
22-01-2021,97
23-01-2021,101
25-01-2021,94
26-01-2021,78
28-01-2021,70
29-01-2021,82
30-01-2021,97
31-01-2021,78
01-02-2021,73
02-02-2021,66
03-02-2021,79
04-02-2021,76
05-02-2021,83
06-02-2021,97
07-02-2021,170
08-02-2021,107
09-02-2021,75
10-02-2021,98
11-02-2021,92
12-02-2021,105
13-02-2021,77
14-02-2021,83
15-02-2021,70
17-02-2021,70
18-02-2021,79
20-02-2021,66
21-02-2021,44
22-02-2021,45
23-02-2021,52
24-02-2021,59
25-02-2021,86
26-02-2021,87
27-02-2021,94
28-02-2021,110
01-03-2021,88
02-03-2021,63
03-03-2021,89
04-03-2021,99
05-03-2021,64
06-03-2021,92
07-03-2021,81
08-03-2021,72
09-03-2021,65
10-03-2021,52
12-03-2021,51
13-03-2021,54
14-03-2021,64
15-03-2021,57
16-03-2021,64
17-03-2021,67
18-03-2021,78
19-03-2021,78
21-03-2021,85
22-03-2021,94
23-03-2021,91
24-03-2021,68
25-03-2021,67
28-03-2021,77
29-03-2021,97
30-03-2021,80
31-03-2021,90
01-04-2021,86
02-04-2021,75
03-04-2021,69
04-04-2021,72
05-04-2021,85
06-04-2021,167
07-04-2021,112
08-04-2021,80
16-04-2021,84
17-04-2021,93
18-04-2021,81
19-04-2021,72
20-04-2021,60
22-04-2021,86
23-04-2021,90
24-04-2021,87
25-04-2021,74
26-04-2021,62
04-05-2021,60
05-05-2021,54
06-05-2021,66
07-05-2021,48
08-05-2021,48
13-05-2021,54
14-05-2021,37
15-05-2021,30
16-05-2021,27
17-05-2021,30
18-05-2021,29
19-05-2021,29
20-05-2021,31
21-05-2021,30
22-05-2021,43
28-05-2021,45
29-05-2021,36
30-05-2021,41
31-05-2021,30
01-06-2021,30
02-06-2021,29
03-06-2021,31
04-06-2021,28
05-06-2021,25
06-06-2021,32
07-06-2021,29
08-06-2021,43
09-06-2021,49
10-06-2021,33
13-06-2021,25
14-06-2021,27
15-06-2021,28
18-06-2021,62
19-06-2021,67
20-06-2021,61
22-06-2021,49
23-06-2021,53
