Date,AQI
08-02-2023,268
09-02-2023,129
11-02-2023,204
12-02-2023,237
13-02-2023,261
14-02-2023,215
15-02-2023,235
16-02-2023,288
17-02-2023,230
18-02-2023,247
19-02-2023,300
20-02-2023,340
21-02-2023,386
22-02-2023,333
23-02-2023,238
24-02-2023,102
25-02-2023,116
26-02-2023,210
27-02-2023,240
28-02-2023,202
01-03-2023,130
02-03-2023,227
03-03-2023,248
04-03-2023,308
05-03-2023,313
06-03-2023,300
07-03-2023,222
08-03-2023,209
09-03-2023,253
10-03-2023,311
11-03-2023,307
12-03-2023,318
13-03-2023,224
14-03-2023,267
15-03-2023,265
16-03-2023,107
17-03-2023,117
18-03-2023,273
19-03-2023,139
20-03-2023,104
21-03-2023,68
22-03-2023,236
23-03-2023,226
24-03-2023,146
25-03-2023,157
26-03-2023,185
27-03-2023,174
28-03-2023,128
29-03-2023,105
30-03-2023,90
04-04-2023,69
05-04-2023,56
06-04-2023,114
07-04-2023,106
08-04-2023,125
09-04-2023,215
11-04-2023,211
12-04-2023,255
13-04-2023,275
14-04-2023,262
15-04-2023,292
16-04-2023,319
17-04-2023,279
18-04-2023,220
19-04-2023,281
21-04-2023,84
23-04-2023,96
24-04-2023,87
25-04-2023,91
26-04-2023,91
27-04-2023,112
28-04-2023,102
29-04-2023,95
30-04-2023,86
01-05-2023,99
02-05-2023,92
03-05-2023,86
04-05-2023,103
05-05-2023,108
06-05-2023,126
07-05-2023,99
08-05-2023,82
09-05-2023,102
10-05-2023,176
11-05-2023,126
12-05-2023,136
13-05-2023,146
14-05-2023,154
15-05-2023,100
16-05-2023,76
17-05-2023,70
18-05-2023,58
19-05-2023,79
20-05-2023,84
21-05-2023,78
22-05-2023,68
23-05-2023,77
24-05-2023,86
25-05-2023,96
26-05-2023,83
27-05-2023,54
28-05-2023,71
29-05-2023,86
30-05-2023,109
31-05-2023,111
01-06-2023,104
02-06-2023,150
03-06-2023,152
04-06-2023,104
05-06-2023,125
06-06-2023,205
07-06-2023,123
08-06-2023,96
09-06-2023,67
10-06-2023,50
11-06-2023,46
12-06-2023,55
13-06-2023,77
14-06-2023,73
15-06-2023,64
16-06-2023,46
17-06-2023,50
18-06-2023,44
19-06-2023,39
20-06-2023,38
21-06-2023,57
23-06-2023,68
24-06-2023,118
25-06-2023,100
27-06-2023,51
28-06-2023,48
29-06-2023,45
30-06-2023,78
01-07-2023,50
02-07-2023,45
03-07-2023,45
04-07-2023,52
05-07-2023,49
06-07-2023,48
07-07-2023,44
08-07-2023,57
09-07-2023,43
10-07-2023,39
11-07-2023,31
12-07-2023,26
14-07-2023,85
15-07-2023,39
16-07-2023,60
18-07-2023,53
19-07-2023,56
20-07-2023,103
21-07-2023,55
22-07-2023,61
24-07-2023,56
25-07-2023,42
27-07-2023,50
28-07-2023,61
29-07-2023,36
30-07-2023,66
01-08-2023,65
02-08-2023,43
03-08-2023,58
04-08-2023,43
05-08-2023,43
06-08-2023,51
07-08-2023,39
08-08-2023,37
09-08-2023,48
10-08-2023,107
11-08-2023,66
21-08-2023,48
22-08-2023,25
23-08-2023,38
24-08-2023,33
26-08-2023,68
27-08-2023,70
28-08-2023,57
30-08-2023,82
31-08-2023,104
01-09-2023,224
02-09-2023,206
03-09-2023,363
04-09-2023,312
05-09-2023,131
06-09-2023,89
07-09-2023,94
08-09-2023,60
09-09-2023,69
10-09-2023,138
14-09-2023,40
15-09-2023,58
16-09-2023,61
18-09-2023,66
19-09-2023,55
20-09-2023,34
21-09-2023,34
22-09-2023,44
23-09-2023,59
24-09-2023,38
25-09-2023,60
26-09-2023,81
27-09-2023,75
28-09-2023,92
29-09-2023,83
04-10-2023,34
05-10-2023,40
06-10-2023,33
07-10-2023,32
08-10-2023,43
09-10-2023,57
10-10-2023,49
11-10-2023,90
12-10-2023,98
13-10-2023,80
14-10-2023,89
15-10-2023,110
16-10-2023,112
17-10-2023,58
19-10-2023,128
20-10-2023,92
21-10-2023,89
22-10-2023,126
23-10-2023,98
26-10-2023,93
27-10-2023,119
28-10-2023,148
31-10-2023,91
01-11-2023,118
02-11-2023,121
05-11-2023,64
06-11-2023,55
08-11-2023,55
09-11-2023,96
10-11-2023,104
11-11-2023,71
12-11-2023,92
13-11-2023,197
14-11-2023,107
15-11-2023,122
16-11-2023,153
17-11-2023,151
18-11-2023,50
19-11-2023,67
20-11-2023,119
21-11-2023,112
22-11-2023,50
23-11-2023,136
24-11-2023,107
25-11-2023,131
26-11-2023,133
27-11-2023,123
28-11-2023,186
30-11-2023,122
01-12-2023,137
02-12-2023,135
03-12-2023,152
04-12-2023,145
05-12-2023,188
06-12-2023,134
07-12-2023,124
08-12-2023,38
09-12-2023,60
10-12-2023,128
15-12-2023,126
16-12-2023,141
17-12-2023,108
18-12-2023,144
19-12-2023,112
20-12-2023,115
21-12-2023,130
22-12-2023,124
23-12-2023,131
24-12-2023,205
25-12-2023,104
26-12-2023,125
27-12-2023,125
28-12-2023,111
29-12-2023,121
30-12-2023,139
31-12-2023,170
