Date,AQI
08-06-2023,107
09-06-2023,93
10-06-2023,107
11-06-2023,239
12-06-2023,81
13-06-2023,82
14-06-2023,105
15-06-2023,91
16-06-2023,79
17-06-2023,44
18-06-2023,37
19-06-2023,62
20-06-2023,106
21-06-2023,109
22-06-2023,106
23-06-2023,108
24-06-2023,107
25-06-2023,90
26-06-2023,68
27-06-2023,43
28-06-2023,54
29-06-2023,65
30-06-2023,54
01-07-2023,289
02-07-2023,68
03-07-2023,59
04-07-2023,80
05-07-2023,80
06-07-2023,93
07-07-2023,96
08-07-2023,77
09-07-2023,101
10-07-2023,57
11-07-2023,71
12-07-2023,107
13-07-2023,84
14-07-2023,90
15-07-2023,114
16-07-2023,110
17-07-2023,116
18-07-2023,117
20-07-2023,92
21-07-2023,92
22-07-2023,66
23-07-2023,79
24-07-2023,64
25-07-2023,61
26-07-2023,56
27-07-2023,52
28-07-2023,41
29-07-2023,67
30-07-2023,41
31-07-2023,69
01-08-2023,85
03-08-2023,91
04-08-2023,87
05-08-2023,104
06-08-2023,90
07-08-2023,82
08-08-2023,73
09-08-2023,99
10-08-2023,111
11-08-2023,117
12-08-2023,112
13-08-2023,98
14-08-2023,105
15-08-2023,126
16-08-2023,142
17-08-2023,139
18-08-2023,150
19-08-2023,142
20-08-2023,68
21-08-2023,90
22-08-2023,99
23-08-2023,100
24-08-2023,90
25-08-2023,121
26-08-2023,174
27-08-2023,243
29-08-2023,117
30-08-2023,116
31-08-2023,114
01-09-2023,115
02-09-2023,113
03-09-2023,101
04-09-2023,85
05-09-2023,98
06-09-2023,111
07-09-2023,75
08-09-2023,90
09-09-2023,87
10-09-2023,80
11-09-2023,92
12-09-2023,97
13-09-2023,83
15-09-2023,56
16-09-2023,53
17-09-2023,40
18-09-2023,39
19-09-2023,33
20-09-2023,40
21-09-2023,51
22-09-2023,60
23-09-2023,72
24-09-2023,70
25-09-2023,68
26-09-2023,55
27-09-2023,105
28-09-2023,166
29-09-2023,182
30-09-2023,155
01-10-2023,144
02-10-2023,150
03-10-2023,147
04-10-2023,131
05-10-2023,118
06-10-2023,108
07-10-2023,107
08-10-2023,97
09-10-2023,97
10-10-2023,112
11-10-2023,133
12-10-2023,140
13-10-2023,130
14-10-2023,119
15-10-2023,115
17-10-2023,97
18-10-2023,103
19-10-2023,115
21-10-2023,135
22-10-2023,143
23-10-2023,116
24-10-2023,135
25-10-2023,143
26-10-2023,174
27-10-2023,168
28-10-2023,203
29-10-2023,155
30-10-2023,158
31-10-2023,147
02-11-2023,154
03-11-2023,182
04-11-2023,165
05-11-2023,171
06-11-2023,183
07-11-2023,194
08-11-2023,207
09-11-2023,285
10-11-2023,188
11-11-2023,126
12-11-2023,221
13-11-2023,167
14-11-2023,197
15-11-2023,283
17-11-2023,348
18-11-2023,348
19-11-2023,262
20-11-2023,213
21-11-2023,303
22-11-2023,346
23-11-2023,256
24-11-2023,247
25-11-2023,226
26-11-2023,211
27-11-2023,129
28-11-2023,270
29-11-2023,305
30-11-2023,223
01-12-2023,266
02-12-2023,301
03-12-2023,171
04-12-2023,135
05-12-2023,134
06-12-2023,139
07-12-2023,148
08-12-2023,171
09-12-2023,278
10-12-2023,201
11-12-2023,217
12-12-2023,214
13-12-2023,177
14-12-2023,201
15-12-2023,166
16-12-2023,160
17-12-2023,234
18-12-2023,149
19-12-2023,129
20-12-2023,131
21-12-2023,184
22-12-2023,175
23-12-2023,147
24-12-2023,268
25-12-2023,310
26-12-2023,210
27-12-2023,178
28-12-2023,133
29-12-2023,134
30-12-2023,172
31-12-2023,178
