Date,AQI
05-04-2016,110
27-04-2016,98
28-04-2016,103
29-04-2016,82
30-04-2016,99
01-05-2016,90
02-05-2016,105
04-05-2016,72
05-05-2016,64
06-05-2016,65
07-05-2016,73
08-05-2016,84
09-05-2016,166
11-05-2016,177
12-05-2016,181
13-05-2016,162
14-05-2016,194
15-05-2016,183
16-05-2016,125
18-05-2016,219
19-05-2016,186
20-05-2016,184
21-05-2016,96
22-05-2016,90
23-05-2016,75
24-05-2016,77
25-05-2016,75
26-05-2016,77
27-05-2016,77
28-05-2016,96
29-05-2016,99
30-05-2016,82
01-06-2016,122
02-06-2016,183
03-06-2016,168
04-06-2016,246
05-06-2016,169
07-06-2016,280
08-06-2016,186
10-06-2016,87
11-06-2016,96
14-06-2016,82
15-06-2016,77
16-06-2016,82
17-06-2016,100
18-06-2016,63
19-06-2016,128
20-06-2016,84
21-06-2016,84
22-06-2016,77
23-06-2016,94
24-06-2016,64
28-06-2016,56
29-06-2016,65
30-06-2016,60
01-07-2016,59
02-07-2016,43
03-07-2016,36
05-07-2016,54
26-07-2016,63
27-07-2016,42
28-07-2016,39
29-07-2016,41
30-07-2016,45
31-07-2016,45
01-08-2016,42
02-08-2016,40
03-08-2016,41
05-08-2016,53
06-08-2016,43
07-08-2016,29
08-08-2016,47
13-08-2016,38
14-08-2016,47
15-08-2016,45
16-08-2016,53
17-08-2016,47
18-08-2016,47
19-08-2016,57
20-08-2016,56
21-08-2016,73
22-08-2016,74
23-08-2016,124
24-08-2016,79
25-08-2016,46
26-08-2016,40
27-08-2016,33
28-08-2016,81
29-08-2016,96
30-08-2016,94
31-08-2016,90
01-09-2016,66
02-09-2016,35
03-09-2016,40
04-09-2016,64
05-09-2016,70
06-09-2016,63
07-09-2016,58
08-09-2016,60
09-09-2016,69
10-09-2016,50
11-09-2016,47
12-09-2016,51
13-09-2016,41
14-09-2016,52
15-09-2016,59
16-09-2016,47
17-09-2016,40
18-09-2016,44
19-09-2016,59
20-09-2016,78
21-09-2016,56
22-09-2016,47
23-09-2016,46
24-09-2016,49
25-09-2016,35
26-09-2016,32
27-09-2016,43
28-09-2016,42
29-09-2016,49
30-09-2016,36
01-10-2016,41
02-10-2016,44
03-10-2016,48
08-10-2016,39
09-10-2016,72
10-10-2016,86
11-10-2016,85
12-10-2016,85
13-10-2016,104
14-10-2016,128
15-10-2016,148
19-10-2016,157
20-10-2016,159
24-10-2016,119
25-10-2016,104
26-10-2016,104
27-10-2016,152
28-10-2016,154
29-10-2016,144
30-10-2016,151
01-11-2016,146
02-11-2016,154
03-11-2016,128
04-11-2016,134
05-11-2016,124
06-11-2016,142
07-11-2016,169
08-11-2016,143
09-11-2016,163
10-11-2016,263
11-11-2016,264
