Date,AQI
27-03-2021,129
28-03-2021,131
29-03-2021,126
30-03-2021,119
31-03-2021,78
02-04-2021,68
07-04-2021,102
09-04-2021,88
14-04-2021,38
16-04-2021,76
17-04-2021,69
18-04-2021,63
19-04-2021,72
23-04-2021,86
24-04-2021,82
25-04-2021,82
26-04-2021,105
07-05-2021,51
08-05-2021,44
09-05-2021,53
10-05-2021,59
11-05-2021,26
12-05-2021,27
19-05-2021,28
05-06-2021,30
10-06-2021,39
12-06-2021,46
15-06-2021,31
16-06-2021,31
18-06-2021,31
20-06-2021,40
21-06-2021,31
25-06-2021,35
30-06-2021,33
06-07-2021,33
09-07-2021,37
16-07-2021,42
23-07-2021,35
28-07-2021,36
29-07-2021,35
30-07-2021,39
31-07-2021,35
07-08-2021,36
08-08-2021,36
09-08-2021,36
11-08-2021,37
12-08-2021,37
13-08-2021,37
14-08-2021,37
18-08-2021,37
19-08-2021,37
20-08-2021,38
21-08-2021,38
24-08-2021,38
25-08-2021,39
27-08-2021,38
28-08-2021,38
29-08-2021,38
30-08-2021,39
03-09-2021,40
04-09-2021,40
08-09-2021,40
09-09-2021,38
10-09-2021,41
11-09-2021,45
12-09-2021,47
13-09-2021,54
14-09-2021,50
23-09-2021,41
24-09-2021,44
30-09-2021,48
05-10-2021,51
06-10-2021,59
07-10-2021,58
08-10-2021,64
12-10-2021,57
13-10-2021,58
14-10-2021,51
15-10-2021,49
27-10-2021,52
28-10-2021,185
29-10-2021,233
30-10-2021,46
02-11-2021,62
06-11-2021,48
09-11-2021,200
10-11-2021,136
16-11-2021,71
18-11-2021,83
19-11-2021,175
26-11-2021,106
27-11-2021,131
28-11-2021,109
29-11-2021,92
02-12-2021,109
04-12-2021,123
05-12-2021,117
06-12-2021,140
11-12-2021,75
16-12-2021,80
17-12-2021,83
22-12-2021,237
30-12-2021,130
31-12-2021,64
01-01-2022,219
02-01-2022,115
03-01-2022,105
04-01-2022,124
06-01-2022,110
08-01-2022,229
