Date,AQI
24-11-2022,165
25-11-2022,112
26-11-2022,109
27-11-2022,139
28-11-2022,123
29-11-2022,114
30-11-2022,115
01-12-2022,146
02-12-2022,152
03-12-2022,153
04-12-2022,136
05-12-2022,140
06-12-2022,139
07-12-2022,161
08-12-2022,156
09-12-2022,174
10-12-2022,195
11-12-2022,252
12-12-2022,254
13-12-2022,264
14-12-2022,277
15-12-2022,256
16-12-2022,301
17-12-2022,215
18-12-2022,140
20-12-2022,209
21-12-2022,232
22-12-2022,269
23-12-2022,273
24-12-2022,291
25-12-2022,275
26-12-2022,246
27-12-2022,256
28-12-2022,197
29-12-2022,197
30-12-2022,282
31-12-2022,315
03-01-2023,232
04-01-2023,289
05-01-2023,301
06-01-2023,265
07-01-2023,252
08-01-2023,310
10-01-2023,262
12-01-2023,294
13-01-2023,300
14-01-2023,309
15-01-2023,271
16-01-2023,275
17-01-2023,257
18-01-2023,267
19-01-2023,302
20-01-2023,270
22-01-2023,277
23-01-2023,280
24-01-2023,219
25-01-2023,216
26-01-2023,266
27-01-2023,241
28-01-2023,258
29-01-2023,238
30-01-2023,232
31-01-2023,273
02-02-2023,330
03-02-2023,296
04-02-2023,318
05-02-2023,307
07-02-2023,330
08-02-2023,285
09-02-2023,101
10-02-2023,112
11-02-2023,168
12-02-2023,152
13-02-2023,256
14-02-2023,240
15-02-2023,252
16-02-2023,257
17-02-2023,245
18-02-2023,276
19-02-2023,331
20-02-2023,344
21-02-2023,341
22-02-2023,187
23-02-2023,162
24-02-2023,77
25-02-2023,106
26-02-2023,170
27-02-2023,256
28-02-2023,156
01-03-2023,131
02-03-2023,213
03-03-2023,190
04-03-2023,221
05-03-2023,271
06-03-2023,267
07-03-2023,125
08-03-2023,148
09-03-2023,239
10-03-2023,243
11-03-2023,310
12-03-2023,288
13-03-2023,177
14-03-2023,271
15-03-2023,181
16-03-2023,93
17-03-2023,72
18-03-2023,142
19-03-2023,95
21-03-2023,50
22-03-2023,57
23-03-2023,63
24-03-2023,65
25-03-2023,74
26-03-2023,136
27-03-2023,109
28-03-2023,185
29-03-2023,148
30-03-2023,88
31-03-2023,104
01-04-2023,118
02-04-2023,67
06-04-2023,81
07-04-2023,118
08-04-2023,139
09-04-2023,187
10-04-2023,223
18-04-2023,127
19-04-2023,132
20-04-2023,76
21-04-2023,61
23-04-2023,53
24-04-2023,76
25-04-2023,116
26-04-2023,180
27-04-2023,166
28-04-2023,193
30-04-2023,125
01-05-2023,134
02-05-2023,228
04-05-2023,216
05-05-2023,272
06-05-2023,224
07-05-2023,173
09-05-2023,91
10-05-2023,210
11-05-2023,164
12-05-2023,207
13-05-2023,153
14-05-2023,223
15-05-2023,159
16-05-2023,93
18-05-2023,99
19-05-2023,144
20-05-2023,154
23-05-2023,110
24-05-2023,61
25-05-2023,96
26-05-2023,77
27-05-2023,73
28-05-2023,56
29-05-2023,99
30-05-2023,148
31-05-2023,148
01-06-2023,140
02-06-2023,159
03-06-2023,187
04-06-2023,150
05-06-2023,130
06-06-2023,195
07-06-2023,180
08-06-2023,167
09-06-2023,115
10-06-2023,60
12-06-2023,31
15-06-2023,32
16-06-2023,20
17-06-2023,21
18-06-2023,22
19-06-2023,22
20-06-2023,46
21-06-2023,22
22-06-2023,24
23-06-2023,39
24-06-2023,45
29-06-2023,21
30-06-2023,32
01-07-2023,24
02-07-2023,27
04-07-2023,36
05-07-2023,57
06-07-2023,49
07-07-2023,22
08-07-2023,30
09-07-2023,30
10-07-2023,39
11-07-2023,41
12-07-2023,52
13-07-2023,31
14-07-2023,24
15-07-2023,31
16-07-2023,32
17-07-2023,26
18-07-2023,42
19-07-2023,92
20-07-2023,66
22-07-2023,47
23-07-2023,22
24-07-2023,62
25-07-2023,79
26-07-2023,78
27-07-2023,58
28-07-2023,47
29-07-2023,51
31-07-2023,22
01-08-2023,68
02-08-2023,45
05-08-2023,34
06-08-2023,57
07-08-2023,60
08-08-2023,60
09-08-2023,56
10-08-2023,151
11-08-2023,124
12-08-2023,106
13-08-2023,97
14-08-2023,56
15-08-2023,92
16-08-2023,127
17-08-2023,107
18-08-2023,50
19-08-2023,63
21-08-2023,92
22-08-2023,102
23-08-2023,62
24-08-2023,78
25-08-2023,72
27-08-2023,49
28-08-2023,72
29-08-2023,126
30-08-2023,186
31-08-2023,178
01-09-2023,227
03-09-2023,146
05-09-2023,56
06-09-2023,111
09-09-2023,50
10-09-2023,104
11-09-2023,100
12-09-2023,80
13-09-2023,117
14-09-2023,66
16-09-2023,79
17-09-2023,129
18-09-2023,140
19-09-2023,75
23-09-2023,64
25-09-2023,64
26-09-2023,92
27-09-2023,89
