Date,AQI
18-06-2023,84
19-06-2023,104
20-06-2023,102
21-06-2023,79
22-06-2023,69
23-06-2023,67
24-06-2023,46
25-06-2023,40
26-06-2023,30
27-06-2023,167
28-06-2023,29
29-06-2023,30
30-06-2023,47
01-07-2023,49
02-07-2023,57
03-07-2023,46
04-07-2023,56
05-07-2023,56
06-07-2023,48
07-07-2023,62
08-07-2023,43
09-07-2023,46
10-07-2023,54
11-07-2023,71
13-07-2023,42
14-07-2023,43
16-07-2023,44
17-07-2023,44
18-07-2023,45
19-07-2023,83
20-07-2023,33
22-07-2023,26
25-07-2023,67
26-07-2023,64
29-07-2023,49
01-08-2023,56
02-08-2023,45
04-08-2023,52
05-08-2023,53
06-08-2023,55
07-08-2023,50
08-08-2023,56
09-08-2023,52
11-08-2023,43
12-08-2023,58
13-08-2023,52
14-08-2023,43
15-08-2023,77
16-08-2023,45
17-08-2023,52
18-08-2023,53
19-08-2023,32
20-08-2023,31
22-08-2023,36
23-08-2023,37
24-08-2023,60
25-08-2023,66
26-08-2023,65
27-08-2023,64
29-08-2023,116
30-08-2023,122
31-08-2023,130
01-09-2023,132
02-09-2023,129
03-09-2023,106
04-09-2023,77
05-09-2023,81
06-09-2023,104
07-09-2023,58
08-09-2023,35
09-09-2023,41
10-09-2023,40
11-09-2023,42
12-09-2023,46
13-09-2023,156
14-09-2023,54
15-09-2023,40
16-09-2023,66
17-09-2023,44
18-09-2023,51
19-09-2023,69
20-09-2023,72
21-09-2023,70
22-09-2023,32
23-09-2023,35
24-09-2023,32
25-09-2023,57
26-09-2023,46
27-09-2023,44
28-09-2023,110
29-09-2023,66
30-09-2023,53
01-10-2023,91
02-10-2023,86
03-10-2023,172
04-10-2023,166
05-10-2023,244
06-10-2023,151
07-10-2023,140
08-10-2023,126
09-10-2023,193
10-10-2023,147
11-10-2023,140
12-10-2023,148
13-10-2023,177
14-10-2023,186
15-10-2023,181
16-10-2023,181
17-10-2023,161
18-10-2023,111
19-10-2023,108
21-10-2023,109
22-10-2023,103
23-10-2023,103
24-10-2023,102
25-10-2023,114
26-10-2023,112
27-10-2023,184
28-10-2023,206
29-10-2023,186
30-10-2023,210
31-10-2023,182
02-11-2023,207
03-11-2023,147
04-11-2023,132
05-11-2023,138
06-11-2023,117
07-11-2023,104
08-11-2023,102
09-11-2023,118
10-11-2023,150
11-11-2023,143
12-11-2023,144
14-11-2023,161
15-11-2023,152
16-11-2023,177
17-11-2023,142
18-11-2023,125
19-11-2023,101
22-11-2023,111
23-11-2023,111
24-11-2023,102
25-11-2023,114
26-11-2023,149
05-12-2023,78
06-12-2023,54
07-12-2023,89
08-12-2023,76
09-12-2023,100
10-12-2023,111
11-12-2023,127
12-12-2023,135
14-12-2023,170
15-12-2023,123
16-12-2023,130
17-12-2023,125
18-12-2023,124
19-12-2023,104
20-12-2023,114
