Date,AQI
26-02-2020,178
27-02-2020,175
28-02-2020,181
29-02-2020,191
01-03-2020,200
02-03-2020,177
03-03-2020,234
04-03-2020,144
05-03-2020,166
06-03-2020,146
07-03-2020,107
08-03-2020,95
09-03-2020,69
10-03-2020,122
11-03-2020,111
12-03-2020,111
13-03-2020,110
14-03-2020,118
15-03-2020,126
16-03-2020,127
19-03-2020,157
21-03-2020,168
22-03-2020,120
23-03-2020,130
24-03-2020,167
25-03-2020,128
26-03-2020,129
27-03-2020,127
28-03-2020,131
29-03-2020,153
30-03-2020,156
31-03-2020,162
01-04-2020,156
02-04-2020,169
03-04-2020,169
04-04-2020,178
05-04-2020,184
06-04-2020,181
07-04-2020,184
08-04-2020,188
09-04-2020,197
10-04-2020,197
11-04-2020,191
12-04-2020,186
13-04-2020,200
14-04-2020,197
15-04-2020,166
16-04-2020,58
17-04-2020,52
18-04-2020,49
19-04-2020,61
20-04-2020,74
21-04-2020,51
22-04-2020,49
23-04-2020,93
08-05-2020,202
09-05-2020,181
10-05-2020,188
11-05-2020,188
12-05-2020,198
13-05-2020,200
14-05-2020,200
15-05-2020,200
16-05-2020,200
17-05-2020,227
18-05-2020,200
19-05-2020,200
20-05-2020,232
21-05-2020,248
22-05-2020,264
29-05-2020,232
30-05-2020,221
31-05-2020,180
01-06-2020,213
02-06-2020,173
09-06-2020,316
10-06-2020,238
11-06-2020,175
12-06-2020,206
16-06-2020,176
25-06-2020,197
26-06-2020,208
27-06-2020,207
28-06-2020,131
29-06-2020,130
30-06-2020,146
01-07-2020,146
02-07-2020,156
03-07-2020,120
04-07-2020,135
05-07-2020,135
06-07-2020,191
07-07-2020,108
08-07-2020,131
10-07-2020,169
11-07-2020,219
12-07-2020,259
14-07-2020,259
15-07-2020,259
21-07-2020,134
24-07-2020,88
28-07-2020,121
30-07-2020,150
31-07-2020,171
01-08-2020,179
02-08-2020,208
06-08-2020,111
07-08-2020,258
08-08-2020,277
11-08-2020,151
12-08-2020,140
15-08-2020,246
16-08-2020,280
17-08-2020,298
31-08-2020,265
10-09-2020,114
11-09-2020,228
12-09-2020,118
13-09-2020,166
14-09-2020,126
15-09-2020,150
16-09-2020,122
17-09-2020,107
19-09-2020,111
20-09-2020,113
21-09-2020,114
22-09-2020,121
23-09-2020,122
24-09-2020,162
25-09-2020,162
26-09-2020,178
27-09-2020,162
28-09-2020,169
29-09-2020,162
30-09-2020,162
01-10-2020,348
02-10-2020,175
03-10-2020,209
04-10-2020,175
05-10-2020,181
