Date,AQI
05-02-2019,215
06-02-2019,244
07-02-2019,180
08-02-2019,168
09-02-2019,78
12-02-2019,194
13-02-2019,226
14-02-2019,188
15-02-2019,169
17-02-2019,134
18-02-2019,178
19-02-2019,118
20-02-2019,198
21-02-2019,146
22-02-2019,83
23-02-2019,62
24-02-2019,97
25-02-2019,140
26-02-2019,71
27-02-2019,58
28-02-2019,105
01-03-2019,121
02-03-2019,110
03-03-2019,71
04-03-2019,73
05-03-2019,85
06-03-2019,121
07-03-2019,148
08-03-2019,102
09-03-2019,87
10-03-2019,94
12-03-2019,96
13-03-2019,120
14-03-2019,215
15-03-2019,116
16-03-2019,125
17-03-2019,142
19-03-2019,152
20-03-2019,111
21-03-2019,161
22-03-2019,87
23-03-2019,89
24-03-2019,102
25-03-2019,87
26-03-2019,100
27-03-2019,118
28-03-2019,154
29-03-2019,154
30-03-2019,142
31-03-2019,119
01-04-2019,104
02-04-2019,187
03-04-2019,135
04-04-2019,148
05-04-2019,214
06-04-2019,114
07-04-2019,222
08-04-2019,195
09-04-2019,158
10-04-2019,173
11-04-2019,139
12-04-2019,188
13-04-2019,125
14-04-2019,122
15-04-2019,149
16-04-2019,164
17-04-2019,76
18-04-2019,59
19-04-2019,65
20-04-2019,119
21-04-2019,143
22-04-2019,144
23-04-2019,150
24-04-2019,185
25-04-2019,204
26-04-2019,192
27-04-2019,167
28-04-2019,164
29-04-2019,162
30-04-2019,200
01-05-2019,142
02-05-2019,151
06-05-2019,138
07-05-2019,149
08-05-2019,198
09-05-2019,280
10-05-2019,168
11-05-2019,148
12-05-2019,215
13-05-2019,150
14-05-2019,76
15-05-2019,138
16-05-2019,121
17-05-2019,107
18-05-2019,84
19-05-2019,84
20-05-2019,122
21-05-2019,113
22-05-2019,109
23-05-2019,109
25-05-2019,63
27-05-2019,94
28-05-2019,97
29-05-2019,94
30-05-2019,114
31-05-2019,125
01-06-2019,129
02-06-2019,123
03-06-2019,138
05-06-2019,182
06-06-2019,112
07-06-2019,139
08-06-2019,103
09-06-2019,127
10-06-2019,166
12-06-2019,171
14-06-2019,81
15-06-2019,158
16-06-2019,107
17-06-2019,74
18-06-2019,66
19-06-2019,79
20-06-2019,65
21-06-2019,147
22-06-2019,138
25-06-2019,157
26-06-2019,103
27-06-2019,225
28-06-2019,206
29-06-2019,123
30-06-2019,118
01-07-2019,109
02-07-2019,108
03-07-2019,109
05-07-2019,65
06-07-2019,101
07-07-2019,55
08-07-2019,85
09-07-2019,73
10-07-2019,116
11-07-2019,147
12-07-2019,131
13-07-2019,96
14-07-2019,113
16-07-2019,110
17-07-2019,104
18-07-2019,47
19-07-2019,44
20-07-2019,61
21-07-2019,80
22-07-2019,80
23-07-2019,62
24-07-2019,56
25-07-2019,29
26-07-2019,30
27-07-2019,39
28-07-2019,61
29-07-2019,48
30-07-2019,70
