Date,AQI
19-05-2016,87
23-05-2016,62
24-05-2016,55
25-05-2016,44
26-05-2016,40
27-05-2016,55
28-05-2016,45
29-05-2016,39
30-05-2016,36
01-06-2016,47
02-06-2016,52
03-06-2016,57
04-06-2016,67
05-06-2016,82
07-06-2016,116
08-06-2016,83
10-06-2016,60
11-06-2016,84
13-06-2016,63
14-06-2016,68
15-06-2016,81
16-06-2016,136
17-06-2016,126
18-06-2016,112
19-06-2016,100
20-06-2016,91
21-06-2016,42
22-06-2016,31
23-06-2016,46
24-06-2016,45
28-06-2016,57
29-06-2016,47
30-06-2016,58
01-07-2016,38
02-07-2016,31
03-07-2016,31
05-07-2016,28
06-07-2016,52
07-07-2016,57
08-07-2016,55
09-07-2016,38
10-07-2016,36
19-07-2016,35
20-07-2016,29
26-07-2016,23
27-07-2016,26
28-07-2016,31
29-07-2016,24
30-07-2016,42
31-07-2016,28
01-08-2016,23
02-08-2016,28
05-08-2016,31
06-08-2016,22
07-08-2016,39
08-08-2016,37
10-08-2016,24
11-08-2016,26
12-08-2016,44
13-08-2016,28
14-08-2016,33
16-08-2016,38
17-08-2016,42
18-08-2016,31
20-08-2016,49
21-08-2016,32
22-08-2016,31
23-08-2016,28
26-08-2016,41
28-08-2016,31
30-08-2016,40
31-08-2016,34
01-09-2016,38
03-09-2016,37
05-09-2016,33
06-09-2016,33
07-09-2016,37
08-09-2016,35
09-09-2016,30
10-09-2016,30
11-09-2016,29
13-09-2016,33
15-09-2016,42
16-09-2016,46
20-09-2016,31
22-09-2016,41
23-09-2016,50
24-09-2016,45
25-09-2016,58
26-09-2016,48
27-09-2016,52
28-09-2016,51
29-09-2016,51
30-09-2016,55
01-10-2016,36
02-10-2016,36
03-10-2016,34
04-10-2016,38
05-10-2016,34
06-10-2016,43
07-10-2016,42
08-10-2016,44
10-10-2016,82
11-10-2016,78
12-10-2016,64
13-10-2016,85
14-10-2016,68
15-10-2016,87
16-10-2016,106
17-10-2016,131
18-10-2016,123
19-10-2016,95
20-10-2016,124
22-10-2016,168
23-10-2016,156
25-10-2016,105
26-10-2016,112
27-10-2016,109
28-10-2016,155
29-10-2016,109
30-10-2016,162
31-10-2016,114
01-11-2016,174
02-11-2016,176
03-11-2016,173
04-11-2016,153
05-11-2016,160
06-11-2016,159
08-11-2016,155
09-11-2016,159
10-11-2016,192
11-11-2016,206
16-11-2016,256
17-11-2016,271
18-11-2016,190
19-11-2016,171
20-11-2016,300
21-11-2016,119
22-11-2016,234
