Date,AQI
02-05-2015,70
03-05-2015,90
04-05-2015,76
05-05-2015,92
06-05-2015,84
07-05-2015,88
09-05-2015,109
10-05-2015,109
11-05-2015,110
12-05-2015,97
13-05-2015,92
14-05-2015,94
15-05-2015,90
16-05-2015,106
17-05-2015,96
18-05-2015,94
19-05-2015,104
20-05-2015,101
21-05-2015,103
22-05-2015,103
23-05-2015,102
24-05-2015,103
25-05-2015,103
26-05-2015,106
27-05-2015,100
28-05-2015,98
29-05-2015,121
30-05-2015,102
31-05-2015,104
01-06-2015,105
02-06-2015,108
04-06-2015,107
05-06-2015,108
06-06-2015,110
07-06-2015,110
08-06-2015,109
09-06-2015,111
10-06-2015,108
11-06-2015,104
13-06-2015,106
14-06-2015,57
15-06-2015,56
16-06-2015,58
17-06-2015,65
18-06-2015,64
19-06-2015,67
20-06-2015,70
21-06-2015,70
22-06-2015,71
23-06-2015,73
24-06-2015,70
25-06-2015,64
26-06-2015,67
27-06-2015,67
28-06-2015,69
01-07-2015,76
02-07-2015,79
03-07-2015,82
04-07-2015,83
05-07-2015,92
06-07-2015,86
07-07-2015,74
08-07-2015,84
09-07-2015,92
10-07-2015,97
11-07-2015,96
12-07-2015,94
13-07-2015,81
14-07-2015,72
15-07-2015,78
16-07-2015,82
17-07-2015,83
18-07-2015,83
19-07-2015,82
20-07-2015,84
21-07-2015,86
22-07-2015,89
23-07-2015,91
24-07-2015,96
25-07-2015,97
26-07-2015,96
27-07-2015,99
28-07-2015,100
29-07-2015,85
30-07-2015,75
31-07-2015,75
01-08-2015,82
02-08-2015,78
03-08-2015,79
04-08-2015,82
05-08-2015,82
06-08-2015,82
07-08-2015,86
09-08-2015,52
10-08-2015,52
11-08-2015,60
12-08-2015,51
13-08-2015,56
14-08-2015,53
15-08-2015,51
16-08-2015,47
17-08-2015,50
18-08-2015,55
19-08-2015,62
20-08-2015,54
21-08-2015,63
22-08-2015,54
23-08-2015,52
24-08-2015,51
25-08-2015,54
26-08-2015,58
27-08-2015,75
29-08-2015,57
30-08-2015,56
31-08-2015,57
01-09-2015,58
02-09-2015,59
03-09-2015,70
04-09-2015,66
05-09-2015,66
06-09-2015,68
07-09-2015,68
08-09-2015,69
09-09-2015,72
10-09-2015,74
11-09-2015,77
12-09-2015,78
13-09-2015,78
14-09-2015,82
16-09-2015,83
17-09-2015,85
18-09-2015,99
19-09-2015,84
20-09-2015,81
21-09-2015,81
24-09-2015,100
25-09-2015,115
26-09-2015,101
27-09-2015,107
28-09-2015,102
29-09-2015,102
30-09-2015,102
01-10-2015,99
02-10-2015,96
03-10-2015,263
04-10-2015,100
05-10-2015,101
06-10-2015,88
07-10-2015,84
08-10-2015,89
10-10-2015,100
11-10-2015,102
12-10-2015,102
13-10-2015,102
14-10-2015,87
15-10-2015,98
16-10-2015,98
17-10-2015,95
18-10-2015,82
19-10-2015,84
20-10-2015,84
21-10-2015,94
23-10-2015,102
24-10-2015,103
25-10-2015,115
26-10-2015,107
27-10-2015,108
28-10-2015,112
29-10-2015,106
30-10-2015,98
31-10-2015,107
01-11-2015,115
02-11-2015,151
03-11-2015,99
04-11-2015,93
05-11-2015,89
06-11-2015,106
07-11-2015,114
08-11-2015,115
09-11-2015,111
10-11-2015,107
11-11-2015,112
12-11-2015,112
13-11-2015,113
14-11-2015,113
16-11-2015,117
17-11-2015,112
18-11-2015,106
19-11-2015,109
21-11-2015,125
22-11-2015,97
23-11-2015,108
24-11-2015,106
25-11-2015,110
26-11-2015,90
27-11-2015,89
28-11-2015,85
29-11-2015,84
30-11-2015,87
01-12-2015,86
02-12-2015,110
03-12-2015,87
04-12-2015,102
05-12-2015,103
07-12-2015,103
08-12-2015,113
09-12-2015,81
10-12-2015,117
11-12-2015,126
12-12-2015,125
15-12-2015,131
16-12-2015,122
17-12-2015,118
18-12-2015,118
19-12-2015,122
20-12-2015,115
21-12-2015,154
22-12-2015,128
23-12-2015,111
24-12-2015,95
25-12-2015,87
26-12-2015,88
27-12-2015,89
28-12-2015,90
29-12-2015,113
30-12-2015,100
31-12-2015,116
01-01-2016,104
02-01-2016,107
03-01-2016,108
04-01-2016,109
05-01-2016,116
06-01-2016,111
07-01-2016,109
10-01-2016,101
11-01-2016,84
12-01-2016,113
13-01-2016,102
14-01-2016,110
15-01-2016,105
16-01-2016,111
17-01-2016,92
18-01-2016,93
19-01-2016,93
20-01-2016,91
21-01-2016,91
22-01-2016,98
23-01-2016,101
24-01-2016,113
25-01-2016,113
26-01-2016,115
27-01-2016,90
28-01-2016,79
29-01-2016,104
30-01-2016,104
31-01-2016,109
01-02-2016,111
02-02-2016,108
03-02-2016,108
04-02-2016,108
05-02-2016,108
06-02-2016,106
07-02-2016,106
08-02-2016,96
09-02-2016,102
10-02-2016,105
11-02-2016,101
12-02-2016,101
13-02-2016,100
14-02-2016,101
15-02-2016,102
16-02-2016,102
17-02-2016,102
18-02-2016,102
19-02-2016,102
20-02-2016,101
23-02-2016,98
24-02-2016,96
25-02-2016,103
26-02-2016,104
27-02-2016,105
28-02-2016,105
29-02-2016,105
01-03-2016,106
02-03-2016,105
03-03-2016,102
04-03-2016,105
05-03-2016,109
06-03-2016,116
07-03-2016,115
08-03-2016,115
09-03-2016,111
10-03-2016,111
11-03-2016,97
12-03-2016,110
13-03-2016,109
14-03-2016,108
15-03-2016,110
16-03-2016,111
17-03-2016,106
18-03-2016,109
19-03-2016,109
20-03-2016,102
21-03-2016,102
22-03-2016,102
23-03-2016,106
24-03-2016,102
25-03-2016,102
26-03-2016,102
27-03-2016,103
28-03-2016,102
02-04-2016,102
03-04-2016,102
04-04-2016,102
05-04-2016,102
06-04-2016,102
07-04-2016,57
08-04-2016,103
09-04-2016,101
13-04-2016,136
