Date,AQI
27-11-2022,113
28-11-2022,123
29-11-2022,132
30-11-2022,193
01-12-2022,153
02-12-2022,205
03-12-2022,174
04-12-2022,188
05-12-2022,191
06-12-2022,157
07-12-2022,150
08-12-2022,170
09-12-2022,198
10-12-2022,192
11-12-2022,206
12-12-2022,119
13-12-2022,106
14-12-2022,121
15-12-2022,124
16-12-2022,99
17-12-2022,122
18-12-2022,126
19-12-2022,186
20-12-2022,170
21-12-2022,141
22-12-2022,145
23-12-2022,119
24-12-2022,133
25-12-2022,127
26-12-2022,126
27-12-2022,126
28-12-2022,119
31-12-2022,116
01-01-2023,183
02-01-2023,245
03-01-2023,294
04-01-2023,249
05-01-2023,307
06-01-2023,253
07-01-2023,114
08-01-2023,127
09-01-2023,134
12-01-2023,117
13-01-2023,161
14-01-2023,121
15-01-2023,152
16-01-2023,121
17-01-2023,186
18-01-2023,225
19-01-2023,245
20-01-2023,244
22-01-2023,269
23-01-2023,232
24-01-2023,162
25-01-2023,173
26-01-2023,206
27-01-2023,199
28-01-2023,262
29-01-2023,227
30-01-2023,190
31-01-2023,157
01-02-2023,135
02-02-2023,102
03-02-2023,122
04-02-2023,152
05-02-2023,137
06-02-2023,126
07-02-2023,174
08-02-2023,215
09-02-2023,167
10-02-2023,236
11-02-2023,127
12-02-2023,214
13-02-2023,168
14-02-2023,193
15-02-2023,187
16-02-2023,169
17-02-2023,236
18-02-2023,154
19-02-2023,166
20-02-2023,185
21-02-2023,239
22-02-2023,257
23-02-2023,259
24-02-2023,264
25-02-2023,253
26-02-2023,286
27-02-2023,225
28-02-2023,232
01-03-2023,272
02-03-2023,336
03-03-2023,290
04-03-2023,249
05-03-2023,256
06-03-2023,269
08-03-2023,257
09-03-2023,149
10-03-2023,174
11-03-2023,216
12-03-2023,288
13-03-2023,336
14-03-2023,322
15-03-2023,318
16-03-2023,256
17-03-2023,261
18-03-2023,292
19-03-2023,119
20-03-2023,82
21-03-2023,99
22-03-2023,105
23-03-2023,160
24-03-2023,177
25-03-2023,199
26-03-2023,264
27-03-2023,184
28-03-2023,154
30-03-2023,209
01-04-2023,42
02-04-2023,83
03-04-2023,121
04-04-2023,199
05-04-2023,139
06-04-2023,153
07-04-2023,197
08-04-2023,224
09-04-2023,193
10-04-2023,264
11-04-2023,254
14-04-2023,314
15-04-2023,311
16-04-2023,186
17-04-2023,262
18-04-2023,236
20-04-2023,263
21-04-2023,221
22-04-2023,156
23-04-2023,77
24-04-2023,93
25-04-2023,96
26-04-2023,58
27-04-2023,146
28-04-2023,150
04-05-2023,36
05-05-2023,85
06-05-2023,121
07-05-2023,121
08-05-2023,166
11-05-2023,121
12-05-2023,159
14-05-2023,160
15-05-2023,191
16-05-2023,155
17-05-2023,86
18-05-2023,100
19-05-2023,120
20-05-2023,106
21-05-2023,89
22-05-2023,63
23-05-2023,58
24-05-2023,157
26-05-2023,105
27-05-2023,113
28-05-2023,79
29-05-2023,92
30-05-2023,144
31-05-2023,138
01-06-2023,113
02-06-2023,188
04-06-2023,87
05-06-2023,129
06-06-2023,111
07-06-2023,183
08-06-2023,238
10-06-2023,228
11-06-2023,127
12-06-2023,163
13-06-2023,123
14-06-2023,84
15-06-2023,83
16-06-2023,124
