Date,AQI
04-05-2017,255
05-05-2017,339
06-05-2017,281
07-05-2017,338
08-05-2017,312
09-05-2017,339
10-05-2017,180
12-05-2017,385
13-05-2017,342
14-05-2017,283
15-05-2017,275
16-05-2017,330
17-05-2017,198
18-05-2017,213
19-05-2017,207
20-05-2017,294
21-05-2017,378
22-05-2017,242
23-05-2017,307
24-05-2017,197
25-05-2017,257
26-05-2017,229
27-05-2017,233
28-05-2017,124
29-05-2017,89
30-05-2017,115
06-06-2017,283
07-06-2017,163
08-06-2017,104
09-06-2017,206
10-06-2017,195
15-06-2017,332
16-06-2017,231
17-06-2017,94
19-06-2017,295
20-06-2017,99
21-06-2017,204
22-06-2017,137
23-06-2017,139
24-06-2017,139
25-06-2017,166
26-06-2017,119
27-06-2017,100
28-06-2017,89
29-06-2017,66
01-07-2017,73
02-07-2017,57
03-07-2017,73
04-07-2017,124
05-07-2017,191
06-07-2017,168
07-07-2017,120
08-07-2017,114
09-07-2017,192
10-07-2017,145
11-07-2017,106
12-07-2017,60
13-07-2017,69
14-07-2017,82
15-07-2017,78
16-07-2017,80
17-07-2017,83
18-07-2017,79
19-07-2017,114
21-07-2017,65
22-07-2017,105
23-07-2017,75
24-07-2017,63
25-07-2017,64
26-07-2017,68
27-07-2017,84
28-07-2017,81
29-07-2017,72
30-07-2017,74
31-07-2017,71
01-08-2017,55
02-08-2017,89
03-08-2017,116
04-08-2017,138
05-08-2017,163
06-08-2017,216
07-08-2017,134
08-08-2017,80
09-08-2017,82
10-08-2017,113
14-08-2017,125
15-08-2017,126
16-08-2017,127
17-08-2017,158
18-08-2017,163
19-08-2017,93
23-08-2017,84
24-08-2017,73
25-08-2017,107
26-08-2017,107
27-08-2017,87
28-08-2017,63
29-08-2017,53
30-08-2017,67
31-08-2017,58
01-09-2017,59
02-09-2017,63
03-09-2017,76
04-09-2017,113
05-09-2017,98
06-09-2017,114
07-09-2017,73
08-09-2017,180
09-09-2017,141
10-09-2017,178
11-09-2017,171
12-09-2017,147
13-09-2017,156
14-09-2017,189
15-09-2017,211
16-09-2017,138
17-09-2017,124
18-09-2017,320
19-09-2017,173
20-09-2017,164
21-09-2017,198
22-09-2017,49
23-09-2017,43
24-09-2017,58
25-09-2017,151
26-09-2017,159
27-09-2017,191
28-09-2017,192
29-09-2017,145
30-09-2017,144
01-10-2017,199
02-10-2017,165
03-10-2017,123
04-10-2017,189
05-10-2017,137
06-10-2017,126
07-10-2017,127
08-10-2017,62
09-10-2017,62
10-10-2017,170
11-10-2017,171
