Date,AQI
27-08-2022,56
28-08-2022,56
29-08-2022,56
30-08-2022,56
31-08-2022,56
01-09-2022,56
02-09-2022,64
03-09-2022,64
04-09-2022,64
05-09-2022,47
06-09-2022,47
07-09-2022,47
08-09-2022,47
09-09-2022,48
10-09-2022,47
11-09-2022,47
12-09-2022,48
13-09-2022,48
14-09-2022,49
15-09-2022,50
18-09-2022,64
19-09-2022,52
20-09-2022,47
21-09-2022,47
22-09-2022,54
23-09-2022,60
24-09-2022,49
25-09-2022,62
26-09-2022,46
28-09-2022,62
29-09-2022,57
30-09-2022,48
01-10-2022,47
02-10-2022,47
03-10-2022,48
04-10-2022,63
07-10-2022,61
09-10-2022,47
10-10-2022,48
11-10-2022,49
12-10-2022,49
13-10-2022,48
14-10-2022,49
15-10-2022,49
18-10-2022,48
19-10-2022,56
20-10-2022,60
22-10-2022,56
23-10-2022,51
24-10-2022,52
25-10-2022,57
26-10-2022,76
27-10-2022,86
28-10-2022,82
01-11-2022,60
02-11-2022,48
03-11-2022,49
04-11-2022,49
05-11-2022,51
06-11-2022,48
07-11-2022,49
08-11-2022,49
09-11-2022,50
10-11-2022,61
11-11-2022,51
12-11-2022,48
14-11-2022,49
15-11-2022,49
16-11-2022,57
17-11-2022,68
18-11-2022,84
19-11-2022,85
20-11-2022,89
21-11-2022,85
22-11-2022,84
23-11-2022,76
24-11-2022,64
25-11-2022,51
26-11-2022,49
27-11-2022,64
28-11-2022,56
30-11-2022,91
01-12-2022,84
02-12-2022,49
03-12-2022,49
04-12-2022,49
05-12-2022,50
06-12-2022,71
07-12-2022,79
08-12-2022,62
09-12-2022,51
13-12-2022,49
14-12-2022,49
15-12-2022,49
16-12-2022,49
17-12-2022,57
18-12-2022,64
19-12-2022,70
20-12-2022,76
21-12-2022,82
22-12-2022,86
23-12-2022,54
24-12-2022,58
25-12-2022,48
29-12-2022,73
30-12-2022,81
31-12-2022,86
01-01-2023,69
02-01-2023,53
03-01-2023,52
04-01-2023,71
05-01-2023,71
06-01-2023,48
07-01-2023,47
08-01-2023,62
09-01-2023,65
10-01-2023,62
12-01-2023,61
13-01-2023,84
14-01-2023,66
15-01-2023,77
16-01-2023,82
18-01-2023,63
19-01-2023,73
20-01-2023,61
22-01-2023,81
23-01-2023,50
24-01-2023,46
25-01-2023,52
26-01-2023,49
27-01-2023,73
28-01-2023,75
29-01-2023,67
30-01-2023,63
31-01-2023,58
01-02-2023,48
05-02-2023,47
06-02-2023,80
07-02-2023,93
08-02-2023,112
09-02-2023,96
10-02-2023,65
14-02-2023,56
15-02-2023,65
17-02-2023,58
18-02-2023,84
19-02-2023,85
20-02-2023,80
21-02-2023,89
22-02-2023,74
24-02-2023,53
25-02-2023,67
26-02-2023,76
27-02-2023,71
28-02-2023,54
01-03-2023,51
02-03-2023,55
03-03-2023,47
04-03-2023,48
05-03-2023,65
06-03-2023,51
07-03-2023,63
08-03-2023,48
09-03-2023,83
10-03-2023,87
11-03-2023,66
12-03-2023,66
14-03-2023,110
15-03-2023,120
16-03-2023,101
17-03-2023,87
18-03-2023,52
19-03-2023,55
20-03-2023,48
21-03-2023,48
22-03-2023,70
23-03-2023,81
24-03-2023,81
28-03-2023,84
29-03-2023,70
01-04-2023,96
02-04-2023,93
03-04-2023,86
04-04-2023,61
05-04-2023,86
06-04-2023,67
07-04-2023,66
08-04-2023,61
09-04-2023,91
10-04-2023,49
11-04-2023,49
12-04-2023,48
13-04-2023,48
14-04-2023,67
15-04-2023,60
16-04-2023,81
17-04-2023,73
18-04-2023,59
19-04-2023,87
20-04-2023,90
21-04-2023,98
24-04-2023,127
25-04-2023,55
26-04-2023,58
27-04-2023,55
29-04-2023,49
30-04-2023,49
02-05-2023,49
03-05-2023,49
04-05-2023,73
05-05-2023,60
06-05-2023,71
07-05-2023,50
08-05-2023,68
09-05-2023,49
10-05-2023,50
11-05-2023,75
12-05-2023,84
13-05-2023,142
14-05-2023,130
15-05-2023,115
16-05-2023,114
17-05-2023,114
18-05-2023,119
20-05-2023,110
23-05-2023,109
24-05-2023,106
25-05-2023,89
26-05-2023,94
27-05-2023,106
28-05-2023,126
29-05-2023,101
31-05-2023,109
01-06-2023,76
02-06-2023,94
03-06-2023,98
04-06-2023,107
05-06-2023,96
06-06-2023,89
07-06-2023,77
08-06-2023,50
10-06-2023,50
11-06-2023,50
12-06-2023,50
13-06-2023,50
14-06-2023,50
15-06-2023,50
16-06-2023,50
17-06-2023,62
18-06-2023,56
19-06-2023,50
20-06-2023,50
21-06-2023,50
22-06-2023,50
23-06-2023,50
24-06-2023,50
25-06-2023,60
26-06-2023,50
27-06-2023,50
28-06-2023,50
29-06-2023,50
01-07-2023,49
02-07-2023,49
03-07-2023,50
04-07-2023,50
05-07-2023,51
07-07-2023,51
08-07-2023,51
09-07-2023,51
10-07-2023,50
11-07-2023,50
12-07-2023,51
13-07-2023,50
14-07-2023,50
15-07-2023,50
16-07-2023,52
17-07-2023,50
18-07-2023,50
19-07-2023,51
20-07-2023,51
21-07-2023,54
27-07-2023,51
29-07-2023,51
30-07-2023,55
01-08-2023,49
02-08-2023,56
03-08-2023,49
04-08-2023,49
05-08-2023,49
06-08-2023,49
07-08-2023,49
08-08-2023,57
09-08-2023,49
10-08-2023,49
11-08-2023,49
12-08-2023,56
13-08-2023,85
17-08-2023,104
18-08-2023,61
19-08-2023,51
22-08-2023,74
23-08-2023,79
02-09-2023,51
03-09-2023,46
04-09-2023,26
05-09-2023,26
06-09-2023,17
07-09-2023,16
08-09-2023,23
09-09-2023,21
10-09-2023,27
11-09-2023,21
12-09-2023,24
13-09-2023,29
14-09-2023,28
15-09-2023,21
17-09-2023,24
18-09-2023,28
19-09-2023,25
20-09-2023,50
21-09-2023,48
22-09-2023,39
24-09-2023,34
25-09-2023,36
26-09-2023,42
27-09-2023,32
28-09-2023,25
29-09-2023,25
30-09-2023,24
01-10-2023,18
02-10-2023,29
03-10-2023,64
04-10-2023,75
05-10-2023,79
06-10-2023,75
07-10-2023,77
08-10-2023,57
09-10-2023,58
10-10-2023,39
11-10-2023,63
12-10-2023,60
13-10-2023,36
14-10-2023,41
15-10-2023,41
17-10-2023,46
18-10-2023,62
19-10-2023,64
20-10-2023,56
21-10-2023,56
22-10-2023,74
23-10-2023,57
24-10-2023,71
25-10-2023,75
26-10-2023,56
27-10-2023,54
28-10-2023,43
31-10-2023,32
01-11-2023,55
02-11-2023,26
03-11-2023,26
04-11-2023,24
05-11-2023,18
06-11-2023,18
07-11-2023,18
08-11-2023,36
09-11-2023,32
10-11-2023,25
11-11-2023,33
12-11-2023,28
13-11-2023,33
14-11-2023,42
21-11-2023,52
22-11-2023,34
23-11-2023,29
25-11-2023,27
29-11-2023,45
03-12-2023,26
06-12-2023,36
07-12-2023,46
08-12-2023,47
09-12-2023,28
10-12-2023,34
11-12-2023,33
12-12-2023,45
13-12-2023,57
14-12-2023,48
15-12-2023,42
16-12-2023,27
20-12-2023,22
21-12-2023,40
22-12-2023,52
23-12-2023,74
24-12-2023,44
25-12-2023,19
26-12-2023,31
30-12-2023,40
31-12-2023,39
